Class,N,Ctrl.Sum,Ctrl.Mean,Ctrl.SD,Ctrl.SE,Case.Sum,Case.Mean,Case.SD,Case.SE,FC,logFC
CE,0,0,0,0,0,0,0,0,0,0,0
CL,22,889148.0966,40415.82257,66890.05112,14261.00682,679093.2958,30867.87708,43193.55567,9208.897011,0.76375724,-0.388813945
DG,28,5549087.824,198181.708,623741.7847,117876.1175,7151740.617,255419.3077,870042.623,164422.6007,1.288813737,0.366043777
lysoPC,13,1798710.999,138362.3846,216614.63,60078.08889,1031181.664,79321.66649,114819.9905,31845.33563,0.573289241,-0.80266489
lysoPE,10,630813.0324,63081.30324,162217.0979,51297.55046,378370.8159,37837.08159,96266.05765,30442.00035,0.599814519,-0.73741165
MG,5,744782.3336,148956.4667,314584.105,140686.2887,975278.8039,195055.7608,414339.4787,185298.248,1.309481656,0.38899585
PA,12,230720.3354,19226.69462,23486.10001,6779.853081,226734.7203,18894.56002,19791.15787,5713.215161,0.982725341,-0.025139836
PC,35,6391774.949,182622.1414,486391.3268,82215.13987,5112877.935,146082.2267,350247.8476,59202.69172,0.7999152,-0.322081029
PE,23,2527814.095,109904.9607,150191.1137,31317.01207,2129499.666,92586.94202,129056.3958,26910.11876,0.842427325,-0.247375862
PG,10,138577.4721,13857.74721,15279.98315,4831.954937,144084.8198,14408.48198,16549.5141,5233.415872,1.039742013,0.056225603
PI,10,289871.1053,28987.11053,32977.22496,10428.31418,318751.5449,31875.15449,32328.11606,10223.04792,1.099632005,0.137020803
plasmenyl-PC,2,1657.200662,828.6003311,534.8653247,378.2068981,949.4047941,474.7023971,175.55229,124.1342147,0.572896702,-0.803653062
plasmenyl-PE,13,3333115.064,256393.4664,687364.3757,190640.577,2790140.981,214626.2293,603328.1138,167333.1115,0.837097108,-0.256533101
PS,20,540164.4162,27008.22081,23779.96923,5317.362771,643325.4855,32166.27428,25885.59868,5788.195828,1.190980868,0.252150238
SM,11,3075294.868,279572.2607,591449.4249,178328.7114,3457800.504,314345.5004,676737.0775,204043.9062,1.12438015,0.169129889
TG,35,17550957.56,501455.9302,1338452.397,226239.7477,18204968.75,520141.9642,1199014.705,202670.4759,1.037263562,0.05278252
