Class,N,Ctrl.Sum,Ctrl.Mean,Ctrl.SD,Ctrl.SE,Case.Sum,Case.Mean,Case.SD,Case.SE,FC,logFC
CE,0,0,0,0,0,0,0,0,0,0,0
CL,22,711441.4004,32338.24547,46141.80339,9837.465537,655673.854,29803.357,38391.10725,8185.011567,0.921613296,-0.117766564
DG,28,8895414.41,317693.3718,1087324.63,205485.0404,7908631.229,282451.1153,993861.784,187822.2227,0.889068329,-0.169633793
lysoPC,13,1476686.754,113591.2887,173123.931,48015.93925,1191571.091,91659.31468,132542.4457,36760.66032,0.806922042,-0.309498795
lysoPE,10,371569.6904,37156.96904,89732.54478,28375.92217,299974.5351,29997.45351,68348.30575,21613.63204,0.80731702,-0.308792788
MG,5,941544.7068,188308.9414,402881.1208,180173.9146,990830.6158,198166.1232,422225.3622,188824.9224,1.052345798,0.073608848
PA,12,394003.9555,32833.66295,49452.00977,14275.56558,367937.9989,30661.4999,44768.86466,12923.65803,0.933843414,-0.098747435
PC,35,6518492.849,186242.6528,552003.4658,93305.61555,4929917.733,140854.7924,354720.5784,59958.72121,0.756297176,-0.402974863
PE,23,2279344.928,99101.95338,140802.0001,29359.24654,2074406.648,90191.59341,141667.4192,29539.6989,0.910088957,-0.135920526
PG,10,137242.3835,13724.23835,15857.14458,5014.469405,142343.3109,14234.33109,14350.40645,4537.996974,1.037167289,0.052648612
PI,10,311182.9121,31118.29121,35943.65087,11366.38042,555825.4933,55582.54933,80392.05207,25422.19903,1.786169714,0.836869166
plasmenyl-PC,2,1128.523991,564.2619955,299.1047754,211.499015,805.7501855,402.8750927,252.2488496,178.3668721,0.713985872,-0.486032568
plasmenyl-PE,13,2798028.101,215232.9309,555833.7684,154160.5502,3055860.332,235066.1794,662279.8395,183683.3785,1.092147834,0.127168154
PS,20,636715.277,31835.76385,28425.06353,6356.037431,782989.9318,39149.49659,41748.0594,9335.149875,1.229733226,0.298345377
SM,11,2536151.354,230559.214,480818.5848,144972.258,3103138.184,282103.4713,584391.3263,176200.6146,1.223561906,0.291087096
TG,35,15831381.87,452325.1962,1153024.319,194896.6818,17228180.37,492233.7249,1188481.911,200890.1087,1.088229727,0.121983145
