Class,N,Ctrl.Sum,Ctrl.Mean,Ctrl.SD,Ctrl.SE,Case.Sum,Case.Mean,Case.SD,Case.SE,FC,logFC
CE,0,0,0,0,0,0,0,0,0,0,0
CL,22,885703.358,40259.24355,59277.62925,12638.03302,760584.7602,34572.03455,49749.30991,10606.58851,0.858735324,-0.219714557
DG,28,6430434.842,229658.3872,728707.3071,137712.7366,6675183.796,238399.4213,832643.1467,157354.7641,1.038061027,0.053891261
lysoPC,13,1924932.344,148071.7188,223589.4904,62012.5671,2155665.394,165820.4149,239552.3198,66439.8594,1.119865538,0.163325518
lysoPE,10,708388.0663,70838.80663,184800.9163,58439.18092,746420.8989,74642.08989,188059.9633,59469.78206,1.053689262,0.075449472
MG,5,574183.9409,114836.7882,239196.1164,106971.7552,638610.9947,127722.1989,265480.4679,118726.4746,1.112206297,0.15342441
PA,12,336664.1543,28055.34619,40018.88631,11552.45739,183923.9688,15326.9974,19824.55906,5722.857255,0.546312895,-0.872200619
PC,35,7505159.47,214433.1277,696594.7328,117746.0004,5382932.037,153798.0582,421292.8298,71211.48552,0.717230867,-0.479490516
PE,23,2357452.788,102497.9473,132283.3448,27582.98412,2181013.12,94826.65741,127969.7741,26683.54246,0.925156649,-0.11223043
PG,10,157794.8453,15779.48453,16490.17008,5214.649646,173004.736,17300.4736,16910.93865,5347.708349,1.096390289,0.132761455
PI,10,306124.4989,30612.44989,37632.92781,11900.57669,311389.9469,31138.99469,33573.58925,10616.90112,1.017200348,0.024603861
plasmenyl-PC,2,2095.904474,1047.952237,727.7118527,514.5699858,2425.13712,1212.56856,835.7273286,590.9484613,1.157083803,0.210493357
plasmenyl-PE,13,2860540.949,220041.6115,537626.1321,149110.6605,2551729.363,196286.8741,498350.2829,138217.4999,0.89204434,-0.164812672
PS,20,558799.0973,27939.95487,24698.3992,5522.729954,609378.8141,30468.9407,24747.93217,5533.805863,1.090515029,0.125009653
SM,11,2545702.138,231427.4671,476895.1627,143789.3017,3416961.285,310632.8441,684897.1967,206504.2747,1.342247089,0.424650276
TG,35,16467262.17,470493.2047,1201859.915,203151.4042,17272132.5,493489.4999,1234213.822,208620.2125,1.048876997,0.068845502
