"Class","N","Ctrl.Sum","Ctrl.Mean","Ctrl.SD","Ctrl.SE","Case.Sum","Case.Mean","Case.SD","Case.SE","FC","logFC"
"CL",22,753473.583481458,34248.7992491572,49560.3014255326,10566.2917667235,812017.782643095,36909.8992110498,54847.2321528178,11693.4691851032,1.07769907325899,0.107954389477542
"DG",28,8505650.24828674,303773.223153098,1087008.63573301,205425.323080653,7711060.7732654,275395.027616622,972225.495746081,183733.348572901,0.906580984189729,-0.141492194310821
"lysoPC",13,1133645.96881843,87203.5360629562,130245.489551694,36123.5993058878,1337167.59507394,102859.045774918,141148.144841603,39147.4518202323,1.17952838174658,0.238210133043181
"lysoPE",10,391236.721660951,39123.6721660951,99531.743628274,31474.7009353297,454886.155224184,45488.6155224184,112152.803445351,35465.8304860489,1.16268777964659,0.217463737198916
"MG",5,931844.809218113,186368.961843623,396678.06007139,177399.821500475,798464.357243107,159692.871448621,338080.239035311,151194.079266467,0.856864092973891,-0.222861697948965
"PA",12,253816.722265535,21151.3935221279,21608.5579300177,6237.85336884767,228898.081048763,19074.8400873969,22815.322435367,6586.21627485362,0.901824273064631,-0.149081753509518
"PC",35,5777192.38591728,165062.639597637,404970.883624553,68452.5730672916,5431509.03452943,155185.972415126,366062.493359197,61875.8547518109,0.940164126742515,-0.0890154613223559
"PE",23,2315310.18402609,100665.660175047,145042.758251347,30243.5057500016,2338905.04258298,101691.523590564,131104.547899342,27337.1879854491,1.01019079807089,0.0146278052880518
"PG",10,131627.42911322,13162.742911322,14521.1101013517,4591.978207435,152455.584383228,15245.5584383228,18115.5583828721,5728.64255756323,1.1582356763353,0.211928840965787
"PI",10,324289.035535947,32428.9035535947,40665.467521776,12859.5499484415,288715.405619198,28871.5405619198,30184.6874350166,9545.23627549182,0.890302705245778,-0.167632155317295
"plasmenyl-PC",2,970.177181128699,485.088590564349,365.302491167542,258.307868688908,1478.95410252323,739.477051261616,240.47280089485,170.039948203671,1.52441649967754,0.608257128504215
"plasmenyl-PE",13,2644582.48574982,203429.421980756,560884.23558472,155561.297769241,2856415.07606878,219724.236620676,585620.497515457,162421.90244267,1.08010057975518,0.111165663460615
"PS",20,669794.362383003,33489.7181191502,34675.2099990824,7753.61266920287,582795.137045151,29139.7568522576,23545.2480186612,5264.87751168186,0.870110544035747,-0.200729393694947
"SM",11,3556563.56214291,323323.96019481,704863.508851263,212524.344297545,3335583.24648123,303234.840589202,670791.964461164,202251.387136645,0.937866901068813,-0.0925449000708339
"TG",35,16927515.5703344,483643.302009554,1203837.42604885,203485.664525322,17149836.5943562,489995.33126732,1199479.26157804,202749.000276259,1.01313370666227,0.0188245840199392
