"Lipid","Adduct","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334","QC","QC.1","QC.2","QC.3","QC.4","QC.5","QC.6"
"CL 66:2"," [M-2H](2-)@5.94",3637.67333924293,1987.2847168514,8441.74201884678,2555.66042200797,1810.10979448577,6071.79522141724,1810.10979448577,4264.78974533633,5687.96720897325,3818.10381542193,3458.07748400679,6071.79522141724,2182.94380393466,2182.94380393466,3732.48207701898,3563.60496531518,2098.03097835884,3956.27180614966,4613.18521493084,2098.03097835884,1810.10979448577,4700.81622837753,2773.91224205307,3563.60496531518,7195.93766480019,4383.59365387204,3361.27529169851,2313.84172956998,11755.0603845064,2773.91224205307,3818.10381542193,2421.56955059548,3361.27529169851,4073.49907820477,3563.60496531518,4613.18521493084,13876.793595145,4700.81622837753,2668.09332669709,3161.69174191271,7818.54857559949,4700.81622837753,3732.48207701898,2965.18177246721,3563.60496531518,1713.03307509823,2313.84172956998,3637.67333924293,2773.91224205307,3563.60496531518,1890.33504103927,2555.66042200797,3818.10381542193,4073.49907820477,4781.57060390132
"CL 66:3"," [M-2H](2-)@5.78",3266.55563709806,5194.87737512212,8949.7948344467,3266.55563709806,2555.66042200797,3161.69174191271,3059.62383423222,5194.87737512212,8110.13279501548,4700.81622837753,6486.19124158297,6939.99498851855,4264.78974533633,5051.1792247438,4613.18521493084,4073.49907820477,1890.33504103927,5292.76506939898,4508.39218302632,7927.96935576138,549.57330418908,2773.91224205307,2098.03097835884,3818.10381542193,5051.1792247438,3059.62383423222,3161.69174191271,5292.76506939898,3563.60496531518,1713.03307509823,4700.81622837753,2555.66042200797,3563.60496531518,4781.57060390132,4781.57060390132,5051.1792247438,3059.62383423222,3458.07748400679,4264.78974533633,3361.27529169851,3732.48207701898,3818.10381542193,3563.60496531518,1713.03307509823,3266.55563709806,3458.07748400679,3818.10381542193,3458.07748400679,2668.09332669709,3266.55563709806,4383.59365387204,4383.59365387204,3161.69174191271,4508.39218302632,3818.10381542193
"CL 68:1"," [M-2H](2-)@7.43",7499.1073540432,3818.10381542193,8814.47368964092,12177.1928472267,5194.87737512212,6939.99498851855,6939.99498851855,5803.66164343117,4508.39218302632,3732.48207701898,8310.42259335373,4884.69233519555,6648.90620544533,6242.55160387247,5051.1792247438,8310.42259335373,9395.66994899383,8441.74201884678,11979.0763139976,10241.2889150012,10241.2889150012,11561.5719533692,8814.47368964092,6939.99498851855,10853.1213565757,9754.61316183831,7058.13048967822,9563.77982648063,6939.99498851855,7927.96935576138,5687.96720897325,3818.10381542193,12969.1129568108,6372.29735398687,5194.87737512212,10673.8243261561,16208.6130793991,6372.29735398687,6071.79522141724,8814.47368964092,11381.1307880834,19030.0475696646,14519.0980148526,16208.6130793991,14071.8007986438,11755.0603845064,12592.5251171284,8814.47368964092,5292.76506939898,4264.78974533633,6372.29735398687,6071.79522141724,4700.81622837753,6242.55160387247,5412.02058138438
"CL 68:2"," [M-2H](2-)@7.68",12177.1928472267,15129.4839237294,10241.2889150012,11028.6904885808,6815.41497814529,7818.54857559949,19302.1112464844,9754.61316183831,9395.66994899383,9754.61316183831,9220.82713010208,8625.25146929395,7058.13048967822,5803.66164343117,18213.9992264873,9754.61316183831,6939.99498851855,9395.66994899383,10075.4593686747,9093.87970856546,20746.6150297789,16208.6130793991,20223.4292349347,8310.42259335373,11979.0763139976,25502.8161411351,7195.93766480019,17942.6912581263,11171.9478555076,10241.2889150012,7927.96935576138,9220.82713010208,15601.5695296592,13180.3502068322,12358.2645876077,14071.8007986438,12177.1928472267,16515.3439193926,13363.4445679901,13569.784100171,14519.0980148526,29420.0550852026,17507.9758197095,30879.424633017,14251.0994921284,17942.6912581263,18807.806355581,12177.1928472267,11979.0763139976,12751.153725333,11979.0763139976,8814.47368964092,11755.0603845064,8949.7948344467,11561.5719533692
"CL 68:3"," [M-2H](2-)@6.15",4383.59365387204,5412.02058138438,9220.82713010208,6372.29735398687,3637.67333924293,6648.90620544533,5928.85669735992,10075.4593686747,7340.04752523535,4383.59365387204,6939.99498851855,5928.85669735992,4073.49907820477,5292.76506939898,6071.79522141724,6486.19124158297,3361.27529169851,6071.79522141724,5928.85669735992,4613.18521493084,4383.59365387204,3161.69174191271,3732.48207701898,2773.91224205307,3266.55563709806,2965.18177246721,5928.85669735992,6939.99498851855,3637.67333924293,4383.59365387204,5292.76506939898,9395.66994899383,4184.69175041108,4613.18521493084,8949.7948344467,7927.96935576138,6815.41497814529,3818.10381542193,5292.76506939898,5412.02058138438,7340.04752523535,5561.4229882619,7195.93766480019,4264.78974533633,5928.85669735992,8441.74201884678,4700.81622837753,8949.7948344467,3956.27180614966,3458.07748400679,4508.39218302632,4508.39218302632,5412.02058138438,4613.18521493084,5803.66164343117
"CL 70:4"," [M-2H](2-)@6.66",1206.65163036771,549.57330418908,2668.09332669709,1987.2847168514,1373.23925325051,2313.84172956998,1045.87865918198,1568.52055271757,2668.09332669709,1206.65163036771,3266.55563709806,3818.10381542193,1810.10979448577,1373.23925325051,1206.65163036771,2313.84172956998,2313.84172956998,3161.69174191271,1890.33504103927,1568.52055271757,2773.91224205307,549.57330418908,1987.2847168514,1045.87865918198,1810.10979448577,1713.03307509823,1810.10979448577,2098.03097835884,2098.03097835884,1890.33504103927,845.850645225801,1568.52055271757,1045.87865918198,1045.87865918198,1373.23925325051,3458.07748400679,1568.52055271757,549.57330418908,1890.33504103927,1045.87865918198,1713.03307509823,3161.69174191271,3361.27529169851,3161.69174191271,845.850645225801,3059.62383423222,2098.03097835884,1713.03307509823,1568.52055271757,1713.03307509823,1206.65163036771,1890.33504103927,1890.33504103927,3637.67333924293,2421.56955059548
"CL 70:5"," [M-2H](2-)@6.05",28015.7074069478,47003.7793471147,78464.2237823794,25502.8161411351,29420.0550852026,57594.0541633889,28482.514167071,65687.9465094181,56431.8450899166,42088.4290996434,53149.726979024,53149.726979024,47956.0388727718,35088.6516005608,58992.9160693775,44959.177637981,22683.9534825369,63655.6787194194,38292.5297965228,49426.6205339038,12592.5251171284,39108.3406714006,30453.768698317,26664.9913337597,29964.1546712459,30879.424633017,37031.6151083174,31966.9144735463,27122.9843369021,33659.0022725129,49426.6205339038,42950.0723808611,25062.284156691,29964.1546712459,34322.6206274081,30453.768698317,23035.2848964181,28015.7074069478,23035.2848964181,28015.7074069478,37628.3782584958,16208.6130793991,19030.0475696646,25502.8161411351,29964.1546712459,34322.6206274081,25502.8161411351,41416.8562476669,28813.3682882116,28813.3682882116,35667.5435096764,38292.5297965228,49426.6205339038,35667.5435096764,33089.2200165463
"CL 72:4"," [M-2H](2-)@6.98",19862.4935558531,17942.6912581263,27529.3850202183,17942.6912581263,15601.5695296592,23035.2848964181,27122.9843369021,27529.3850202183,27529.3850202183,21811.9030810522,31966.9144735463,30879.424633017,21086.8526912281,23373.314098716,27122.9843369021,26313.9159310132,18213.9992264873,31473.6033999022,37031.6151083174,31473.6033999022,20514.1237999657,24616.4322783122,18807.806355581,27122.9843369021,23373.314098716,32541.3497288567,28482.514167071,37628.3782584958,29964.1546712459,19549.0215960337,25502.8161411351,26664.9913337597,21086.8526912281,27122.9843369021,15931.8586400006,36354.9159964298,22683.9534825369,25062.284156691,28015.7074069478,25925.7423747668,38292.5297965228,37628.3782584958,25502.8161411351,36354.9159964298,27122.9843369021,36354.9159964298,36354.9159964298,35667.5435096764,25062.284156691,26313.9159310132,22683.9534825369,22683.9534825369,24616.4322783122,24139.7853219615,16751.1926686631
"CL 74:5"," [M-2H](2-)@6.42",110471.618496811,110471.618496811,171723.685831767,92740.7642906418,110471.618496811,179588.806763646,130880.863713196,162570.298686561,152676.412220418,124855.216015847,152676.412220418,171723.685831767,145016.709992722,152676.412220418,145016.709992722,145016.709992722,124855.216015847,179588.806763646,130880.863713196,162570.298686561,124855.216015847,103388.286888888,152676.412220418,124855.216015847,130880.863713196,110471.618496811,119770.52509178,137437.325029733,162570.298686561,152676.412220418,145016.709992722,145016.709992722,110471.618496811,130880.863713196,78464.2237823794,130880.863713196,152676.412220418,119770.52509178,152676.412220418,110471.618496811,130880.863713196,70730.1969357087,78464.2237823794,99764.8783642799,114501.403857177,145016.709992722,171723.685831767,196405.97373739,119770.52509178,145016.709992722,137437.325029733,152676.412220418,145016.709992722,171723.685831767,145016.709992722
"CL 74:7"," [M-2H](2-)@5.99",53149.726979024,72964.2746570294,152676.412220418,54873.3666745243,85954.383529263,130880.863713196,124855.216015847,215478.758671877,103388.286888888,75321.2745069666,114501.403857177,106651.16926057,130880.863713196,119770.52509178,152676.412220418,152676.412220418,56431.8450899166,137437.325029733,85954.383529263,99764.8783642799,89112.4722176231,130880.863713196,106651.16926057,92740.7642906418,82608.8010967724,47956.0388727718,75321.2745069666,85954.383529263,124855.216015847,137437.325029733,179588.806763646,124855.216015847,89112.4722176231,85954.383529263,54873.3666745243,92740.7642906418,65687.9465094181,85954.383529263,106651.16926057,103388.286888888,82608.8010967724,57594.0541633889,54873.3666745243,78464.2237823794,99764.8783642799,110471.618496811,106651.16926057,106651.16926057,85954.383529263,70730.1969357087,106651.16926057,78464.2237823794,119770.52509178,110471.618496811,124855.216015847
