"Sample","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334","QC","QC.1","QC.2","QC.3","QC.4","QC.5","QC.6"
"CerP 44:2; [M+H]+@7.43",159510.921494059,249349.9543385,177378.456157861,262934.409024127,171136.182335375,199472.742024728,281192.863652447,139440.374509839,121471.51966599,171136.182335375,104090.919482063,117866.977681102,81449.0277045762,134306.796007648,190622.324347271,249349.9543385,139440.374509839,117866.977681102,139440.374509839,139440.374509839,262934.409024127,227051.026011725,159510.921494059,117866.977681102,184029.606908086,334764.905306531,212232.660522217,262934.409024127,171136.182335375,145887.157294554,145887.157294554,139440.374509839,150964.942365057,212232.660522217,262934.409024127,301137.914916468,349336.505786575,483347.455908846,227051.026011725,262934.409024127,317548.760513688,418549.407143566,399352.741034576,418549.407143566,301137.914916468,382729.005273053,460567.265636538,262934.409024127,262934.409024127,184029.606908086,177378.456157861,159510.921494059,139440.374509839,115070.968398203,145887.157294554
"DG 29:0; [M+NH4]+@5.41",400.502370768594,54.829263510246,241.935631038523,54.829263510246,122.617631415061,300.633994009659,241.935631038523,241.935631038523,54.829263510246,122.617631415061,122.617631415061,54.829263510246,54.829263510246,122.617631415061,122.617631415061,122.617631415061,122.617631415061,122.617631415061,241.935631038523,300.633994009659,54.829263510246,122.617631415061,122.617631415061,54.829263510246,122.617631415061,54.829263510246,54.829263510246,241.935631038523,54.829263510246,54.829263510246,400.502370768594,54.829263510246,54.829263510246,122.617631415061,54.829263510246,54.829263510246,54.829263510246,122.617631415061,467.979926103747,122.617631415061,400.502370768594,241.935631038523,300.633994009659,550.218683648402,122.617631415061,467.979926103747,122.617631415061,54.829263510246,122.617631415061,54.829263510246,122.617631415061,54.829263510246,122.617631415061,54.829263510246,122.617631415061
"DG 30:1; [M+NH4]+@6.96",1479.8791606692,7443.45383524768,400.502370768594,7521.44196042592,1366.40082076778,1763.1416266143,1916.8297425348,467.979926103747,2156.37942301987,3896.55084432167,2824.90569365922,1144.10739730656,781.688569825783,781.688569825783,550.218683648402,550.218683648402,2868.67679630882,3083.0621834923,2156.37942301987,2320.53770503878,1644.53154884249,2781.24650031333,1870.09942804688,1418.91822062694,2320.53770503878,3129.69971796825,4038.99551503691,7650.31919781937,1081.25945312114,1541.08910829682,241.935631038523,400.502370768594,4227.6771360103,3817.60194751852,11669.9680819941,4425.88407080927,781.688569825783,1418.91822062694,1821.37709910414,830.629705806644,6303.51102655984,4567.15900552582,3083.0621834923,8755.32397202284,1541.08910829682,1588.42050605797,1763.1416266143,2824.90569365922,1541.08910829682,1418.91822062694,1963.46854508245,1821.37709910414,1644.53154884249,2433.2690594929,2607.30390174855
"DG 30:2; [M+NH4]+@6.49",893.925910740501,2227.83847466196,1870.09942804688,5804.77285342986,1081.25945312114,729.589226984527,1479.8791606692,781.688569825783,3236.3323336149,5709.26815810453,3368.02432613006,1418.91822062694,1541.08910829682,1418.91822062694,1479.8791606692,4100.14813598772,4100.14813598772,3768.93424168295,2067.9050962259,2374.24151420868,4176.99837683462,2490.8093889003,3236.3323336149,1366.40082076778,2726.15351762138,4038.99551503691,2975.33648175349,9761.45001253696,1144.10739730656,2675.37538399767,1916.8297425348,4567.15900552582,5709.26815810453,2868.67679630882,13122.4901870354,2726.15351762138,1366.40082076778,1821.37709910414,2117.41134444901,1541.08910829682,10165.6694286606,3611.62470660732,2781.24650031333,6853.65228039922,1211.78807640315,2931.00125011162,2433.2690594929,2868.67679630882,3817.60194751852,1644.53154884249,4277.33128417099,3424.19677856288,2675.37538399767,2557.86154264857,3465.96257684991
"DG 32:0; [M+NH4]+@7.99",13622.674386754,26249.1555971962,14543.3204732565,41438.2234282091,11901.90028519,31442.2488365665,48946.973562115,13622.674386754,17574.2614698076,30998.7906852614,21701.6136049083,17574.2614698076,14543.3204732565,19597.2107659782,13984.4095312442,37070.3832857624,11901.90028519,18524.6320329948,25827.3562636203,16278.4409881048,67729.5447507206,43848.29694985,37070.3832857624,27642.6323399554,37829.2298220984,60911.4337591323,33357.6917264466,35687.5315995651,42890.1167258328,29070.8716162906,22426.4691104843,21701.6136049083,57697.3600365239,33357.6917264466,35687.5315995651,34456.8532031332,30567.0658287001,37070.3832857624,39693.2158278092,47712.353079771,33855.2150065753,89738.1247179249,50349.9660036893,71534.9288025654,44618.4280694884,40723.3977358019,81449.0277045762,35687.5315995651,33855.2150065753,37070.3832857624,39141.4854023907,43848.29694985,50349.9660036893,43848.29694985,48946.973562115
"DG 32:1; [M+NH4]+@7.54",19877.2411279776,25827.3562636203,17392.416406866,34456.8532031332,11073.8302538504,3312.08530063188,10708.3605223592,12424.5890532244,23252.0507061844,35687.5315995651,28171.2457107318,20812.672451651,9416.59510423303,15027.1406563997,12953.4281950997,31442.2488365665,25827.3562636203,15027.1406563997,12036.3041031809,19318.2717729633,12602.7594101332,18524.6320329948,24364.8481559943,10165.6694286606,14543.3204732565,13984.4095312442,19107.0742967328,39141.4854023907,9899.93580826725,16835.2401729163,8755.32397202284,16835.2401729163,31845.302971997,30098.7967820094,59352.6711444856,28612.7618329656,13433.7483605795,10871.1086945871,25566.3418233348,14543.3204732565,44618.4280694884,27642.6323399554,23633.1281659734,50349.9660036893,21701.6136049083,22426.4691104843,20266.5189456207,26756.59928707,16541.6503930982,15027.1406563997,19318.2717729633,15976.4417074473,19318.2717729633,20812.672451651,17957.4078630268
"DG 33:0; [M+NH4]+@8.26",2067.9050962259,5642.88961301532,1479.8791606692,6394.59740608442,2607.30390174855,4038.99551503691,8414.57584326696,2320.53770503878,2227.83847466196,5241.13631563334,4626.67166662418,3129.69971796825,3129.69971796825,2824.90569365922,1644.53154884249,5564.1832631553,2067.9050962259,3989.04839581373,3674.55999256227,2675.37538399767,9539.55120058464,5642.88961301532,5804.77285342986,3611.62470660732,6579.47330809975,12424.5890532244,3768.93424168295,5470.57429724871,5804.77285342986,5709.26815810453,4227.6771360103,3611.62470660732,10584.6427257966,5241.13631563334,4347.40300235404,8501.97187969049,4176.99837683462,5170.13709765077,6853.65228039922,4812.19203976419,4567.15900552582,7521.44196042592,13984.4095312442,13122.4901870354,7521.44196042592,4484.22061029023,13764.0908345176,7909.70070228872,5060.742726822,6214.74897190306,11073.8302538504,8306.27288841959,6214.74897190306,9899.93580826725,7443.45383524768
"DG 33:1; [M+NH4]+@7.81",2607.30390174855,2726.15351762138,1211.78807640315,3465.96257684991,2227.83847466196,2007.00597325142,550.218683648402,1418.91822062694,3989.04839581373,3236.3323336149,3030.36700834498,2007.00597325142,2433.2690594929,2156.37942301987,2067.9050962259,3768.93424168295,1479.8791606692,3129.69971796825,1479.8791606692,1541.08910829682,1261.3328379457,3768.93424168295,1963.46854508245,1705.5254904802,1541.08910829682,1763.1416266143,1821.37709910414,3129.69971796825,1588.42050605797,1418.91822062694,1870.09942804688,2227.83847466196,1644.53154884249,3465.96257684991,4227.6771360103,1963.46854508245,1963.46854508245,2067.9050962259,4100.14813598772,1916.8297425348,3719.24556497706,5241.13631563334,2227.83847466196,4038.99551503691,1012.87486111436,2320.53770503878,5060.742726822,2726.15351762138,1870.09942804688,1963.46854508245,1916.8297425348,2067.9050962259,1211.78807640315,1963.46854508245,1644.53154884249
"DG 33:3; [M+NH4]+@3.62",54.829263510246,664.964195031568,54.829263510246,122.617631415061,54.829263510246,122.617631415061,54.829263510246,54.829263510246,300.633994009659,54.829263510246,54.829263510246,400.502370768594,122.617631415061,54.829263510246,54.829263510246,54.829263510246,54.829263510246,54.829263510246,54.829263510246,122.617631415061,550.218683648402,54.829263510246,54.829263510246,122.617631415061,54.829263510246,122.617631415061,122.617631415061,54.829263510246,122.617631415061,550.218683648402,54.829263510246,122.617631415061,122.617631415061,54.829263510246,241.935631038523,122.617631415061,122.617631415061,54.829263510246,550.218683648402,54.829263510246,54.829263510246,122.617631415061,597.438130830255,54.829263510246,54.829263510246,122.617631415061,54.829263510246,122.617631415061,54.829263510246,122.617631415061,54.829263510246,122.617631415061,54.829263510246,400.502370768594,54.829263510246
"DG 34:0; [M+NH4]+@8.50",249349.9543385,738451.164603208,262934.409024127,981235.41875302,281192.863652447,981235.41875302,1234820.67653725,212232.660522217,334764.905306531,981235.41875302,399352.741034576,262934.409024127,249349.9543385,249349.9543385,227051.026011725,738451.164603208,212232.660522217,334764.905306531,738451.164603208,281192.863652447,1506748.41479677,738451.164603208,501264.134936585,790483.825317275,1112769.86069723,1885919.29891904,882924.435937889,981235.41875302,1112769.86069723,643967.830815935,643967.830815935,527378.320838548,1506748.41479677,738451.164603208,501264.134936585,882924.435937889,790483.825317275,882924.435937889,790483.825317275,790483.825317275,738451.164603208,2113876.57185155,1506748.41479677,2113876.57185155,1112769.86069723,790483.825317275,2113876.57185155,1112769.86069723,882924.435937889,1234820.67653725,1234820.67653725,1112769.86069723,1112769.86069723,1234820.67653725,1234820.67653725
