"Class","Carbon","Double_bond","Adduct","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334"
"DG","36","2"," [M+NH4]+@8.12",212232.660522217,301137.914916468,212232.660522217,399352.741034576,249349.9543385,262934.409024127,418549.407143566,249349.9543385,301137.914916468,399352.741034576,334764.905306531,227051.026011725,317548.760513688,262934.409024127,301137.914916468,790483.825317275,262934.409024127,227051.026011725,227051.026011725,212232.660522217,418549.407143566,460567.265636538,643967.830815935,281192.863652447,249349.9543385,171136.182335375,134306.796007648,399352.741034576,460567.265636538,418549.407143566,317548.760513688,418549.407143566,334764.905306531,317548.760513688,301137.914916468,262934.409024127,227051.026011725,262934.409024127,483347.455908846,317548.760513688,382729.005273053,262934.409024127,212232.660522217,527378.320838548,483347.455908846,460567.265636538,527378.320838548,527378.320838548
"DG","38","4"," [M+NH4]+@8.13",738451.164603208,527378.320838548,738451.164603208,501264.134936585,643967.830815935,882924.435937889,527378.320838548,882924.435937889,1506748.41479677,738451.164603208,643967.830815935,1234820.67653725,1506748.41479677,418549.407143566,643967.830815935,643967.830815935,1112769.86069723,882924.435937889,981235.41875302,882924.435937889,501264.134936585,334764.905306531,738451.164603208,882924.435937889,643967.830815935,738451.164603208,483347.455908846,643967.830815935,399352.741034576,738451.164603208,981235.41875302,981235.41875302,1112769.86069723,1112769.86069723,1112769.86069723,1112769.86069723,738451.164603208,738451.164603208,981235.41875302,738451.164603208,790483.825317275,501264.134936585,738451.164603208,738451.164603208,738451.164603208,501264.134936585,643967.830815935,643967.830815935
"DG","40","2"," [M+NH4]+@9.03",13122.4901870354,7255.06986852259,19877.2411279776,8306.27288841959,9899.93580826725,11901.90028519,6932.73372785614,15976.4417074473,14273.0395612304,8628.29676237836,9416.59510423303,12953.4281950997,10401.9637199263,7443.45383524768,8153.90939767922,8306.27288841959,7650.31919781937,6214.74897190306,9146.55825922703,8755.32397202284,2781.24650031333,3368.02432613006,6476.05039304402,6853.65228039922,6031.35248547829,5709.26815810453,7336.89093972719,7255.06986852259,4227.6771360103,5328.57750433796,10401.9637199263,9416.59510423303,11901.90028519,7761.56073148846,7761.56073148846,5060.742726822,9899.93580826725,5804.77285342986,9761.45001253696,8892.25825710858,7521.44196042592,6031.35248547829,6932.73372785614,4681.73387176678,8414.57584326696,4812.19203976419,4176.99837683462,6692.01843259977
"DG","36","0"," [M+NH4]+@8.93",3852004.52864112,2755533.31492809,3459568.70113759,5699105.41038844,3852004.52864112,5699105.41038844,4554541.67677882,4554541.67677882,2755533.31492809,5699105.41038844,4554541.67677882,2113876.57185155,3459568.70113759,4554541.67677882,3852004.52864112,5699105.41038844,2113876.57185155,3852004.52864112,3459568.70113759,3459568.70113759,5699105.41038844,5699105.41038844,4749237.54018997,2113876.57185155,5699105.41038844,5699105.41038844,5699105.41038844,5699105.41038844,4554541.67677882,5699105.41038844,4554541.67677882,5699105.41038844,5699105.41038844,5699105.41038844,5699105.41038844,5699105.41038844,5699105.41038844,3852004.52864112,5699105.41038844,5699105.41038844,5699105.41038844,5699105.41038844,5699105.41038844,5699105.41038844,4554541.67677882,5699105.41038844,5699105.41038844,4554541.67677882
"DG","36","4"," [M+NH4]+@7.50",53213.455248384,32759.5566592425,48946.973562115,64255.024265003,47712.353079771,45700.5340760607,31442.2488365665,50349.9660036893,81449.0277045762,38502.1757732035,37070.3832857624,73860.6129032848,84641.5328138281,33855.2150065753,67729.5447507206,78694.4983954365,67729.5447507206,62677.1321799159,46717.1235449292,62677.1321799159,36296.6832188317,78694.4983954365,115070.968398203,30567.0658287001,41438.2234282091,28612.7618329656,34456.8532031332,62677.1321799159,43848.29694985,84641.5328138281,43848.29694985,43848.29694985,78694.4983954365,71534.9288025654,75897.8002485659,75897.8002485659,50349.9660036893,89738.1247179249,64255.024265003,56627.3693233835,55093.0072476975,41438.2234282091,60911.4337591323,73860.6129032848,57697.3600365239,39141.4854023907,60911.4337591323,64255.024265003
"DG","34","0"," [M+NH4]+@8.50",249349.9543385,738451.164603208,262934.409024127,981235.41875302,281192.863652447,981235.41875302,1234820.67653725,212232.660522217,334764.905306531,981235.41875302,399352.741034576,262934.409024127,249349.9543385,249349.9543385,227051.026011725,738451.164603208,212232.660522217,334764.905306531,738451.164603208,281192.863652447,1506748.41479677,738451.164603208,501264.134936585,790483.825317275,1112769.86069723,1885919.29891904,882924.435937889,981235.41875302,1112769.86069723,643967.830815935,643967.830815935,527378.320838548,1506748.41479677,738451.164603208,501264.134936585,882924.435937889,790483.825317275,882924.435937889,790483.825317275,790483.825317275,738451.164603208,2113876.57185155,1506748.41479677,2113876.57185155,1112769.86069723,790483.825317275,2113876.57185155,1112769.86069723
"DG","35","1"," [M+NH4]+@8.27",8755.32397202284,2781.24650031333,8628.29676237836,6767.31128303579,7761.56073148846,9250.23511778647,7014.06656003568,7443.45383524768,9761.45001253696,9761.45001253696,7255.06986852259,10025.0998675436,10165.6694286606,8414.57584326696,7650.31919781937,12765.0149216246,7255.06986852259,9250.23511778647,7443.45383524768,7255.06986852259,5881.88540760956,7443.45383524768,9539.55120058464,8414.57584326696,3896.55084432167,5804.77285342986,3030.36700834498,5642.88961301532,5956.97028339901,6767.31128303579,7255.06986852259,7761.56073148846,15776.9599027708,9899.93580826725,10165.6694286606,8414.57584326696,6853.65228039922,6853.65228039922,17160.2916295025,7992.42248318314,9025.33851411094,5881.88540760956,7443.45383524768,11669.9680819941,10401.9637199263,6692.01843259977,11073.8302538504,11669.9680819941
"DG","32","1"," [M+NH4]+@7.54",19877.2411279776,25827.3562636203,17392.416406866,34456.8532031332,11073.8302538504,3312.08530063188,10708.3605223592,12424.5890532244,23252.0507061844,35687.5315995651,28171.2457107318,20812.672451651,9416.59510423303,15027.1406563997,12953.4281950997,31442.2488365665,25827.3562636203,15027.1406563997,12036.3041031809,19318.2717729633,12602.7594101332,18524.6320329948,24364.8481559943,10165.6694286606,14543.3204732565,13984.4095312442,19107.0742967328,39141.4854023907,9899.93580826725,16835.2401729163,8755.32397202284,16835.2401729163,31845.302971997,30098.7967820094,59352.6711444856,28612.7618329656,13433.7483605795,10871.1086945871,25566.3418233348,14543.3204732565,44618.4280694884,27642.6323399554,23633.1281659734,50349.9660036893,21701.6136049083,22426.4691104843,20266.5189456207,26756.59928707
"DG","42","2"," [M+NH4]+@9.39",34456.8532031332,15776.9599027708,33855.2150065753,15544.6092995382,30998.7906852614,41438.2234282091,12765.0149216246,34456.8532031332,26756.59928707,12424.5890532244,16835.2401729163,33855.2150065753,30567.0658287001,22048.5671389104,32362.2856604165,16541.6503930982,32362.2856604165,30998.7906852614,18524.6320329948,30098.7967820094,12191.6102211143,10871.1086945871,17574.2614698076,13622.674386754,16835.2401729163,16835.2401729163,18761.9872683988,12191.6102211143,17574.2614698076,22048.5671389104,27140.0555033059,24364.8481559943,22426.4691104843,23964.2018715607,19877.2411279776,20812.672451651,20266.5189456207,17160.2916295025,22426.4691104843,20266.5189456207,13764.0908345176,11669.9680819941,17160.2916295025,10871.1086945871,20499.2304299225,12191.6102211143,14273.0395612304,17392.416406866
"DG","40","5"," [M+NH4]+@8.25",9539.55120058464,7014.06656003568,11669.9680819941,8501.97187969049,9761.45001253696,12424.5890532244,7255.06986852259,9146.55825922703,18265.904885922,11073.8302538504,10025.0998675436,12036.3041031809,18761.9872683988,6129.8949135152,8755.32397202284,8414.57584326696,13764.0908345176,13122.4901870354,13433.7483605795,11220.6903621017,8755.32397202284,8755.32397202284,10165.6694286606,9899.93580826725,7147.95040523972,7650.31919781937,10708.3605223592,9146.55825922703,7443.45383524768,7443.45383524768,11400.689235685,15027.1406563997,10708.3605223592,12602.7594101332,8501.97187969049,11073.8302538504,4626.67166662418,11073.8302538504,13433.7483605795,9250.23511778647,7650.31919781937,4812.19203976419,12765.0149216246,7147.95040523972,6303.51102655984,7650.31919781937,7147.95040523972,11220.6903621017
"DG","40","1"," [M+NH4]+@9.37",48946.973562115,17574.2614698076,39693.2158278092,22048.5671389104,39693.2158278092,42890.1167258328,15544.6092995382,45700.5340760607,39141.4854023907,18761.9872683988,23633.1281659734,44618.4280694884,43848.29694985,24364.8481559943,39141.4854023907,27140.0555033059,47712.353079771,35687.5315995651,27642.6323399554,34456.8532031332,12953.4281950997,17160.2916295025,20499.2304299225,22917.9249741881,20499.2304299225,22426.4691104843,22048.5671389104,19318.2717729633,24364.8481559943,25566.3418233348,35058.1582150506,30098.7967820094,33855.2150065753,40723.3977358019,35058.1582150506,35058.1582150506,35687.5315995651,28171.2457107318,33357.6917264466,37829.2298220984,30098.7967820094,26756.59928707,39141.4854023907,20499.2304299225,29551.3434109173,23964.2018715607,25827.3562636203,28171.2457107318
"DG","36","1"," [M+NH4]+@8.53",227051.026011725,184029.606908086,249349.9543385,227051.026011725,212232.660522217,349336.505786575,249349.9543385,199472.742024728,399352.741034576,262934.409024127,212232.660522217,249349.9543385,262934.409024127,177378.456157861,212232.660522217,227051.026011725,227051.026011725,249349.9543385,281192.863652447,249349.9543385,281192.863652447,145887.157294554,199472.742024728,199472.742024728,262934.409024127,317548.760513688,145887.157294554,190622.324347271,184029.606908086,199472.742024728,212232.660522217,190622.324347271,382729.005273053,249349.9543385,227051.026011725,281192.863652447,150964.942365057,190622.324347271,281192.863652447,177378.456157861,262934.409024127,249349.9543385,349336.505786575,301137.914916468,262934.409024127,212232.660522217,382729.005273053,281192.863652447
"DG","35","0"," [M+NH4]+@8.75",17957.4078630268,27642.6323399554,12036.3041031809,32759.5566592425,17957.4078630268,26249.1555971962,40723.3977358019,15283.1046805948,10401.9637199263,17574.2614698076,13622.674386754,10871.1086945871,16278.4409881048,17160.2916295025,12191.6102211143,21130.2726736133,11400.689235685,12036.3041031809,20499.2304299225,7336.89093972719,43848.29694985,29551.3434109173,22917.9249741881,13984.4095312442,32759.5566592425,50349.9660036893,20266.5189456207,22917.9249741881,33357.6917264466,20812.672451651,20499.2304299225,16278.4409881048,35687.5315995651,23252.0507061844,23633.1281659734,35687.5315995651,32759.5566592425,34456.8532031332,30567.0658287001,32362.2856604165,25566.3418233348,78694.4983954365,56627.3693233835,51683.3040683137,32759.5566592425,33855.2150065753,57697.3600365239,33855.2150065753
