"Sample","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218"
"CE 16_1",3793.73605084512,2039.71323146747,3681.18608394247,3509.81797920138,3980.09283918553,5095.39148358637,3947.68276337239,2633.70282567467
"CE 16_2",251.43706519062,223.545293198864,223.545293198864,283.927080665847,1294.782669757,468.12906795181,488.550869887022,544.522375388823
"CE 16_0",2724.5793195552,3296.42027279908,2347.1043421304,2510.72455565872,2969.9778247057,2510.72455565872,2057.41867699427,2664.79874083962
"CE 22_6",6370.12295766941,4780.75993694419,7989.04291578823,3947.68276337239,5370.9411307013,3915.41370986772,2362.98400548809,5413.99020214328
"CE 18_2",21891.214775356,27279.5745919317,19627.1270103753,17417.3638930097,24300.2153389872,21281.716105718,21891.214775356,22122.286032615
"CE 18_1",32319.1975117992,46764.7572681307,34130.6693822138,30329.2354079651,58522.2469545577,36614.4026570515,31286.7108140912,32877.522425997
"DG 34_2",4548799.77765387,4357197.78400929,5570843.99885273,4548799.77765387,4548799.77765387,5268696.54947492,4879775.52485589,3940207.45922362
"DG 36_3",3241192.62060232,2519262.74101024,2745991.01928605,2745991.01928605,3354188.31645269,3630410.70849431,3630410.70849431,2417071.8535538
"DG 40_5",71095.2014850835,203605.199452851,104241.280521005,44779.6960547522,89054.874745338,72698.9541535975,77939.4761919844,112611.025065258
"DG 42_9",7238.96136822344,23405.7501917733,9457.06140130954,8154.35757026881,11012.8127589136,5588.00734598558,10043.2766494492,10277.655315727
"DG 40_8",138838.766552366,274042.873629878,165049.156497165,209728.588613599,147639.332734624,104241.280521005,129757.033367477,146684.209558101
"DG 40_4",12595.2879669237,23183.7528204903,16254.5599799933,11275.622571761,10043.2766494492,13510.288389398,21716.9374580112,12774.047051995
"DG 44_11",12774.047051995,19842.3013124,18281.2092683311,13510.288389398,18173.1943736526,18415.4383711671,13968.6818038262,16254.5599799933
