"Sample","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309"
"CE 16_1",11012.8127589136,2292.51319700275,2153.55732639854,3793.73605084512,4104.47432342739,1666.51494721697,782.544456556459,1368.90333501256
"CE 16_2",512.224221536547,172.875667470148,172.875667470148,172.875667470148,172.875667470148,223.545293198864,223.545293198864,512.224221536547
"CE 16_0",14129.1047476765,3947.68276337239,4064.43123530729,5004.0916647346,7486.03814800902,2684.16899592295,2969.9778247057,3980.09283918553
"CE 22_6",8154.35757026881,3137.22308896939,3114.51201113667,1796.44019095061,1796.44019095061,2724.5793195552,3681.18608394247,3296.42027279908
"CE 18_2",111158.332499694,11133.2459059991,22554.6299610122,11850.8956648633,21716.9374580112,31834.6772680668,19734.4956973106,32628.5052858994
"CE 18_1",178098.597961836,44024.0922561105,50170.3769829691,40164.9571390481,64931.7923032862,42683.5292181251,31586.1301321739,40530.7723909027
"DG 34_2",3940207.45922362,5570843.99885273,3940207.45922362,6319225.94346054,4548799.77765387,3581928.81366308,3861215.29778433,4548799.77765387
"DG 36_3",3354188.31645269,4152883.96004135,4152883.96004135,3861215.29778433,6319225.94346054,1273086.0311756,1509678.80795524,3471770.91700051
"DG 40_5",89829.9594643393,239649.141858628,236098.534861412,184394.056512352,246780.912515554,117151.06355283,104241.280521005,117151.06355283
"DG 42_9",13083.5577641879,42683.5292181251,41040.9749646158,37024.2216409409,72698.9541535975,11363.6719494148,15441.3314525348,17647.5742413616
"DG 40_8",263009.855006669,493331.907936879,538169.051634409,219895.798058679,893324.137877715,119146.889017984,161913.223851172,439588.312701574
"DG 40_4",17417.3638930097,44779.6960547522,47727.9679118561,41371.2783282,45318.3935503201,23183.7528204903,22358.7957710269,24300.2153389872
"DG 44_11",19627.1270103753,21499.8675767849,25526.2930323481,17417.3638930097,34130.6693822138,12595.2879669237,13510.288389398,18050.1628732226
"DG 36_1",119146.889017984,263009.855006669,475072.255866054,336287.778342442,550866.251529508,114611.226029598,125864.35974696,146684.209558101
"DG 38_4",599896.791424396,964464.234241768,878367.997553723,853748.211860832,1246812.17963396,681473.03166621,609282.213714687,575066.696026512
"DG 34_0",19842.3013124,47727.9679118561,39865.0783604276,63912.7748038651,46295.5868290625,22833.0337552682,33583.9252853003,19986.3389730458
"DG 36_2",3241192.62060232,4879775.52485589,5838334.37089802,5268696.54947492,5838334.37089802,2417071.8535538,2745991.01928605,3581928.81366308
"DG 42_7",33583.9252853003,101195.44502001,102499.731965587,102499.731965587,147639.332734624,35944.0614955863,33158.4929006148,39345.2861958027
"DG 38_7",27279.5745919317,56266.2557345703,44024.0922561105,64931.7923032862,95091.3174870818,14696.9302536588,21000.2609012931,20472.7100910555
"DG 42_10",8723.0067720296,17647.5742413616,16254.5599799933,15941.6762991514,25295.5130480684,5095.39148358637,8513.7481196235,13339.4186942186
"DG 38_2",159807.161182971,283900.147748847,388549.653473836,388549.653473836,498921.355512567,135773.332899154,149475.507196352,203605.199452851
"DG 36_4",3738273.8547349,3127646.13736274,3471770.91700051,1772184.27558777,4152883.96004135,1344746.17238693,2006486.5564712,3354188.31645269
"DG 32_0",52125.4570300496,203605.199452851,151525.528020157,263009.855006669,178098.597961836,43168.2229758679,79042.4947477102,50170.3769829691
"DG 40_6",255176.613725738,250662.54663703,294471.614786708,297147.382170884,616746.36040637,83607.4237730397,85119.4370989657,324367.258046751
"DG 34_3",639095.094773155,1220538.32809233,976513.466727858,1034506.77533707,2361033.38820366,312313.446709965,463279.810590199,639095.094773155
"DG 34_5",9082.4888278898,8298.33160095459,6420.40335731058,6131.99802999944,18653.8622896869,3190.39601988978,5246.73262411114,9252.29667955813
"DG 32_2",41371.2783282,62697.4706732821,68377.4265053067,68377.4265053067,102499.731965587,21891.214775356,30670.7043265908,45318.3935503201
"DG 40_7",743475.798229849,2105833.86715036,1772184.27558777,1273086.0311756,2306544.70134524,593680.372546821,593680.372546821,1034506.77533707
"DG 32_1",127762.761999658,475072.255866054,324367.258046751,550866.251529508,388549.653473836,85119.4370989657,154467.700290747,197258.633944881
"DG 38_3",182013.062898843,508954.688689991,528928.358604734,312313.446709965,639095.094773155,174653.851017311,135773.332899154,297147.382170884
"DG 42_5",5370.9411307013,11619.1247947076,12595.2879669237,12635.7637753574,13681.1088522039,6420.40335731058,4016.36413085536,7149.98832484369
"DG 42_8",29275.2218724974,55268.5982785574,72698.9541535975,53942.0594615606,68377.4265053067,38254.2056444587,32319.1975117992,44779.6960547522
"DG 44_10",16434.8192218106,33583.9252853003,38794.2625867384,37622.2355018158,42683.5292181251,15759.6582710285,18050.1628732226,16434.8192218106
"DG 26_2",893.949083022708,604.512858606365,1107.56407097716,1160.42517823827,1433.12521682734,893.949083022708,562.188632767996,3041.7934725039
"DG 32_3",7188.74804537574,4520.52712664271,5641.91454082801,5858.54372244989,8389.90272731045,2734.92864144503,3576.13659047438,7238.96136822344
"DG 36_5",161913.223851172,144037.791465528,146684.209558101,119146.889017984,230335.205077582,69075.0141810134,61881.1508715951,136485.38936018
"DG 38_5",550866.251529508,828167.217423425,743475.798229849,743475.798229849,1070383.96283891,568689.760447028,625636.822827445,773996.423332135
"DG 40_3",28375.8745004672,24103.5313144553,34869.4934917118,27279.5745919317,40164.9571390481,31586.1301321739,22833.0337552682,33583.9252853003
"DG 34_4",21281.716105718,20312.1753037811,20649.6422341141,23696.9896538028,30050.1632857825,8513.7481196235,17914.6728062189,31286.7108140912
"DG 38_1",27988.8581754784,39865.0783604276,37880.7574159998,42289.2103262086,71095.2014850835,26507.7173171222,39865.0783604276,35944.0614955863
"DG 30_0",7006.97272119885,12595.2879669237,11057.8169252351,19842.3013124,16117.4974673831,3862.93590767801,6811.53938918706,4596.3214433127
"DG 40_2",15185.1170197429,17914.6728062189,17914.6728062189,18812.488512923,28375.8745004672,19842.3013124,20132.9424723763,20649.6422341141
"DG 42_6",14354.0048367405,36276.3300613752,41648.3585519013,30940.6936529974,39345.2861958027,14354.0048367405,9015.61809485474,17063.1665377589
"DG 36_0",6370.12295766941,10827.3663226472,7913.38091911515,11766.433221824,11012.8127589136,6704.6400958362,8298.33160095459,5696.39136030385
"DG 42_2",2510.72455565872,2137.90127913935,2986.72547879943,1776.60150112924,3421.90257155507,4251.26451468607,3698.46239328225,3487.41852007017
"DG 40_1",4977.01692965908,4375.30349670509,5246.73262411114,3698.46239328225,5339.89556407679,7596.55931957331,6841.56958640409,6537.23053843069
"DG 38_6",828167.217423425,2417071.8535538,2006486.5564712,3127646.13736274,3940207.45922362,559311.052346091,863411.857229731,1070383.96283891
"DG 36_6",20312.1753037811,10651.4909074882,13339.4186942186,10043.2766494492,20132.9424723763,4942.01514868249,11463.9837683774,14852.7118496099
"DG 44_9",4942.01514868249,6370.12295766941,10217.7567972871,9640.2457246382,10217.7567972871,2396.60695986736,2111.16915565378,1966.56407740869
"DG 30_2",4331.75192124648,2941.20182745196,1966.56407740869,2463.85235090243,4297.32765293452,1713.15670890654,1666.51494721697,4714.57132214172
"DG 30_3",3089.07011504683,853.57897892234,1870.8452708952,1187.46186529535,2126.78304823275,1160.42517823827,821.027429908824,2422.58127522665
"DG 38_0",2240.20328686215,997.628592971291,1556.38587675031,2986.72547879943,1256.08208159224,1393.33289572531,2222.78484828685,893.949083022708
"DG 30_1",1501.14260139955,2724.5793195552,3089.07011504683,5164.46357938691,3862.93590767801,544.522375388823,1368.90333501256,3061.73304483105
"DG 42_3",2537.35150865498,2072.40265456603,2549.9478142938,2446.63542175239,2724.5793195552,3698.46239328225,2039.71323146747,3509.81797920138
"DG 32_6",1210.96009800957,681.870895512177,681.870895512177,1279.04801721954,1990.50457950183,488.550869887022,1730.47750624051,2868.05496409185
"DG 26_1",1019.81290876325,362.637362261131,587.828837963357,324.751165357629,535.373865591017,1043.86007020296,922.188627786189,283.927080665847
"DG 28_2",2850.89184530722,1596.21239451326,1279.04801721954,2111.16915565378,2633.70282567467,661.701726194008,1340.42363876208,3137.22308896939
"DG 40_9",3947.68276337239,5095.39148358637,6537.23053843069,4780.75993694419,10956.5558441073,1810.23191887863,2912.05931400908,5061.32673980389
"DG 44_8",3041.7934725039,7238.96136822344,7149.98832484369,2850.89184530722,6064.23020432577,853.57897892234,2292.51319700275,2510.72455565872
"DG 44_6",1870.8452708952,1990.50457950183,1810.23191887863,2801.83256587401,2153.55732639854,681.870895512177,1934.98229291972,2266.5747589312
"DG 42_1",223.545293198864,801.32014527493,1294.782669757,1131.52388753819,1160.42517823827,2664.79874083962,1481.60246230716,821.027429908824
"lysoPC 18_1",388549.653473836,568689.760447028,668899.818579714,541996.314239799,428208.362204687,647113.793806319,639095.094773155,593680.372546821
"lysoPC 18_3",16117.4974673831,15185.1170197429,21499.8675767849,11463.9837683774,14354.0048367405,27279.5745919317,27988.8581754784,33158.4929006148
"lysoPC 16_0",3127646.13736274,3471770.91700051,3630410.70849431,2745991.01928605,2105833.86715036,4152883.96004135,3940207.45922362,3940207.45922362
"lysoPC 18_2",541996.314239799,559311.052346091,773996.423332135,517475.075117045,612451.217127404,1070383.96283891,952415.001755678,1344746.17238693
"lysoPC 16_1",38794.2625867384,43168.2229758679,46764.7572681307,30670.7043265908,26507.7173171222,46764.7572681307,41040.9749646158,43516.6518434638
"lysoPC 22_6",297147.382170884,606113.21030197,720459.261598743,528928.358604734,606113.21030197,493331.907936879,559311.052346091,616746.36040637
"lysoPC 20_1",4727.57626417868,14048.8932757514,18733.175401305,8482.38414500732,12144.3830417131,9119.93184142442,7049.72688077823,9512.13294931209
"lysoPC 18_0",2596807.49799822,3738273.8547349,4879775.52485589,3738273.8547349,3241192.62060232,5268696.54947492,5838334.37089802,4152883.96004135
"lysoPC 20_3",21499.8675767849,104241.280521005,154467.700290747,86390.6868003689,129757.033367477,82430.4668837162,96776.1655260265,155985.897132277
"lysoPC 14_0",3213.95288849175,3250.01598520178,3150.94665301451,2724.5793195552,2801.83256587401,4561.97948587872,3296.42027279908,3793.73605084512
"lysoPC 20_4",399638.407278493,1034506.77533707,1300876.63591984,773996.423332135,844084.566491932,1126925.96936975,976513.466727858,952415.001755678
"lysoPC 20_0",30329.2354079651,41040.9749646158,45693.0241821957,36614.4026570515,33583.9252853003,131330.344833363,141691.439941726,81047.2777540216
"lysoPC 20_2",9252.29667955813,19402.2718164687,26785.0806580441,14996.1771760577,13083.5577641879,30329.2354079651,27559.8037176293,27279.5745919317
"lysoPC 24_0",10651.4909074882,15941.6762991514,15185.1170197429,13180.8142668834,11363.6719494148,25038.7220317533,18173.1943736526,13794.9987875219
"lysoPC 22_0",7679.39019365722,7351.88585211156,8813.69018530194,8154.35757026881,7188.74804537574,17417.3638930097,16434.8192218106,13180.8142668834
"lysoPC 22_4",6064.23020432577,9407.2863116555,14696.9302536588,9305.37965226405,7596.55931957331,11133.2459059991,12774.047051995,11363.6719494148
"lysoPC 26_1",922.188627786189,782.544456556459,893.949083022708,801.32014527493,661.701726194008,587.828837963357,754.802255867638,562.188632767996
"lysoPC 24_1",2153.55732639854,1934.98229291972,2178.42247754476,2684.16899592295,2101.85438883992,3760.1105090174,3213.95288849175,2329.66083760412
"lysoPC 22_1",324.751165357629,223.545293198864,362.637362261131,223.545293198864,251.43706519062,251.43706519062,468.12906795181,401.357430113191
"lysoPC 24_4",544.522375388823,821.027429908824,1131.52388753819,1083.11737226478,544.522375388823,709.834246840461,441.681076871718,544.522375388823
"lysoPE 20_4",112611.025065258,197258.633944881,300594.491324654,122038.914022224,184394.056512352,203605.199452851,187207.809750757,230335.205077582
"lysoPE 18_0",19402.2718164687,34869.4934917118,52125.4570300496,18415.4383711671,40530.7723909027,16117.4974673831,20786.3918220843,22554.6299610122
"lysoPE 18_1",82430.4668837162,131330.344833363,178098.597961836,99853.8759968656,108259.564861215,109779.628932065,159807.161182971,144037.791465528
"lysoPE 22_6",64347.7833401961,115924.669786895,167284.443858467,83607.4237730397,90872.1535862592,72698.9541535975,81047.2777540216,109779.628932065
"lysoPE 18_2",25526.2930323481,18281.2092683311,32877.522425997,10651.4909074882,20312.1753037811,36276.3300613752,37236.1889931239,41648.3585519013
"lysoPE 16_0",133578.194443024,174653.851017311,197258.633944881,147639.332734624,135773.332899154,147639.332734624,224515.234726437,171549.19389106
"lysoPE 20_0",3114.51201113667,3369.68378296375,4194.80605188399,3017.81609681193,3681.18608394247,5696.39136030385,11619.1247947076,7296.91110402939
"lysoPE 20_5",1160.42517823827,1840.33635477347,2111.16915565378,729.635614895388,2039.71323146747,1556.38587675031,1776.60150112924,2153.55732639854
"lysoPE 16_1",4016.36413085536,3190.39601988978,3017.81609681193,2707.36013913356,2222.78484828685,3089.07011504683,2734.92864144503,3348.80427639111
"lysoPE 20_1",2446.63542175239,4780.75993694419,6302.67907815243,3421.90257155507,3393.37782830152,5061.32673980389,5500.96461854484,5858.54372244989
"lysoPE 18_3",1317.34897814317,729.635614895388,821.027429908824,562.188632767996,1019.81290876325,1083.11737226478,1279.04801721954,1810.23191887863
"lysoPE 22_4",3326.11617920981,3114.51201113667,4449.80068863028,3190.39601988978,3150.94665301451,3653.12836411614,2510.72455565872,2463.85235090243
"lysoPE 20_2",1481.60246230716,2868.05496409185,3369.68378296375,1730.47750624051,1699.64212798452,2510.72455565872,2664.79874083962,2178.42247754476
"MG 18_1",15941.6762991514,32319.1975117992,53942.0594615606,33772.9731062559,22358.7957710269,27988.8581754784,23696.9896538028,36614.4026570515
"MG 18_2",12023.0136743158,12635.7637753574,18948.9796782094,12960.1580578633,11524.5059639606,14544.4548822239,11707.0603577913,19153.5206912724
"MG 16_0",3538.48345389949,5500.96461854484,9901.71460703127,5753.94456184644,5246.73262411114,4449.80068863028,4875.8041486049,7351.88585211156
"MG 20_4",4352.74720008174,5753.94456184644,7989.04291578823,9082.4888278898,4651.07417388974,11463.9837683774,10518.6905312509,12774.047051995
"MG 18_0",2101.85438883992,2422.58127522665,3061.73304483105,1966.56407740869,2463.85235090243,2111.16915565378,2446.63542175239,3421.90257155507
"MG 22_4",821.027429908824,1638.48253188433,2565.04978497635,2898.12549182328,1393.33289572531,1796.44019095061,1556.38587675031,922.188627786189
"MG 18_4",2969.9778247057,1235.15002263905,754.802255867638,2018.09652912973,997.628592971291,2347.1043421304,2329.66083760412,1433.12521682734
"MG 20_2",172.875667470148,1279.04801721954,1256.08208159224,1368.90333501256,604.512858606365,1210.96009800957,488.550869887022,801.32014527493
"MG 16_1",639.648945546397,1730.47750624051,782.544456556459,1666.51494721697,1235.15002263905,729.635614895388,535.373865591017,997.628592971291
"PC 34_3",7427774.99633669,7427774.99633669,7427774.99633669,7427774.99633669,5570843.99885273,6319225.94346054,7427774.99633669,7427774.99633669
"PC 38_7",2262226.30154771,2519262.74101024,2596807.49799822,2306544.70134524,1509678.80795524,2745991.01928605,1034506.77533707,2105833.86715036
"PC 34_4",508954.688689991,541996.314239799,568689.760447028,508954.688689991,456109.61713212,952415.001755678,541996.314239799,559311.052346091
"PC 36_1",3861215.29778433,3861215.29778433,4357197.78400929,4879775.52485589,3738273.8547349,5570843.99885273,4357197.78400929,4357197.78400929
"PC 44_12",13510.288389398,16742.6095476278,14544.4548822239,11133.2459059991,14544.4548822239,39865.0783604276,24565.479577935,30050.1632857825
"PC 32_0",2678086.71346041,3241192.62060232,2745991.01928605,2876646.96950745,2745991.01928605,3127646.13736274,3471770.91700051,3241192.62060232
"PC 40_8",863411.857229731,1415950.67866297,1273086.0311756,1126925.96936975,1126925.96936975,2519262.74101024,2174210.99429714,2174210.99429714
"PC 36_2",5838334.37089802,5268696.54947492,5570843.99885273,4357197.78400929,4879775.52485589,7427774.99633669,6319225.94346054,6319225.94346054
"PC 36_3",4548799.77765387,6319225.94346054,6319225.94346054,5570843.99885273,5268696.54947492,5838334.37089802,5570843.99885273,5838334.37089802
"PC 40_5",236098.534861412,412431.667696579,187207.809750757,475072.255866054,263009.855006669,336287.778342442,412431.667696579,294471.614786708
"PC 32_2",559311.052346091,463279.810590199,498921.355512567,428208.362204687,420031.33529828,863411.857229731,550866.251529508,743475.798229849
"PC 38_5",2174210.99429714,3581928.81366308,3127646.13736274,3241192.62060232,2678086.71346041,3241192.62060232,3127646.13736274,2678086.71346041
"PC 40_6",2876646.96950745,2596807.49799822,2417071.8535538,2105833.86715036,2596807.49799822,2678086.71346041,2876646.96950745,2876646.96950745
