"Sample","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243"
"CE 16_1",4375.30349670509,5588.00734598558,4740.58120621564,4046.41168477418,4816.92661576776,3509.81797920138,6204.20539970562,38254.2056444587
"CE 16_2",223.545293198864,587.828837963357,401.357430113191,468.12906795181,535.373865591017,223.545293198864,853.57897892234,401.357430113191
"CE 16_0",2111.16915565378,2664.79874083962,2510.72455565872,3460.63880356535,2749.44358075053,2707.36013913356,3326.11617920981,6004.09932241579
"CE 22_6",4780.75993694419,2153.55732639854,3190.39601988978,2831.78157646371,3793.73605084512,1317.34897814317,1713.15670890654,7679.39019365722
"CE 18_2",24103.5313144553,9640.2457246382,12483.9920387019,12265.7524091103,16117.4974673831,11427.4024649282,12774.047051995,40164.9571390481
"CE 18_1",33772.9731062559,45318.3935503201,50916.1746091036,47727.9679118561,50916.1746091036,39345.2861958027,42289.2103262086,263009.855006669
"DG 34_2",3940207.45922362,6319225.94346054,5570843.99885273,4548799.77765387,4548799.77765387,5268696.54947492,5268696.54947492,4879775.52485589
"DG 36_3",2006486.5564712,3940207.45922362,3630410.70849431,3241192.62060232,2876646.96950745,3241192.62060232,2174210.99429714,2745991.01928605
"DG 40_5",52956.3951662452,90872.1535862592,108259.564861215,109779.628932065,117151.06355283,131330.344833363,52125.4570300496,62697.4706732821
"DG 42_9",3681.18608394247,31834.6772680668,20649.6422341141,16434.8192218106,18415.4383711671,14544.4548822239,9015.61809485474,11463.9837683774
"DG 40_8",50916.1746091036,184394.056512352,255176.613725738,219895.798058679,255176.613725738,216701.615215464,98929.1672032851,99853.8759968656
"DG 40_4",11275.622571761,50170.3769829691,32628.5052858994,31286.7108140912,25295.5130480684,24103.5313144553,14544.4548822239,23183.7528204903
"DG 44_11",17063.1665377589,15941.6762991514,19986.3389730458,12635.7637753574,19627.1270103753,17417.3638930097,18173.1943736526,34130.6693822138
"DG 36_1",102499.731965587,324367.258046751,174653.851017311,197258.633944881,178098.597961836,159807.161182971,99853.8759968656,191781.315366133
"DG 38_4",295809.498478796,707252.753175725,621191.591616907,540082.682937104,587562.002076408,731967.529914296,424119.848751484,564000.406396559
"DG 34_0",11850.8956648633,26025.0430099942,15185.1170197429,20649.6422341141,13510.288389398,16434.8192218106,6704.6400958362,29275.2218724974
"DG 36_2",2596807.49799822,5838334.37089802,4879775.52485589,5268696.54947492,3861215.29778433,4152883.96004135,3581928.81366308,4548799.77765387
"DG 42_7",11133.2459059991,98929.1672032851,52956.3951662452,46764.7572681307,56266.2557345703,65985.9527328861,32628.5052858994,31834.6772680668
"DG 38_7",9852.99982527622,52956.3951662452,47727.9679118561,48260.1465277245,34528.7216254758,40530.7723909027,36614.4026570515,37024.2216409409
"DG 42_10",2347.1043421304,11012.8127589136,14996.1771760577,15759.6582710285,9305.37965226405,15441.3314525348,4520.52712664271,13794.9987875219
"DG 38_2",135773.332899154,606113.21030197,485965.537390618,498921.355512567,324367.258046751,263009.855006669,209728.588613599,151525.528020157
"DG 36_4",1300876.63591984,1891315.00930159,2262226.30154771,1509678.80795524,2306544.70134524,1772184.27558777,976513.466727858,1509678.80795524
"DG 32_0",41040.9749646158,133578.194443024,90872.1535862592,69075.0141810134,59295.6593322572,59295.6593322572,45318.3935503201,174653.851017311
"DG 40_6",96776.1655260265,274042.873629878,154467.700290747,250662.54663703,355430.55585346,439588.312701574,161913.223851172,112611.025065258
"DG 34_3",828167.217423425,1070383.96283891,952415.001755678,952415.001755678,694046.244752706,694046.244752706,808430.961338688,773996.423332135
"DG 34_5",5095.39148358637,5370.9411307013,9407.2863116555,6420.40335731058,4375.30349670509,4561.97948587872,2266.5747589312,4104.47432342739
