"Sample","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243"
"CE 20_5",316463.574178571,290126.623517857,252427.242857143,184039.758214286,137903.137857143,164340.867678571,77587.5420535714,257841.348571429
"CE 22_6",2057660.45535714,1927700.38107143,1750917.09642857,1662327.25089286,1662327.25089286,1662327.25089286,1401515.98839286,1750917.09642857
"CE 20_4",4262567.43214286,4720640.14285714,3404619.23928571,3646891.38928571,2707890.17321429,2377512.36607143,3404619.23928571,2524491.27857143
"CE 20_2",77587.5420535714,36345.0238035714,42270.1891785714,23535.6674,36743.522125,23233.7167285714,28136.8426732143,38739.4274821429
"CE 18_2",1830197.00892857,2057660.45535714,1662327.25089286,1587400.85357143,1927700.38107143,1479117.02589286,2057660.45535714,1587400.85357143
"CE 18_1",466485.172642857,348602.556071429,329361.089857143,316463.574178571,335816.517321429,348602.556071429,365996.245535714,414307.393392857
"CE 20_3",1211694.65464286,816021.157142857,613608.007821429,571729.962142857,540163.743267857,466485.172642857,386893.902142857,657027.033392857
"CE 18_3",70122.0761785714,101877.901339286,96672.7195,63343.01875,72407.9940714286,91027.3493928571,54373.6077857143,119141.037589286
"CE 22_4",93520.8039821429,62397.9615714286,56548.0280714286,68428.0165178571,84781.2899285714,33549.8261214286,33549.8261214286,51863.2385178571
"CE 16_1",88251.3293035714,52560.8878035714,48620.6934642857,59235.9577142857,39180.905925,59235.9577142857,43924.0483357143,55107.5350232143
"CE 16_0",39180.905925,33964.91875,21115.1249267857,15248.5211732143,25515.7566642857,18849.0058946429,27166.2703839286,26496.8920107143
"DG 32_0",31812.2950125,47138.1425892857,35409.6194821429,47138.1425892857,28827.6476035714,35409.6194821429,53603.7779642857,42740.6879821429
"DG 34_2",17648.0953017857,31145.2635178571,84781.2899285714,17470.1654285714,89732.2299821428,73265.899375,26837.4808035714,41788.9912446429
"DG 36_2",44400.4986964286,60928.3265178571,104925.049285714,44400.4986964286,91027.3493928571,85871.8150892857,69235.555,67625.6619821429
"DG 36_1",3598.08826178571,4677.01265857143,5830.36731714286,5830.36731714286,14590.6986964286,6173.28736053571,21870.113375,5932.3872675
"DG 36_4",10017.8381107143,11835.7087017857,43924.0483357143,11515.6484035714,28495.2293321429,23786.4344803571,13482.9624910714,10147.4543035714
"DG 36_3",12961.7473964286,15837.7024571429,63343.01875,10017.8381107143,60928.3265178571,61580.5224107143,24045.4217035714,30426.4898571429
"DG 34_1",25515.7566642857,24878.3242321429,18589.3386625,21115.1249267857,20184.7195535714,21115.1249267857,38222.1059642857,24878.3242321429
"DG 38_5",26171.2539482143,20701.8814285714,49856.8851607143,12820.3079732143,46570.3652142857,15000.8127196429,30828.0614821429,21395.8974232143
"DG 38_6",8885.06739660714,11324.7492232143,44400.4986964286,10296.9797839286,29256.8306071429,10147.4543035714,11664.5865464286,6074.70763767857
"DG 34_3",3904.26020160714,6413.77860446429,14251.4973392857,2409.38093892857,7560.55331428571,12646.7265160714,656.942895535714,6894.08267107143
"DG 36_0",12820.3079732143,19250.3550410714,11835.7087017857,15837.7024571429,12445.6085892857,8182.79665892857,11031.9292982143,8568.66695714286
"DG 40_7",7560.55331428571,8321.50644589286,34815.1407125,6295.60251607143,23233.7167285714,14025.1392089286,5707.80606535714,15439.1810178571
"DG 38_3",3062.60029232143,3062.60029232143,3698.57423714286,2524.25251839286,8182.79665892857,5083.32325839286,5276.15300892857,6295.60251607143
"DG 32_2",4677.01265857143,3904.26020160714,5083.32325839286,3698.57423714286,3176.56450892857,6894.08267107143,3062.60029232143,3698.57423714286
"lysoPC 18_1",9353458.89285714,13227403.2142857,13227403.2142857,9353458.89285714,8413786.19642857,9353458.89285714,10316561.6160714,10316561.6160714
"lysoPC 20_4",8413786.19642857,6336154.78392857,7750404.18214286,10316561.6160714,7750404.18214286,5549056.43392857,8413786.19642857,7750404.18214286
"lysoPC 20_1",508610.486392857,527834.730946428,485844.163392857,414307.393392857,322976.941964286,372047.992285714,285347.296428571,428359.130321429
"lysoPC 22_6",2917267.36071429,2917267.36071429,3147640.32142857,4262567.43214286,3646891.38928571,2917267.36071429,2707890.17321429,3147640.32142857
"lysoPC 18_0",16300016.1428571,20361405.2857143,16300016.1428571,20361405.2857143,16300016.1428571,16300016.1428571,20361405.2857143,13227403.2142857
"lysoPC 24_1",34815.1407125,35812.2215678571,43291.4779107143,37210.6875,31145.2635178571,40158.8461785714,25187.8067964286,25515.7566642857
"lysoPC 18_3",276026.942321429,377003.085,247227.189464286,266987.788392857,212703.797678571,151750.858928571,174443.509642857,187151.798392857
"lysoPC 20_3",2707890.17321429,3147640.32142857,2917267.36071429,4720640.14285714,3147640.32142857,2707890.17321429,3147640.32142857,3404619.23928571
"lysoPC 20_5",496519.185875,540163.743267857,508610.486392857,466485.172642857,527834.730946428,554847.643767857,638831.869375,540163.743267857
"lysoPC 18_2",7750404.18214286,10316561.6160714,11631902.2053571,13227403.2142857,11631902.2053571,11631902.2053571,13227403.2142857,8413786.19642857
"lysoPC 20_0",356284.348803571,362506.538348214,384221.603651786,374525.538642857,249827.216160714,273842.965982143,118481.050241071,309115.174553571
"lysoPC 20_2",139873.235125,171733.162857143,212703.797678571,187151.798392857,155129.416142857,166881.198089286,107961.024285714,208476.134642857
"lysoPC 16_1",1145645.24982143,1211694.65464286,919618.595714286,1041433.58625,583411.744732143,753683.109821429,816021.157142857,729938.209285714
"lysoPC 14_0",73265.899375,71418.1367142857,59235.9577142857,66790.6490892857,39672.23125,37709.0024642857,57274.9927142857,44400.4986964286
"lysoPC 22_0",84781.2899285714,89732.2299821428,82936.7736785714,97910.0930892857,80728.0989821429,79587.1851607143,52560.8878035714,70122.0761785714
"lysoPC 16_0",22976408.6964286,27030744.1428571,22976408.6964286,29771910.5178571,20361405.2857143,22976408.6964286,22976408.6964286,20361405.2857143
"lysoPC 22_1",38222.1059642857,39180.905925,50560.2420107143,47588.3137857143,28136.8426732143,38222.1059642857,40158.8461785714,32263.4358392857
"lysoPC 22_4",49856.8851607143,54373.6077857143,31145.2635178571,64910.1661964286,57274.9927142857,49173.166625,61580.5224107143,64910.1661964286
"lysoPC 24_0",111261.935339286,107961.024285714,101877.901339286,153655.769107143,109734.807660714,83724.0643392857,66790.6490892857,88251.3293035714
"lysoPC 22_5",13160.214875,26837.4808035714,5380.08657803571,13295.9136892857,10296.9797839286,15837.7024571429,18589.3386625,24338.8607678571
"lysoPC 26_1",5630.22297285714,6646.52262571429,4347.66305482143,7288.34971535714,4859.26014035714,4767.35150946429,4233.94117535714,4565.76887392857
"lysoPC 22_2",4129.22620732143,3797.53521178571,4859.26014035714,5510.25820196429,5707.80606535714,5830.36731714286,6413.77860446429,8453.61662321429
"lysoPE 20_4",477320.170892857,571729.962142857,300330.617678571,443034.381428571,187151.798392857,233684.990357143,322976.941964286,372047.992285714
"lysoPE 18_2",81740.4788392857,127190.990535714,76376.5748392857,117821.062892857,63343.01875,78684.2205,103280.380357143,72407.9940714286
"lysoPE 16_0",166881.198089286,159336.401428571,97910.0930892857,137903.137857143,67625.6619821429,76376.5748392857,187151.798392857,62397.9615714286
"lysoPE 18_0",205717.823821429,148082.963214286,100478.048964286,201258.031607143,92328.8735892857,107961.024285714,295686.620535714,127190.990535714
"lysoPE 22_6",886650.390178571,1082003.45821429,527834.730946428,847475.440892857,300330.617678571,377003.085,311979.460892857,443034.381428571
"lysoPE 18_1",109734.807660714,117821.062892857,65810.4067678571,85871.8150892857,41788.9912446429,55107.5350232143,109734.807660714,58039.6899285714
"lysoPE 22_5",53084.9719464286,73265.899375,45353.4926071429,48620.6934642857,15439.1810178571,30024.804525,44400.4986964286,40158.8461785714
"lysoPE 20_0",8321.50644589286,4972.19124428571,4767.35150946429,8062.34949107143,5083.32325839286,5707.80606535714,8062.34949107143,6413.77860446429
"lysoPE 20_3",32263.4358392857,38222.1059642857,15000.8127196429,21658.0276339286,8062.34949107143,17905.7529821429,25515.7566642857,16305.6618767857
"lysoPE 20_5",5932.3872675,8453.61662321429,6769.99999642857,9064.79783035714,2738.26377142857,5932.3872675,3176.56450892857,4972.19124428571
"lysoPE 20_1",9518.17948142857,7446.81342910714,8182.79665892857,6547.23283035714,3481.14064946429,7818.80072071429,8568.66695714286,5630.22297285714
"lysoPE 18_3",2623.71107660714,6074.70763767857,3176.56450892857,6173.28736053571,4972.19124428571,2623.71107660714,4565.76887392857,3904.26020160714
"MG 18_2",3698.57423714286,6894.08267107143,16562.38995,5380.08657803571,37210.6875,9518.17948142857,2111.11652232143,4859.26014035714
"MG 18_1",16562.38995,16758.3396607143,51078.9281285714,16758.3396607143,100478.048964286,26496.8920107143,12054.161475,27166.2703839286
"PC 34_2",32242602.9285714,39431359.6964286,34589102.4642857,36431957.5714286,43196343.75,43196343.75,43196343.75,36431957.5714286
"PC 34_3",6336154.78392857,11631902.2053571,6336154.78392857,5107607.39642857,6336154.78392857,7750404.18214286,3981165.63392857,6336154.78392857
"PC 36_2",29771910.5178571,29771910.5178571,32242602.9285714,34589102.4642857,36431957.5714286,39431359.6964286,36431957.5714286,32242602.9285714
"PC 32_2",613608.007821429,626634.444821429,477320.170892857,386893.902142857,450520.603928571,583411.744732143,300330.617678571,508610.486392857
"PC 38_4",100478.048964286,97910.0930892857,75446.9514642857,95086.8434821429,95086.8434821429,97910.0930892857,193773.984285714,99141.5412678571
"PC 38_3",13227403.2142857,7750404.18214286,9353458.89285714,5549056.43392857,9353458.89285714,10316561.6160714,7750404.18214286,9353458.89285714
"PC 38_7",39672.23125,35409.6194821429,32263.4358392857,45353.4926071429,41284.5769428571,47588.3137857143,132752.419464286,55809.6597678571
"PC 36_5",3981165.63392857,3404619.23928571,3981165.63392857,3147640.32142857,3404619.23928571,3646891.38928571,1927700.38107143,3646891.38928571
"PC 36_4",27030744.1428571,22976408.6964286,27030744.1428571,22976408.6964286,27030744.1428571,27030744.1428571,34589102.4642857,27030744.1428571
"PC 38_6",39431359.6964286,34589102.4642857,39431359.6964286,39431359.6964286,29771910.5178571,32242602.9285714,29771910.5178571,29771910.5178571
"PC 36_3",120778.945660714,174443.509642857,112896.958089286,111261.935339286,150075.023571429,143734.935357143,407758.431857143,117821.062892857
"PC 40_4",1082003.45821429,788580.424071429,626634.444821429,613608.007821429,657027.033392857,638831.869375,372047.992285714,753683.109821429
"PC 36_6",187151.798392857,137903.137857143,159336.401428571,132752.419464286,125566.644553571,130993.285892857,39672.23125,141663.135
"PC 34_1",34589102.4642857,32242602.9285714,29771910.5178571,32242602.9285714,39431359.6964286,36431957.5714286,39431359.6964286,39431359.6964286
"PC 38_5",107961.024285714,93520.8039821429,68428.0165178571,87020.9964285714,75446.9514642857,100478.048964286,155129.416142857,112896.958089286
"PC 32_0",3646891.38928571,4262567.43214286,4262567.43214286,3981165.63392857,5549056.43392857,3981165.63392857,5107607.39642857,4262567.43214286
