"Sample","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289"
"CE 20_5",96672.7195,43291.4779107143,125566.644553571,78684.2205,143734.935357143,57274.9927142857,103280.380357143,71418.1367142857
"CE 22_6",2377512.36607143,816021.157142857,2194597.62678571,1927700.38107143,3404619.23928571,1587400.85357143,3147640.32142857,1750917.09642857
"CE 20_4",3981165.63392857,1927700.38107143,3981165.63392857,3981165.63392857,6336154.78392857,3404619.23928571,5107607.39642857,3646891.38928571
"CE 20_2",25187.8067964286,7446.81342910714,30024.804525,25885.5997321429,24338.8607678571,25515.7566642857,67625.6619821429,28136.8426732143
"CE 18_2",2707890.17321429,1662327.25089286,2057660.45535714,2194597.62678571,3646891.38928571,2917267.36071429,3404619.23928571,2377512.36607143
"CE 18_1",428359.130321429,421091.437803571,335816.517321429,276026.942321429,377003.085,401213.237982143,466485.172642857,342575.355107143
"CE 20_3",377003.085,174443.509642857,393477.473428571,401213.237982143,571729.962142857,466485.172642857,571729.962142857,372047.992285714
"CE 18_3",72407.9940714286,60032.3102321429,81740.4788392857,60032.3102321429,130993.285892857,44400.4986964286,77587.5420535714,82936.7736785714
"CE 22_4",40740.1316785714,20701.8814285714,42270.1891785714,40158.8461785714,19054.5808375,31521.0185357143,42740.6879821429,37709.0024642857
"CE 16_1",11835.7087017857,12646.7265160714,10147.4543035714,11835.7087017857,22098.1082571429,17905.7529821429,16990.3754589286,19508.9562589286
"CE 16_0",39180.905925,25187.8067964286,47588.3137857143,31145.2635178571,30024.804525,49173.166625,37210.6875,35409.6194821429
"DG 32_0",42270.1891785714,53084.9719464286,25187.8067964286,28827.6476035714,58590.797375,51863.2385178571,41284.5769428571,40740.1316785714
"DG 34_2",31521.0185357143,77587.5420535714,43924.0483357143,51078.9281285714,44872.1232142857,40740.1316785714,30828.0614821429,43924.0483357143
"DG 36_2",41788.9912446429,64172.3337857143,38739.4274821429,42270.1891785714,46053.4322303571,46570.3652142857,43291.4779107143,44400.4986964286
"DG 36_1",5187.78708392857,10296.9797839286,5707.80606535714,2524.25251839286,6173.28736053571,7288.34971535714,6074.70763767857,7446.81342910714
"DG 36_4",14779.4399142857,51863.2385178571,37210.6875,37210.6875,22996.4870714286,31812.2950125,23233.7167285714,27852.3630714286
"DG 36_3",14429.5051482143,95086.8434821429,43291.4779107143,46570.3652142857,40740.1316785714,41788.9912446429,28136.8426732143,43291.4779107143
"DG 34_1",26496.8920107143,32697.9834678571,8885.06739660714,13867.7270535714,37210.6875,18146.6995535714,22098.1082571429,16758.3396607143
"DG 38_5",17648.0953017857,35409.6194821429,36345.0238035714,22655.337375,24878.3242321429,24878.3242321429,21115.1249267857,15660.504375
"DG 38_6",16562.38995,24878.3242321429,32697.9834678571,25187.8067964286,24648.4148571429,18849.0058946429,20896.0796607143,16062.4849892857
"DG 34_3",4003.08042589286,11835.7087017857,6074.70763767857,6413.77860446429,3367.97632982143,6646.52262571429,5707.80606535714,6413.77860446429
"DG 36_0",15000.8127196429,11664.5865464286,8568.66695714286,4859.26014035714,10480.6037157143,10017.8381107143,9666.19391607143,9366.42718928572
"DG 40_7",3286.37972392857,9518.17948142857,7288.34971535714,8709.31950178571,9198.65279285714,7446.81342910714,9366.42718928572,8321.50644589286
"DG 38_3",2738.26377142857,5707.80606535714,2623.71107660714,3062.60029232143,2738.26377142857,5510.25820196429,3698.57423714286,3286.37972392857
"DG 32_2",4129.22620732143,4565.76887392857,4677.01265857143,1958.08991857143,1958.08991857143,3176.56450892857,2853.8806975,2853.8806975
"lysoPC 18_1",6336154.78392857,5107607.39642857,6336154.78392857,5107607.39642857,4262567.43214286,3981165.63392857,4720640.14285714,5107607.39642857
"lysoPC 20_4",4720640.14285714,4720640.14285714,9353458.89285714,3646891.38928571,5107607.39642857,3147640.32142857,3981165.63392857,3404619.23928571
"lysoPC 20_1",171733.162857143,132752.419464286,187151.798392857,129249.328392857,169170.56625,151750.858928571,159336.401428571,143734.935357143
"lysoPC 22_6",3147640.32142857,2377512.36607143,3404619.23928571,2377512.36607143,2524491.27857143,2524491.27857143,2707890.17321429,2707890.17321429
"lysoPC 18_0",22976408.6964286,29771910.5178571,27030744.1428571,27030744.1428571,22976408.6964286,20361405.2857143,20361405.2857143,22976408.6964286
"lysoPC 24_1",36345.0238035714,29604.2187464286,33964.91875,28136.8426732143,18849.0058946429,24648.4148571429,24338.8607678571,26837.4808035714
"lysoPC 18_3",169170.56625,116331.312910714,205717.823821429,107961.024285714,146110.468035714,100478.048964286,112896.958089286,119141.037589286
"lysoPC 20_3",3404619.23928571,2707890.17321429,3646891.38928571,2524491.27857143,2377512.36607143,2707890.17321429,2524491.27857143,2917267.36071429
"lysoPC 20_5",496519.185875,599307.431678572,554847.643767857,329361.089857143,527834.730946428,342575.355107143,393477.473428571,386893.902142857
"lysoPC 18_2",13227403.2142857,13227403.2142857,22976408.6964286,13227403.2142857,13227403.2142857,13227403.2142857,13227403.2142857,13227403.2142857
"lysoPC 20_0",260422.058214286,87636.1628660714,298008.619107143,182446.291857143,287736.959973214,255134.295714286,264995.278125,283372.273125
"lysoPC 20_2",109734.807660714,127190.990535714,169170.56625,85871.8150892857,127190.990535714,106251.872142857,117821.062892857,97910.0930892857
"lysoPC 16_1",386893.902142857,233684.990357143,226122.400535714,266987.788392857,252427.242857143,281397.249821429,306250.888214286,295686.620535714
"lysoPC 14_0",45353.4926071429,31812.2950125,33549.8261214286,30426.4898571429,25885.5997321429,28495.2293321429,31521.0185357143,32263.4358392857
"lysoPC 22_0",104925.049285714,73265.899375,107961.024285714,74354.0717321429,55809.6597678571,67625.6619821429,79587.1851607143,75446.9514642857
"lysoPC 16_0",29771910.5178571,20361405.2857143,20361405.2857143,22976408.6964286,20361405.2857143,22976408.6964286,27030744.1428571,29771910.5178571
"lysoPC 22_1",28136.8426732143,24338.8607678571,26837.4808035714,22098.1082571429,21115.1249267857,21870.113375,26171.2539482143,23535.6674
"lysoPC 22_4",47588.3137857143,47138.1425892857,70122.0761785714,35812.2215678571,28495.2293321429,31145.2635178571,49856.8851607143,31521.0185357143
"lysoPC 24_0",137903.137857143,91027.3493928571,141663.135,69235.555,65810.4067678571,89732.2299821428,104925.049285714,84781.2899285714
"lysoPC 22_5",15248.5211732143,11324.7492232143,13696.6282857143,11031.9292982143,12961.7473964286,6173.28736053571,7288.34971535714,11187.2991785714
"lysoPC 26_1",4972.19124428571,2409.38093892857,6173.28736053571,3797.53521178571,4003.08042589286,3286.37972392857,3367.97632982143,3481.14064946429
"lysoPC 22_2",3062.60029232143,6295.60251607143,4565.76887392857,2409.38093892857,4767.35150946429,5083.32325839286,4233.94117535714,3698.57423714286
"lysoPE 20_4",316463.574178571,443034.381428571,322976.941964286,208476.134642857,233684.990357143,263002.767857143,342575.355107143,238608.613928571
"lysoPE 18_2",122175.508571429,187151.798392857,193773.984285714,82936.7736785714,153655.769107143,103280.380357143,134721.242857143,106251.872142857
"lysoPE 16_0",134721.242857143,103280.380357143,104925.049285714,104925.049285714,93520.8039821429,107961.024285714,120778.945660714,100478.048964286
"lysoPE 18_0",243308.448035714,193773.984285714,184039.758214286,171733.162857143,111261.935339286,159336.401428571,197317.689285714,212703.797678571
"lysoPE 22_6",518741.019642857,435166.857857143,372047.992285714,386893.902142857,311979.460892857,477320.170892857,527834.730946428,421091.437803571
"lysoPE 18_1",75446.9514642857,67625.6619821429,75446.9514642857,61580.5224107143,40158.8461785714,55107.5350232143,66790.6490892857,58590.797375
"lysoPE 22_5",49856.8851607143,34815.1407125,23786.4344803571,27852.3630714286,18146.6995535714,28136.8426732143,24648.4148571429,36345.0238035714
"lysoPE 20_0",10017.8381107143,5276.15300892857,7818.80072071429,4972.19124428571,10147.4543035714,6295.60251607143,8062.34949107143,9666.19391607143
"lysoPE 20_3",21115.1249267857,14251.4973392857,14251.4973392857,5932.3872675,6894.08267107143,16758.3396607143,9828.88380535714,17905.7529821429
"lysoPE 20_5",3598.08826178571,16990.3754589286,3062.60029232143,6547.23283035714,2623.71107660714,2409.38093892857,1583.11261982143,3904.26020160714
"lysoPE 20_1",4565.76887392857,3598.08826178571,4003.08042589286,2301.18930267857,7958.53787553571,5380.08657803571,3797.53521178571,5630.22297285714
"lysoPE 18_3",5083.32325839286,4347.66305482143,4129.22620732143,1208.25424607143,4347.66305482143,2301.18930267857,1208.25424607143,2409.38093892857
"MG 18_2",6769.99999642857,16758.3396607143,19054.5808375,5707.80606535714,5276.15300892857,5830.36731714286,8182.79665892857,9828.88380535714
"MG 18_1",11187.2991785714,20184.7195535714,22655.337375,6173.28736053571,11324.7492232143,13867.7270535714,7446.81342910714,12961.7473964286
"PC 34_2",43196343.75,43196343.75,43196343.75,43196343.75,43196343.75,43196343.75,43196343.75,43196343.75
"PC 34_3",5549056.43392857,2917267.36071429,5107607.39642857,10316561.6160714,3981165.63392857,7750404.18214286,5549056.43392857,7750404.18214286
"PC 36_2",36431957.5714286,39431359.6964286,39431359.6964286,34589102.4642857,39431359.6964286,34589102.4642857,39431359.6964286,39431359.6964286
"PC 32_2",372047.992285714,217027.624642857,311979.460892857,285347.296428571,174443.509642857,230115.201964286,217027.624642857,243308.448035714
"PC 38_4",93520.8039821429,71418.1367142857,58039.6899285714,65810.4067678571,164340.867678571,81740.4788392857,85871.8150892857,78684.2205
"PC 38_3",3646891.38928571,4262567.43214286,4720640.14285714,5549056.43392857,9353458.89285714,5549056.43392857,7750404.18214286,5549056.43392857
"PC 38_7",64910.1661964286,306250.888214286,41788.9912446429,25515.7566642857,64910.1661964286,32697.9834678571,994300.145714286,753683.109821429
"PC 36_5",1211694.65464286,613608.007821429,1927700.38107143,1401515.98839286,1272932.56785714,919618.595714286,919618.595714286,679997.608267857
"PC 36_4",27030744.1428571,22976408.6964286,16300016.1428571,20361405.2857143,29771910.5178571,27030744.1428571,22976408.6964286,20361405.2857143
"PC 38_6",34589102.4642857,36431957.5714286,32242602.9285714,36431957.5714286,34589102.4642857,36431957.5714286,36431957.5714286,34589102.4642857
"PC 36_3",151750.858928571,205717.823821429,101877.901339286,99141.5412678571,247227.189464286,150075.023571429,100478.048964286,151750.858928571
"PC 40_4",393477.473428571,295686.620535714,414307.393392857,393477.473428571,466485.172642857,348602.556071429,407758.431857143,348602.556071429
"PC 36_6",78684.2205,36345.0238035714,74354.0717321429,81740.4788392857,41788.9912446429,43291.4779107143,55809.6597678571,46570.3652142857
"PC 34_1",32242602.9285714,32242602.9285714,29771910.5178571,32242602.9285714,27030744.1428571,32242602.9285714,32242602.9285714,32242602.9285714
"PC 38_5",88251.3293035714,62397.9615714286,33163.5863571429,43291.4779107143,101877.901339286,47588.3137857143,64172.3337857143,41284.5769428571
"PC 32_0",4262567.43214286,3404619.23928571,4262567.43214286,4262567.43214286,3147640.32142857,4262567.43214286,4262567.43214286,3981165.63392857
"PC 40_9",281397.249821429,257841.348571429,132752.419464286,150075.023571429,386893.902142857,212703.797678571,184039.758214286,171733.162857143
