"Sample","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334","QC","QC.1","QC.2","QC.3","QC.4","QC.5","QC.6"
"CE 16:0; [M+NH4]+@10.97",2724.5793195552,3296.42027279908,2347.1043421304,2510.72455565872,2969.9778247057,2510.72455565872,2057.41867699427,2664.79874083962,2111.16915565378,2664.79874083962,2510.72455565872,3460.63880356535,2749.44358075053,2707.36013913356,3326.11617920981,6004.09932241579,3460.63880356535,3653.12836411614,22833.0337552682,6302.67907815243,8813.69018530194,11463.9837683774,3915.41370986772,6064.23020432577,10651.4909074882,3114.51201113667,3017.81609681193,2222.78484828685,2240.20328686215,4158.14077645848,3017.81609681193,2986.72547879943,14129.1047476765,3947.68276337239,4064.43123530729,5004.0916647346,7486.03814800902,2684.16899592295,2969.9778247057,3980.09283918553,3190.39601988978,3326.11617920981,3608.07627784769,4064.43123530729,5285.23665755958,3793.73605084512,5061.32673980389,4375.30349670509,4596.3214433127,4977.01692965908,3250.01598520178,3576.13659047438,3326.11617920981,3150.94665301451,2986.72547879943
"CE 16:1; [M+NH4]+@10.67",3793.73605084512,2039.71323146747,3681.18608394247,3509.81797920138,3980.09283918553,5095.39148358637,3947.68276337239,2633.70282567467,4375.30349670509,5588.00734598558,4740.58120621564,4046.41168477418,4816.92661576776,3509.81797920138,6204.20539970562,38254.2056444587,4352.74720008174,8813.69018530194,13968.6818038262,9965.75793731266,10217.7567972871,8389.90272731045,6670.95130253294,12023.0136743158,12774.047051995,2801.83256587401,2329.66083760412,782.544456556459,2463.85235090243,4064.43123530729,2787.46456758213,2463.85235090243,11012.8127589136,2292.51319700275,2153.55732639854,3793.73605084512,4104.47432342739,1666.51494721697,782.544456556459,1368.90333501256,4064.43123530729,2801.83256587401,2396.60695986736,2549.9478142938,4651.07417388974,2111.16915565378,3041.7934725039,1638.48253188433,3862.93590767801,4064.43123530729,4158.14077645848,4158.14077645848,3915.41370986772,4816.92661576776,4046.41168477418
"CE 16:2; [M+NH4]+@10.09",251.43706519062,223.545293198864,223.545293198864,283.927080665847,1294.782669757,468.12906795181,488.550869887022,544.522375388823,223.545293198864,587.828837963357,401.357430113191,468.12906795181,535.373865591017,223.545293198864,853.57897892234,401.357430113191,604.512858606365,2201.01173635389,3393.37782830152,2347.1043421304,1638.48253188433,324.751165357629,2126.78304823275,4942.01514868249,4942.01514868249,223.545293198864,172.875667470148,172.875667470148,544.522375388823,223.545293198864,468.12906795181,324.751165357629,512.224221536547,172.875667470148,172.875667470148,172.875667470148,172.875667470148,223.545293198864,223.545293198864,512.224221536547,172.875667470148,488.550869887022,324.751165357629,362.637362261131,2787.46456758213,362.637362261131,535.373865591017,172.875667470148,729.635614895388,587.828837963357,782.544456556459,604.512858606365,754.802255867638,441.681076871718,681.870895512177
"CE 18:1; [M+NH4]+@10.91",32319.1975117992,46764.7572681307,34130.6693822138,30329.2354079651,58522.2469545577,36614.4026570515,31286.7108140912,32877.522425997,33772.9731062559,45318.3935503201,50916.1746091036,47727.9679118561,50916.1746091036,39345.2861958027,42289.2103262086,263009.855006669,36614.4026570515,44024.0922561105,224515.234726437,73961.3872605396,112611.025065258,131330.344833363,79042.4947477102,89829.9594643393,129757.033367477,37880.7574159998,40530.7723909027,18415.4383711671,38254.2056444587,38254.2056444587,46295.5868290625,34528.7216254758,178098.597961836,44024.0922561105,50170.3769829691,40164.9571390481,64931.7923032862,42683.5292181251,31586.1301321739,40530.7723909027,37024.2216409409,40164.9571390481,39865.0783604276,61080.6159934839,53942.0594615606,64347.7833401961,66568.4103653987,45318.3935503201,81047.2777540216,75310.1195569915,36276.3300613752,58522.2469545577,48260.1465277245,59923.9218195733,44779.6960547522
"CE 18:2; [M+NH4]+@10.68",21891.214775356,27279.5745919317,19627.1270103753,17417.3638930097,24300.2153389872,21281.716105718,21891.214775356,22122.286032615,24103.5313144553,9640.2457246382,12483.9920387019,12265.7524091103,16117.4974673831,11427.4024649282,12774.047051995,40164.9571390481,5858.54372244989,19402.2718164687,21891.214775356,24565.479577935,13681.1088522039,90872.1535862592,10335.0614774214,15441.3314525348,21499.8675767849,33158.4929006148,37024.2216409409,25526.2930323481,34130.6693822138,41648.3585519013,32877.522425997,21281.716105718,111158.332499694,11133.2459059991,22554.6299610122,11850.8956648633,21716.9374580112,31834.6772680668,19734.4956973106,32628.5052858994,20786.3918220843,33772.9731062559,21891.214775356,46764.7572681307,11427.4024649282,39345.2861958027,46295.5868290625,28680.2377966882,25038.7220317533,18281.2092683311,14696.9302536588,27559.8037176293,19986.3389730458,22554.6299610122,15759.6582710285
"CE 22:6; [M+NH4]+@10.50",6370.12295766941,4780.75993694419,7989.04291578823,3947.68276337239,5370.9411307013,3915.41370986772,2362.98400548809,5413.99020214328,4780.75993694419,2153.55732639854,3190.39601988978,2831.78157646371,3793.73605084512,1317.34897814317,1713.15670890654,7679.39019365722,2549.9478142938,5641.91454082801,4561.97948587872,7296.91110402939,5413.99020214328,7799.28331799802,3538.48345389949,5004.0916647346,9305.37965226405,8103.10241384769,3509.81797920138,9745.72162595804,4297.32765293452,4520.52712664271,5370.9411307013,3213.95288849175,8154.35757026881,3137.22308896939,3114.51201113667,1796.44019095061,1796.44019095061,2724.5793195552,3681.18608394247,3296.42027279908,2490.0870873841,6204.20539970562,4251.26451468607,8298.33160095459,4104.47432342739,7149.98832484369,6537.23053843069,4714.57132214172,3250.01598520178,3576.13659047438,3576.13659047438,2801.83256587401,2986.72547879943,2362.98400548809,4520.52712664271
"CerP 36:2; [M+H]+@5.84",801.32014527493,997.628592971291,922.188627786189,512.224221536547,639.648945546397,821.027429908824,283.927080665847,729.635614895388,1131.52388753819,324.751165357629,488.550869887022,512.224221536547,709.834246840461,468.12906795181,544.522375388823,1019.81290876325,544.522375388823,512.224221536547,544.522375388823,604.512858606365,468.12906795181,821.027429908824,754.802255867638,1131.52388753819,544.522375388823,1019.81290876325,1617.97932022628,729.635614895388,1481.60246230716,1776.60150112924,1019.81290876325,853.57897892234,661.701726194008,922.188627786189,853.57897892234,1638.48253188433,922.188627786189,604.512858606365,512.224221536547,604.512858606365,639.648945546397,1368.90333501256,1638.48253188433,1416.2229744169,1317.34897814317,562.188632767996,1393.33289572531,639.648945546397,488.550869887022,544.522375388823,362.637362261131,362.637362261131,535.373865591017,661.701726194008,468.12906795181
"DG 26:1; [M+NH4]+@3.34",324.751165357629,362.637362261131,283.927080665847,251.43706519062,172.875667470148,362.637362261131,401.357430113191,172.875667470148,893.949083022708,172.875667470148,283.927080665847,223.545293198864,283.927080665847,283.927080665847,172.875667470148,324.751165357629,172.875667470148,401.357430113191,251.43706519062,223.545293198864,324.751165357629,468.12906795181,172.875667470148,441.681076871718,251.43706519062,324.751165357629,362.637362261131,283.927080665847,223.545293198864,401.357430113191,639.648945546397,468.12906795181,1019.81290876325,362.637362261131,587.828837963357,324.751165357629,535.373865591017,1043.86007020296,922.188627786189,283.927080665847,283.927080665847,283.927080665847,535.373865591017,251.43706519062,172.875667470148,604.512858606365,821.027429908824,468.12906795181,283.927080665847,324.751165357629,401.357430113191,324.751165357629,251.43706519062,283.927080665847,172.875667470148
"DG 26:2; [M+NH4]+@5.06",2868.05496409185,1187.46186529535,1433.12521682734,2898.12549182328,1131.52388753819,1556.38587675031,1131.52388753819,2422.58127522665,1340.42363876208,1638.48253188433,1638.48253188433,1131.52388753819,2178.42247754476,6811.53938918706,1666.51494721697,2312.02383160553,3150.94665301451,821.027429908824,1083.11737226478,975.513669419313,1083.11737226478,801.32014527493,782.544456556459,1317.34897814317,1912.63394023087,893.949083022708,2868.05496409185,4977.01692965908,1107.56407097716,1501.14260139955,1501.14260139955,1256.08208159224,893.949083022708,604.512858606365,1107.56407097716,1160.42517823827,1433.12521682734,893.949083022708,562.188632767996,3041.7934725039,1416.2229744169,1160.42517823827,729.635614895388,853.57897892234,1934.98229291972,1416.2229744169,1596.21239451326,1617.97932022628,1776.60150112924,1699.64212798452,1393.33289572531,1840.33635477347,1840.33635477347,1617.97932022628,1481.60246230716
"DG 28:2; [M+NH4]+@5.76",1966.56407740869,1638.48253188433,2266.5747589312,4596.3214433127,1340.42363876208,2111.16915565378,1934.98229291972,2787.46456758213,1990.50457950183,2201.01173635389,2018.09652912973,1713.15670890654,1279.04801721954,4251.26451468607,1481.60246230716,2664.79874083962,1433.12521682734,1235.15002263905,1368.90333501256,1666.51494721697,1187.46186529535,1083.11737226478,1083.11737226478,1966.56407740869,1210.96009800957,4449.80068863028,5061.32673980389,5588.00734598558,2111.16915565378,2396.60695986736,2201.01173635389,1990.50457950183,2850.89184530722,1596.21239451326,1279.04801721954,2111.16915565378,2633.70282567467,661.701726194008,1340.42363876208,3137.22308896939,2137.90127913935,1416.2229744169,1481.60246230716,2111.16915565378,1279.04801721954,1501.14260139955,1279.04801721954,2266.5747589312,1870.8452708952,2292.51319700275,1131.52388753819,1730.47750624051,1966.56407740869,1501.14260139955,1210.96009800957
