"Class","Carbon","Chain","Adduct","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334"
"CE","20","5"," [M+NH4]+@10.40",42270.1891785714,62397.9615714286,48140.8671607143,187151.798392857,134721.242857143,146110.468035714,61580.5224107143,116331.312910714,316463.574178571,290126.623517857,252427.242857143,184039.758214286,137903.137857143,164340.867678571,77587.5420535714,257841.348571429,190104.917589286,290126.623517857,197317.689285714,300330.617678571,540163.743267857,421091.437803571,435166.857857143,348602.556071429,96672.7195,43291.4779107143,125566.644553571,78684.2205,143734.935357143,57274.9927142857,103280.380357143,71418.1367142857,148082.963214286,130993.285892857,187151.798392857,134721.242857143,120778.945660714,100478.048964286,114718.668821429,137903.137857143,99141.5412678571,88251.3293035714,109734.807660714,96672.7195,107961.024285714,47588.3137857143,50560.2420107143,106251.872142857
"CE","22","6"," [M+NH4]+@10.47",729938.209285714,1334914.06285714,1145645.24982143,1927700.38107143,1587400.85357143,1750917.09642857,1145645.24982143,1479117.02589286,2057660.45535714,1927700.38107143,1750917.09642857,1662327.25089286,1662327.25089286,1662327.25089286,1401515.98839286,1750917.09642857,1750917.09642857,1927700.38107143,1927700.38107143,1927700.38107143,2057660.45535714,2057660.45535714,1927700.38107143,1927700.38107143,2377512.36607143,816021.157142857,2194597.62678571,1927700.38107143,3404619.23928571,1587400.85357143,3147640.32142857,1750917.09642857,2917267.36071429,2707890.17321429,2057660.45535714,2917267.36071429,2194597.62678571,1927700.38107143,1830197.00892857,1750917.09642857,1927700.38107143,1830197.00892857,2524491.27857143,2194597.62678571,1750917.09642857,1662327.25089286,1830197.00892857,2194597.62678571
"CE","20","4"," [M+NH4]+@10.62",1587400.85357143,2707890.17321429,2377512.36607143,3646891.38928571,3147640.32142857,3404619.23928571,2057660.45535714,2917267.36071429,4262567.43214286,4720640.14285714,3404619.23928571,3646891.38928571,2707890.17321429,2377512.36607143,3404619.23928571,2524491.27857143,5107607.39642857,5549056.43392857,3981165.63392857,4262567.43214286,4262567.43214286,3646891.38928571,3404619.23928571,3981165.63392857,3981165.63392857,1927700.38107143,3981165.63392857,3981165.63392857,6336154.78392857,3404619.23928571,5107607.39642857,3646891.38928571,4720640.14285714,3404619.23928571,3981165.63392857,4262567.43214286,4262567.43214286,4262567.43214286,3404619.23928571,5107607.39642857,3981165.63392857,4720640.14285714,4262567.43214286,5107607.39642857,4720640.14285714,3646891.38928571,5107607.39642857,4720640.14285714
"CE","20","2"," [M+NH4]+@11.04",22655.337375,26837.4808035714,23786.4344803571,22655.337375,16990.3754589286,34815.1407125,27166.2703839286,42270.1891785714,77587.5420535714,36345.0238035714,42270.1891785714,23535.6674,36743.522125,23233.7167285714,28136.8426732143,38739.4274821429,48620.6934642857,35812.2215678571,46053.4322303571,53084.9719464286,55809.6597678571,58590.797375,37709.0024642857,33549.8261214286,25187.8067964286,7446.81342910714,30024.804525,25885.5997321429,24338.8607678571,25515.7566642857,67625.6619821429,28136.8426732143,25885.5997321429,59235.9577142857,79587.1851607143,36345.0238035714,14025.1392089286,26837.4808035714,25187.8067964286,36743.522125,34346.9940660714,19707.9837678571,30828.0614821429,36345.0238035714,17470.1654285714,25885.5997321429,22098.1082571429,28495.2293321429
"CE","18","2"," [M+NH4]+@10.71",994300.145714286,1401515.98839286,1830197.00892857,2057660.45535714,1927700.38107143,2707890.17321429,1927700.38107143,2057660.45535714,1830197.00892857,2057660.45535714,1662327.25089286,1587400.85357143,1927700.38107143,1479117.02589286,2057660.45535714,1587400.85357143,1830197.00892857,2057660.45535714,2057660.45535714,1587400.85357143,1830197.00892857,1750917.09642857,1662327.25089286,1662327.25089286,2707890.17321429,1662327.25089286,2057660.45535714,2194597.62678571,3646891.38928571,2917267.36071429,3404619.23928571,2377512.36607143,2707890.17321429,2917267.36071429,3147640.32142857,2707890.17321429,2917267.36071429,3404619.23928571,2377512.36607143,3147640.32142857,2707890.17321429,2377512.36607143,2707890.17321429,3147640.32142857,2524491.27857143,2917267.36071429,3646891.38928571,2917267.36071429
"CE","18","1"," [M+NH4]+@10.94",243308.448035714,271658.989642857,257841.348571429,353551.866446429,342575.355107143,401213.237982143,300330.617678571,276026.942321429,466485.172642857,348602.556071429,329361.089857143,316463.574178571,335816.517321429,348602.556071429,365996.245535714,414307.393392857,450520.603928571,435166.857857143,414307.393392857,359016.831160714,450520.603928571,443034.381428571,407758.431857143,401213.237982143,428359.130321429,421091.437803571,335816.517321429,276026.942321429,377003.085,401213.237982143,466485.172642857,342575.355107143,386893.902142857,393477.473428571,450520.603928571,393477.473428571,407758.431857143,365996.245535714,386893.902142857,377003.085,393477.473428571,353551.866446429,365996.245535714,401213.237982143,386893.902142857,365996.245535714,435166.857857143,393477.473428571
"CE","20","3"," [M+NH4]+@10.78",353551.866446429,386893.902142857,247227.189464286,679997.608267857,401213.237982143,554847.643767857,285347.296428571,496519.185875,1211694.65464286,816021.157142857,613608.007821429,571729.962142857,540163.743267857,466485.172642857,386893.902142857,657027.033392857,816021.157142857,847475.440892857,788580.424071429,919618.595714286,816021.157142857,847475.440892857,729938.209285714,729938.209285714,377003.085,174443.509642857,393477.473428571,401213.237982143,571729.962142857,466485.172642857,571729.962142857,372047.992285714,679997.608267857,657027.033392857,788580.424071429,729938.209285714,414307.393392857,496519.185875,335816.517321429,638831.869375,466485.172642857,450520.603928571,450520.603928571,583411.744732143,496519.185875,335816.517321429,485844.163392857,459518.717321429
"CE","18","3"," [M+NH4]+@10.52",41788.9912446429,55809.6597678571,66790.6490892857,46570.3652142857,68428.0165178571,87020.9964285714,74354.0717321429,56548.0280714286,70122.0761785714,101877.901339286,96672.7195,63343.01875,72407.9940714286,91027.3493928571,54373.6077857143,119141.037589286,47138.1425892857,40158.8461785714,64172.3337857143,52560.8878035714,74354.0717321429,72407.9940714286,66790.6490892857,64910.1661964286,72407.9940714286,60032.3102321429,81740.4788392857,60032.3102321429,130993.285892857,44400.4986964286,77587.5420535714,82936.7736785714,65810.4067678571,100478.048964286,48140.8671607143,81740.4788392857,109734.807660714,93520.8039821429,112896.958089286,82936.7736785714,44400.4986964286,41788.9912446429,57274.9927142857,47138.1425892857,65810.4067678571,58039.6899285714,100478.048964286,41788.9912446429
"CE","22","4"," [M+NH4]+@10.86",40158.8461785714,43291.4779107143,29604.2187464286,65810.4067678571,35409.6194821429,41284.5769428571,31812.2950125,65810.4067678571,93520.8039821429,62397.9615714286,56548.0280714286,68428.0165178571,84781.2899285714,33549.8261214286,33549.8261214286,51863.2385178571,82936.7736785714,73265.899375,61580.5224107143,99141.5412678571,51078.9281285714,79587.1851607143,53603.7779642857,60032.3102321429,40740.1316785714,20701.8814285714,42270.1891785714,40158.8461785714,19054.5808375,31521.0185357143,42740.6879821429,37709.0024642857,58590.797375,62397.9615714286,75446.9514642857,42270.1891785714,30024.804525,23233.7167285714,17648.0953017857,47138.1425892857,26171.2539482143,37709.0024642857,30426.4898571429,22098.1082571429,24878.3242321429,19054.5808375,23233.7167285714,16305.6618767857
"CE","16","1"," [M+NH4]+@10.69",31145.2635178571,24648.4148571429,28495.2293321429,77587.5420535714,39672.23125,32697.9834678571,39672.23125,55107.5350232143,88251.3293035714,52560.8878035714,48620.6934642857,59235.9577142857,39180.905925,59235.9577142857,43924.0483357143,55107.5350232143,69235.555,55809.6597678571,53084.9719464286,47588.3137857143,60032.3102321429,49856.8851607143,39672.23125,49856.8851607143,11835.7087017857,12646.7265160714,10147.4543035714,11835.7087017857,22098.1082571429,17905.7529821429,16990.3754589286,19508.9562589286,19250.3550410714,15248.5211732143,18146.6995535714,16990.3754589286,19054.5808375,12445.6085892857,11031.9292982143,16062.4849892857,15660.504375,9666.19391607143,11835.7087017857,11515.6484035714,21395.8974232143,15439.1810178571,11187.2991785714,15837.7024571429
