"Sample","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266"
"CE 16_1",4352.74720008174,8813.69018530194,13968.6818038262,9965.75793731266,10217.7567972871,8389.90272731045,6670.95130253294,12023.0136743158
"CE 16_2",604.512858606365,2201.01173635389,3393.37782830152,2347.1043421304,1638.48253188433,324.751165357629,2126.78304823275,4942.01514868249
"CE 16_0",3460.63880356535,3653.12836411614,22833.0337552682,6302.67907815243,8813.69018530194,11463.9837683774,3915.41370986772,6064.23020432577
"CE 22_6",2549.9478142938,5641.91454082801,4561.97948587872,7296.91110402939,5413.99020214328,7799.28331799802,3538.48345389949,5004.0916647346
"CE 18_2",5858.54372244989,19402.2718164687,21891.214775356,24565.479577935,13681.1088522039,90872.1535862592,10335.0614774214,15441.3314525348
"CE 18_1",36614.4026570515,44024.0922561105,224515.234726437,73961.3872605396,112611.025065258,131330.344833363,79042.4947477102,89829.9594643393
"DG 34_2",5268696.54947492,5838334.37089802,4879775.52485589,4879775.52485589,4879775.52485589,3940207.45922362,5570843.99885273,5570843.99885273
"DG 36_3",3861215.29778433,2306544.70134524,2105833.86715036,1891315.00930159,2006486.5564712,2105833.86715036,2262226.30154771,2006486.5564712
"DG 40_5",93824.3805573624,66568.4103653987,49095.6636716867,42289.2103262086,36614.4026570515,144037.791465528,38794.2625867384,38254.2056444587
"DG 42_9",17063.1665377589,6131.99802999944,9082.4888278898,5004.0916647346,4375.30349670509,28375.8745004672,7351.88585211156,4251.26451468607
"DG 40_8",141691.439941726,70028.1124047034,70028.1124047034,40530.7723909027,48260.1465277245,242761.467785837,40530.7723909027,36614.4026570515
"DG 40_4",68377.4265053067,21716.9374580112,30670.7043265908,16117.4974673831,18653.8622896869,22122.286032615,32877.522425997,25295.5130480684
"DG 44_11",12483.9920387019,18812.488512923,14852.7118496099,16650.4609520606,13794.9987875219,20786.3918220843,11057.8169252351,11766.433221824
"DG 36_1",550866.251529508,246780.912515554,475072.255866054,230335.205077582,255176.613725738,169004.920664712,517475.075117045,412431.667696579
"DG 38_4",853748.211860832,469176.033228127,707252.753175725,459694.713861159,394094.030376164,681473.03166621,621191.591616907,540082.682937104
"DG 34_0",73961.3872605396,29101.4604065852,64347.7833401961,25295.5130480684,34130.6693822138,33158.4929006148,76406.0331345384,46764.7572681307
"DG 36_2",5838334.37089802,4152883.96004135,5268696.54947492,4357197.78400929,4357197.78400929,3241192.62060232,3861215.29778433,5268696.54947492
"DG 42_7",108259.564861215,22358.7957710269,29695.7172764468,10277.655315727,11012.8127589136,58522.2469545577,30670.7043265908,25038.7220317533
"DG 38_7",95091.3174870818,26025.0430099942,66568.4103653987,25826.4289464022,34869.4934917118,27559.8037176293,44779.6960547522,31586.1301321739
"DG 42_10",9901.71460703127,3393.37782830152,5588.00734598558,3538.48345389949,4596.3214433127,11057.8169252351,5095.39148358637,4352.74720008174
"DG 38_2",694046.244752706,336287.778342442,439588.312701574,255176.613725738,250662.54663703,154467.700290747,475072.255866054,475072.255866054
"DG 36_4",1220538.32809233,1126925.96936975,1126925.96936975,976513.466727858,1070383.96283891,2519262.74101024,1273086.0311756,828167.217423425
"DG 32_0",300594.491324654,75310.1195569915,227119.100088581,66568.4103653987,99853.8759968656,68377.4265053067,269054.501519072,125864.35974696
"DG 40_6",279726.070307564,64931.7923032862,112611.025065258,50170.3769829691,59923.9218195733,324367.258046751,104241.280521005,79042.4947477102
"DG 34_3",893324.137877715,612451.217127404,808430.961338688,668899.818579714,616746.36040637,493331.907936879,612451.217127404,694046.244752706
"DG 34_5",3213.95288849175,2347.1043421304,1870.8452708952,2664.79874083962,2126.78304823275,3653.12836411614,1481.60246230716,2083.4343941525
"DG 32_2",146684.209558101,68377.4265053067,108259.564861215,122038.914022224,95091.3174870818,30670.7043265908,99853.8759968656,161913.223851172
"DG 40_7",1162176.38646214,541996.314239799,616746.36040637,294471.614786708,365926.886783037,1094226.2079901,606113.21030197,528928.358604734
"DG 32_1",952415.001755678,568689.760447028,863411.857229731,773996.423332135,828167.217423425,109779.628932065,1070383.96283891,1220538.32809233
"DG 38_3",559311.052346091,182013.062898843,184394.056512352,112611.025065258,149475.507196352,182013.062898843,203605.199452851,169004.920664712
"DG 42_5",13794.9987875219,4740.58120621564,5641.91454082801,2018.09652912973,3681.18608394247,8235.17158255477,4740.58120621564,3250.01598520178
"DG 42_8",37236.1889931239,20786.3918220843,15441.3314525348,12265.7524091103,13510.288389398,55268.5982785574,12265.7524091103,15185.1170197429
"DG 44_10",18281.2092683311,13180.8142668834,12960.1580578633,12774.047051995,11275.622571761,32628.5052858994,13180.8142668834,13083.5577641879
"DG 26_2",3150.94665301451,821.027429908824,1083.11737226478,975.513669419313,1083.11737226478,801.32014527493,782.544456556459,1317.34897814317
"DG 32_3",5164.46357938691,3760.1105090174,4331.75192124648,6537.23053843069,5537.39891337781,3114.51201113667,4596.3214433127,6370.12295766941
"DG 36_5",83607.4237730397,50170.3769829691,60429.0992623498,58522.2469545577,59295.6593322572,46764.7572681307,53942.0594615606,55268.5982785574
"DG 38_5",612451.217127404,485965.537390618,550866.251529508,312313.446709965,336287.778342442,647113.793806319,550866.251529508,399638.407278493
"DG 40_3",39865.0783604276,24103.5313144553,23405.7501917733,9901.71460703127,9901.71460703127,19627.1270103753,20312.1753037811,11524.5059639606
"DG 34_4",17417.3638930097,7092.48104035762,8658.72376166879,11850.8956648633,11619.1247947076,12774.047051995,9852.99982527622,13339.4186942186
"DG 38_1",89054.874745338,38254.2056444587,37880.7574159998,29101.4604065852,23405.7501917733,25295.5130480684,60429.0992623498,32877.522425997
"DG 30_0",33158.4929006148,9305.37965226405,26785.0806580441,18281.2092683311,18812.488512923,6420.40335731058,28375.8745004672,26507.7173171222
"DG 40_2",47727.9679118561,23696.9896538028,26507.7173171222,18653.8622896869,12595.2879669237,7679.39019365722,29695.7172764468,23183.7528204903
"DG 42_6",53942.0594615606,9640.2457246382,11363.6719494148,6064.23020432577,6064.23020432577,19734.4956973106,7405.07584755638,8513.7481196235
"DG 36_0",16434.8192218106,7405.07584755638,12023.0136743158,5696.39136030385,6420.40335731058,10335.0614774214,18415.4383711671,8298.33160095459
"DG 42_2",7989.04291578823,3460.63880356535,2969.9778247057,2831.78157646371,2724.5793195552,2222.78484828685,5696.39136030385,3114.51201113667
"DG 40_1",10335.0614774214,7188.74804537574,8154.35757026881,2266.5747589312,4449.80068863028,3793.73605084512,9965.75793731266,7913.38091911515
"DG 38_6",2876646.96950745,976513.466727858,2417071.8535538,863411.857229731,1220538.32809233,1126925.96936975,2174210.99429714,1415950.67866297
"DG 36_6",4194.80605188399,4158.14077645848,5004.0916647346,4194.80605188399,2633.70282567467,7149.98832484369,4520.52712664271,3862.93590767801
"DG 44_9",6624.27680289497,2153.55732639854,2126.78304823275,1556.38587675031,1279.04801721954,8154.35757026881,1713.15670890654,3369.68378296375
"DG 30_2",3017.81609681193,1556.38587675031,2446.63542175239,3369.68378296375,2734.92864144503,2537.35150865498,2362.98400548809,4816.92661576776
"DG 30_3",997.628592971291,922.188627786189,401.357430113191,661.701726194008,997.628592971291,1596.21239451326,1160.42517823827,681.870895512177
"DG 38_0",1934.98229291972,2565.04978497635,3150.94665301451,1481.60246230716,1317.34897814317,1796.44019095061,3369.68378296375,1666.51494721697
"DG 30_1",11363.6719494148,4780.75993694419,8235.17158255477,8154.35757026881,7989.04291578823,1107.56407097716,9157.37485495905,13681.1088522039
"DG 42_3",3296.42027279908,1776.60150112924,1713.15670890654,2072.40265456603,729.635614895388,1912.63394023087,2178.42247754476,2057.41867699427
"DG 32_6",562.188632767996,468.12906795181,922.188627786189,639.648945546397,562.188632767996,1235.15002263905,223.545293198864,362.637362261131
