"Sample","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334"
"CE 16_1",4064.43123530729,2801.83256587401,2396.60695986736,2549.9478142938,4651.07417388974,2111.16915565378,3041.7934725039,1638.48253188433
"CE 16_2",172.875667470148,488.550869887022,324.751165357629,362.637362261131,2787.46456758213,362.637362261131,535.373865591017,172.875667470148
"CE 16_0",3190.39601988978,3326.11617920981,3608.07627784769,4064.43123530729,5285.23665755958,3793.73605084512,5061.32673980389,4375.30349670509
"CE 22_6",2490.0870873841,6204.20539970562,4251.26451468607,8298.33160095459,4104.47432342739,7149.98832484369,6537.23053843069,4714.57132214172
"CE 18_2",20786.3918220843,33772.9731062559,21891.214775356,46764.7572681307,11427.4024649282,39345.2861958027,46295.5868290625,28680.2377966882
"CE 18_1",37024.2216409409,40164.9571390481,39865.0783604276,61080.6159934839,53942.0594615606,64347.7833401961,66568.4103653987,45318.3935503201
"DG 34_2",4879775.52485589,4152883.96004135,3471770.91700051,2678086.71346041,5838334.37089802,4357197.78400929,3630410.70849431,3861215.29778433
"DG 36_3",4548799.77765387,2174210.99429714,828167.217423425,893324.137877715,2174210.99429714,3581928.81366308,2174210.99429714,3127646.13736274
"DG 40_5",146684.209558101,129757.033367477,86390.6868003689,114611.226029598,52125.4570300496,197258.633944881,138838.766552366,230335.205077582
"DG 42_9",36614.4026570515,24565.479577935,15941.6762991514,15759.6582710285,5858.54372244989,24774.4929782752,21891.214775356,34130.6693822138
"DG 40_8",538169.051634409,428208.362204687,209728.588613599,239649.141858628,47727.9679118561,355430.55585346,279726.070307564,399638.407278493
"DG 40_4",32877.522425997,20132.9424723763,19627.1270103753,13794.9987875219,30670.7043265908,22554.6299610122,18948.9796782094,33158.4929006148
"DG 44_11",22833.0337552682,26785.0806580441,27559.8037176293,14354.0048367405,13794.9987875219,20472.7100910555,24300.2153389872,22122.286032615
"DG 36_1",250662.54663703,169004.920664712,106739.081221889,98929.1672032851,324367.258046751,242761.467785837,178098.597961836,219895.798058679
"DG 38_4",1005510.12103246,564000.406396559,555088.6519378,621191.591616907,609282.213714687,681473.03166621,643104.444289737,791213.692335411
"DG 34_0",44779.6960547522,31286.7108140912,24103.5313144553,26025.0430099942,46764.7572681307,34130.6693822138,29275.2218724974,34869.4934917118
"DG 36_2",4357197.78400929,2306544.70134524,2174210.99429714,2519262.74101024,4879775.52485589,3471770.91700051,3127646.13736274,4357197.78400929
"DG 42_7",73961.3872605396,34869.4934917118,26025.0430099942,23696.9896538028,24565.479577935,60429.0992623498,40164.9571390481,89054.874745338
"DG 38_7",61080.6159934839,20649.6422341141,13794.9987875219,16254.5599799933,28680.2377966882,16742.6095476278,11766.433221824,19627.1270103753
"DG 42_10",19516.8618973552,15441.3314525348,7913.38091911515,8867.30103392666,4449.80068863028,11766.433221824,8723.0067720296,13681.1088522039
"DG 38_2",279726.070307564,113815.049295875,95091.3174870818,72698.9541535975,456109.61713212,209728.588613599,129757.033367477,269054.501519072
"DG 36_4",3738273.8547349,2262226.30154771,1772184.27558777,1772184.27558777,828167.217423425,2417071.8535538,2361033.38820366,3738273.8547349
"DG 32_0",161913.223851172,42683.5292181251,33772.9731062559,39345.2861958027,131330.344833363,64931.7923032862,41371.2783282,60429.0992623498
"DG 40_6",255176.613725738,119146.889017984,81047.2777540216,79042.4947477102,72698.9541535975,475072.255866054,300594.491324654,456109.61713212
"DG 34_3",1659805.95321523,420031.33529828,274042.873629878,274042.873629878,773996.423332135,508954.688689991,388549.653473836,420031.33529828
"DG 34_5",12265.7524091103,3348.80427639111,3137.22308896939,2724.5793195552,2422.58127522665,3760.1105090174,3190.39601988978,4064.43123530729
