"Sample","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218"
"CE 20_5",42270.1891785714,62397.9615714286,48140.8671607143,187151.798392857,134721.242857143,146110.468035714,61580.5224107143,116331.312910714
"CE 22_6",729938.209285714,1334914.06285714,1145645.24982143,1927700.38107143,1587400.85357143,1750917.09642857,1145645.24982143,1479117.02589286
"CE 20_4",1587400.85357143,2707890.17321429,2377512.36607143,3646891.38928571,3147640.32142857,3404619.23928571,2057660.45535714,2917267.36071429
"CE 20_2",22655.337375,26837.4808035714,23786.4344803571,22655.337375,16990.3754589286,34815.1407125,27166.2703839286,42270.1891785714
"CE 18_2",994300.145714286,1401515.98839286,1830197.00892857,2057660.45535714,1927700.38107143,2707890.17321429,1927700.38107143,2057660.45535714
"CE 18_1",243308.448035714,271658.989642857,257841.348571429,353551.866446429,342575.355107143,401213.237982143,300330.617678571,276026.942321429
"CE 20_3",353551.866446429,386893.902142857,247227.189464286,679997.608267857,401213.237982143,554847.643767857,285347.296428571,496519.185875
"CE 18_3",41788.9912446429,55809.6597678571,66790.6490892857,46570.3652142857,68428.0165178571,87020.9964285714,74354.0717321429,56548.0280714286
"CE 22_4",40158.8461785714,43291.4779107143,29604.2187464286,65810.4067678571,35409.6194821429,41284.5769428571,31812.2950125,65810.4067678571
"CE 16_1",31145.2635178571,24648.4148571429,28495.2293321429,77587.5420535714,39672.23125,32697.9834678571,39672.23125,55107.5350232143
"CE 16_0",20701.8814285714,21395.8974232143,24648.4148571429,30024.804525,37210.6875,16990.3754589286,18324.2519410714,25187.8067964286
"DG 32_0",19915.4671964286,37709.0024642857,49173.166625,49173.166625,40158.8461785714,40158.8461785714,30426.4898571429,26171.2539482143
"DG 34_2",134721.242857143,58590.797375,104925.049285714,21395.8974232143,44872.1232142857,47588.3137857143,95086.8434821429,48620.6934642857
"DG 36_2",141663.135,80728.0989821429,91027.3493928571,36345.0238035714,58590.797375,38739.4274821429,99141.5412678571,64910.1661964286
"DG 36_1",8709.31950178571,6074.70763767857,6894.08267107143,4440.50417821429,5707.80606535714,7560.55331428571,9366.42718928572,4129.22620732143
"DG 36_4",53084.9719464286,24338.8607678571,65810.4067678571,10017.8381107143,21115.1249267857,13295.9136892857,54373.6077857143,18849.0058946429
"DG 36_3",73265.899375,66790.6490892857,77587.5420535714,17905.7529821429,28136.8426732143,25187.8067964286,71418.1367142857,28136.8426732143
"DG 34_1",10296.9797839286,19508.9562589286,20701.8814285714,26171.2539482143,25885.5997321429,22098.1082571429,14779.4399142857,11664.5865464286
"DG 38_5",46570.3652142857,29604.2187464286,26837.4808035714,18849.0058946429,22655.337375,23233.7167285714,62397.9615714286,28495.2293321429
"DG 38_6",29604.2187464286,23535.6674,28136.8426732143,16062.4849892857,11187.2991785714,10821.5161821429,34346.9940660714,13160.214875
"DG 34_3",19054.5808375,6547.23283035714,8453.61662321429,2524.25251839286,5932.3872675,8062.34949107143,14025.1392089286,9366.42718928572
"DG 36_0",8062.34949107143,11324.7492232143,12820.3079732143,7149.45778035714,7149.45778035714,8568.66695714286,7446.81342910714,5276.15300892857
"DG 40_7",30828.0614821429,12054.161475,17905.7529821429,8568.66695714286,7560.55331428571,4347.66305482143,19508.9562589286,7958.53787553571
"DG 38_3",7019.53097964286,2111.11652232143,4859.26014035714,4003.08042589286,2623.71107660714,5187.78708392857,5630.22297285714,3176.56450892857
"DG 32_2",6547.23283035714,2623.71107660714,5830.36731714286,2111.11652232143,2962.86339982143,4972.19124428571,5707.80606535714,2524.25251839286
"lysoPC 18_1",9353458.89285714,11631902.2053571,10316561.6160714,11631902.2053571,9353458.89285714,10316561.6160714,8413786.19642857,10316561.6160714
"lysoPC 20_4",5549056.43392857,10316561.6160714,3981165.63392857,10316561.6160714,6336154.78392857,6336154.78392857,4720640.14285714,6336154.78392857
"lysoPC 20_1",263002.767857143,571729.962142857,177587.820892857,540163.743267857,329361.089857143,263002.767857143,257841.348571429,414307.393392857
"lysoPC 22_6",2707890.17321429,2917267.36071429,2194597.62678571,4262567.43214286,2917267.36071429,2377512.36607143,2194597.62678571,2707890.17321429
"lysoPC 18_0",20361405.2857143,20361405.2857143,20361405.2857143,20361405.2857143,20361405.2857143,20361405.2857143,22976408.6964286,22976408.6964286
"lysoPC 24_1",32697.9834678571,31812.2950125,22996.4870714286,34815.1407125,31145.2635178571,30828.0614821429,26837.4808035714,33964.91875
"lysoPC 18_3",159336.401428571,226122.400535714,197317.689285714,285347.296428571,243308.448035714,230115.201964286,169170.56625,252427.242857143
"lysoPC 20_3",2377512.36607143,3147640.32142857,2524491.27857143,3981165.63392857,2707890.17321429,2524491.27857143,2377512.36607143,2524491.27857143
"lysoPC 20_5",428359.130321429,428359.130321429,459518.717321429,599307.431678572,496519.185875,657027.033392857,342575.355107143,401213.237982143
"lysoPC 18_2",13227403.2142857,13227403.2142857,16300016.1428571,13227403.2142857,13227403.2142857,16300016.1428571,16300016.1428571,16300016.1428571
"lysoPC 20_0",207096.979232143,292906.622026786,273842.965982143,245267.81875,356284.348803571,411032.912625,362506.538348214,523287.875294643
"lysoPC 20_2",148082.963214286,197317.689285714,58590.797375,220961.976607143,81740.4788392857,99141.5412678571,91027.3493928571,148082.963214286
"lysoPC 16_1",571729.962142857,886650.390178571,753683.109821429,1479117.02589286,886650.390178571,753683.109821429,540163.743267857,919618.595714286
"lysoPC 14_0",57274.9927142857,77587.5420535714,47588.3137857143,93520.8039821429,64910.1661964286,53603.7779642857,43291.4779107143,69235.555
"lysoPC 22_0",66790.6490892857,64172.3337857143,55107.5350232143,74354.0717321429,77587.5420535714,77587.5420535714,72407.9940714286,103280.380357143
"lysoPC 16_0",29771910.5178571,29771910.5178571,22976408.6964286,22976408.6964286,27030744.1428571,29771910.5178571,27030744.1428571,39431359.6964286
"lysoPC 22_1",25515.7566642857,35812.2215678571,17470.1654285714,40158.8461785714,35812.2215678571,40740.1316785714,36345.0238035714,36743.522125
"lysoPC 22_4",44400.4986964286,67625.6619821429,31812.2950125,70122.0761785714,45353.4926071429,27852.3630714286,27516.2858410714,49856.8851607143
"lysoPC 24_0",64910.1661964286,81740.4788392857,71418.1367142857,127190.990535714,73265.899375,83724.0643392857,68428.0165178571,122175.508571429
"lysoPC 22_5",12961.7473964286,8885.06739660714,7149.45778035714,19508.9562589286,3176.56450892857,5932.3872675,3286.37972392857,10480.6037157143
"lysoPC 26_1",5510.25820196429,2524.25251839286,3904.26020160714,3481.14064946429,1958.08991857143,5380.08657803571,1801.38623892857,4233.94117535714
"lysoPC 22_2",3286.37972392857,4440.50417821429,2738.26377142857,4565.76887392857,3904.26020160714,5276.15300892857,4565.76887392857,4440.50417821429
"lysoPE 20_4",414307.393392857,435166.857857143,377003.085,518741.019642857,316463.574178571,281397.249821429,201258.031607143,306250.888214286
"lysoPE 18_2",130993.285892857,120778.945660714,151750.858928571,137903.137857143,104925.049285714,89732.2299821428,80728.0989821429,129249.328392857
"lysoPE 16_0",117821.062892857,143734.935357143,114718.668821429,208476.134642857,155129.416142857,136258.970214286,101877.901339286,151750.858928571
"lysoPE 18_0",171733.162857143,137903.137857143,130993.285892857,166881.198089286,143734.935357143,129249.328392857,120778.945660714,184039.758214286
"lysoPE 22_6",554847.643767857,626634.444821429,508610.486392857,816021.157142857,554847.643767857,459518.717321429,316463.574178571,435166.857857143
"lysoPE 18_1",71418.1367142857,103280.380357143,68428.0165178571,125566.644553571,88251.3293035714,60928.3265178571,67625.6619821429,100478.048964286
"lysoPE 22_5",40740.1316785714,48140.8671607143,25885.5997321429,50560.2420107143,42270.1891785714,24648.4148571429,31521.0185357143,52560.8878035714
"lysoPE 20_0",6173.28736053571,5083.32325839286,3797.53521178571,5630.22297285714,3797.53521178571,5510.25820196429,4859.26014035714,7019.53097964286
"lysoPE 20_3",33163.5863571429,16562.38995,19250.3550410714,21115.1249267857,12252.0707714286,12820.3079732143,11515.6484035714,17905.7529821429
"lysoPE 20_5",9064.79783035714,4767.35150946429,14429.5051482143,5707.80606535714,6547.23283035714,4440.50417821429,2409.38093892857,5630.22297285714
"lysoPE 20_1",8453.61662321429,8321.50644589286,5187.78708392857,10296.9797839286,9198.65279285714,5830.36731714286,6646.52262571429,10017.8381107143
"lysoPE 18_3",3062.60029232143,3598.08826178571,4440.50417821429,3904.26020160714,4972.19124428571,2623.71107660714,5187.78708392857,1958.08991857143
"MG 18_2",12445.6085892857,16062.4849892857,22655.337375,4677.01265857143,5830.36731714286,5083.32325839286,8709.31950178571,5380.08657803571
"MG 18_1",26837.4808035714,31521.0185357143,46570.3652142857,20466.9086928571,10660.3970267857,7019.53097964286,23535.6674,15248.5211732143
"PC 34_2",39431359.6964286,43196343.75,43196343.75,43196343.75,43196343.75,43196343.75,43196343.75,43196343.75
"PC 34_3",6336154.78392857,8413786.19642857,13227403.2142857,7750404.18214286,11631902.2053571,9353458.89285714,7750404.18214286,11631902.2053571
"PC 36_2",36431957.5714286,32242602.9285714,36431957.5714286,34589102.4642857,32242602.9285714,39431359.6964286,34589102.4642857,29771910.5178571
"PC 32_2",435166.857857143,443034.381428571,485844.163392857,571729.962142857,459518.717321429,435166.857857143,290126.623517857,554847.643767857
"PC 38_4",50560.2420107143,116331.312910714,111261.935339286,119141.037589286,83724.0643392857,111261.935339286,64910.1661964286,47588.3137857143
"PC 38_3",8413786.19642857,6336154.78392857,3404619.23928571,5549056.43392857,7750404.18214286,7750404.18214286,6336154.78392857,8413786.19642857
"PC 38_7",21658.0276339286,61580.5224107143,49856.8851607143,53603.7779642857,26496.8920107143,58590.797375,17470.1654285714,18589.3386625
"PC 36_5",2194597.62678571,2524491.27857143,1662327.25089286,2707890.17321429,2524491.27857143,2917267.36071429,1662327.25089286,3404619.23928571
"PC 36_4",22976408.6964286,22976408.6964286,29771910.5178571,29771910.5178571,22976408.6964286,22976408.6964286,20361405.2857143,20361405.2857143
"PC 38_6",32242602.9285714,34589102.4642857,32242602.9285714,36431957.5714286,34589102.4642857,32242602.9285714,32242602.9285714,27030744.1428571
"PC 36_3",72407.9940714286,141663.135,174443.509642857,197317.689285714,161801.384107143,151750.858928571,82936.7736785714,82936.7736785714
"PC 40_4",407758.431857143,393477.473428571,311979.460892857,466485.172642857,518741.019642857,477320.170892857,466485.172642857,638831.869375
"PC 36_6",93520.8039821429,119141.037589286,76376.5748392857,132752.419464286,106251.872142857,78684.2205,69235.555,114718.668821429
"PC 34_1",34589102.4642857,39431359.6964286,39431359.6964286,39431359.6964286,39431359.6964286,36431957.5714286,36431957.5714286,36431957.5714286
"PC 38_5",38739.4274821429,87020.9964285714,74354.0717321429,112896.958089286,74354.0717321429,70122.0761785714,55809.6597678571,37709.0024642857
"PC 32_0",3646891.38928571,3404619.23928571,3147640.32142857,3404619.23928571,4720640.14285714,4262567.43214286,3981165.63392857,5107607.39642857
"PC 40_9",111261.935339286,238608.613928571,306250.888214286,263002.767857143,271658.989642857,271658.989642857,164340.867678571,134721.242857143
"PC 42_5",22996.4870714286,29256.8306071429,25515.7566642857,27166.2703839286,71418.1367142857,31145.2635178571,38222.1059642857,33163.5863571429
"PC 30_1",27166.2703839286,23233.7167285714,27516.2858410714,24338.8607678571,17905.7529821429,23535.6674,17648.0953017857,25515.7566642857
"PC 44_7",3598.08826178571,4347.66305482143,4003.08042589286,3698.57423714286,2853.8806975,7288.34971535714,5932.3872675,4677.01265857143
"PC 36_0",166881.198089286,166881.198089286,112896.958089286,212703.797678571,164340.867678571,212703.797678571,151750.858928571,190104.917589286
"PC 34_4",187151.798392857,243308.448035714,171733.162857143,238608.613928571,266987.788392857,201258.031607143,136258.970214286,290126.623517857
"PC 38_1",104925.049285714,139873.235125,107961.024285714,159336.401428571,187151.798392857,159336.401428571,197317.689285714,197317.689285714
"PC 38_2",599307.431678572,708525.935696429,816021.157142857,919618.595714286,1082003.45821429,1145645.24982143,1041433.58625,1211694.65464286
"PC 40_8",753683.109821429,1211694.65464286,626634.444821429,1662327.25089286,1401515.98839286,1401515.98839286,847475.440892857,2194597.62678571
"PC 42_10",226122.400535714,414307.393392857,139873.235125,485844.163392857,381549.305160714,540163.743267857,386893.902142857,679997.608267857
"PC 40_7",1272932.56785714,2377512.36607143,1927700.38107143,2917267.36071429,2194597.62678571,1927700.38107143,1401515.98839286,1334914.06285714
