"Sample","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266"
"CE 20_5",190104.917589286,290126.623517857,197317.689285714,300330.617678571,540163.743267857,421091.437803571,435166.857857143,348602.556071429
"CE 22_6",1750917.09642857,1927700.38107143,1927700.38107143,1927700.38107143,2057660.45535714,2057660.45535714,1927700.38107143,1927700.38107143
"CE 20_4",5107607.39642857,5549056.43392857,3981165.63392857,4262567.43214286,4262567.43214286,3646891.38928571,3404619.23928571,3981165.63392857
"CE 20_2",48620.6934642857,35812.2215678571,46053.4322303571,53084.9719464286,55809.6597678571,58590.797375,37709.0024642857,33549.8261214286
"CE 18_2",1830197.00892857,2057660.45535714,2057660.45535714,1587400.85357143,1830197.00892857,1750917.09642857,1662327.25089286,1662327.25089286
"CE 18_1",450520.603928571,435166.857857143,414307.393392857,359016.831160714,450520.603928571,443034.381428571,407758.431857143,401213.237982143
"CE 20_3",816021.157142857,847475.440892857,788580.424071429,919618.595714286,816021.157142857,847475.440892857,729938.209285714,729938.209285714
"CE 18_3",47138.1425892857,40158.8461785714,64172.3337857143,52560.8878035714,74354.0717321429,72407.9940714286,66790.6490892857,64910.1661964286
"CE 22_4",82936.7736785714,73265.899375,61580.5224107143,99141.5412678571,51078.9281285714,79587.1851607143,53603.7779642857,60032.3102321429
"CE 16_1",69235.555,55809.6597678571,53084.9719464286,47588.3137857143,60032.3102321429,49856.8851607143,39672.23125,49856.8851607143
"CE 16_0",35409.6194821429,28827.6476035714,24648.4148571429,19054.5808375,30828.0614821429,30024.804525,32697.9834678571,41284.5769428571
"DG 32_0",48140.8671607143,36345.0238035714,47588.3137857143,33549.8261214286,39672.23125,48620.6934642857,34346.9940660714,43291.4779107143
"DG 34_2",32697.9834678571,31812.2950125,35409.6194821429,24878.3242321429,38739.4274821429,29256.8306071429,40158.8461785714,33163.5863571429
"DG 36_2",55107.5350232143,49173.166625,50560.2420107143,41788.9912446429,69235.555,57274.9927142857,106251.872142857,88251.3293035714
"DG 36_1",7958.53787553571,9064.79783035714,7446.81342910714,5380.08657803571,7560.55331428571,7958.53787553571,9198.65279285714,7958.53787553571
"DG 36_4",6173.28736053571,4565.76887392857,8885.06739660714,1583.11261982143,11324.7492232143,6894.08267107143,10147.4543035714,13295.9136892857
"DG 36_3",24338.8607678571,20701.8814285714,21115.1249267857,22996.4870714286,21395.8974232143,15439.1810178571,24648.4148571429,19054.5808375
"DG 34_1",31145.2635178571,24878.3242321429,26496.8920107143,22098.1082571429,21658.0276339286,24878.3242321429,20466.9086928571,24045.4217035714
"DG 38_5",21395.8974232143,7019.53097964286,12820.3079732143,9198.65279285714,20184.7195535714,11187.2991785714,13160.214875,12820.3079732143
"DG 38_6",8709.31950178571,1429.82686803571,5510.25820196429,1958.08991857143,4859.26014035714,3698.57423714286,3286.37972392857,2301.18930267857
"DG 34_3",6074.70763767857,2200.30958714286,5380.08657803571,2200.30958714286,4767.35150946429,4347.66305482143,4677.01265857143,1208.25424607143
"DG 36_0",9828.88380535714,23233.7167285714,13867.7270535714,13295.9136892857,4677.01265857143,8062.34949107143,8568.66695714286,5932.3872675
"DG 40_7",14025.1392089286,5083.32325839286,4565.76887392857,6173.28736053571,9064.79783035714,4129.22620732143,5187.78708392857,6646.52262571429
