"Sample","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309"
"CE 20_5",148082.963214286,130993.285892857,187151.798392857,134721.242857143,120778.945660714,100478.048964286,114718.668821429,137903.137857143
"CE 22_6",2917267.36071429,2707890.17321429,2057660.45535714,2917267.36071429,2194597.62678571,1927700.38107143,1830197.00892857,1750917.09642857
"CE 20_4",4720640.14285714,3404619.23928571,3981165.63392857,4262567.43214286,4262567.43214286,4262567.43214286,3404619.23928571,5107607.39642857
"CE 20_2",25885.5997321429,59235.9577142857,79587.1851607143,36345.0238035714,14025.1392089286,26837.4808035714,25187.8067964286,36743.522125
"CE 18_2",2707890.17321429,2917267.36071429,3147640.32142857,2707890.17321429,2917267.36071429,3404619.23928571,2377512.36607143,3147640.32142857
"CE 18_1",386893.902142857,393477.473428571,450520.603928571,393477.473428571,407758.431857143,365996.245535714,386893.902142857,377003.085
"CE 20_3",679997.608267857,657027.033392857,788580.424071429,729938.209285714,414307.393392857,496519.185875,335816.517321429,638831.869375
"CE 18_3",65810.4067678571,100478.048964286,48140.8671607143,81740.4788392857,109734.807660714,93520.8039821429,112896.958089286,82936.7736785714
"CE 22_4",58590.797375,62397.9615714286,75446.9514642857,42270.1891785714,30024.804525,23233.7167285714,17648.0953017857,47138.1425892857
"CE 16_1",19250.3550410714,15248.5211732143,18146.6995535714,16990.3754589286,19054.5808375,12445.6085892857,11031.9292982143,16062.4849892857
"CE 16_0",35409.6194821429,46570.3652142857,49173.166625,36743.522125,37210.6875,28827.6476035714,41284.5769428571,46570.3652142857
"DG 32_0",41788.9912446429,49856.8851607143,33163.5863571429,44400.4986964286,51863.2385178571,38739.4274821429,32263.4358392857,26171.2539482143
"DG 34_2",31145.2635178571,21870.113375,25515.7566642857,31812.2950125,14251.4973392857,41788.9912446429,52560.8878035714,25187.8067964286
"DG 36_2",47588.3137857143,29256.8306071429,55107.5350232143,40158.8461785714,23233.7167285714,56548.0280714286,72407.9940714286,44400.4986964286
"DG 36_1",5083.32325839286,4129.22620732143,8182.79665892857,8453.61662321429,5510.25820196429,7674.84652875,5380.08657803571,4440.50417821429
"DG 36_4",16305.6618767857,10821.5161821429,12054.161475,9064.79783035714,21658.0276339286,37709.0024642857,36345.0238035714,13867.7270535714
"DG 36_3",15248.5211732143,15000.8127196429,32263.4358392857,12646.7265160714,21870.113375,38222.1059642857,64172.3337857143,19707.9837678571
"DG 34_1",24045.4217035714,20896.0796607143,16562.38995,25515.7566642857,26496.8920107143,34815.1407125,22098.1082571429,13295.9136892857
"DG 38_5",18324.2519410714,23786.4344803571,33549.8261214286,21395.8974232143,21395.8974232143,44400.4986964286,24648.4148571429,31521.0185357143
"DG 38_6",18589.3386625,12252.0707714286,15660.504375,13160.214875,18589.3386625,22996.4870714286,23535.6674,16562.38995
"DG 34_3",3904.26020160714,2409.38093892857,2623.71107660714,2409.38093892857,2111.11652232143,3481.14064946429,6413.77860446429,2962.86339982143
"DG 36_0",9828.88380535714,15660.504375,14025.1392089286,12961.7473964286,10660.3970267857,10147.4543035714,8453.61662321429,6173.28736053571
"DG 40_7",10017.8381107143,7674.84652875,10821.5161821429,7446.81342910714,6646.52262571429,16062.4849892857,13696.6282857143,8321.50644589286
"DG 38_3",2853.8806975,5083.32325839286,6074.70763767857,2738.26377142857,11664.5865464286,3797.53521178571,6547.23283035714,2301.18930267857
"DG 32_2",2200.30958714286,1801.38623892857,2111.11652232143,2623.71107660714,1583.11261982143,3062.60029232143,4233.94117535714,3367.97632982143
"lysoPC 18_1",4262567.43214286,4720640.14285714,4720640.14285714,5549056.43392857,6336154.78392857,5107607.39642857,4720640.14285714,4720640.14285714
"lysoPC 20_4",5549056.43392857,7750404.18214286,8413786.19642857,8413786.19642857,10316561.6160714,8413786.19642857,5549056.43392857,7750404.18214286
