"Sample","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334"
"CE 20_5",99141.5412678571,88251.3293035714,109734.807660714,96672.7195,107961.024285714,47588.3137857143,50560.2420107143,106251.872142857
"CE 22_6",1927700.38107143,1830197.00892857,2524491.27857143,2194597.62678571,1750917.09642857,1662327.25089286,1830197.00892857,2194597.62678571
"CE 20_4",3981165.63392857,4720640.14285714,4262567.43214286,5107607.39642857,4720640.14285714,3646891.38928571,5107607.39642857,4720640.14285714
"CE 20_2",34346.9940660714,19707.9837678571,30828.0614821429,36345.0238035714,17470.1654285714,25885.5997321429,22098.1082571429,28495.2293321429
"CE 18_2",2707890.17321429,2377512.36607143,2707890.17321429,3147640.32142857,2524491.27857143,2917267.36071429,3646891.38928571,2917267.36071429
"CE 18_1",393477.473428571,353551.866446429,365996.245535714,401213.237982143,386893.902142857,365996.245535714,435166.857857143,393477.473428571
"CE 20_3",466485.172642857,450520.603928571,450520.603928571,583411.744732143,496519.185875,335816.517321429,485844.163392857,459518.717321429
"CE 18_3",44400.4986964286,41788.9912446429,57274.9927142857,47138.1425892857,65810.4067678571,58039.6899285714,100478.048964286,41788.9912446429
"CE 22_4",26171.2539482143,37709.0024642857,30426.4898571429,22098.1082571429,24878.3242321429,19054.5808375,23233.7167285714,16305.6618767857
"CE 16_1",15660.504375,9666.19391607143,11835.7087017857,11515.6484035714,21395.8974232143,15439.1810178571,11187.2991785714,15837.7024571429
"CE 16_0",44872.1232142857,42740.6879821429,43291.4779107143,34346.9940660714,34346.9940660714,32697.9834678571,45353.4926071429,43924.0483357143
"DG 32_0",29256.8306071429,31812.2950125,39672.23125,32697.9834678571,31812.2950125,44400.4986964286,64910.1661964286,47138.1425892857
"DG 34_2",25885.5997321429,26837.4808035714,22098.1082571429,27516.2858410714,38739.4274821429,38739.4274821429,42740.6879821429,29604.2187464286
"DG 36_2",35409.6194821429,38222.1059642857,31812.2950125,46053.4322303571,36345.0238035714,45353.4926071429,35409.6194821429,31145.2635178571
"DG 36_1",3904.26020160714,7560.55331428571,4677.01265857143,5830.36731714286,8182.79665892857,8321.50644589286,3176.56450892857,4233.94117535714
"DG 36_4",16758.3396607143,21395.8974232143,19707.9837678571,21395.8974232143,12445.6085892857,17205.0590267857,15837.7024571429,19250.3550410714
