"Sample","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289"
"DG 34_2",77688.3233362909,93023.381499912,90509.0858914233,294671.854636573,143918.337393831,209636.075455232,123658.23604849,223524.973258297
"DG 34_3",19028.7732969402,24524.5636861208,12618.8333493546,95139.118409496,25378.2584819943,40539.8678624307,28581.5931744224,38115.5030990945
"DG 36_3",66257.3182483344,47317.5833278387,35072.2571670287,190994.770565509,265090.481626636,285600.905882484,200904.581953389,265090.481626636
"DG 38_1",7673.45763461263,7860.68074802649,6097.54149632318,5356.20958603735,6813.54548410478,8643.23297631198,10866.8464510759,9413.31698330455
"DG 42_1",71273.2768878392,95139.118409496,113564.066355539,47317.5833278387,99347.903225749,126906.029457438,112273.979003138,112273.979003138
"DG 38_4",656031.417080701,605884.428076666,491092.55596236,505819.673411506,358500.314910743,714911.878151464,1049340.94581209,1049340.94581209
"DG 32_2",17342.0981752716,26134.6162467604,28993.464117957,70138.2473968135,12781.7273109445,17983.8299036484,11034.533699935,18187.6939136266
"DG 38_5",15106.4196359861,12781.7273109445,11684.1084991369,26445.6498018445,10458.9206785961,20910.8150978923,19203.3429422686,21891.5537184833
"DG 42_5",2571.09949565564,5480.36106743619,3714.17338211416,3580.15988602528,4708.76203337811,2716.3062741143,2251.81869021205,2142.46085230216
"DG 40_2",6097.54149632318,5849.40568966629,7455.48388835241,7376.93467832335,4349.42677600596,5296.8660515496,9884.69373829821,8940.03285088057
"DG 36_2",246152.157378492,173899.488566082,152548.141497764,349702.387293389,473514.396323247,430834.214148233,397778.30771661,443608.815411446
"DG 36_0",5772658.72700205,5772658.72700205,5772658.72700205,5772658.72700205,4686841.93355262,4686841.93355262,4364115.82260871,4850288.45298836
"DG 32_0",39556.1177807976,62980.3834795584,35588.2730403146,35072.2571670287,43871.1143900149,29559.6127479216,20335.218871122,21379.1619379132
"DG 40_5",7294.55431427239,7673.45763461263,10866.8464510759,9295.15236708354,7569.33270324337,7455.48388835241,10746.7319360256,13872.4731269625
"DG 32_1",15903.1636719416,15508.0548213557,20723.8087261491,38115.5030990945,9980.98145413166,16635.8568564016,8376.80072429699,15508.0548213557
"DG 38_3",95139.118409496,80589.2574650181,66257.3182483344,56628.2489575549,60166.5128489118,83139.8336152387,116292.48473204,101448.863644726
"DG 36_1",258509.846527005,285600.905882484,162650.431708373,170896.657612624,180760.130342769,204933.035648811,253046.948715379,216662.892799858
"DG 36_4",43127.956453077,31911.2149348523,37365.7036328191,61008.804468095,44315.8758536031,77688.3233362909,42420.0850862687,41493.4848411557
"DG 40_1",22292.2234065992,24853.3908896281,23998.0735836947,20562.9661931337,24524.5636861208,25127.7562827948,33717.5256255891,29882.8347307373
"DG 38_7",1808.20348206218,1580.02568520813,426.708547511286,3443.64112843136,753.882161980778,1338.64304046164,940.261813181366,569.981663224656
"DG 42_2",18352.1386873316,18529.4487020742,20167.5334982146,13021.0867705264,19203.3429422686,22544.1877704726,26134.6162467604,23998.0735836947
"DG 34_0",1232916.63256369,1889416.98346053,791344.876364551,937247.526570316,1170172.54612086,656031.417080701,656031.417080701,605884.428076666
"DG 40_6",14972.2221675654,11034.533699935,9513.54906936368,15320.5179280477,11383.9987105799,12332.1794405939,16250.1035465472,11273.4736028691
"DG 40_4",34190.1335949228,30997.9822217921,24524.5636861208,17027.9137424237,19550.4786983602,32627.1825471288,40539.8678624307,32627.1825471288
"DG 38_2",12781.7273109445,11684.1084991369,10084.5243079081,16250.1035465472,19718.7150950917,16789.57049199,25127.7562827948,16635.8568564016
"DG 38_6",8376.80072429699,7194.96845122194,7376.93467832335,12488.6839695275,10084.5243079081,8940.03285088057,8743.03737327956,12488.6839695275
"DG 38_0",105572.933037897,160324.769336452,93023.381499912,87005.7529160053,87005.7529160053,49328.283990755,47317.5833278387,41964.9397968801
"DG 40_0",62980.3834795584,101448.863644726,57845.1879812337,41111.2411963647,58535.5165196886,30235.1958660684,32962.545244116,28187.2005027653
"DG 30_1",2395.43871185329,3232.93503835219,4099.0418512615,7860.68074802649,1063.18474221352,1532.09554720426,325.045423786159,426.708547511286
"DG 44_2",3818.53011743654,4160.77931710736,4160.77931710736,3283.39021609753,3232.93503835219,4349.42677600596,4591.8598427265,3714.17338211416
"DG 42_3",4493.79792135863,4708.76203337811,4286.3938586557,3515.55305378852,7017.19469566664,5563.09756279768,5239.63454479781,4772.42405507662
"DG 42_4",5645.94363028883,5356.20958603735,5035.99303458581,4532.17699145362,6673.20576055493,8099.14144085014,9081.68863387421,7771.93478519984
"DG 42_0",7569.33270324337,14040.7586622347,4932.64129284711,8940.03285088057,8295.86235620433,8295.86235620433,6154.27078515524,7860.68074802649
"DG 44_6",7122.75331455143,13146.3545478315,6414.07589437904,3759.98949699223,7771.93478519984,7998.19358554573,9197.27529763568,2902.82107368187
"DG 44_1",4066.41069116318,3671.55825258607,6905.43634838432,1580.02568520813,4532.17699145362,4420.77640356408,3671.55825258607,5183.99948461113
"DG 30_2",2805.82042661492,4099.0418512615,2995.74208859765,10084.5243079081,1123.46535027962,2670.79515161868,1905.7821167239,4493.79792135863
"lysoPC 16_0",397778.30771661,349702.387293389,430834.214148233,358500.314910743,334156.635012901,387270.617647466,526908.240486991,583382.461353452
"lysoPC 18_2",27902.260694099,18898.0750906925,37679.2324284736,37679.2324284736,43127.956453077,58535.5165196886,74499.5627401666,67312.5417816368
"lysoPC 20_3",44920.290820394,22877.4895171125,30235.1958660684,97562.7801367842,41964.9397968801,34456.083497354,83139.8336152387,84918.4763312966
"lysoPC 20_4",27286.3180180708,15320.5179280477,30997.9822217921,37365.7036328191,26134.6162467604,27670.0936672965,44315.8758536031,50116.3302176068
"lysoPC 22_6",40539.8678624307,22292.2234065992,25721.1527974077,76079.3350327907,38115.5030990945,31656.9988202952,72498.6134936229,77688.3233362909
"lysoPC 16_1",13311.2638896907,10217.9101496267,21379.1619379132,16067.463872993,9646.40068994235,10458.9206785961,16461.9185105772,16461.9185105772
"lysoPC 18_1",302985.693493846,180760.130342769,265090.481626636,209636.075455232,216662.892799858,310104.381309937,387270.617647466,349702.387293389
"lysoPC 18_0",216662.892799858,154857.470859957,223524.973258297,302985.693493846,258509.846527005,325851.575914495,334156.635012901,342721.467376627
"lysoPC 22_0",54302.3577917493,44920.290820394,76079.3350327907,43127.956453077,52725.2571325448,71273.2768878392,62980.3834795584,61913.9655484281
"lysoPC 20_0",17832.1854382187,13472.5799988513,17027.9137424237,14472.8153843723,15903.1636719416,20723.8087261491,25378.2584819943,19203.3429422686
"lysoPC 14_0",3172.08257104545,3043.53122756663,3580.15988602528,3232.93503835219,3130.44089174333,6016.07480905237,5849.40568966629,6235.46847186208
