"Sample","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334"
"DG 34_2",310104.381309937,180760.130342769,119966.049617415,367151.564201145,253046.948715379,273593.712628702,319910.382681414,334156.635012901
"DG 34_3",68865.4159911298,54302.3577917493,29559.6127479216,119966.049617415,42420.0850862687,48784.8995749478,51873.638520381,72498.6134936229
"DG 36_3",230154.557420029,138334.780008591,77688.3233362909,216662.892799858,273593.712628702,265090.481626636,367151.564201145,443608.815411446
"DG 38_1",11684.1084991369,10746.7319360256,15320.5179280477,12488.6839695275,11684.1084991369,13872.4731269625,7122.75331455143,9744.92372465852
"DG 42_1",70138.2473968135,74499.5627401666,110803.361269483,54302.3577917493,110803.361269483,68865.4159911298,84918.4763312966,112273.979003138
"DG 38_4",738235.701981288,526908.240486991,817013.140585522,714911.878151464,817013.140585522,443608.815411446,738235.701981288,738235.701981288
"DG 32_2",72498.6134936229,38115.5030990945,29882.8347307373,74499.5627401666,21379.1619379132,22877.4895171125,15320.5179280477,26134.6162467604
"DG 38_5",14972.2221675654,21581.1265728941,19884.771516843,26134.6162467604,15714.0671322331,13311.2638896907,19718.7150950917,19390.5442069508
"DG 42_5",4841.88132293702,3671.55825258607,5296.8660515496,5950.32139780381,3955.27834533381,2716.3062741143,6016.07480905237,2251.81869021205
"DG 40_2",7771.93478519984,6314.38882186503,7376.93467832335,4882.87107528133,8542.10920207519,4932.64129284711,4286.3938586557,6813.54548410478
"DG 36_2",342721.467376627,273593.712628702,200904.581953389,430834.214148233,491092.55596236,376139.7399138,605884.428076666,656031.417080701
"DG 36_0",5772658.72700205,5772658.72700205,5772658.72700205,5772658.72700205,4364115.82260871,5772658.72700205,5772658.72700205,4686841.93355262
"DG 32_0",33305.8925619482,99347.903225749,54302.3577917493,88679.2392471334,48784.8995749478,44315.8758536031,97562.7801367842,36539.0195933176
"DG 40_5",7860.68074802649,4841.88132293702,13146.3545478315,7376.93467832335,6496.08711644631,7860.68074802649,7569.33270324337,11546.1641882785
"DG 32_1",46346.1451413675,28581.5931744224,24524.5636861208,55419.8712241161,22544.1877704726,23159.7373864312,21581.1265728941,26862.5909896027
"DG 38_3",59264.4870583515,48111.2995296212,80589.2574650181,91651.5838497487,83139.8336152387,62980.3834795584,90509.0858914233,101448.863644726
"DG 36_1",200904.581953389,258509.846527005,310104.381309937,236581.254552268,258509.846527005,200904.581953389,310104.381309937,258509.846527005
"DG 36_4",57845.1879812337,44920.290820394,65353.683728467,90509.0858914233,61008.804468095,41964.9397968801,70138.2473968135,71273.2768878392
"DG 40_1",29882.8347307373,27670.0936672965,39556.1177807976,22124.5566343064,30553.0861994212,25127.7562827948,27670.0936672965,28187.2005027653
"DG 38_7",867.322201796512,503.297067667094,867.322201796512,2511.13227825513,993.774257288947,709.339876200706,993.774257288947,1411.04692391368
"DG 42_2",14040.7586622347,12781.7273109445,18187.6939136266,11273.4736028691,20723.8087261491,12488.6839695275,16635.8568564016,18187.6939136266
"DG 34_0",714911.878151464,1736024.69956758,1362378.17713652,1521673.43425927,1110766.02950714,937247.526570316,1889416.98346053,1049340.94581209
"DG 40_6",13311.2638896907,9980.98145413166,16789.57049199,17832.1854382187,18187.6939136266,17679.5541886965,18898.0750906925,13872.4731269625
"DG 40_4",20723.8087261491,19203.3429422686,28581.5931744224,34190.1335949228,26862.5909896027,21163.8866669064,35588.2730403146,31656.9988202952
