"Sample","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334","Test.Pool_Negatve_01","Test.Pool_Negatve_02","Test.Pool_Negatve_03","Test.Pool_Negatve_04","Test.Pool_Negatve_05","Test.Pool_Negatve_06","Test.Pool_Negatve_07"
"CerP 34:1; [M-H]-@5.85",7609.879,15399.274,8523.336,5223.154,8813.774,6659.276,5145.018,15892.375,5383.668,9521.705,8376.147,9779.679,8976.118,10031.518,5092.2,11247.446,13327.029,6851.299,7730.234,9264.721,10881.092,17934.889,10820.585,11988.789,7741.174,15233.754,33679.75,22826.676,16378.604,11204.874,16796.129,13053.309,22097.324,19765.377,18807.953,16933.785,13461.852,18414.75,23310.832,13580.27,13350.459,12483.579,13651.158,15658.685,7460.14,18794.647,12560.563,30519.213,16850.93,10936.732,11675.163,12019.211,13079.587,6918.691,9343.685
"CerP 40:1; [M-H]-@7.69",79576.51,70565.69,62983.06,63653.02,49075.59,76427.43,113974.39,94431.13,84912.72,71758.4,118546.62,98128.39,79058.97,56536.78,63480.74,33361.91,105394.79,72356.46,42902.34,92040.21,84030.83,84296.52,66431.02,54187.33,44075.99,79328.79,36164.58,75004.67,71914.23,85589.32,117035.92,210345.13,128744.26,96602.51,95933.29,123258.88,108105.43,102442.73,127044.97,96048.67,114517.74,92355.26,115014.93,96787.65,71153.56,85794.65,63943.51,80371.84,128337.68,86540.81,124995.96,110084.11,82806.55,72450.22,71333.99
"CL 68:0; [M-2H](2-)@7.60",20357.657,34599.603,20899.157,22046.578,16411.292,13050.434,19297.385,18960.49,6702.325,33603.121,31027.436,36119.779,32371.045,41414.633,16130.281,54051.118,33204.4,11991.886,13494.748,17278.021,23075.227,38264.39,18192.532,17667.337,31976.679,15151.081,15396.289,16998.683,27878.584,10763.852,22742.165,27450.2,22535.695,33945.4,64721.274,218826.793,57195.509,12073.607,21708.022,16711.047,31125.956,29329.337,18512.183,20452.986,35789.232,36122.622,24572.974,28756.237,23289.721,29255.25,30027.228,40641.615,29903.36,24297.835,36415.007
"CL 68:1; [M-2H](2-)@5.86",16521.616,10732.004,26601.139,13341.271,21242.306,15671.311,13081.912,26217.874,6428.335,19301.289,12099.759,8154.702,15924.447,7512.812,5583.109,12371.524,11068.854,11289.702,3677.84,12764.916,10307.922,12829.877,12190.374,16914.018,10767.777,26596.791,17334.223,26328.481,23137.776,9145.058,23978.057,21396.232,25598.73,18278.376,21429.948,13370.6,7631.257,17881.102,11517.002,25987.529,19294.134,7215.569,14267.754,14789.869,10304.765,19997.527,23459.116,13733.97,12513.482,16685.387,14996.213,16229.366,24954.157,24270.299,23126.852
"CL 68:2; [M-2H](2-)@7.38",53887.17,179352.45,90078.6,109080.55,75124.79,63372.43,84430.84,64136.94,26993.32,197821.86,118379.3,137661.61,186611.43,162897.05,97680.68,118967.58,162450.63,83632.67,70003.14,68584.57,88757.55,123038.9,133199.22,101058.08,162442,80394.11,86269.2,59624.77,113261.05,65114.54,76306.23,127999.67,74869.23,164191.38,130889.23,123978,135679.25,48732.3,79819.93,73727.94,134946.89,126177.98,89373.23,80355.43,148299.36,161090.46,106488.97,99037.58,168408.46,165694.56,207248.57,206909.62,169554.87,155708.72,159443.07
"CL 68:6; [M-2H](2-)@5.51",19030.459,15186.776,38328.352,38807.59,12507.911,68584.984,19891.825,63161.671,24513.536,30927.946,39321.181,33836.709,29570.529,19841.686,32290.544,9173.089,9094.325,15497.515,1521.152,23060.081,10515.122,28760.738,12111.368,14234.381,9096.765,14554.611,22780.628,44557.313,16624.823,8364.561,54375.799,23801.907,14621.66,11829.556,12233.051,3511.343,9627.55,19988.959,13090.557,27502.237,28256.997,6589.714,19895.848,19235.155,10587.215,12604.582,23736.394,20261.549,25175.258,19723.387,23935.362,13880.008,15634.324,29352.184,25412.964
"CL 70:1; [M-2H](2-)@6.08",42467.08,15915.13,49334.06,68471.49,76577.71,78890.69,71056.08,102491.31,74440.86,76152.1,41878.81,52494.81,51467.24,62702.59,53458.2,84929.08,76861.54,37362.07,106826.73,56918.21,40303.39,15204.71,41676.41,63883.86,206381.28,18192.23,28904.6,32704.36,27549.73,308959.15,23759.33,17158.05,34872.45,15991.78,313277.68,194460.03,305539.29,23321.36,22086.67,25510.98,17013.98,12197.93,6533.89,20384.75,75148.96,16583.8,18937.75,22088.88,46040.13,52995.67,47928.39,19099.3,30563.93,44585.65,52565.19
"CL 70:3; [M-2H](2-)@5.58",27813.742,7068.721,32692.904,68279.603,31562.956,32846.762,36380.377,45538.329,44460.029,24438.46,35340.828,35592.247,38782.692,31562.622,185214.012,17200.091,23045.663,20636.059,6618.642,108413.182,59891.715,10674.982,56956.748,23626.258,17743.123,15691.732,39145.017,71294.636,33118.315,10027.593,27822.08,28352.496,53130.922,12382.096,20055.895,9427.467,18759.412,36408.13,21067.381,27576.964,22477.416,11228.237,10644.272,24047.2,86604.357,12673.809,33879.894,23157.965,34407.527,39847.217,23215.602,21077.444,36069.106,32536.479,23445.727
"CL 70:5; [M-2H](2-)@9.31",224659.77,89647.08,183669.75,120514.87,30359.52,144183.76,216051.37,163478.63,214978.35,187756.45,220392.95,198023.14,184045.62,251214.7,258480.58,96840.39,150911.82,168861.38,46660.95,146589.73,179261.77,109486.28,144997.92,136239.11,81262.68,62186.33,55037.27,125153.59,50298.75,19212.73,162761.27,109221.02,65135.7,65262.9,85235.38,29043.92,98309.9,119107.06,97383.89,73037.03,38796.03,60897.95,122132.08,85618.03,128639.04,36969.54,98286.29,110767.35,169450.55,161256.7,130739.44,125208.2,107946.03,90352.03,88874.04
"CL 70:6; [M-2H](2-)@5.77",111446.262,15865.489,103466.236,198177.962,104212.121,87632.063,97981.305,114702.481,141579.274,76396.566,117557.406,78452.273,87081.676,66313.862,89239.97,28725.146,46475.572,54467.723,9252.999,64978.558,29368.484,29790.328,34607.574,33933.392,29759.135,46682.457,93018.406,105865.214,84281.508,29863.741,54703.234,64851.588,82358.392,31273.538,41084.975,17814.762,35220.801,77938.774,41204.387,53030.914,32403.075,20683.508,24705.655,31983.991,31682.168,21730.023,35655.3,21191.181,59995.88,71753.842,69766.219,73035.445,65478.938,84413.143,74756.776
