"Lipid","Adduct","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334","QC","QC.1","QC.2","QC.3","QC.4","QC.5","QC.6","CV"
"PC 38:6"," [M-Ac-H]-@6.00",1284906.73203837,2172367.94602516,1434661.24333604,1360891.52220043,1805548.03513738,1563217.65577718,1434661.24333604,2172367.94602516,2172367.94602516,1563217.65577718,1563217.65577718,1563217.65577718,1805548.03513738,2172367.94602516,1805548.03513738,1330169.31930806,1563217.65577718,1805548.03513738,1805548.03513738,1805548.03513738,1805548.03513738,1805548.03513738,1805548.03513738,1805548.03513738,1805548.03513738,1477521.75806049,1240634.70385502,1360891.52220043,1805548.03513738,2172367.94602516,1477521.75806049,1563217.65577718,1563217.65577718,1805548.03513738,1434661.24333604,1477521.75806049,1360891.52220043,2172367.94602516,1477521.75806049,1805548.03513738,2172367.94602516,1805548.03513738,1563217.65577718,1805548.03513738,1805548.03513738,2172367.94602516,1563217.65577718,1330169.31930806,1805548.03513738,1805548.03513738,1805548.03513738,1805548.03513738,1805548.03513738,1805548.03513738,1805548.03513738,0
"PE 36:4"," [M-H]-@6.25",3846506.03054789,2989186.53296278,4657575.21988667,2989186.53296278,2989186.53296278,2989186.53296278,4657575.21988667,3846506.03054789,4657575.21988667,2989186.53296278,2172367.94602516,2989186.53296278,2989186.53296278,4657575.21988667,4657575.21988667,3846506.03054789,3846506.03054789,2989186.53296278,3846506.03054789,2989186.53296278,2989186.53296278,2172367.94602516,2989186.53296278,2989186.53296278,2989186.53296278,2172367.94602516,2989186.53296278,3846506.03054789,3846506.03054789,2989186.53296278,2989186.53296278,2989186.53296278,1805548.03513738,2989186.53296278,2989186.53296278,2172367.94602516,2172367.94602516,2989186.53296278,2989186.53296278,2989186.53296278,2989186.53296278,2989186.53296278,3846506.03054789,2989186.53296278,2989186.53296278,2989186.53296278,2989186.53296278,3846506.03054789,2989186.53296278,2989186.53296278,2989186.53296278,2989186.53296278,2989186.53296278,2989186.53296278,2989186.53296278,0
"PE 38:5"," [M-H]-@6.53",5362269.2356172,3846506.03054789,5362269.2356172,4657575.21988667,6652040.89899764,4657575.21988667,5362269.2356172,5362269.2356172,5362269.2356172,5362269.2356172,5362269.2356172,5362269.2356172,5362269.2356172,5362269.2356172,5362269.2356172,5362269.2356172,6652040.89899764,6652040.89899764,6652040.89899764,6652040.89899764,5362269.2356172,5362269.2356172,5362269.2356172,6652040.89899764,6652040.89899764,3846506.03054789,3846506.03054789,4657575.21988667,5362269.2356172,4657575.21988667,4657575.21988667,4657575.21988667,4657575.21988667,5362269.2356172,4657575.21988667,5362269.2356172,4657575.21988667,5362269.2356172,4657575.21988667,5362269.2356172,5362269.2356172,4657575.21988667,4657575.21988667,5362269.2356172,6652040.89899764,4657575.21988667,4657575.21988667,4657575.21988667,5362269.2356172,5362269.2356172,5362269.2356172,5362269.2356172,5362269.2356172,5362269.2356172,5362269.2356172,0
"PE 40:7"," [M-H]-@6.40",2172367.94602516,1805548.03513738,2172367.94602516,2172367.94602516,2172367.94602516,2172367.94602516,2172367.94602516,1563217.65577718,1563217.65577718,2172367.94602516,1805548.03513738,2172367.94602516,2172367.94602516,1805548.03513738,1477521.75806049,1563217.65577718,1477521.75806049,2172367.94602516,2989186.53296278,2172367.94602516,2172367.94602516,2989186.53296278,2172367.94602516,2172367.94602516,2172367.94602516,2989186.53296278,1330169.31930806,1240634.70385502,2172367.94602516,1805548.03513738,1805548.03513738,1805548.03513738,2989186.53296278,2172367.94602516,2172367.94602516,1805548.03513738,1477521.75806049,1330169.31930806,1240634.70385502,1360891.52220043,1805548.03513738,2172367.94602516,2172367.94602516,2172367.94602516,2172367.94602516,1805548.03513738,1805548.03513738,1477521.75806049,2172367.94602516,2172367.94602516,2172367.94602516,2172367.94602516,2172367.94602516,2172367.94602516,2172367.94602516,0
"PI 38:4"," [M-H]-@5.86",6652040.89899764,6652040.89899764,6652040.89899764,6652040.89899764,5362269.2356172,6652040.89899764,6652040.89899764,6652040.89899764,6652040.89899764,6652040.89899764,6652040.89899764,6652040.89899764,6652040.89899764,6652040.89899764,6652040.89899764,8934617.09875884,5362269.2356172,5362269.2356172,4657575.21988667,5362269.2356172,8175193.11088066,8175193.11088066,6652040.89899764,5362269.2356172,5362269.2356172,6652040.89899764,6652040.89899764,5362269.2356172,6652040.89899764,3846506.03054789,6652040.89899764,6652040.89899764,6652040.89899764,6652040.89899764,8175193.11088066,6652040.89899764,5362269.2356172,6652040.89899764,8175193.11088066,6652040.89899764,6652040.89899764,6652040.89899764,6652040.89899764,6652040.89899764,5362269.2356172,6652040.89899764,6652040.89899764,6652040.89899764,6652040.89899764,6652040.89899764,6652040.89899764,6652040.89899764,6652040.89899764,6652040.89899764,6652040.89899764,0
"plasmenyl-PE 42:6"," [M-H]-@7.71",202373.172699534,189294.061798486,208788.147287482,234571.82726034,195839.975750585,177326.928718652,225772.247189162,234571.82726034,144930.140918802,141715.927686262,181912.871395018,161160.804157178,247652.445144075,230120.458118071,161160.804157178,181912.871395018,208788.147287482,118096.963319881,102262.39039454,113119.08871725,136837.712454063,242360.539673958,93175.0716022023,150462.807134574,177326.928718652,337973.853922912,303108.577578514,234571.82726034,295421.205901521,270214.611960869,270214.611960869,343581.671666813,337973.853922912,195839.975750585,214340.763937673,242360.539673958,270214.611960869,195839.975750585,181912.871395018,278079.626374692,287161.122702733,225772.247189162,208788.147287482,225772.247189162,177326.928718652,270214.611960869,337973.853922912,247652.445144075,220401.015264899,234571.82726034,234571.82726034,234571.82726034,225772.247189162,234571.82726034,234571.82726034,2.51404560160239
"plasmenyl-PE 38:3"," [M-H]-@7.56",169476.688360362,406422.851200265,136837.712454063,136837.712454063,391991.075401312,359576.300330345,391991.075401312,126846.615144539,343581.671666813,234571.82726034,378570.527451316,378570.527451316,406422.851200265,144930.140918802,156942.202992535,260700.804347749,312672.922253112,128561.508408334,131493.365381345,177326.928718652,177326.928718652,406422.851200265,287161.122702733,260700.804347749,208788.147287482,208788.147287482,324416.627688208,415406.195410902,415406.195410902,181912.871395018,378570.527451316,448196.027788776,189294.061798486,431768.015308612,570181.045458088,630189.039136372,503280.34634104,370200.811223377,195839.975750585,136837.712454063,391991.075401312,303108.577578514,202373.172699534,343581.671666813,270214.611960869,324416.627688208,391991.075401312,406422.851200265,431768.015308612,431768.015308612,431768.015308612,448196.027788776,431768.015308612,406422.851200265,431768.015308612,2.84639285990487
"PE 36:3"," [M-H]-@6.58",1563217.65577718,1170870.19747674,1563217.65577718,1805548.03513738,1477521.75806049,1388536.73662013,1388536.73662013,1388536.73662013,1434661.24333604,1141806.82594899,1434661.24333604,1434661.24333604,1284906.73203837,1388536.73662013,2172367.94602516,1388536.73662013,1360891.52220043,1360891.52220043,1388536.73662013,1434661.24333604,1284906.73203837,1284906.73203837,1105777.26589244,1388536.73662013,1360891.52220043,1360891.52220043,1388536.73662013,1170870.19747674,1330169.31930806,1388536.73662013,1330169.31930806,1330169.31930806,1434661.24333604,1105777.26589244,1105777.26589244,857398.842731847,1330169.31930806,1563217.65577718,1434661.24333604,1563217.65577718,1141806.82594899,1170870.19747674,1284906.73203837,1330169.31930806,1284906.73203837,1330169.31930806,1284906.73203837,1170870.19747674,1477521.75806049,1360891.52220043,1360891.52220043,1434661.24333604,1434661.24333604,1434661.24333604,1434661.24333604,3.03718877331021
"plasmenyl-PE 34:2"," [M-H]-@6.73",54967.5570809419,54967.5570809419,49000.8732518591,89531.9676732323,57966.4207157565,63557.6638947225,60549.0879490913,69281.4798380118,64184.943535615,51161.5749350982,53465.167923091,53465.167923091,57019.204561377,49000.8732518591,50222.2123266577,74699.5418802271,80150.8172048298,40240.0754398973,45803.6944741775,42441.8011357103,43390.0427690779,57966.4207157565,26691.0866922063,43390.0427690779,29062.2865632281,82187.1006181964,126846.615144539,64184.943535615,63557.6638947225,61406.0632477407,59201.1508533141,72134.4767047597,67653.4106439194,61406.0632477407,67653.4106439194,72134.4767047597,72134.4767047597,48182.0717913388,47123.1700389236,60549.0879490913,57019.204561377,46377.5448066994,52357.5794593338,62248.297380789,49000.8732518591,54967.5570809419,60549.0879490913,63557.6638947225,62248.297380789,61406.0632477407,57019.204561377,57019.204561377,59201.1508533141,61406.0632477407,59201.1508533141,3.56744279261992
"PC 40:3"," [M-Ac-H]-@7.61",11958.7041055247,17654.6588222659,11601.4033339031,8006.1700733225,9457.7148263678,11601.4033339031,17858.1983327838,13879.4296212777,14389.3093218788,19766.0902323077,17858.1983327838,17858.1983327838,14589.2596391774,19502.167767695,16041.5719612405,11302.8023337359,31203.8141300625,17654.6588222659,11958.7041055247,13218.8810080463,12641.3271214671,18783.3928815169,24545.7280568123,14389.3093218788,14042.4022303097,5125.137447116,7013.81093793881,13693.1479985585,11196.8370100297,11046.1880011681,10364.5405776268,13016.721382706,13218.8810080463,20808.5828793092,21587.8162404977,20808.5828793092,20553.0435169247,24960.0432707651,25770.5874241869,20113.1906722862,25770.5874241869,14790.6659292596,21167.2774205338,12763.0232448943,20553.0435169247,24545.7280568123,20113.1906722862,21167.2774205338,16328.4466952437,16041.5719612405,15507.0561482008,15777.2991699635,16567.069256039,16859.0080277138,17300.6359888415,3.82462423743434
