"Class","Carbon","Chain","Adduct","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334"
"CE",16,1," [M+NH4]+@10.67",3793.73605084512,2039.71323146747,3681.18608394247,3509.81797920138,3980.09283918553,5095.39148358637,3947.68276337239,2633.70282567467,4375.30349670509,5588.00734598558,4740.58120621564,4046.41168477418,4816.92661576776,3509.81797920138,6204.20539970562,38254.2056444587,4352.74720008174,8813.69018530194,13968.6818038262,9965.75793731266,10217.7567972871,8389.90272731045,6670.95130253294,12023.0136743158,12774.047051995,2801.83256587401,2329.66083760412,782.544456556459,2463.85235090243,4064.43123530729,2787.46456758213,2463.85235090243,11012.8127589136,2292.51319700275,2153.55732639854,3793.73605084512,4104.47432342739,1666.51494721697,782.544456556459,1368.90333501256,4064.43123530729,2801.83256587401,2396.60695986736,2549.9478142938,4651.07417388974,2111.16915565378,3041.7934725039,1638.48253188433
"CE",16,2," [M+NH4]+@10.09",251.43706519062,223.545293198864,223.545293198864,283.927080665847,1294.782669757,468.12906795181,488.550869887022,544.522375388823,223.545293198864,587.828837963357,401.357430113191,468.12906795181,535.373865591017,223.545293198864,853.57897892234,401.357430113191,604.512858606365,2201.01173635389,3393.37782830152,2347.1043421304,1638.48253188433,324.751165357629,2126.78304823275,4942.01514868249,4942.01514868249,223.545293198864,172.875667470148,172.875667470148,544.522375388823,223.545293198864,468.12906795181,324.751165357629,512.224221536547,172.875667470148,172.875667470148,172.875667470148,172.875667470148,223.545293198864,223.545293198864,512.224221536547,172.875667470148,488.550869887022,324.751165357629,362.637362261131,2787.46456758213,362.637362261131,535.373865591017,172.875667470148
"CE",16,0," [M+NH4]+@10.97",2724.5793195552,3296.42027279908,2347.1043421304,2510.72455565872,2969.9778247057,2510.72455565872,2057.41867699427,2664.79874083962,2111.16915565378,2664.79874083962,2510.72455565872,3460.63880356535,2749.44358075053,2707.36013913356,3326.11617920981,6004.09932241579,3460.63880356535,3653.12836411614,22833.0337552682,6302.67907815243,8813.69018530194,11463.9837683774,3915.41370986772,6064.23020432577,10651.4909074882,3114.51201113667,3017.81609681193,2222.78484828685,2240.20328686215,4158.14077645848,3017.81609681193,2986.72547879943,14129.1047476765,3947.68276337239,4064.43123530729,5004.0916647346,7486.03814800902,2684.16899592295,2969.9778247057,3980.09283918553,3190.39601988978,3326.11617920981,3608.07627784769,4064.43123530729,5285.23665755958,3793.73605084512,5061.32673980389,4375.30349670509
"CE",22,6," [M+NH4]+@10.50",6370.12295766941,4780.75993694419,7989.04291578823,3947.68276337239,5370.9411307013,3915.41370986772,2362.98400548809,5413.99020214328,4780.75993694419,2153.55732639854,3190.39601988978,2831.78157646371,3793.73605084512,1317.34897814317,1713.15670890654,7679.39019365722,2549.9478142938,5641.91454082801,4561.97948587872,7296.91110402939,5413.99020214328,7799.28331799802,3538.48345389949,5004.0916647346,9305.37965226405,8103.10241384769,3509.81797920138,9745.72162595804,4297.32765293452,4520.52712664271,5370.9411307013,3213.95288849175,8154.35757026881,3137.22308896939,3114.51201113667,1796.44019095061,1796.44019095061,2724.5793195552,3681.18608394247,3296.42027279908,2490.0870873841,6204.20539970562,4251.26451468607,8298.33160095459,4104.47432342739,7149.98832484369,6537.23053843069,4714.57132214172
"CE",18,2," [M+NH4]+@10.68",21891.214775356,27279.5745919317,19627.1270103753,17417.3638930097,24300.2153389872,21281.716105718,21891.214775356,22122.286032615,24103.5313144553,9640.2457246382,12483.9920387019,12265.7524091103,16117.4974673831,11427.4024649282,12774.047051995,40164.9571390481,5858.54372244989,19402.2718164687,21891.214775356,24565.479577935,13681.1088522039,90872.1535862592,10335.0614774214,15441.3314525348,21499.8675767849,33158.4929006148,37024.2216409409,25526.2930323481,34130.6693822138,41648.3585519013,32877.522425997,21281.716105718,111158.332499694,11133.2459059991,22554.6299610122,11850.8956648633,21716.9374580112,31834.6772680668,19734.4956973106,32628.5052858994,20786.3918220843,33772.9731062559,21891.214775356,46764.7572681307,11427.4024649282,39345.2861958027,46295.5868290625,28680.2377966882
"CE",18,1," [M+NH4]+@10.91",32319.1975117992,46764.7572681307,34130.6693822138,30329.2354079651,58522.2469545577,36614.4026570515,31286.7108140912,32877.522425997,33772.9731062559,45318.3935503201,50916.1746091036,47727.9679118561,50916.1746091036,39345.2861958027,42289.2103262086,263009.855006669,36614.4026570515,44024.0922561105,224515.234726437,73961.3872605396,112611.025065258,131330.344833363,79042.4947477102,89829.9594643393,129757.033367477,37880.7574159998,40530.7723909027,18415.4383711671,38254.2056444587,38254.2056444587,46295.5868290625,34528.7216254758,178098.597961836,44024.0922561105,50170.3769829691,40164.9571390481,64931.7923032862,42683.5292181251,31586.1301321739,40530.7723909027,37024.2216409409,40164.9571390481,39865.0783604276,61080.6159934839,53942.0594615606,64347.7833401961,66568.4103653987,45318.3935503201
"DG",34,2," [M+NH4]+@7.58",4548799.77765387,4357197.78400929,5570843.99885273,4548799.77765387,4548799.77765387,5268696.54947492,4879775.52485589,3940207.45922362,3940207.45922362,6319225.94346054,5570843.99885273,4548799.77765387,4548799.77765387,5268696.54947492,5268696.54947492,4879775.52485589,5268696.54947492,5838334.37089802,4879775.52485589,4879775.52485589,4879775.52485589,3940207.45922362,5570843.99885273,5570843.99885273,5838334.37089802,3581928.81366308,3127646.13736274,3738273.8547349,3861215.29778433,3738273.8547349,3861215.29778433,3630410.70849431,3940207.45922362,5570843.99885273,3940207.45922362,6319225.94346054,4548799.77765387,3581928.81366308,3861215.29778433,4548799.77765387,4879775.52485589,4152883.96004135,3471770.91700051,2678086.71346041,5838334.37089802,4357197.78400929,3630410.70849431,3861215.29778433
"DG",36,3," [M+NH4]+@7.69",3241192.62060232,2519262.74101024,2745991.01928605,2745991.01928605,3354188.31645269,3630410.70849431,3630410.70849431,2417071.8535538,2006486.5564712,3940207.45922362,3630410.70849431,3241192.62060232,2876646.96950745,3241192.62060232,2174210.99429714,2745991.01928605,3861215.29778433,2306544.70134524,2105833.86715036,1891315.00930159,2006486.5564712,2105833.86715036,2262226.30154771,2006486.5564712,2745991.01928605,2745991.01928605,2306544.70134524,2361033.38820366,2306544.70134524,2417071.8535538,3241192.62060232,3471770.91700051,3354188.31645269,4152883.96004135,4152883.96004135,3861215.29778433,6319225.94346054,1273086.0311756,1509678.80795524,3471770.91700051,4548799.77765387,2174210.99429714,828167.217423425,893324.137877715,2174210.99429714,3581928.81366308,2174210.99429714,3127646.13736274
"DG",40,5," [M+NH4]+@8.01",71095.2014850835,203605.199452851,104241.280521005,44779.6960547522,89054.874745338,72698.9541535975,77939.4761919844,112611.025065258,52956.3951662452,90872.1535862592,108259.564861215,109779.628932065,117151.06355283,131330.344833363,52125.4570300496,62697.4706732821,93824.3805573624,66568.4103653987,49095.6636716867,42289.2103262086,36614.4026570515,144037.791465528,38794.2625867384,38254.2056444587,52125.4570300496,53942.0594615606,72698.9541535975,133578.194443024,129757.033367477,72698.9541535975,106739.081221889,141691.439941726,89829.9594643393,239649.141858628,236098.534861412,184394.056512352,246780.912515554,117151.06355283,104241.280521005,117151.06355283,146684.209558101,129757.033367477,86390.6868003689,114611.226029598,52125.4570300496,197258.633944881,138838.766552366,230335.205077582
"DG",42,9," [M+NH4]+@7.29",7238.96136822344,23405.7501917733,9457.06140130954,8154.35757026881,11012.8127589136,5588.00734598558,10043.2766494492,10277.655315727,3681.18608394247,31834.6772680668,20649.6422341141,16434.8192218106,18415.4383711671,14544.4548822239,9015.61809485474,11463.9837683774,17063.1665377589,6131.99802999944,9082.4888278898,5004.0916647346,4375.30349670509,28375.8745004672,7351.88585211156,4251.26451468607,7238.96136822344,9252.29667955813,9457.06140130954,12483.9920387019,22554.6299610122,11619.1247947076,15441.3314525348,29101.4604065852,13083.5577641879,42683.5292181251,41040.9749646158,37024.2216409409,72698.9541535975,11363.6719494148,15441.3314525348,17647.5742413616,36614.4026570515,24565.479577935,15941.6762991514,15759.6582710285,5858.54372244989,24774.4929782752,21891.214775356,34130.6693822138
