"Sample","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334","QC","QC.1","QC.2","QC.3","QC.4","QC.5","QC.6"
"CerP 44:2; [M+H]+@7.43",138334.780008591,216662.892799858,170896.657612624,200904.581953389,152548.141497764,265090.481626636,236581.254552268,135780.63468126,114832.463512575,149931.595090387,91651.5838497487,110803.361269483,77688.3233362909,129987.126107419,180760.130342769,246152.157378492,129987.126107419,107262.312485813,149931.595090387,143918.337393831,216662.892799858,204933.035648811,154857.470859957,119966.049617415,204933.035648811,294671.854636573,246152.157378492,223524.973258297,168295.152220327,152548.141497764,149931.595090387,141350.507760114,154857.470859957,209636.075455232,246152.157378492,273593.712628702,387270.617647466,430834.214148233,216662.892799858,294671.854636573,302985.693493846,387270.617647466,376139.7399138,319910.382681414,302985.693493846,334156.635012901,417740.909957642,246152.157378492,236581.254552268,180760.130342769,180760.130342769,152548.141497764,135780.63468126,112273.979003138,138334.780008591
"DG 30:1; [M+NH4]+@6.96",1532.09554720426,7998.19358554573,426.708547511286,7455.48388835241,1338.64304046164,1808.20348206218,1905.7821167239,503.297067667094,2193.16301258689,3818.53011743654,2847.53188855849,1198.94675430264,818.182590978346,818.182590978346,569.981663224656,569.981663224656,2902.82107368187,3043.53122756663,2142.46085230216,2347.39096477112,1677.24310014025,2805.82042661492,1854.63901314069,1478.38811687831,2395.43871185329,3232.93503835219,4099.0418512615,7860.68074802649,1063.18474221352,1532.09554720426,325.045423786159,426.708547511286,4160.77931710736,3759.98949699223,12031.4387587379,4349.42677600596,818.182590978346,1411.04692391368,1808.20348206218,867.322201796512,6414.07589437904,4591.8598427265,3082.74948686888,8940.03285088057,1580.02568520813,1627.74608298836,1747.80890679262,2847.53188855849,1580.02568520813,1411.04692391368,1953.22247719673,1808.20348206218,1627.74608298836,2347.39096477112,2511.13227825513
"DG 30:2; [M+NH4]+@6.49",940.261813181366,2296.76873423381,1905.7821167239,5849.40568966629,1123.46535027962,709.339876200706,1478.38811687831,753.882161980778,3232.93503835219,5563.09756279768,3338.7624604319,1478.38811687831,1532.09554720426,1411.04692391368,1478.38811687831,4099.0418512615,4160.77931710736,3818.53011743654,2052.81109483146,2395.43871185329,4286.3938586557,2571.09949565564,3283.39021609753,1411.04692391368,2805.82042661492,4099.0418512615,2995.74208859765,10084.5243079081,1123.46535027962,2670.79515161868,1905.7821167239,4493.79792135863,6016.07480905237,2902.82107368187,13472.5799988513,2716.3062741143,1411.04692391368,1808.20348206218,2142.46085230216,1532.09554720426,10333.3513768161,3626.56543918095,2805.82042661492,7122.75331455143,1258.62638779867,2995.74208859765,2395.43871185329,2902.82107368187,3759.98949699223,1627.74608298836,4219.33294412033,3338.7624604319,2670.79515161868,2445.17648560438,3443.64112843136
"DG 32:0; [M+NH4]+@7.99",12332.1794405939,28993.464117957,13688.4367662645,41493.4848411557,11273.4736028691,35588.2730403146,50116.3302176068,12618.8333493546,16635.8568564016,30553.0861994212,20167.5334982146,16461.9185105772,13688.4367662645,17832.1854382187,12781.7273109445,37365.7036328191,11273.4736028691,17514.1100655277,28581.5931744224,16461.9185105772,70138.2473968135,43127.956453077,38115.5030990945,29882.8347307373,39556.1177807976,62980.3834795584,35588.2730403146,35072.2571670287,43871.1143900149,29559.6127479216,20335.218871122,21379.1619379132,60166.5128489118,32627.1825471288,34730.4902446366,35588.2730403146,31656.9988202952,41111.2411963647,41964.9397968801,50116.3302176068,33305.8925619482,99347.903225749,54302.3577917493,88679.2392471334,48784.8995749478,44315.8758536031,97562.7801367842,36539.0195933176,33305.8925619482,36067.1033115075,36934.2201731801,41111.2411963647,45464.0372744196,39556.1177807976,45464.0372744196
"DG 32:1; [M+NH4]+@7.54",17679.5541886965,28581.5931744224,16461.9185105772,34456.083497354,10458.9206785961,3443.64112843136,11273.4736028691,11684.1084991369,20910.8150978923,36934.2201731801,26862.5909896027,18352.1386873316,8837.01907379447,14673.5522850476,11840.9053550274,31911.2149348523,23507.9832798941,14972.2221675654,12781.7273109445,18187.6939136266,13311.2638896907,19028.7732969402,24318.9240043805,10333.3513768161,15903.1636719416,15508.0548213557,20723.8087261491,38115.5030990945,9980.98145413166,16635.8568564016,8376.80072429699,15508.0548213557,32627.1825471288,30235.1958660684,64201.4139458909,30235.1958660684,14040.7586622347,12216.4647436599,23507.9832798941,15106.4196359861,46346.1451413675,28581.5931744224,24524.5636861208,55419.8712241161,22544.1877704726,23159.7373864312,21581.1265728941,26862.5909896027,16250.1035465472,14472.8153843723,18187.6939136266,15320.5179280477,19550.4786983602,20335.218871122,16635.8568564016
"DG 32:2; [M+NH4]+@7.09",18187.6939136266,24853.3908896281,14472.8153843723,44920.290820394,7569.33270324337,1854.63901314069,11546.1641882785,8743.03737327956,20167.5334982146,52725.2571325448,31656.9988202952,20910.8150978923,7455.48388835241,14472.8153843723,8376.80072429699,27670.0936672965,47317.5833278387,21891.5537184833,15903.1636719416,19550.4786983602,16789.57049199,17983.8299036484,31911.2149348523,9081.68863387421,17342.0981752716,26134.6162467604,28993.464117957,70138.2473968135,12781.7273109445,17983.8299036484,11034.533699935,18187.6939136266,57845.1879812337,41493.4848411557,112273.979003138,39556.1177807976,12031.4387587379,9513.54906936368,25378.2584819943,16461.9185105772,72498.6134936229,38115.5030990945,29882.8347307373,74499.5627401666,21379.1619379132,22877.4895171125,15320.5179280477,26134.6162467604,23507.9832798941,24524.5636861208,26134.6162467604,27286.3180180708,22124.5566343064,25378.2584819943,27286.3180180708
"DG 33:0; [M+NH4]+@8.26",2142.46085230216,5645.94363028883,1532.09554720426,6414.07589437904,2618.5692247546,4160.77931710736,8743.03737327956,2347.39096477112,2251.81869021205,5183.99948461113,4640.22791190902,3130.44089174333,3130.44089174333,2902.82107368187,1627.74608298836,5563.09756279768,2142.46085230216,3998.54115068617,3626.56543918095,2670.79515161868,10084.5243079081,5718.39377688003,5950.32139780381,3626.56543918095,6608.62976664637,13872.4731269625,3900.70519820493,5645.94363028883,5849.40568966629,5718.39377688003,4160.77931710736,3626.56543918095,11034.533699935,5083.0431779587,4349.42677600596,8542.10920207519,4066.41069116318,5296.8660515496,6813.54548410478,4708.76203337811,4420.77640356408,7860.68074802649,14472.8153843723,15106.4196359861,7673.45763461263,4640.22791190902,15903.1636719416,8195.52863417798,5083.0431779587,6016.07480905237,10746.7319360256,8099.14144085014,6154.27078515524,9646.40068994235,7294.55431427239
"DG 33:1; [M+NH4]+@7.81",2670.79515161868,2764.03066801077,1258.62638779867,3580.15988602528,2251.81869021205,2142.46085230216,569.981663224656,1411.04692391368,3955.27834533381,3172.08257104545,3043.53122756663,2052.81109483146,2395.43871185329,2251.81869021205,2089.28813686937,3818.53011743654,1532.09554720426,3082.74948686888,1478.38811687831,1532.09554720426,1258.62638779867,3955.27834533381,1953.22247719673,1677.24310014025,1532.09554720426,1808.20348206218,1808.20348206218,3130.44089174333,1580.02568520813,1411.04692391368,1854.63901314069,2251.81869021205,1677.24310014025,3443.64112843136,4219.33294412033,1953.22247719673,1953.22247719673,2052.81109483146,4160.77931710736,1905.7821167239,3671.55825258607,5480.36106743619,2193.16301258689,4286.3938586557,1123.46535027962,2347.39096477112,5239.63454479781,2764.03066801077,1905.7821167239,1953.22247719673,1905.7821167239,2052.81109483146,1198.94675430264,1905.7821167239,1627.74608298836
"DG 34:0; [M+NH4]+@8.50",294671.854636573,656031.417080701,310104.381309937,1049340.94581209,342721.467376627,1110766.02950714,1232916.63256369,246152.157378492,358500.314910743,873649.246921088,417740.909957642,325851.575914495,310104.381309937,302985.693493846,216662.892799858,656031.417080701,246152.157378492,358500.314910743,714911.878151464,294671.854636573,1232916.63256369,848209.171972885,605884.428076666,714911.878151464,1232916.63256369,1889416.98346053,791344.876364551,937247.526570316,1170172.54612086,656031.417080701,656031.417080701,605884.428076666,1362378.17713652,738235.701981288,473514.396323247,873649.246921088,738235.701981288,1049340.94581209,817013.140585522,873649.246921088,714911.878151464,1736024.69956758,1362378.17713652,1521673.43425927,1110766.02950714,937247.526570316,1889416.98346053,1049340.94581209,791344.876364551,1170172.54612086,1170172.54612086,1232916.63256369,1292322.62228349,1232916.63256369,1110766.02950714
"DG 34:2; [M+NH4]+@7.62",149931.595090387,195751.994832818,110803.361269483,253046.948715379,117834.275494868,65353.683728467,117834.275494868,138334.780008591,126906.029457438,253046.948715379,184121.861896287,135780.63468126,114832.463512575,200904.581953389,157347.172911954,349702.387293389,204933.035648811,108768.194434849,88679.2392471334,90509.0858914233,141350.507760114,246152.157378492,342721.467376627,95139.118409496,77688.3233362909,93023.381499912,90509.0858914233,294671.854636573,143918.337393831,209636.075455232,123658.23604849,223524.973258297,177646.613127887,200904.581953389,334156.635012901,173899.488566082,160324.769336452,117834.275494868,325851.575914495,184121.861896287,310104.381309937,180760.130342769,119966.049617415,367151.564201145,253046.948715379,273593.712628702,319910.382681414,334156.635012901,168295.152220327,147710.638309571,149931.595090387,157347.172911954,154857.470859957,152548.141497764,152548.141497764
