"Class","Carbon","Chain","Adduct","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334"
"DG",34,2," [M+NH4]+@7.62",149931.595090387,195751.994832818,110803.361269483,253046.948715379,117834.275494868,65353.683728467,117834.275494868,138334.780008591,126906.029457438,253046.948715379,184121.861896287,135780.63468126,114832.463512575,200904.581953389,157347.172911954,349702.387293389,204933.035648811,108768.194434849,88679.2392471334,90509.0858914233,141350.507760114,246152.157378492,342721.467376627,95139.118409496,77688.3233362909,93023.381499912,90509.0858914233,294671.854636573,143918.337393831,209636.075455232,123658.23604849,223524.973258297,177646.613127887,200904.581953389,334156.635012901,173899.488566082,160324.769336452,117834.275494868,325851.575914495,184121.861896287,310104.381309937,180760.130342769,119966.049617415,367151.564201145,253046.948715379,273593.712628702,319910.382681414,334156.635012901
"DG",34,3," [M+NH4]+@7.21",30553.0861994212,61913.9655484281,20335.218871122,61008.804468095,20562.9661931337,3955.27834533381,24318.9240043805,20335.218871122,37365.7036328191,68865.4159911298,61913.9655484281,31656.9988202952,19550.4786983602,41111.2411963647,24853.3908896281,71273.2768878392,55419.8712241161,28581.5931744224,20562.9661931337,26134.6162467604,34190.1335949228,44920.290820394,74499.5627401666,24318.9240043805,19028.7732969402,24524.5636861208,12618.8333493546,95139.118409496,25378.2584819943,40539.8678624307,28581.5931744224,38115.5030990945,55419.8712241161,51022.0681513153,83139.8336152387,42420.0850862687,23720.7146673046,19718.7150950917,61008.804468095,43871.1143900149,68865.4159911298,54302.3577917493,29559.6127479216,119966.049617415,42420.0850862687,48784.8995749478,51873.638520381,72498.6134936229
"DG",36,3," [M+NH4]+@7.73",119966.049617415,143918.337393831,77688.3233362909,204933.035648811,141350.507760114,47317.5833278387,180760.130342769,162650.431708373,107262.312485813,209636.075455232,180760.130342769,119966.049617415,143918.337393831,265090.481626636,200904.581953389,387270.617647466,141350.507760114,87005.7529160053,71273.2768878392,71273.2768878392,223524.973258297,387270.617647466,473514.396323247,121912.318370366,66257.3182483344,47317.5833278387,35072.2571670287,190994.770565509,265090.481626636,285600.905882484,200904.581953389,265090.481626636,116292.48473204,165784.569108554,160324.769336452,97562.7801367842,162650.431708373,119966.049617415,367151.564201145,186702.776833345,230154.557420029,138334.780008591,77688.3233362909,216662.892799858,273593.712628702,265090.481626636,367151.564201145,443608.815411446
"DG",38,1," [M+NH4]+@8.99",15320.5179280477,9413.31698330455,13872.4731269625,7569.33270324337,13872.4731269625,13311.2638896907,6905.43634838432,16067.463872993,19390.5442069508,8542.10920207519,9744.92372465852,15903.1636719416,15508.0548213557,10084.5243079081,13872.4731269625,7673.45763461263,12488.6839695275,12618.8333493546,11840.9053550274,13872.4731269625,7860.68074802649,8743.03737327956,9513.54906936368,10866.8464510759,7673.45763461263,7860.68074802649,6097.54149632318,5356.20958603735,6813.54548410478,8643.23297631198,10866.8464510759,9413.31698330455,18529.4487020742,12781.7273109445,16461.9185105772,12031.4387587379,11546.1641882785,13472.5799988513,16789.57049199,11840.9053550274,11684.1084991369,10746.7319360256,15320.5179280477,12488.6839695275,11684.1084991369,13872.4731269625,7122.75331455143,9744.92372465852
"DG",42,1," [M+NH4]+@9.70",123658.23604849,46346.1451413675,121912.318370366,49328.283990755,123658.23604849,170896.657612624,57845.1879812337,149931.595090387,116292.48473204,59264.4870583515,70138.2473968135,141350.507760114,149931.595090387,83139.8336152387,107262.312485813,77688.3233362909,170896.657612624,152548.141497764,117834.275494868,138334.780008591,55419.8712241161,57845.1879812337,66257.3182483344,107262.312485813,71273.2768878392,95139.118409496,113564.066355539,47317.5833278387,99347.903225749,126906.029457438,112273.979003138,112273.979003138,117834.275494868,123658.23604849,77688.3233362909,101448.863644726,138334.780008591,105572.933037897,116292.48473204,135780.63468126,70138.2473968135,74499.5627401666,110803.361269483,54302.3577917493,110803.361269483,68865.4159911298,84918.4763312966,112273.979003138
"DG",38,4," [M+NH4]+@8.13",848209.171972885,505819.673411506,817013.140585522,430834.214148233,714911.878151464,977535.754080651,505819.673411506,977535.754080651,1521673.43425927,632064.883944359,632064.883944359,1362378.17713652,1736024.69956758,473514.396323247,873649.246921088,632064.883944359,1232916.63256369,873649.246921088,937247.526570316,817013.140585522,443608.815411446,325851.575914495,714911.878151464,738235.701981288,656031.417080701,605884.428076666,491092.55596236,505819.673411506,358500.314910743,714911.878151464,1049340.94581209,1049340.94581209,1049340.94581209,1110766.02950714,905287.045004015,977535.754080651,714911.878151464,817013.140585522,873649.246921088,817013.140585522,738235.701981288,526908.240486991,817013.140585522,714911.878151464,817013.140585522,443608.815411446,738235.701981288,738235.701981288
"DG",32,2," [M+NH4]+@7.09",18187.6939136266,24853.3908896281,14472.8153843723,44920.290820394,7569.33270324337,1854.63901314069,11546.1641882785,8743.03737327956,20167.5334982146,52725.2571325448,31656.9988202952,20910.8150978923,7455.48388835241,14472.8153843723,8376.80072429699,27670.0936672965,47317.5833278387,21891.5537184833,15903.1636719416,19550.4786983602,16789.57049199,17983.8299036484,31911.2149348523,9081.68863387421,17342.0981752716,26134.6162467604,28993.464117957,70138.2473968135,12781.7273109445,17983.8299036484,11034.533699935,18187.6939136266,57845.1879812337,41493.4848411557,112273.979003138,39556.1177807976,12031.4387587379,9513.54906936368,25378.2584819943,16461.9185105772,72498.6134936229,38115.5030990945,29882.8347307373,74499.5627401666,21379.1619379132,22877.4895171125,15320.5179280477,26134.6162467604
"DG",38,5," [M+NH4]+@7.72",22124.5566343064,11684.1084991369,19884.771516843,16635.8568564016,18352.1386873316,18688.3500713106,9980.98145413166,25378.2584819943,33305.8925619482,20910.8150978923,20335.218871122,26658.0812070253,24524.5636861208,15320.5179280477,22124.5566343064,19390.5442069508,26862.5909896027,22544.1877704726,18352.1386873316,22877.4895171125,16461.9185105772,17514.1100655277,32254.2506654743,13872.4731269625,15106.4196359861,12781.7273109445,11684.1084991369,26445.6498018445,10458.9206785961,20910.8150978923,19203.3429422686,21891.5537184833,20910.8150978923,25721.1527974077,23507.9832798941,28187.2005027653,20335.218871122,20167.5334982146,22292.2234065992,15320.5179280477,14972.2221675654,21581.1265728941,19884.771516843,26134.6162467604,15714.0671322331,13311.2638896907,19718.7150950917,19390.5442069508
"DG",42,5," [M+NH4]+@8.65",867.322201796512,753.882161980778,2395.43871185329,1198.94675430264,1627.74608298836,2089.28813686937,2571.09949565564,2089.28813686937,3172.08257104545,1953.22247719673,2052.81109483146,2902.82107368187,2716.3062741143,1747.80890679262,2347.39096477112,3671.55825258607,818.182590978346,3759.98949699223,2347.39096477112,1992.22622139065,5296.8660515496,2995.74208859765,3515.55305378852,3818.53011743654,2571.09949565564,5480.36106743619,3714.17338211416,3580.15988602528,4708.76203337811,2716.3062741143,2251.81869021205,2142.46085230216,3714.17338211416,1953.22247719673,2511.13227825513,3283.39021609753,1992.22622139065,6673.20576055493,2347.39096477112,3671.55825258607,4841.88132293702,3671.55825258607,5296.8660515496,5950.32139780381,3955.27834533381,2716.3062741143,6016.07480905237,2251.81869021205
"DG",40,2," [M+NH4]+@9.03",11840.9053550274,7673.45763461263,18187.6939136266,8542.10920207519,9295.15236708354,12618.8333493546,7122.75331455143,14256.5889273576,13688.4367662645,8643.23297631198,8743.03737327956,12216.4647436599,9744.92372465852,7122.75331455143,7673.45763461263,8542.10920207519,7294.55431427239,6016.07480905237,9413.31698330455,8643.23297631198,2805.82042661492,3443.64112843136,6608.62976664637,6905.43634838432,6097.54149632318,5849.40568966629,7455.48388835241,7376.93467832335,4349.42677600596,5296.8660515496,9884.69373829821,8940.03285088057,12216.4647436599,7998.19358554573,7998.19358554573,4932.64129284711,9980.98145413166,5849.40568966629,9884.69373829821,9081.68863387421,7771.93478519984,6314.38882186503,7376.93467832335,4882.87107528133,8542.10920207519,4932.64129284711,4286.3938586557,6813.54548410478
