"Sample","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334"
"CerP 34:1; [M-H]-@5.85",6960.07731895833,17169.6702041667,7304.76754583333,4467.85693554167,11394.8441291667,6108.25067729167,5199.145925,11712.2843875,4467.85693554167,5853.10948833333,8191.14889291667,7619.0961825,7304.76754583333,8802.10306041667,3634.44800833333,11983.8822041667,13798.0491354167,5853.10948833333,21414.3248604167,9504.1460625,11394.8441291667,20007.584325,10889.72468125,12578.51191875,9868.87921458333,20007.584325,31260.0800833333,17169.6702041667,16879.6572,24265.4780416667,13186.5806520833,13186.5806520833,21823.5517916667,21823.5517916667,16327.420575,25329.151,15011.63186875,15572.210625,22514.8061458333,13798.0491354167,14389.55874375,18391.13085,16327.420575,14389.55874375,9148.18626041667,22514.8061458333,13186.5806520833,31260.0800833333
"CerP 40:1; [M-H]-@7.69",85809.3052291667,82698.4787083333,58093.2025395833,54355.2983125,72002.8937520833,73110.9728958333,99955.5317770833,74075.5712916667,80107.6354791667,56247.3745229167,91622.30395,76073.9130708333,69145.9673541667,51862.794375,52740.4624791667,37369.1714104167,101576.713875,61855.178625,126502.606604167,85809.3052291667,87308.9777083333,91622.30395,57137.2800020833,54355.2983125,48459.23671875,115882.006483333,35230.3481958333,57137.2800020833,91622.30395,187663.241375,106596.412375,216098.346395833,162225.8261875,104571.881791667,85809.3052291667,195279.97075,117405.670854167,78815.1411333333,118799.049777083,101576.713875,126502.606604167,126502.606604167,120988.088714583,108811.354333333,61855.178625,106596.412375,65257.8955104167,76073.9130708333
"CL 68:0; [M-2H](2-)@7.60",18111.1894104167,39942.0398333333,18111.1894104167,19005.6985541667,22139.6661145833,12240.0712416667,15285.3536625,13798.0491354167,6359.40409166667,27778.1414229167,24601.2273125,28596.44476875,25329.151,35230.3481958333,14389.55874375,61855.178625,31260.0800833333,10538.32420625,38513.4215625,18391.13085,22514.8061458333,37963.1421416667,17808.9790416667,19388.13125625,34272.9579166667,19703.7775770833,15572.210625,13798.0491354167,28596.44476875,23298.48786875,18391.13085,28596.44476875,22840.3236875,36778.69138125,59011.776625,330293.988104167,60781.1192916667,8802.10306041667,19703.7775770833,16327.420575,37963.1421416667,37369.1714104167,20979.4415979167,20979.4415979167,35718.1649583333,44106.5843541667,22139.6661145833,29057.1929791667
"CL 68:1; [M-2H](2-)@5.86",15011.63186875,13453.86504375,23298.48786875,10143.5452979167,30780.1824541667,15955.8782508333,10538.32420625,20360.16340625,5500.33320458333,15285.3536625,11101.0867458333,6960.07731895833,11101.0867458333,6108.25067729167,4740.914445625,14389.55874375,11394.8441291667,9868.87921458333,12240.0712416667,12240.0712416667,9868.87921458333,14055.94956875,11983.8822041667,18391.13085,13798.0491354167,40449.9306354167,17475.3701458333,18391.13085,23640.8702708333,17808.9790416667,20674.69985625,22514.8061458333,28170.7165854167,20674.69985625,18111.1894104167,21823.5517916667,8191.14889291667,15285.3536625,10538.32420625,24265.4780416667,20360.16340625,11101.0867458333,17475.3701458333,12900.7510354167,11394.8441291667,25329.151,20979.4415979167,12578.51191875
"CL 68:2; [M-2H](2-)@7.38",52740.4624791667,199089.715852083,85809.3052291667,103276.840125,112252.899477083,62644.5732291667,68262.4779395833,52740.4624791667,23968.4614375,144670.444208333,90024.6563125,99955.5317770833,147185.30411875,134936.058039583,74996.0993333333,137090.312272917,151134.420270833,74996.0993333333,241366.222729167,64435.3765833333,98134.4957708333,137090.312272917,120988.088714583,96377.3199354167,211219.880875,118799.049777083,87308.9777083333,45435.5450645833,144670.444208333,139303.953916667,69145.9673541667,142156.7398,90024.6563125,159390.5331875,117405.670854167,199089.715852083,156846.742279167,42825.3781875,77287.1863333333,84271.9506875,162225.8261875,159390.5331875,91622.30395,87308.9777083333,156846.742279167,207599.025997917,112252.899477083,85809.3052291667
"CL 68:6; [M-2H](2-)@5.51",16879.6572,16609.63221875,33783.529375,32735.8946041667,16879.6572,67233.9381041667,16327.420575,51170.9351666667,22514.8061458333,26498.420875,32735.8946041667,27327.51216875,22514.8061458333,16327.420575,27327.51216875,10889.72468125,7304.76754583333,15955.8782508333,6359.40409166667,25329.151,10538.32420625,29057.1929791667,11712.2843875,15572.210625,12240.0712416667,19005.6985541667,23640.8702708333,32228.3663125,17475.3701458333,16609.63221875,42825.3781875,24957.6777895833,13798.0491354167,10143.5452979167,10143.5452979167,7619.0961825,11101.0867458333,17169.6702041667,11983.8822041667,26900.134875,32735.8946041667,10143.5452979167,21414.3248604167,19703.7775770833,12240.0712416667,15572.210625,21414.3248604167,19005.6985541667
"CL 70:1; [M-2H](2-)@6.08",41557.1257916667,19388.13125625,46245.3720041667,60033.4667666667,115882.006483333,74996.0993333333,59011.776625,80107.6354791667,65257.8955104167,59011.776625,36156.6118125,40449.9306354167,42270.1069166667,59011.776625,44106.5843541667,90024.6563125,69145.9673541667,34750.9488791667,387158.839208333,51862.794375,35718.1649583333,16879.6572,42270.1069166667,60781.1192916667,279384.545583333,24265.4780416667,28596.44476875,21414.3248604167,27327.51216875,625405.669583333,20007.584325,17169.6702041667,42825.3781875,16879.6572,274616.789916667,310098.294125,330293.988104167,19703.7775770833,20674.69985625,23640.8702708333,19388.13125625,16879.6572,5500.33320458333,20674.69985625,66261.228125,20979.4415979167,18111.1894104167,21414.3248604167
"CL 70:3; [M-2H](2-)@5.58",25329.151,8802.10306041667,28170.7165854167,59011.776625,48459.23671875,31856.8059666667,30421.200875,35718.1649583333,43584.9339583333,18391.13085,28596.44476875,28170.7165854167,32735.8946041667,26900.134875,148651.415183333,19388.13125625,23968.4614375,20979.4415979167,19703.7775770833,108811.354333333,55358.690375,11712.2843875,49090.8447895833,24601.2273125,19703.7775770833,20979.4415979167,39462.2278416667,55358.690375,38513.4215625,20674.69985625,24265.4780416667,29550.1267520833,63425.9577020833,11101.0867458333,17169.6702041667,16327.420575,19703.7775770833,29057.1929791667,18663.1557708333,27327.51216875,25329.151,14687.5226604167,13186.5806520833,26105.4302541667,74075.5712916667,15955.8782508333,32228.3663125,22514.8061458333
"CL 70:5; [M-2H](2-)@9.31",216098.346395833,99955.5317770833,156846.742279167,108811.354333333,47558.04325,139303.953916667,187663.241375,120988.088714583,199089.715852083,139303.953916667,162225.8261875,162225.8261875,144670.444208333,225641.215229167,220406.684645833,114142.711885417,137090.312272917,165079.401708333,139303.953916667,151134.420270833,187663.241375,118799.049777083,134936.058039583,132674.1826875,90024.6563125,93078.32204375,54355.2983125,81333.9621666667,60781.1192916667,42270.1069166667,151134.420270833,124640.760897917,81333.9621666667,73110.9728958333,72002.8937520833,44711.5515416667,104571.881791667,88883.3072916667,91622.30395,82698.4787083333,45435.5450645833,82698.4787083333,126502.606604167,94530.74474375,137090.312272917,45435.5450645833,99955.5317770833,96377.3199354167
"CL 70:6; [M-2H](2-)@5.77",115882.006483333,18391.13085,94530.74474375,172415.280375,154123.848508333,85809.3052291667,81333.9621666667,87308.9777083333,128213.09015625,60033.4667666667,88883.3072916667,68262.4779395833,74075.5712916667,61855.178625,70009.0241604167,32735.8946041667,43584.9339583333,50484.2317708333,25329.151,61855.178625,28596.44476875,30780.1824541667,35230.3481958333,34272.9579166667,31856.8059666667,69145.9673541667,96377.3199354167,74996.0993333333,106596.412375,65257.8955104167,43584.9339583333,66261.228125,96377.3199354167,33783.529375,36156.6118125,26498.420875,36778.69138125,61855.178625,41557.1257916667,52740.4624791667,39005.3823541667,26900.134875,25329.151,37369.1714104167,31856.8059666667,26105.4302541667,34750.9488791667,19703.7775770833
