"Lipid","Adduct","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334"
"IS Ceramide","[M-H20]+",6146151.88291667,6146151.88291667,5655515.28125,6582154.59166667,9755597.76458333,7851280.475,4836645.95625,7612027.44583333,6789534.80625,3916730.53729167,4976780.24,4727666.13291667,4727666.13291667,5655515.28125,4976780.24,10616635.0145833,5655515.28125,4566833.52125,4366321.65,6360992.21458333,5965432.52583333,3670709.625,4836645.95625,7079374.725,7612027.44583333,6789534.80625,4038338.64895833,4457174.5875,5301414.23125,20143353.09375,4727666.13291667,4727666.13291667,4836645.95625,4976780.24,4457174.5875,5301414.23125,4038338.64895833,3216372.17666667,4727666.13291667,7079374.725,6789534.80625,3831395.5775,4137693.61458333,3916730.53729167,5123785.241875,9304423.95625,3745680.86541667,3589949.93333333
"IS DG 34:1"," [M+NH4]+",18815500.5395833,20143353.09375,18815500.5395833,13789544.6375,18047638.625,21119103.5416667,22516614.3541667,16069104.2770833,17322521.16875,22516614.3541667,21119103.5416667,19536481.5583333,18047638.625,18815500.5395833,17322521.16875,23256463.9229167,29951906.3125,21119103.5416667,28708610.9375,19536481.5583333,17322521.16875,12166443.9208333,25633624.8958333,27570412.8333333,25633624.8958333,11453645.4258333,12166443.9208333,14722169.1104167,11038143.1522917,13789544.6375,14259979.2229167,17322521.16875,17322521.16875,24801394.25,24064323.6458333,28708610.9375,24064323.6458333,13789544.6375,20143353.09375,14722169.1104167,27570412.8333333,13236172.8583333,9304423.95625,13236172.8583333,25633624.8958333,22516614.3541667,15346986.3791667,16597529.8541667
"IS lysoPC 17:0","[M+H]+",3589949.93333333,3745680.86541667,2630454.799375,3216372.17666667,4727666.13291667,4366321.65,2514590.8375,4366321.65,4366321.65,2896975.995625,2896975.995625,2757027.06375,3916730.53729167,3745680.86541667,2702615.30833333,3831395.5775,3034334.67083333,2896975.995625,2105446.74770833,2896975.995625,3446408.62854167,2702615.30833333,2757027.06375,4566833.52125,3745680.86541667,3831395.5775,3831395.5775,7327918.06666667,3216372.17666667,7851280.475,3916730.53729167,3589949.93333333,2166483.216875,3446408.62854167,3297044.77145833,3216372.17666667,1876953.28125,3511848.40833333,3122600.9125,3511848.40833333,2757027.06375,2630454.799375,3670709.625,3589949.93333333,3446408.62854167,4836645.95625,3589949.93333333,3297044.77145833
"IS MG 17:0"," [M+NH4]+",111670.144916667,137923.22225,100740.069520833,132221.413625,197902.64975,129413.990145833,93105.01275,123420.386541667,139219.2994375,123420.386541667,95387.1177916667,95387.1177916667,123420.386541667,122037.462229167,99548.0858958333,176284.2899375,123420.386541667,117290.30725,86100.349,134879.812770833,139219.2994375,79498.598375,109280.428791667,170742.833791667,139219.2994375,120813.5221875,132221.413625,170742.833791667,108033.138,263626.953958333,163269.9201875,127900.660479167,92241.2893958333,107130.95575,95387.1177916667,112705.888666667,78770.529875,112705.888666667,97384.5068541667,124789.6565625,97384.5068541667,88898.721875,122037.462229167,145343.7985,129413.990145833,190996.3430625,143811.099270833,101850.707708333
"IS PC 34:0"," [M+H]+",12709726.8291667,13236172.8583333,11038143.1522917,8212291.17291667,13789544.6375,12166443.9208333,10217298.9270833,12166443.9208333,11453645.4258333,7851280.475,9304423.95625,10217298.9270833,10217298.9270833,15346986.3791667,7327918.06666667,11453645.4258333,8893685.39375,8563532.54791667,7851280.475,10217298.9270833,10217298.9270833,8563532.54791667,7327918.06666667,8893685.39375,9304423.95625,10616635.0145833,14722169.1104167,12166443.9208333,12166443.9208333,21119103.5416667,12166443.9208333,13236172.8583333,8563532.54791667,9304423.95625,9755597.76458333,9304423.95625,5481322.891875,12709726.8291667,12166443.9208333,12709726.8291667,9304423.95625,9304423.95625,8563532.54791667,12709726.8291667,7612027.44583333,12166443.9208333,11038143.1522917,8893685.39375
"IS PE 34:0"," [M+H]+",1032736.30416667,1376621.83270833,906344.848958333,1067423.18770833,2058592.754375,1323733.98458333,705193.872666667,1124093.27333333,1221280.26833333,803773.504375,988829.731666667,1032736.30416667,946931.031041667,1032736.30416667,825786.844791667,1661826.45708333,1003414.468125,884037.740208333,725598.588333333,1323733.98458333,1245282.08416667,1003414.468125,772608.6589375,1543943.68708333,1164661.53375,1185863.28125,705193.872666667,932383.674083333,988829.731666667,3831395.5775,1087743.68083333,1295747.646875,749885.030625,1124093.27333333,976542.24375,1164661.53375,685782.794166667,815377.365416667,1164661.53375,1272270.6175,1145196.078125,1003414.468125,1185863.28125,1019271.50145833,848163.313125,1751977.68125,1003414.468125,848163.313125
"IS PS 34:0","[M+H]+",615147.136666667,685782.794166667,624597.731041667,563971.843958333,920104.460416667,663859.14625,543901.263791667,594842.338770833,705193.872666667,485044.289375,601636.134770833,647497.816875,725598.588333333,536572.832708333,663859.14625,838007.397291667,550701.4945,663859.14625,696936.794166667,685782.794166667,633098.877666667,557058.358125,668877.216666667,663859.14625,647497.816875,749885.030625,714517.299583333,705193.872666667,772608.6589375,1019271.50145833,742218.75375,685782.794166667,640626.087083333,647497.816875,557058.358125,663859.14625,647497.816875,760910.339791667,640626.087083333,742218.75375,498743.636875,705193.872666667,725598.588333333,550701.4945,663859.14625,749885.030625,663859.14625,563971.843958333
"IS SM 35:1","[M+H]+",286458.6004375,380563.533541667,197902.64975,228379.897395833,516650.663770833,441648.646625,172576.3846875,398215.871,242685.963270833,92241.2893958333,177867.150979167,248330.808395833,165236.349791667,267047.067979167,202561.782458333,550701.4945,205250.092645833,200137.63291875,129413.990145833,323138.7884375,327795.408125,140934.707875,210241.908791667,587619.085,332265.799541667,615147.136666667,323138.7884375,267047.067979167,336440.309583333,2330468.18354167,242685.963270833,296277.1863125,205250.092645833,239866.185,210241.908791667,280419.571875,130738.621270833,239866.185,314675.687166667,303824.284791667,286458.6004375,280419.571875,314675.687166667,245794.828541667,340717.077645833,563971.843958333,231540.946,216337.379395833
"IS TG 51:0"," [M+NH4]+",1543943.68708333,286458.6004375,1876953.28125,633098.877666667,1199766.82041667,1794788.13785417,647497.816875,1575483.55375,1067423.18770833,93105.01275,81957.5792083333,140934.707875,782021.97,858783.875208333,289788.032708333,269992.248958333,95387.1177916667,75717.1281666667,59682.9316229167,185539.464520833,360924.114875,393158.979541667,142458.392583333,615147.136666667,190996.3430625,2166483.216875,492268.004458333,988829.731666667,1604881.87645833,1794788.13785417,410057.990395833,267047.067979167,536572.832708333,195306.731166667,253710.470958333,404398.493333333,267047.067979167,725598.588333333,267047.067979167,1221280.26833333,318394.531166667,647497.816875,242685.963270833,749885.030625,110484.336125,2012415.680625,594842.338770833,200137.63291875
"CE(16:0)"," [M+NH4]+@10.97",16135.3973,20125.730675,13579.1422708333,14665.7700833333,18026.8760208333,14665.7700833333,11173.58905125,15562.1559541667,11777.23007875,15562.1559541667,14665.7700833333,21293.78144375,16505.2879327083,15945.6565854167,20327.2089354167,37669.7818354167,21293.78144375,22616.5221875,146786.310625,39263.0399625,54056.9692291667,72212.0944791667,24625.9173416667,38089.6647916667,66545.5362708333,19033.5081041667,18406.2964958333,12734.9498625,12857.9991604167,26392.5756875,18406.2964958333,18207.3656583333,87865.2452708333,24843.3131041667,25893.6357083333,32169.4632708333,46438.342625,15760.8227958333,18026.8760208333,25113.4200666667,19522.6154833333,20327.2089354167,22383.505125,25893.6357083333,33884.0157104167,23723.6795208333,32500.0010208333,28004.9006875
