"Lipid","Adduct","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334"
"IS PC 34:0","[M-Ac-H]-",340131.695833333,556986.8762125,715904.00480625,655075.166339583,488199.016939583,584790.24659375,441246.131410417,312544.684166667,405844.428958333,534321.257722917,387579.426458333,534321.257722917,511097.364895833,534321.257722917,1347916.11666667,424105.096875,686684.89525625,584790.24659375,655075.166339583,511097.364895833,488199.016939583,441246.131410417,441246.131410417,584790.24659375,511097.364895833,584790.24659375,289901.078125,324855.999583333,1037314.375,763544.187052083,405844.428958333,534321.257722917,405844.428958333,463878.425802083,387579.426458333,584790.24659375,862641.129010417,686684.89525625,511097.364895833,354220.567291667,534321.257722917,424105.096875,534321.257722917,556986.8762125,612650.761470833,862641.129010417,715904.00480625,556986.8762125
"IS PE 34:0 ","[M-H]-",2257961.56875,2685498.14791667,3671223.98125,3671223.98125,3355715.76458333,2955893.31458333,2955893.31458333,2955893.31458333,2955893.31458333,3355715.76458333,3355715.76458333,2685498.14791667,3671223.98125,2955893.31458333,5143884.70833333,3671223.98125,4108854.16041667,4108854.16041667,4108854.16041667,4108854.16041667,4108854.16041667,3671223.98125,3355715.76458333,3671223.98125,3671223.98125,3355715.76458333,1736414.69791667,2685498.14791667,3355715.76458333,2955893.31458333,2685498.14791667,3671223.98125,2088672.43333333,2685498.14791667,2088672.43333333,2088672.43333333,3355715.76458333,3355715.76458333,3355715.76458333,2088672.43333333,2955893.31458333,3355715.76458333,3355715.76458333,2685498.14791667,3355715.76458333,4108854.16041667,3671223.98125,3355715.76458333
"IS PG 34:0 ","[M-H]-",5143884.70833333,7984579.14583333,7984579.14583333,7984579.14583333,5143884.70833333,5143884.70833333,5143884.70833333,4108854.16041667,5143884.70833333,5143884.70833333,5143884.70833333,5143884.70833333,5143884.70833333,5143884.70833333,7984579.14583333,5143884.70833333,5143884.70833333,5143884.70833333,7984579.14583333,5143884.70833333,5143884.70833333,5143884.70833333,5143884.70833333,5143884.70833333,5143884.70833333,5143884.70833333,3671223.98125,5143884.70833333,7984579.14583333,5143884.70833333,5143884.70833333,5143884.70833333,5143884.70833333,5143884.70833333,3355715.76458333,5143884.70833333,7984579.14583333,7984579.14583333,5143884.70833333,2257961.56875,5143884.70833333,5143884.70833333,5143884.70833333,5143884.70833333,3671223.98125,7984579.14583333,7984579.14583333,5143884.70833333
"IS PI 37:4 ","[M-H]-",135453.902916667,354220.567291667,686684.89525625,299494.924166667,145720.310625,211572.988333333,206815.778125,115556.2018125,218006.204375,299494.924166667,256232.85125,232780.307708333,141853.619375,273288.797916667,387579.426458333,172936.257291667,463878.425802083,141853.619375,206815.778125,149117.577916667,115556.2018125,104728.787166667,97185.8440416667,95162.8968333333,225559.36,324855.999583333,132405.719833333,201090.408125,441246.131410417,241178.727083333,162797.223958333,182114.807083333,185693.504791667,263565.505416667,177477.074166667,232780.307708333,172936.257291667,128403.045291667,84475.2393541667,61539.6982791667,101909.416125,256232.85125,135453.902916667,135453.902916667,109834.615583333,241178.727083333,155663.639770833,225559.36
"CerP 33:1"," [M-H]-@5.49",3093.54476458333,3723.82275625,3994.95661875,2444.91235208333,1922.52797916667,2148.63743541667,2702.80562708333,915.314297916667,4811.94473333333,1597.72216458333,2148.63743541667,5672.31426041667,2702.80562708333,2444.91235208333,3723.82275625,2906.88859583333,3858.29441666667,4169.19714583333,5672.31426041667,3268.71018541667,3566.34782916667,3406.68124166667,3566.34782916667,3723.82275625,7443.24359583333,4811.94473333333,4584.2799125,3268.71018541667,7281.24951666667,5847.75046041667,5243.77696041667,5981.49893958333,3858.29441666667,4308.53387916667,4308.53387916667,4694.14749791667,7762.3034625,4308.53387916667,3268.71018541667,2148.63743541667,5672.31426041667,6867.47458958333,2906.88859583333,4694.14749791667,3268.71018541667,4308.53387916667,6718.47587708333,6426.67031041667
"CerP 34:1"," [M-H]-@5.85",19304.9175125,17970.4351875,19682.9724604167,21688.8810416667,12337.2137625,17175.6065395833,16031.0450625,12962.267875,15487.4946145833,17970.4351875,21259.37896875,22544.8577041667,15296.57116875,12781.0313625,25541.2615416667,18280.9233333333,24627.10450625,28250.2671395833,28949.8776458333,25088.1532708333,16588.0037291667,22132.86596875,20085.2703270833,19304.9175125,33861.6809875,35026.1554166667,20533.64331875,27797.4300166667,23522.5458958333,26113.377025,26113.377025,33861.6809875,30287.9736875,36380.1305625,29549.91340625,33861.6809875,23063.5994791667,21688.8810416667,20533.64331875,25088.1532708333,30287.9736875,31792.1137583333,30287.9736875,32509.9035916667,19682.9724604167,43436.658125,34484.8097729167,27133.5096666667
"CerP 34:2"," [M-H]-@5.29",8678.39841666667,10001.7661854167,8971.83196666667,8049.451475,4811.94473333333,7281.24951666667,7118.75041666667,7118.75041666667,5981.49893958333,8678.39841666667,7915.54248958333,10694.4418229167,10001.7661854167,7612.69178333333,10535.0390625,5672.31426041667,9134.30040416667,12337.2137625,7612.69178333333,8841.10327708333,6989.40031666667,9448.78993333333,8374.20185625,7118.75041666667,6989.40031666667,8529.06370625,8971.83196666667,10145.1095604167,8186.03482708333,8971.83196666667,12337.2137625,11568.75289375,10145.1095604167,10001.7661854167,8186.03482708333,9448.78993333333,11138.5500583333,8186.03482708333,9318.36366666667,8841.10327708333,11750.3515166667,12962.267875,8678.39841666667,16031.0450625,8049.451475,8841.10327708333,10694.4418229167,11750.3515166667
"CerP 35:1"," [M-H]-@6.16",8529.06370625,14446.7673583333,16282.5292583333,14745.1714375,13448.74141875,11750.3515166667,12131.4490770833,4308.53387916667,13893.7330229167,15060.9004375,11965.2273354167,13448.74141875,8374.20185625,10833.5547541667,29549.91340625,12337.2137625,15756.860475,12781.0313625,20085.2703270833,13696.3288333333,12962.267875,12962.267875,6584.2581375,8678.39841666667,20085.2703270833,23522.5458958333,3994.95661875,9448.78993333333,31792.1137583333,20533.64331875,13448.74141875,16915.5772916667,5847.75046041667,13893.7330229167,6426.67031041667,13281.7717083333,27797.4300166667,20533.64331875,15296.57116875,7915.54248958333,11138.5500583333,12131.4490770833,19304.9175125,15060.9004375,10370.2495875,30918.343375,18956.0786583333,20893.5855625
"CerP 42:2"," [M-H]-@7.70",46437.0999854167,44231.6914166667,56630.062125,36380.1305625,18956.0786583333,38910.1464354167,37031.668975,38910.1464354167,34484.8097729167,37031.668975,45793.1089333333,56630.062125,27133.5096666667,26602.2745458333,45013.45729375,13448.74141875,47576.13153125,33861.6809875,30287.9736875,35625.1602333333,30287.9736875,28949.8776458333,30918.343375,31792.1137583333,59485.5002708333,36380.1305625,41124.9908375,45793.1089333333,30918.343375,57590.560375,58719.1642041667,49498.7655833333,57590.560375,47576.13153125,47576.13153125,59485.5002708333,45793.1089333333,42695.3741458333,38910.1464354167,38910.1464354167,45013.45729375,54453.632875,57590.560375,63937.1064583333,20085.2703270833,54453.632875,47576.13153125,36380.1305625
"CL 70:1"," [M-2H](2-)@6.07",33861.6809875,20533.64331875,20533.64331875,9619.97441041667,28250.2671395833,24627.10450625,41779.6395333333,29549.91340625,17175.6065395833,27797.4300166667,26602.2745458333,29549.91340625,26113.377025,37528.1198333333,35026.1554166667,33861.6809875,26113.377025,26602.2745458333,34484.8097729167,18541.8472229167,20893.5855625,26113.377025,33238.1991791667,29549.91340625,26602.2745458333,30287.9736875,39611.803,40386.0144375,11000.4750270833,23522.5458958333,40386.0144375,30918.343375,9853.95052708333,17970.4351875,17722.4901958333,19304.9175125,17722.4901958333,31792.1137583333,33238.1991791667,28949.8776458333,21259.37896875,25541.2615416667,20533.64331875,28949.8776458333,3566.34782916667,29549.91340625,30287.9736875,23522.5458958333
"CL 70:5"," [M-2H](2-)@5.90",76198.4411458333,47576.13153125,61539.6982791667,39611.803,21688.8810416667,54453.632875,76198.4411458333,90587.111375,30918.343375,52117.87525,30918.343375,22132.86596875,40386.0144375,51332.2736666667,37528.1198333333,23063.5994791667,11965.2273354167,10370.2495875,24063.7683395833,11000.4750270833,16282.5292583333,9318.36366666667,15060.9004375,8049.451475,18956.0786583333,37528.1198333333,38117.1930541667,57590.560375,12553.5332291667,31792.1137583333,38117.1930541667,24627.10450625,20085.2703270833,20893.5855625,30918.343375,17722.4901958333,22544.8577041667,34484.8097729167,54453.632875,43436.658125,13893.7330229167,15060.9004375,17970.4351875,17175.6065395833,12962.267875,9134.30040416667,11965.2273354167,8186.03482708333
"CL 74:1"," [M-2H](2-)@7.07",59485.5002708333,57590.560375,90587.111375,88822.9877291667,73130.0420625,73130.0420625,71071.29125,68464.99575,73130.0420625,63937.1064583333,55622.8930416667,59485.5002708333,74727.3977291667,60769.2423666667,162797.223958333,73130.0420625,76198.4411458333,68464.99575,90587.111375,49498.7655833333,51332.2736666667,57590.560375,38910.1464354167,62558.7624791667,86560.593,138509.837604167,109834.615583333,78578.43375,128403.045291667,86560.593,95162.8968333333,97185.8440416667,82331.7497916667,68464.99575,71071.29125,90587.111375,141853.619375,135453.902916667,138509.837604167,90587.111375,112868.234166667,86560.593,118859.085770833,80199.8062916667,138509.837604167,125388.937083333,145720.310625,125388.937083333
"CL 74:3"," [M-2H](2-)@6.17",165628.54125,172936.257291667,196979.4625,125388.937083333,155663.639770833,225559.36,211572.988333333,172936.257291667,109834.615583333,155663.639770833,138509.837604167,158768.220416667,172936.257291667,232780.307708333,128403.045291667,211572.988333333,162797.223958333,128403.045291667,145720.310625,118859.085770833,99858.162125,128403.045291667,158768.220416667,135453.902916667,177477.074166667,232780.307708333,191399.39125,191399.39125,149117.577916667,172936.257291667,185693.504791667,201090.408125,149117.577916667,177477.074166667,104728.787166667,206815.778125,201090.408125,191399.39125,218006.204375,196979.4625,232780.307708333,225559.36,225559.36,206815.778125,145720.310625,289901.078125,218006.204375,172936.257291667
