Class	Carbon_Chain	Double_Bond	Adduct	RT	CV	Ctrl_BKS_2202	Ctrl_BKS_2203	Ctrl_BKS_2206	Ctrl_BKS_2211	HF_BKS_2214	HF_BKS_2216	HF_BKS_2217	HF_BKS_2218	Ctrl_BKS_db._2225	Ctrl_BKS_db._2226	Ctrl_BKS_db._2227	Ctrl_BKS_db._2231	HF_BKS_db._2239	HF_BKS_db._2241	HF_BKS_db._2242	HF_BKS_db._2243	Ctrl_BL6_2249	Ctrl_BL6_2250	Ctrl_BL6_2251	Ctrl_BL6_2252	HF_BL6_2260	HF_BL6_2261	HF_BL6_2262	HF_BL6_2266	Ctrl_BL6_db._2273	Ctrl_BL6_db._2274	Ctrl_BL6_db._2275	Ctrl_BL6_db._2279	HF_BL6_db._2286	HF_BL6_db._2287	HF_BL6_db._2288	HF_BL6_db._2289	Ctrl_BTBR_2292	Ctrl_BTBR_2293	Ctrl_BTBR_2297	Ctrl_BTBR_2298	HF_BTBR_2306	HF_BTBR_2307	HF_BTBR_2308	HF_BTBR_2309	Ctrl_BTBR_ob._2316	Ctrl_BTBR_ob._2317	Ctrl_BTBR_ob._2318	Ctrl_BTBR_ob._2320	HF_BTBR_ob._2329	HF_BTBR_ob._2331	HF_BTBR_ob._2333	HF_BTBR_ob._2334
PC	34	2	 [M+H]+	6.15	0	40453359.54	44118529.06	44118529.06	44118529.06	44118529.06	44118529.06	44118529.06	44118529.06	44118529.06	44118529.06	44118529.06	44118529.06	44118529.06	44118529.06	44118529.06	44118529.06	32568279.96	40453359.54	34992439.41	37119392.18	37119392.18	37119392.18	26451287.46	44118529.06	44118529.06	44118529.06	44118529.06	37119392.18	44118529.06	44118529.06	44118529.06	34992439.41	44118529.06	29921518.56	37119392.18	32568279.96	44118529.06	40453359.54	44118529.06	44118529.06	29921518.56	32568279.96	29921518.56	34992439.41	40453359.54	44118529.06	44118529.06	44118529.06
PC	36	2	 [M+H]+	6.75	0	37119392.18	32568279.96	37119392.18	34992439.41	37119392.18	40453359.54	40453359.54	34992439.41	32568279.96	40453359.54	34992439.41	29921518.56	40453359.54	34992439.41	40453359.54	40453359.54	29921518.56	29921518.56	32568279.96	34992439.41	32568279.96	32568279.96	29921518.56	34992439.41	37119392.18	40453359.54	37119392.18	32568279.96	40453359.54	40453359.54	40453359.54	32568279.96	37119392.18	37119392.18	40453359.54	37119392.18	34992439.41	34992439.41	40453359.54	37119392.18	32568279.96	40453359.54	40453359.54	40453359.54	44118529.06	40453359.54	40453359.54	40453359.54
lysoPC	18	1	 [M+H]+	1.68	2.07	9448189.586	12375982.44	8854191.581	12375982.44	5274317.553	4564994.882	7334549.381	5053750.494	9448189.586	11225781.62	8196250.229	11225781.62	3748060.579	3469989.306	4812917.102	4564994.882	10200694.31	13817681.24	13817681.24	10200694.31	4812917.102	5634645.554	5634645.554	6368275.777	9448189.586	10200694.31	7635217.901	11225781.62	6727414.319	4564994.882	5274317.553	5634645.554	7635217.901	10200694.31	10200694.31	8854191.581	5634645.554	5634645.554	4362597.42	4362597.42	10200694.31	10200694.31	11225781.62	9448189.586	6727414.319	4812917.102	4158281.24	5053750.494
lysoPC	20	4	 [M+H]+	1.29	2.09	7334549.381	11225781.62	4013374.822	11225781.62	4158281.24	4362597.42	10200694.31	4158281.24	6727414.319	6727414.319	5274317.553	6727414.319	4013374.822	2983981.311	4362597.42	3469989.306	9448189.586	6727414.319	8854191.581	11225781.62	6368275.777	8854191.581	9448189.586	7635217.901	7334549.381	5999576.471	5999576.471	8854191.581	8854191.581	7635217.901	5999576.471	8854191.581	9448189.586	9448189.586	8854191.581	10200694.31	8854191.581	7635217.901	7334549.381	8854191.581	9448189.586	8854191.581	8854191.581	8854191.581	8196250.229	6727414.319	6727414.319	7635217.901
PC	32	2	 [M+H]+	5.54	2.74	470332.2955	478840.0514	514327.2106	614369.6069	402460.9178	235107.046	346765.5881	308922.0619	504090.1639	478840.0514	325336.759	614369.6069	185661.9489	255727.4497	243055.8124	269598.8282	663682.3478	679700.1328	524711.8197	426654.8409	255727.4497	335483.9618	303862.2993	247667.6099	494570.316	647224.5341	308922.0619	559749.6145	167212.0666	247667.6099	298536.7414	303862.2993	235107.046	269598.8282	346765.5881	325336.759	147412.984	198869.5974	131313.273	129772.2715	243055.8124	319747.4666	367163.0112	265119.8685	136306.8441	116697.0135	165248.6492	150671.8615
CE	22	5	 [M+NH4]+	10.7	3.58	98056.0822	180707.3418	145214.2617	255727.4497	231468.2405	91934.16296	198869.5974	182854.636	152849.7562	198869.5974	137964.9384	182854.636	215671.4797	169286.6276	303862.2993	192962.0032	379055.9334	265119.8685	247667.6099	227468.4857	238468.2906	274413.3305	274413.3305	293647.0657	252002.4484	201999.6098	171445.846	215671.4797	157057.3649	167212.0666	129772.2715	180707.3418	274413.3305	329618.1217	274413.3305	315567.3201	223317.979	219634.6027	195773.8051	215671.4797	303862.2993	315567.3201	325336.759	367163.0112	201999.6098	182854.636	180707.3418	190636.9938
PC	38	4	 [M+Na]+	6.81	4.32	53962.16761	125176.1639	123260.2711	129772.2715	105909.3798	76718.57134	65168.05999	72634.99393	94232.12223	119906.8328	72634.99393	51811.35023	173839.0011	89936.46118	95406.13851	86952.37795	110956.0216	110956.0216	85783.85021	105909.3798	86952.37795	95406.13851	88043.69169	115325.4208	104510.3492	105909.3798	204773.7108	110956.0216	136306.8441	131313.273	74343.49208	75093.50173	134274.7868	113828.8226	167212.0666	125176.1639	105909.3798	84729.37693	136306.8441	118505.8912	108543.766	102937.9447	101759.5467	105909.3798	67963.63261	141893.6934	157057.3649	132719.3114
SM	34	1	 [M]+	5.73	4.34	5053750.494	4013374.822	3596321.562	4158281.24	10200694.31	5999576.471	9448189.586	8854191.581	5274317.553	4812917.102	4564994.882	6368275.777	4564994.882	7334549.381	8196250.229	7635217.901	5274317.553	4812917.102	5274317.553	8196250.229	11225781.62	11225781.62	11225781.62	10200694.31	5634645.554	5053750.494	5274317.553	4812917.102	7334549.381	7334549.381	7635217.901	11225781.62	5999576.471	6727414.319	6727414.319	6727414.319	9448189.586	9448189.586	10200694.31	9448189.586	6368275.777	6727414.319	6727414.319	5999576.471	8854191.581	6368275.777	5053750.494	7334549.381
TG	52	3	 [M+Na]+	10.39	4.38	546148.1982	871360.3524	1021216.089	599148.0973	514327.2106	978544.6528	697334.6274	754323.8708	871360.3524	936559.2972	732261.9102	663682.3478	1021216.089	902038.4319	663682.3478	663682.3478	470332.2955	546148.1982	805568.9706	546148.1982	514327.2106	504090.1639	535024.4361	647224.5341	835092.3774	1021216.089	599148.0973	754323.8708	572463.2624	1059989.004	1059989.004	754323.8708	835092.3774	697334.6274	902038.4319	599148.0973	697334.6274	710072.9634	805568.9706	663682.3478	732261.9102	514327.2106	599148.0973	697334.6274	663682.3478	1021216.089	835092.3774	710072.9634
SM	35	1	 [M]+	5.95	4.57	1619431.736	3671407.234	6181177.68	4931863.966	4462648.865	5162856.277	2644574.556	2522034.167	4259214.365	4085185.581	3071039.151	2522034.167	6181177.68	4687317.136	3946132.31	4085185.581	2644574.556	3946132.31	2644574.556	3227298.466	2772745.695	3532590.744	1840920.669	3671407.234	3227298.466	4085185.581	8518871.391	3227298.466	5814248.609	4931863.966	3946132.31	2772745.695	4931863.966	3381550.644	5451505.292	3671407.234	3532590.744	3532590.744	5162856.277	3813467.79	2772745.695	2908890.092	2644574.556	3381550.644	3813467.79	8518871.391	6181177.68	6181177.68
