"Sample","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334"
"IS CE 17:0; [M+NH4]+",25528.05865,40415.3011458333,48188.0902291667,53522.8828958333,41032.5074020833,36266.7969375,36686.6962083333,33920.6009583333,58853.4727916667,74543.2425625,37051.7601666667,56906.8256041667,33478.2896,51944.7519583333,64809.5464791667,46114.5605416667,51101.6625458333,38460.180625,52445.5383958333,49159.265625,49159.265625,29184.7310625,51101.6625458333,64809.5464791667,56293.1427916667,53522.8828958333,30296.0758125,37051.7601666667,69309.3741666667,65680.1210208333,40415.3011458333,48666.9900208333,37985.1469166667,65680.1210208333,49990.8706875,49159.265625,61257.8340208333,42923.3547083333,51101.6625458333,44173.5030583333,37559.88925,48666.9900208333,44173.5030583333,39032.279175,42344.971625,62029.7429583333,49159.265625,37985.1469166667
"IS Ceramide;[M-H20]+",4366179.4375,9714066.75,20245749.625,9714066.75,9714066.75,9714066.75,8957293.22291667,6292439.3875,6292439.3875,9714066.75,6939261.0875,8957293.22291667,7463552.39791667,7463552.39791667,20245749.625,7463552.39791667,9714066.75,7463552.39791667,7463552.39791667,7463552.39791667,7463552.39791667,7463552.39791667,6939261.0875,7463552.39791667,10664563.6666667,11877564.6125,5782317.6,6939261.0875,13334475.6041667,13334475.6041667,9714066.75,11877564.6125,6939261.0875,6292439.3875,5416602.46458333,8957293.22291667,11877564.6125,9714066.75,11877564.6125,6939261.0875,7463552.39791667,8346599.4125,8346599.4125,9714066.75,8957293.22291667,13334475.6041667,11877564.6125,11877564.6125
"IS DG 34:1; [M+NH4]+",1708477.68958333,4631220.59791667,3649195.44583333,3052972.21041667,3486151.14166667,3052972.21041667,3649195.44583333,2704628.25416667,3649195.44583333,3649195.44583333,2095398.14041667,3486151.14166667,3820331.09375,2853271.76041667,3820331.09375,2853271.76041667,3649195.44583333,2210042.76666667,2853271.76041667,2704628.25416667,2210042.76666667,2210042.76666667,2210042.76666667,3649195.44583333,3486151.14166667,3820331.09375,2853271.76041667,1868396.44583333,5782317.6,4107271.70625,3486151.14166667,3228827.525,3228827.525,3486151.14166667,3486151.14166667,4107271.70625,3052972.21041667,2704628.25416667,2388796.41041667,2210042.76666667,3228827.525,2388796.41041667,3228827.525,2704628.25416667,2388796.41041667,3649195.44583333,3228827.525,3486151.14166667
"IS lysoPC 17:0;[M+H]+",3228827.525,6292439.3875,5782317.6,5416602.46458333,5782317.6,5023890.17291667,4631220.59791667,4366179.4375,4631220.59791667,5782317.6,4631220.59791667,5023890.17291667,4366179.4375,3486151.14166667,6939261.0875,3649195.44583333,4107271.70625,4366179.4375,5782317.6,4107271.70625,3228827.525,4107271.70625,3486151.14166667,4631220.59791667,6292439.3875,6939261.0875,3649195.44583333,3649195.44583333,8346599.4125,9714066.75,5782317.6,6939261.0875,4631220.59791667,4631220.59791667,4107271.70625,5416602.46458333,5023890.17291667,4631220.59791667,4631220.59791667,4107271.70625,5023890.17291667,4631220.59791667,4631220.59791667,4366179.4375,4631220.59791667,5782317.6,4631220.59791667,5023890.17291667
"IS MG 17:0; [M+NH4]+",94941.0234375,187850.79125,163489.451666667,209862.654166667,163489.451666667,126718.966666667,145720.307916667,118779.517604167,175886.743333333,233030.297083333,166082.834020833,217565.035625,194990.065833333,163489.451666667,378884.610416667,184834.795625,209862.654166667,191190.074895833,225278.298541667,175886.743333333,175886.743333333,198481.554166667,168493.9575,181867.894583333,184834.795625,187850.79125,120377.6555625,117345.963375,246060.4475,209862.654166667,161471.084583333,198481.554166667,156803.909166667,202457.734041667,156803.909166667,181867.894583333,220451.552916667,187850.79125,159233.82625,143118.159583333,141264.100895833,175886.743333333,168493.9575,155154.429458333,173902.047291667,237392.758958333,184834.795625,191190.074895833
"IS PC 34:0; [M+H]+",5023890.17291667,8346599.4125,9714066.75,8957293.22291667,8346599.4125,6939261.0875,6292439.3875,5416602.46458333,6939261.0875,7463552.39791667,6292439.3875,6939261.0875,8346599.4125,6939261.0875,11877564.6125,6939261.0875,8346599.4125,6939261.0875,6939261.0875,6939261.0875,6939261.0875,6939261.0875,7463552.39791667,6939261.0875,8957293.22291667,10664563.6666667,7463552.39791667,6292439.3875,10664563.6666667,11877564.6125,10664563.6666667,10664563.6666667,8346599.4125,7463552.39791667,7463552.39791667,8346599.4125,9714066.75,8346599.4125,8957293.22291667,6292439.3875,6939261.0875,6292439.3875,7463552.39791667,7463552.39791667,6939261.0875,10664563.6666667,10664563.6666667,9714066.75
"IS PE 34:0; [M+H]+",1082060.60958333,1567470.33541667,1979970.85,2526155.76041667,1979970.85,1868396.44583333,1338537.97145833,1791895.13020833,2095398.14041667,2388796.41041667,1473448.703125,1629227.75208333,1868396.44583333,2095398.14041667,3486151.14166667,1791895.13020833,2210042.76666667,1473448.703125,2210042.76666667,1567470.33541667,1629227.75208333,1567470.33541667,1473448.703125,1629227.75208333,1868396.44583333,2095398.14041667,1268225.26041667,1629227.75208333,3228827.525,2704628.25416667,1979970.85,2526155.76041667,1204733.9325,1791895.13020833,1204733.9325,1708477.68958333,2526155.76041667,2095398.14041667,1868396.44583333,1338537.97145833,1629227.75208333,1268225.26041667,1791895.13020833,1473448.703125,1567470.33541667,2853271.76041667,2704628.25416667,2526155.76041667
"IS PS 34:0;[M+H]+",163489.451666667,175886.743333333,799566.441,799566.441,276099.016666667,325876.586083333,175886.743333333,250319.574791667,763882.405625,927626.758541667,217565.035625,213189.378958333,141264.100895833,312465.36125,763882.405625,233030.297083333,272342.022708333,175886.743333333,217565.035625,198481.554166667,254484.092083333,135777.999,134324.259375,159233.82625,455602.781229167,343900.832270833,268627.227291667,549179.474479167,855995.760416667,999488.36,397167.7065,895593.05,268627.227291667,350238.562916667,220451.552916667,404171.135979167,325876.586083333,259874.22125,233030.297083333,126718.966666667,151363.849791667,115996.3006875,206135.898333333,217565.035625,155154.429458333,272342.022708333,337836.755979167,361287.766145833
"IS SM 35:1;[M+H]+",1473448.703125,4107271.70625,6939261.0875,5023890.17291667,4366179.4375,4107271.70625,3228827.525,2526155.76041667,2526155.76041667,4107271.70625,2526155.76041667,3052972.21041667,3052972.21041667,3820331.09375,10664563.6666667,3228827.525,5023890.17291667,3052972.21041667,5023890.17291667,3649195.44583333,2704628.25416667,2853271.76041667,2526155.76041667,3486151.14166667,5023890.17291667,5023890.17291667,2704628.25416667,2388796.41041667,8957293.22291667,5782317.6,3820331.09375,4631220.59791667,2526155.76041667,3228827.525,1708477.68958333,3649195.44583333,5782317.6,5782317.6,4107271.70625,2704628.25416667,3649195.44583333,3228827.525,5416602.46458333,3649195.44583333,3649195.44583333,9714066.75,7463552.39791667,6292439.3875
"CE(16:0); [M+NH4]+@10.99",20615.4701458333,21317.81643125,24630.1106458333,29943.8677166667,37051.7601666667,16920.8990354167,18187.99374375,25196.9335541667,39032.279175,33920.6009583333,21033.49339375,15193.21068125,25528.05865,18732.2352729167,27133.1699895833,26458.4521375,35235.3549791667,28717.9785791667,24630.1106458333,18931.8673729167,30704.1703333333,30296.0758125,32640.2276291667,41032.5074020833,39032.279175,25196.9335541667,47758.9782916667,31033.5502291667,29943.8677166667,48666.9900208333,37051.7601666667,35235.3549791667,35235.3549791667,46114.5605416667,48666.9900208333,36686.6962083333,37051.7601666667,28717.9785791667,41032.5074020833,46668.7099791667,45016.8917708333,42344.971625,42923.3547083333,34245.28030625,34245.28030625,32640.2276291667,45016.8917708333,44173.5030583333
