"Sample","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334"
"IS PC 34:0;[M-Ac-H]-",94090.4670833333,267076.527916667,121235.062416667,446615.13625,143624.663958333,328384.384583333,437580.129791667,95267.0073333333,115704.431166667,248099.760208333,171175.852916667,132355.4099375,194776.34875,91229.5804583333,83951.8980833333,281030.919166667,150942.8173125,158507.858458333,174316.516458333,122712.231041667,559855.894375,410811.333333333,340347.393958333,220084.310416667,373982.468125,617566.294375,322775.015208333,535948.090625,316790.502083333,275853.531875,204073.828125,231266.283125,366965.53625,252833.223,226803.996458333,328384.384583333,382405.149375,410811.333333333,291240.990208333,373982.468125,347322.566458333,847423.65,495946.938333333,909153.464375,404229.947708333,559855.894375,1020880.29166667,322775.015208333
"IS PG 34:0 ;[M-H]-",813248.633333333,1207191.46041667,1459093.42291667,983260.608333333,881300.595833333,1129425.60416667,1167413.84791667,1129425.60416667,1129425.60416667,1268821.575,1129425.60416667,1374062.40208333,1058111.18125,1093763.90625,983260.608333333,1020880.29166667,949993.279166667,983260.608333333,1207191.46041667,983260.608333333,864185.970833333,847423.65,983260.608333333,574520.316666667,983260.608333333,864185.970833333,1058111.18125,881300.595833333,813248.633333333,926638.6,1093763.90625,1093763.90625,1374062.40208333,1323435.71458333,1374062.40208333,1459093.42291667,683967.380833333,831174.50625,1129425.60416667,1093763.90625,1268821.575,1093763.90625,983260.608333333,1020880.29166667,881300.595833333,1129425.60416667,926638.6,1129425.60416667
"IS PI 37:4 ;[M-H]-",46646.3957083333,64543.8173125,19561.1862991667,70991.306875,53875.9706666667,36099.429875,40387.4898958333,25016.62705625,19561.1862991667,56932.30865,43587.901375,22550.3212541667,20784.1587933333,42993.7747291667,29819.8713645833,72566.2263958333,18774.7562270833,39058.19975,43587.901375,38544.81548125,128879.895208333,64543.8173125,42281.90090625,69148.7417625,84963.001875,116717.251625,67685.5942916667,46646.3957083333,96156.6880416667,83951.8980833333,42281.90090625,25016.62705625,59207.0505020833,56932.30865,83951.8980833333,68341.9003145833,128879.895208333,134258.5811875,99141.0652083333,103212.8038125,81848.86525,183770.748708333,136570.370541667,118576.950604167,86288.4909583333,109891.124666667,160695.172291667,86288.4909583333
"IS PS 34:0 ;[M-H]-",118576.950604167,215911.733125,141965.218208333,97655.0216666667,112274.593166667,208070.0575,307115.06125,220084.310416667,165531.023541667,155516.0353125,148534.616354167,91229.5804583333,340347.393958333,158507.858458333,198176.11125,190549.7848125,208070.0575,141965.218208333,136570.370541667,158507.858458333,190549.7848125,420859.713541667,231266.283125,208070.0575,208070.0575,150942.8173125,248099.760208333,128879.895208333,220084.310416667,223060.868958333,212613.985833333,119973.432625,177269.962958333,127336.136125,88968.3448958333,174316.516458333,187685.97375,208070.0575,180778.844166667,235958.894583333,155516.0353125,240018.628958333,204073.828125,240018.628958333,267076.527916667,226803.996458333,204073.828125,220084.310416667
"CL 66:2; [M-2H](2-)@5.94",12555.6590508333,6971.70692875,29291.0508958333,8665.775509375,5915.24118,20316.9451697917,6219.27649583333,14536.0704639583,19182.4028597917,13210.6653616667,11870.0375839583,20316.9451697917,7356.89519375,7356.89519375,12868.7836991667,12265.8437395833,6971.70692875,13525.6953791667,15563.0972433333,6971.70692875,5915.24118,16306.0838354167,9372.56314583333,12265.8437395833,24014.0376041667,14896.15223125,11870.0375839583,7747.71398729167,39058.19975,9372.56314583333,13210.6653616667,8260.95562083333,11476.6678583333,13910.366725,12265.8437395833,15563.0972433333,48102.1699166667,15943.844825,9372.56314583333,10699.9751375,26642.4511666667,16306.0838354167,12868.7836991667,10012.3295410417,12555.6590508333,5915.24118,8260.95562083333,12555.6590508333
"CL 66:3; [M-2H](2-)@5.78",11127.243135625,17586.1453127083,30959.76515,11127.243135625,8665.775509375,10699.9751375,11127.243135625,17586.1453127083,28267.8984791667,15943.844825,21658.8999833333,24014.0376041667,14536.0704639583,17162.0462764583,15563.0972433333,13910.366725,6219.27649583333,17888.7949770833,15254.0722854167,26642.4511666667,1964.43543895833,9670.75871041667,6971.70692875,13210.6653616667,17162.0462764583,10346.3920322917,11127.243135625,17888.7949770833,12265.8437395833,5489.9807275,15943.844825,8665.775509375,12265.8437395833,16306.0838354167,16306.0838354167,17162.0462764583,10346.3920322917,12265.8437395833,14536.0704639583,11476.6678583333,12868.7836991667,13525.6953791667,12265.8437395833,5915.24118,11476.6678583333,11870.0375839583,13210.6653616667,11870.0375839583
"CL 68:1; [M-2H](2-)@7.43",25016.62705625,13210.6653616667,30395.1965208333,40967.5579645833,17586.1453127083,23031.8996791667,23580.1622914583,19561.1862991667,15254.0722854167,12868.7836991667,27676.6418604167,16756.9298395833,23031.8996791667,20784.1587933333,17162.0462764583,27676.6418604167,32749.4106666667,28267.8984791667,39676.7029166667,34403.5681104167,34403.5681104167,38544.81548125,29291.0508958333,23031.8996791667,37256.2866541667,33332.7928145833,23580.1622914583,32192.8107354167,23031.8996791667,26642.4511666667,19182.4028597917,13210.6653616667,45159.1204583333,21282.4130208333,17586.1453127083,36750.4532541667,54625.004125,21282.4130208333,20316.9451697917,29819.8713645833,39676.7029166667,66534.1416666667,49954.3611458333,57626.2914375,48696.1248708333,39676.7029166667,42993.7747291667,29291.0508958333
"CL 68:2; [M-2H](2-)@7.68",40967.5579645833,50760.31256875,35428.6763333333,36750.4532541667,22550.3212541667,26143.45485,68341.9003145833,33916.7242020833,32749.4106666667,32749.4106666667,30959.76515,29819.8713645833,24539.21546875,19561.1862991667,59887.8791875,32749.4106666667,24014.0376041667,31508.4377916667,33916.7242020833,30395.1965208333,69148.7417625,55419.1373770833,69148.7417625,27676.6418604167,40967.5579645833,87500.3355625,24014.0376041667,63654.43118,37256.2866541667,34403.5681104167,26642.4511666667,32192.8107354167,53154.5287041667,45159.1204583333,42993.7747291667,48102.1699166667,41666.7833895833,56266.06525,47368.5327291667,47368.5327291667,49954.3611458333,101481.620625,61783.7577083333,108653.370458333,49347.1053541667,62754.5572708333,65516.5728125,40967.5579645833
"CL 68:3; [M-2H](2-)@6.15",14896.15223125,18354.1362791667,32192.8107354167,21282.4130208333,12555.6590508333,22158.77841875,20316.9451697917,34967.5567166667,25518.5891083333,14896.15223125,23031.8996791667,19925.0109770833,13910.366725,17888.7949770833,20316.9451697917,21658.8999833333,11476.6678583333,20316.9451697917,19925.0109770833,15563.0972433333,14896.15223125,11127.243135625,12868.7836991667,9670.75871041667,11127.243135625,10012.3295410417,19925.0109770833,23031.8996791667,12555.6590508333,14896.15223125,17888.7949770833,32749.4106666667,14183.7353604167,15563.0972433333,29819.8713645833,27263.143275,23031.8996791667,13525.6953791667,17888.7949770833,18354.1362791667,25016.62705625,18774.7562270833,24539.21546875,14536.0704639583,20316.9451697917,28267.8984791667,15943.844825,29819.8713645833
"CL 70:4; [M-2H](2-)@6.66",3525.20801041667,1964.43543895833,8970.5155075,6615.96579833333,4266.77293625,7747.71398729167,3525.20801041667,4974.645463125,8970.5155075,3525.20801041667,11127.243135625,13210.6653616667,5915.24118,4266.77293625,3525.20801041667,7747.71398729167,7747.71398729167,10699.9751375,6219.27649583333,4974.645463125,9372.56314583333,1964.43543895833,6615.96579833333,3525.20801041667,5915.24118,5915.24118,6219.27649583333,6971.70692875,6971.70692875,6219.27649583333,2824.50918270833,4974.645463125,2824.50918270833,3525.20801041667,4266.77293625,11870.0375839583,5489.9807275,1964.43543895833,6615.96579833333,3525.20801041667,5915.24118,11127.243135625,11476.6678583333,10699.9751375,2824.50918270833,10346.3920322917,7356.89519375,5489.9807275
