"Lipid","Adduct","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334"
"IS CE 17:0"," [M+NH4]+",16918.440138125,19891.18345625,20146.66125,21147.9798,10929.9068270833,39680.7247291667,35996.6929583333,12733.7135229167,14897.7999666667,25967.2039708333,23233.8706583333,19115.4117291667,17455.5368979167,18674.26483125,14685.4924270833,14897.7999666667,17279.6473875,19115.4117291667,22041.1550416667,17713.37201125,46681.8105625,11451.6989166667,4590.27787916667,23896.8732708333,36301.3078958333,48247.6582083333,26274.7298125,32320.8331875,34761.9740416667,21690.7638125,24856.5608154167,11797.6597133333,35132.43426875,26523.0429802083,19349.0267854167,44412.8627791667,31880.2057020833,36706.7804583333,16918.440138125,36706.7804583333,35518.8674583333,73548.6860625,53090.3195625,48247.6582083333,37264.5128958333,43935.3072708333,48811.9424395833,27868.1684854167
"IS Ceramide","[M-H20]+",247168.375354167,485608.67625,307368.768333333,493910.028604167,181745.739229167,642838.29875,748741.774375,155197.662166667,157997.2889375,399230.988541667,296712.433125,201791.992395833,201791.992395833,208156.216,144945.939479167,582892.988958333,224222.190395833,356390.760270833,278186.300458333,215625.1535625,918030.559791667,582892.988958333,537359.801666667,291149.021291667,572028.583125,1020554.8875,477296.5580625,778100.338125,537359.801666667,593920.3375,411683.563208333,399230.988541667,509001.631458333,444628.601041667,381264.366666667,582892.988958333,547255.891083333,642838.29875,429112.1025,493910.028604167,572028.583125,964273.88125,939173.600416667,990908.912125,661084.090833333,675131.430625,1329791.351875,631005.036354167
"IS D31-TAG","IS D31-TAG",12208.0570270833,74338.4274791667,57334.1877083333,25623.082,9353.65248333333,1286642.34677083,58418.9196458333,12521.1103520833,27868.1684854167,23587.3646729167,19641.05985625,34761.9740416667,6976.185739625,6843.45225833333,7317.37660625,3886.24983541667,15253.59856375,37264.5128958333,165482.409145833,50898.3501458333,44955.9560208333,24240.4216354167,4431.5801955625,68491.3312083333,204916.895395833,341811.438895833,124788.458166667,34761.9740416667,36706.7804583333,6074.6298875,18902.8429770833,5363.15487083333,67928.8432916667,27868.1684854167,4260.46825625,39235.1869166667,90931.5903541667,122747.910791667,3886.24983541667,27868.1684854167,7317.37660625,241913.250604167,312966.80075,56636.005875,26274.7298125,16918.440138125,55420.7999375,18217.042298125
"IS d5-DAG","IS d5-DAG",619057.386041667,1047346.36708333,731614.670625,1103731.71041667,501845.069166667,2090641.86958333,1600816.26833333,509001.631458333,381264.366666667,778100.338125,713392.294791667,477296.5580625,437836.651041667,675131.430625,582892.988958333,1103731.71041667,493910.028604167,695841.508541667,824440.960208333,509001.631458333,1250939.58645833,1139996.43708333,918030.559791667,558685.755833333,1379581.21604167,1944258.22375,1103731.71041667,1250939.58645833,1474755.46979167,850065.198958333,748741.774375,778100.338125,1329791.351875,1250939.58645833,918030.559791667,1223395.68479167,1944258.22375,1944258.22375,895955.378125,1669430.43279167,1182930.09916667,2591701.14645833,2471398.25833333,1600816.26833333,1139996.43708333,1600816.26833333,2471398.25833333,1182930.09916667
"IS DG 34:1"," [M+NH4]+",317999.325729167,367035.642,356390.760270833,518917.9395625,352193.677083333,356390.760270833,381264.366666667,399230.988541667,558685.755833333,518917.9395625,493910.028604167,419871.779375,372957.190208333,429112.1025,336764.72075,800581.565833333,388219.817041667,347218.853979167,452582.675208333,291149.021291667,372957.190208333,509001.631458333,713392.294791667,404244.566666667,291149.021291667,283713.82425,341811.438895833,437836.651041667,404244.566666667,509001.631458333,347218.853979167,558685.755833333,605053.808916667,593920.3375,661084.090833333,509001.631458333,437836.651041667,429112.1025,871241.879375,452582.675208333,642838.29875,485608.67625,459494.973958333,593920.3375,527596.454375,593920.3375,731614.670625,800581.565833333
"IS lysoPC 17:0","[M+H]+",1182930.09916667,871241.879375,1020554.8875,1429079.95854167,871241.879375,2264806.68870833,1944258.22375,850065.198958333,593920.3375,1182930.09916667,1103731.71041667,871241.879375,800581.565833333,964273.88125,939173.600416667,1250939.58645833,1047346.36708333,1076133.891875,800581.565833333,871241.879375,2165078.83958333,1871071.78145833,1250939.58645833,748741.774375,1429079.95854167,2264806.68870833,1539471.70125,1669430.43279167,1944258.22375,1669430.43279167,1103731.71041667,1139996.43708333,1474755.46979167,1329791.351875,1250939.58645833,1750732.02770833,2365270.17333333,1539471.70125,1250939.58645833,2165078.83958333,1429079.95854167,2365270.17333333,2591701.14645833,2090641.86958333,1944258.22375,2090641.86958333,2780240.528125,1669430.43279167
"IS MG 17:0"," [M+NH4]+",52000.5561458333,49724.7607916667,59215.9472708333,74338.4274791667,45542.9782166667,148761.655333333,105478.261166667,48247.6582083333,40845.2382083333,81135.794125,68491.3312083333,57334.1877083333,56134.2555625,57840.8919375,53476.7067916667,100629.472854167,61941.7941666667,68491.3312083333,36706.7804583333,43935.3072708333,130540.979770833,90931.5903541667,78549.2828541667,38819.6143145833,92192.15425,126433.602229167,81135.794125,93402.3804166667,89785.6260833333,88328.4516041667,59215.9472708333,65524.2362916667,89785.6260833333,85167.3830833333,81845.5188958333,117087.23825,111575.404125,86440.493875,81845.5188958333,104200.522958333,93402.3804166667,165482.409145833,144945.939479167,129259.268333333,115677.330875,110340.330791667,144945.939479167,88328.4516041667
"IS PC 34:0"," [M+H]+",605053.808916667,1223395.68479167,661084.090833333,964273.88125,518917.9395625,1669430.43279167,1250939.58645833,518917.9395625,356390.760270833,572028.583125,518917.9395625,509001.631458333,404244.566666667,537359.801666667,661084.090833333,871241.879375,605053.808916667,661084.090833333,1182930.09916667,918030.559791667,1474755.46979167,1474755.46979167,895955.378125,778100.338125,1250939.58645833,1539471.70125,1379581.21604167,1223395.68479167,939173.600416667,731614.670625,675131.430625,731614.670625,939173.600416667,695841.508541667,800581.565833333,990908.912125,1429079.95854167,1669430.43279167,964273.88125,1474755.46979167,1047346.36708333,2165078.83958333,1474755.46979167,1669430.43279167,1223395.68479167,1813130.91208333,1813130.91208333,939173.600416667
"IS PS 34:0","[M+H]+",47678.7511041667,121385.01425,39235.1869166667,61941.7941666667,53090.3195625,129259.268333333,155197.662166667,24566.8745625,63370.7477291667,49216.6025833333,47678.7511041667,26801.7846875,70833.587375,38489.1075625,39235.1869166667,27868.1684854167,41742.3810208333,58418.9196458333,86440.493875,40450.5103958333,124788.458166667,155197.662166667,50262.1638541667,94455.8167916667,110340.330791667,107649.473770833,122747.910791667,129259.268333333,124788.458166667,75654.953375,81135.794125,74338.4274791667,78549.2828541667,56134.2555625,37669.1065354167,56134.2555625,68491.3312083333,139969.648395833,57840.8919375,89785.6260833333,63370.7477291667,393735.844395833,155197.662166667,352193.677083333,79503.6455208333,211527.645625,215625.1535625,85167.3830833333
"IS SM 35:1","[M+H]+",220360.636208333,1020554.8875,336764.72075,1047346.36708333,256699.1536875,1379581.21604167,1813130.91208333,256699.1536875,151226.822979167,509001.631458333,291149.021291667,247168.375354167,155197.662166667,278186.300458333,195059.6044375,778100.338125,278186.300458333,429112.1025,459494.973958333,317999.325729167,2264806.68870833,1329791.351875,778100.338125,429112.1025,939173.600416667,1813130.91208333,1223395.68479167,1474755.46979167,1286642.34677083,748741.774375,501845.069166667,468410.748333333,871241.879375,572028.583125,558685.755833333,1047346.36708333,1076133.891875,2165078.83958333,695841.508541667,1429079.95854167,800581.565833333,2780240.528125,1944258.22375,2264806.68870833,1539471.70125,1750732.02770833,2911816.0125,964273.88125
