Lipid	Adduct	RT	CV	Ctrl_BKS_2202	Ctrl_BKS_2203	Ctrl_BKS_2206	Ctrl_BKS_2211	HF_BKS_2214	HF_BKS_2216	HF_BKS_2217	HF_BKS_2218	Ctrl_BKS_db+_2225	Ctrl_BKS_db+_2226	Ctrl_BKS_db+_2227	Ctrl_BKS_db+_2231	HF_BKS_db+_2239	HF_BKS_db+_2241	HF_BKS_db+_2242	HF_BKS_db+_2243	Ctrl_BL6_2249	Ctrl_BL6_2250	Ctrl_BL6_2251	Ctrl_BL6_2252	HF_BL6_2260	HF_BL6_2261	HF_BL6_2262	HF_BL6_2266	Ctrl_BL6_db+_2273	Ctrl_BL6_db+_2274	Ctrl_BL6_db+_2275	Ctrl_BL6_db+_2279	HF_BL6_db+_2286	HF_BL6_db+_2287	HF_BL6_db+_2288	HF_BL6_db+_2289	Ctrl_BTBR_2292	Ctrl_BTBR_2293	Ctrl_BTBR_2297	Ctrl_BTBR_2298	HF_BTBR_2306	HF_BTBR_2307	HF_BTBR_2308	HF_BTBR_2309	Ctrl_BTBR_ob+_2316	Ctrl_BTBR_ob+_2317	Ctrl_BTBR_ob+_2318	Ctrl_BTBR_ob+_2320	HF_BTBR_ob+_2329	HF_BTBR_ob+_2331	HF_BTBR_ob+_2333	HF_BTBR_ob+_2334
CE(16:0)	 [M+NH4]+	11.01	60.58271542	572.0414419	6390.312368	986.2232358	369.7743645	787.3384626	718.1761894	7001.843942	1218.783404	921.5462628	966.2630571	902.4052044	182.9634616	866.0005218	394.0975823	486.462402	3259.440233	593.040721	124.9332425	468.4455153	160.7384096	7076.341456	517.2856136	439.345155	415.4318931	902.4052044	1627.852423	1580.165531	941.7722162	660.6016777	211.4682283	297.1848254	211.4682283	439.345155	941.7722162	297.1848254	1233.028538	593.040721	2237.996123	921.5462628	3130.667038	486.462402	36925.99255	572.0414419	4996.445978	29830.08109	986.2232358	58899.00316	1256.068293
CE(16:1)	 [M+NH4]+	10.70	57.41901425	787.3384626	768.9411996	182.9634616	739.5076125	50.05390291	882.4186362	245.1736324	546.8052098	245.1736324	439.345155	245.1736324	882.4186362	211.4682283	339.0038411	866.0005218	182.9634616	211.4682283	572.0414419	812.6641799	339.0038411	211.4682283	275.7432142	297.1848254	439.345155	211.4682283	160.7384096	394.0975823	369.7743645	211.4682283	297.1848254	50.05390291	297.1848254	394.0975823	275.7432142	211.4682283	339.0038411	160.7384096	124.9332425	91.19475576	486.462402	369.7743645	620.3235154	882.4186362	517.2856136	182.9634616	415.4318931	882.4186362	211.4682283
CE(18:1)	 [M+NH4]+	11.06	43.17055978	2601.313645	1527.841542	3917.335892	1437.682294	1078.864738	768.9411996	593.040721	1779.687037	3231.818612	1233.028538	1326.532441	2694.215394	1940.413148	1009.656055	2176.953478	1032.804249	1256.068293	3046.664351	1730.820619	1300.967987	1750.977985	685.6612332	702.8576164	2694.215394	1606.746885	702.8576164	1437.682294	1277.923821	787.3384626	486.462402	1527.841542	702.8576164	2529.955592	1105.126401	812.6641799	1300.967987	966.2630571	1326.532441	1653.849199	1527.841542	1233.028538	1155.776144	1056.295484	1394.770282	4092.482947	1155.776144	3656.86449	3586.931183
CE(18:2)	 [M+NH4]+	13.05	76.19748913	50.05390291	50.05390291	50.05390291	19.58724319	660.6016777	50.05390291	91.19475576	19.58724319	19.58724319	19.58724319	19.58724319	50.05390291	50.05390291	50.05390291	19.58724319	19.58724319	19.58724319	50.05390291	19.58724319	19.58724319	50.05390291	19.58724319	124.9332425	91.19475576	50.05390291	19.58724319	19.58724319	19.58724319	50.05390291	19.58724319	19.58724319	19.58724319	19.58724319	50.05390291	19.58724319	50.05390291	19.58724319	50.05390291	19.58724319	19.58724319	91.19475576	182.9634616	19.58724319	124.9332425	50.05390291	91.19475576	124.9332425	19.58724319
CE(20:3)	 [M+NH4]+	10.83	84.50639718	182.9634616	439.345155	636.8546096	124.9332425	124.9332425	124.9332425	6033.81833	245.1736324	160.7384096	50.05390291	91.19475576	297.1848254	369.7743645	19.58724319	91.19475576	4281.418378	245.1736324	636.8546096	1326.532441	593.040721	369.7743645	182.9634616	5194.374936	546.8052098	4912.784497	245.1736324	275.7432142	6697.629949	245.1736324	160.7384096	394.0975823	124.9332425	468.4455153	160.7384096	275.7432142	211.4682283	3534.633299	339.0038411	5593.616175	4522.233182	415.4318931	5094.988909	768.9411996	50.05390291	5723.206757	4321.217705	4912.784497	182.9634616
CE(22:4)	 [M+NH4]+	10.91	78.27317423	369.7743645	320.4901795	1437.682294	245.1736324	160.7384096	1547.623228	394.0975823	468.4455153	902.4052044	275.7432142	593.040721	1810.048109	787.3384626	182.9634616	369.7743645	211.4682283	394.0975823	369.7743645	2872.255076	739.5076125	486.462402	572.0414419	182.9634616	1394.770282	160.7384096	468.4455153	660.6016777	339.0038411	546.8052098	124.9332425	468.4455153	160.7384096	297.1848254	124.9332425	91.19475576	369.7743645	517.2856136	593.040721	275.7432142	297.1848254	517.2856136	339.0038411	91.19475576	468.4455153	517.2856136	19.58724319	546.8052098	275.7432142
CerP 44:2	 [M+H]+	7.43	22.27407066	158437.9124	222801.3405	191420.4907	219058.2132	166501.1962	260417.1582	242014.7298	153621.1533	136613.6724	163820.4218	104345.6196	126704.5429	91685.51901	140845.2377	194980.59	260417.1582	150334.73	118653.7689	163820.4218	166501.1962	236812.3042	231444.6655	171923.3079	138530.4909	215808.0563	285905.1615	253340.3771	231444.6655	180586.0403	166501.1962	169170.5188	158437.9124	169170.5188	242014.7298	273770.6121	292577.8048	391527.6722	418784.4128	231444.6655	273770.6121	334428.9576	375459.9512	391527.6722	306452.3363	314826.9665	343459.0345	426803.3436	260417.1582
DG 29:0	 [M+NH4]+	5.41	60.70919483	468.4455153	19.58724319	160.7384096	50.05390291	91.19475576	339.0038411	160.7384096	211.4682283	50.05390291	245.1736324	124.9332425	91.19475576	19.58724319	124.9332425	182.9634616	91.19475576	91.19475576	160.7384096	160.7384096	245.1736324	19.58724319	91.19475576	50.05390291	19.58724319	91.19475576	50.05390291	50.05390291	160.7384096	19.58724319	91.19475576	369.7743645	50.05390291	50.05390291	91.19475576	124.9332425	19.58724319	50.05390291	160.7384096	369.7743645	124.9332425	211.4682283	91.19475576	320.4901795	439.345155	160.7384096	297.1848254	50.05390291	91.19475576
DG 30:0	 [M+NH4]+	7.46	56.98559873	660.6016777	2554.402104	339.0038411	2353.453936	620.3235154	1730.820619	3407.877676	882.4186362	739.5076125	3560.774964	620.3235154	787.3384626	685.6612332	1056.295484	921.5462628	1810.048109	768.9411996	1354.862643	1009.656055	297.1848254	1256.068293	842.310761	866.0005218	1300.967987	1194.49044	3231.818612	1872.004713	1437.682294	986.2232358	439.345155	921.5462628	1105.126401	3023.544195	1779.687037	3987.494108	2353.453936	941.7722162	1416.281504	2109.421401	2720.283708	3284.483163	2905.640596	3023.544195	4021.329678	1850.700572	1580.165531	2012.546104	2284.431709
DG 30:1	 [M+NH4]+	6.96	22.87623767	1479.481756	7948.616223	320.4901795	7374.181445	1300.967987	1580.165531	1627.852423	572.0414419	2237.996123	3617.910855	2905.640596	1078.864738	1105.126401	718.1761894	882.4186362	439.345155	3101.702177	3353.687486	1918.399093	2154.216067	1580.165531	2383.173868	1750.977985	1416.281504	2383.173868	3378.153016	3987.494108	8046.838572	866.0005218	1256.068293	245.1736324	339.0038411	4866.332948	3987.494108	12656.18091	4430.950426	787.3384626	966.2630571	1627.852423	702.8576164	6574.562853	3846.535463	2995.122344	8807.138823	1171.80233	1218.783404	1394.770282	2574.884081
