Sample,Ctrl_BKS_2202,Ctrl_BKS_2203,Ctrl_BKS_2206,Ctrl_BKS_2211,HF_BKS_2214,HF_BKS_2216,HF_BKS_2217,HF_BKS_2218
Label,CT,CT,CT,CT,HF,HF,HF,HF
CE 22_6,37007.69478,48391.45313,34771.36221,32088.42261,72379.935,39454.21992,84298.4157,49500.36198
CE 16_2,894.4546302,492.278493,2139.483493,5372.410825,941.0677201,919.1708591,755.8885648,5577.642974
CE 18_2,126572.3582,144513.7837,79250.19245,76133.27891,178031.7216,314979.9028,237352.0698,240322.2998
CE 16_0,15588.54386,13231.77819,17648.32973,13404.60307,11595.5266,18400.47136,16110.81765,12168.85694
DG 38_4,1910164.391,2687537.07,2589346.463,1654410.363,3413145.246,4861345.822,3680765.589,2758496.032
DG 40_6,306397.0424,1509476.537,530095.4162,829115.1426,501518.3394,600045.9731,869595.7682,1052224.967
DG 34_2,21802550.86,37412638.91,29973713.85,23956447.83,23970064.96,14682681.29,17858604.66,20798245.92
DG 37_4,56526.69674,54858.35421,49354.30551,37131.88766,33359.58701,55649.15682,64287.08409,51244.27114
DG 40_8,847042.6265,1133432.297,1224497.269,501663.7371,1188734.431,1840907.716,1243581.473,1984257.79
DG 32_2,668837.6032,851968.9483,629412.1486,529094.5224,446307.1358,314740.0117,155436.7765,298000.688
DG 32_0,261685.3414,279710.1104,258610.4441,314857.2915,399317.6326,293185.2505,714243.6955,561550.141
DG 38_2,1310181.574,1763243.245,946047.2565,721435.0817,356373.4401,476565.914,1060826.273,733833.1615
DG 34_4,110951.324,189001.8583,280118.8319,102877.5082,189845.9232,120557.0106,110226.7192,86735.60517
DG 36_4,16403025.27,20136405.2,19370045.55,6330073.992,17029626.87,23698475.94,19648490.05,21566911.68
DG 35_2,358403.2925,406388.4248,297951.3751,209129.1822,213012.2112,204638.7879,264727.0774,295110.4376
DG 42_8,133455.6435,196569.8028,92968.10467,95903.8647,68978.09735,91963.8585,128678.6334,232994.9664
DG 38_6,2440958.923,3472085.42,6961675.106,2954097.849,5888610.756,6347562.69,4455057.838,8248243.235
DG 36_2,19990427.18,30716611.69,20105425.73,20816793.65,21353949.65,15121613.31,19081518.71,15626587.85
DG 40_4,68298.17249,98557.19432,80066.34535,39834.89317,45493.05971,107468.8216,142232.8889,86223.11032
DG 34_0,91682.17147,79095.56838,74296.69565,73533.91721,162297.0924,278033.4306,469338.078,337010.5661
DG 33_2,276316.9398,357089.4274,297330.3532,133491.1766,108052.0146,142180.8015,326176.4028,176215.5859
DG 42_10,97379.9977,248496.1001,140155.7213,89849.46848,80702.82087,107342.388,100956.4212,145756.8591
DG 42_6,40100.82172,89305.30447,34426.81418,34590.81973,23327.28669,27161.33625,51442.6719,79088.80293
DG 44_10,64784.3522,84415.33912,65636.42327,66187.88614,49712.21779,108184.3137,98180.59757,122465.208
DG 26_2,14467.23254,6887.29655,26538.82747,4181.40692,7777.873398,29366.24116,44920.53872,10528.24017
DG 30_0,96112.43338,109324.953,58952.32832,55569.18461,33418.3318,48270.66041,42218.52102,63692.16541
DG 37_2,165462.9364,163296.5197,93985.2935,68767.36209,82384.77884,60296.96172,100703.7328,60664.92434
DG 39_4,11141.40483,2773.568748,19352.27589,7960.547296,3466.657198,20953.60764,20049.32551,5814.909672
DG 40_2,97515.40878,185731.9059,56277.69383,28116.59106,16707.27693,13785.33515,64259.15687,36432.46773
DG 36_6,80883.7882,87786.6614,428620.2962,49341.90612,143367.8564,154439.6069,175883.914,114045.4955
DG 42_2,24018.86115,32943.45729,18319.50628,11869.51347,7863.774911,16653.32453,47169.06253,10657.14108
DG 36_0,17317.45938,10828.18044,9792.734815,13247.94058,10776.87408,27609.07362,90725.16242,23998.45888
DG 38_0,10849.23453,10095.70934,9662.915045,2530.217704,3157.581647,6485.096962,22747.10281,10197.3307
DG 33_0,5779.146543,8547.902373,8405.368247,6491.648156,17429.17705,9649.348333,12181.13033,14642.41493
DG 39_6,1289.955343,3910.106688,5093.505056,2100.450387,5439.601147,13862.69263,5668.332257,1945.657617
DG 32_6,5835.766277,7486.028879,13433.44689,4471.204329,11697.49376,33304.10116,40937.66208,6685.229912
DG 30_2,24700.25417,22731.21755,115531.3868,21980.12198,98905.89202,110294.7352,55636.73149,35566.82401
DG 37_6,9611.987477,11001.75945,31926.21341,14822.50572,32575.7699,20193.0404,13130.98725,34572.90586
DG 44_6,3447.642126,7491.413295,4414.521689,2273.710583,6208.532433,4865.588299,1472.164112,7125.123677
