Sample,Ctrl_BL6_2249,Ctrl_BL6_2250,Ctrl_BL6_2251,Ctrl_BL6_2252,HF_BL6_2260,HF_BL6_2261,HF_BL6_2262,HF_BL6_2266
Label,CT,CT,CT,CT,HF,HF,HF,HF
CE 22_6,10570.51407,16943.49924,16707.84683,30157.86525,13531.25273,14959.36468,4896.023038,6010.567452
CE 16_2,2842.097032,1125.021508,2694.048795,3868.440829,135.368398,786.9349959,39.9460492,228.357861
CE 18_2,75316.81518,90863.99362,82780.11995,123094.972,69003.79003,196816.8322,63774.01526,200261.0278
CE 16_0,20157.70074,17256.47371,24222.58853,20880.6295,26208.8793,31110.06612,33799.8114,60945.89342
DG 38_4,5433319.835,4257584.44,3634343.412,3615765.981,6138132.314,6217844.246,4920331.347,9822995.183
DG 40_6,2029581.489,1175285.523,1982057.158,2008461.635,1742530.349,2025519.103,2156447.096,8084809.463
DG 34_2,46842663.21,34381316.54,27393543.8,27782664.93,31023114.08,25720974.96,32000043.64,50921999.32
DG 37_4,110544.8828,86266.45051,68650.02266,72277.05714,147236.9509,152596.6092,74346.71123,202627.9358
DG 40_8,1596318.908,1858050.665,1406096.661,1902172.933,2276433.444,3431633.336,1203967.524,10582148.78
DG 32_2,1208790.763,901230.3241,671549.6448,448263.6491,459391.4654,508805.042,512130.4533,1159250.951
DG 32_0,634029.3245,445006.7461,431039.3525,380712.9171,969078.3217,704068.3007,942322.0968,921618.1566
DG 38_2,4600019.103,2594152.995,2998603.438,2157524.949,1539020.201,1862447.465,1630244.033,3062386.943
DG 34_4,238607.8094,240444.0726,124817.416,142503.6047,129268.5197,139681.8406,144355.6873,326102.3635
DG 36_4,15807120.97,14919219.24,10150723.72,14262529.2,16903392,24121012.87,12165678.87,44445237.24
DG 35_2,1320468.467,816915.3376,674638.744,539731.7851,1095598.709,987027.1913,1032037.05,2556773.909
DG 42_8,369995.5799,295793.929,281951.9772,258690.2183,398525.0316,525276.5882,405583.3253,871465.9537
DG 38_6,6518847.417,5779593.828,6963995.023,5988506.481,11883516.29,9794127.254,11950220.09,20306720.01
DG 36_2,42120637.06,33723423.11,29722293.14,24835753.44,28192260.37,31338719.04,28652776.9,52830258.43
DG 40_4,354468.4915,193405.1402,201285.9781,175350.6324,251879.4766,303491.3665,213169.1569,369095.6904
DG 34_0,137839.1196,81478.07269,121125.127,100315.0191,235831.7865,200658.9257,236217.0756,273822.0204
DG 33_2,976874.5381,494978.8478,294240.1974,455769.3744,484706.3939,536622.1816,372944.6135,1246211.059
DG 42_10,333170.8516,265550.8752,182071.2247,172894.1458,208182.1797,240254.0293,170400.6912,594996.0226
DG 42_6,324380.6631,113100.0006,114263.8523,111147.9826,227881.8556,273960.4992,183395.4389,466324.9971
