Sample,Ctrl_BTBR_2292,Ctrl_BTBR_2293,Ctrl_BTBR_2297,Ctrl_BTBR_2298,HF_BTBR_2306,HF_BTBR_2307,HF_BTBR_2308,HF_BTBR_2309
Label,CT,CT,CT,CT,HF,HF,HF,HF
CE 22_6,24652.4427,14172.43283,31944.91693,27308.49025,50572.84726,54160.70674,73521.29774,12995.02519
CE 16_2,9757.13464,10579.96442,9889.646784,7013.248241,2403.591153,1646.387621,2207.147642,8587.51703
CE 18_2,133988.4845,191638.0456,110284.281,67620.01843,299372.7538,171595.547,418091.7597,65481.19874
CE 16_0,20477.75249,145766.9701,32723.42936,47246.85386,16609.19508,21910.69883,23559.41651,23373.81197
CE 20_4,55812.7883,103875.5815,18695.98596,22139.14348,40495.02556,39090.71451,59523.50806,16401.26454
CE 18_0,71237.2408,515914.7474,1043.5622,124466.3458,126692.4394,18930.65858,127661.4765,159.6233377
DG 38_4,2763543.117,3637411.937,2499390.232,2163021.147,4491732.921,4873256.792,5453809.547,2621513.801
DG 40_6,477567.3934,1176482.405,339762.0666,352826.2419,1090165.92,538002.6548,478217.2218,479827.5522
DG 34_2,47147295.27,41310017.95,30477404.32,27055228.63,26888555.53,24104309.83,16082632.61,56431857.15
DG 37_4,65249.72685,107851.3705,46733.42075,44128.63886,66152.34627,26675.11861,38767.85846,59595.74692
DG 40_8,580340.428,660309.8894,208914.5248,249333.1491,2698775.928,1138046.179,1550719.289,389186.3051
DG 32_2,503306.8218,1030498.41,816822.7542,631384.4964,236640.9516,134891.2386,142118.3142,1086176.634
DG 32_0,355923.63,844557.115,341033.5115,575313.2489,427341.7692,439523.3645,421024.7078,481303.6543
DG 38_2,1996483.713,2079755.675,1426972.156,1349482.151,954867.6123,917544.5923,584064.2239,2111345.877
DG 34_4,50680.82138,54902.41459,65243.61373,52469.01298,65497.88158,28334.84973,40665.9552,136108.8427
DG 36_4,8665413.186,11945079.41,5168569.372,5089712.74,14841847.9,8803102.983,9979655.975,7678722.699
DG 35_2,609129.1236,1433821.298,437499.2416,542786.3405,482844.7406,188234.4439,165401.8632,1115307.417
DG 42_8,142766.186,141876.7891,80615.71977,70733.66202,432397.6169,229755.5935,223588.6155,77359.52468
DG 38_6,4305218.086,11096351.39,4545983.776,7418219.984,9823213.118,8954067.54,7641493.044,5600509.555
