Sample,Ctrl_BKS_db._2225,Ctrl_BKS_db._2226,Ctrl_BKS_db._2227,Ctrl_BKS_db._2231,HF_BKS_db._2239,HF_BKS_db._2241,HF_BKS_db._2242,HF_BKS_db._2243
Label,CT,CT,CT,CT,HF,HF,HF,HF
CE 22_6,21397.73668,11874.36261,46459.80832,28523.08738,31375.56862,49967.12037,22304.63106,53936.60053
CE 16_2,1354.996053,2438.198783,3155.444049,707.1037924,791.5820468,6468.266654,929.9734017,1676.418926
CE 18_2,104412.4816,180623.4591,133368.0951,137390.9757,84527.65243,249078.6881,164804.5374,828169.7934
CE 16_0,15460.67337,12418.25855,17615.29807,11029.37273,12475.46322,22158.5269,20177.23525,94340.87004
CE 20_4,8834.483905,20920.306,4620.131676,21828.31632,4967.709906,33968.02183,13071.2171,77458.2199
CE 18_0,21946.19808,50916.13267,30210.6412,46437.24559,6213.189888,61147.1989,7091.185853,269160.3449
DG 38_4,2194927.531,3055637.549,2494803.813,1672273.051,1496979.353,3910168.919,3950306.092,4404796.322
DG 40_6,284808.4983,662637.0812,1063963.095,496925.5507,296760.3827,1222201.462,1052860.184,2510444.978
DG 34_2,29897050.39,33330382.56,23236603.9,22313392.91,14675863.6,18716445.62,19578611.23,27707061.06
DG 37_4,60658.36891,81375.98078,56037.88923,34901.33905,26315.25299,82498.18947,99566.36202,75578.66803
DG 40_8,545587.9317,1340504.275,872208.3626,288175.8878,315271.1285,1564684.013,2174527.368,2366001.837
DG 32_2,709567.3127,841713.7376,418522.601,341194.399,152999.0923,232781.1632,322476.0215,438343.9565
DG 32_0,305952.7515,369294.7025,360349.5079,269351.9683,416919.2981,532469.1319,530133.2465,374646.2696
DG 38_2,1047709.654,2339713.785,1308178.287,760596.7047,364387.0566,1167583.705,1299296.457,1104280.507
DG 34_4,174924.3788,194380.1045,119175.0787,87379.71622,64166.02087,123962.6855,147415.8628,149372.0341
DG 36_4,10912820.63,22347680.57,12614893.89,7986880.491,3228482.291,28409903.79,25843065.79,33846819.28
DG 35_2,414693.1231,724166.1479,261459.8995,220195.1034,122271.4113,465996.3719,558448.3861,741130.624
DG 42_8,115068.9226,311851.5823,169107.5264,70018.23882,60321.14452,192710.9028,318715.1344,256982.4267
DG 38_6,2402886.244,2822094.153,3690416.949,2359461.346,5583375.792,6807658.924,10240464.7,6569081.68
DG 36_2,24481473.26,28845151.5,23460161.7,13497282.35,7963436.926,17037303.05,19659837.79,21849348.45
DG 40_4,63864.7143,139021.7109,82948.86678,61052.90851,31538.73448,94574.46651,154261.2976,112859.1332
DG 34_0,86803.36533,98646.05593,71645.53208,74512.89627,175761.3425,155675.1278,304283.9467,125475.2885
DG 33_2,229947.9712,474072.9763,205989.9982,317627.2264,28139.53458,456089.4831,484707.9473,454748.1101
DG 42_10,33800.43426,104737.1141,90489.22034,30410.98981,18413.1808,76041.87074,109681.7238,126798.6974
DG 42_6,49294.0034,122475.7943,80144.95074,38001.40056,26953.30298,66229.8152,93630.952,88579.09465
DG 44_10,48557.29167,77356.17582,101732.6116,63830.75895,19450.52543,95497.60981,148105.3601,108573.2693
DG 26_2,5602.508201,5239.164156,18719.14826,7597.935131,7302.555972,10999.2801,7955.346171,3408.585598
DG 30_0,78516.448,124406.4633,49137.00546,53392.46002,20822.7111,47905.88346,59316.73002,61187.58702
DG 37_2,117183.6942,272598.2912,102895.5727,67812.79704,26276.4987,71870.74484,109400.1666,108277.4225
DG 39_4,5928.822736,24830.77892,7693.224646,3732.422571,2963.491602,39774.52977,69836.79746,25769.46775
DG 40_2,137023.7053,339093.0703,112711.4706,87163.85171,25832.24273,65223.49092,109050.9106,129951.3171
DG 36_6,84324.56224,202017.7217,112099.5764,90802.32984,17965.67443,237557.0819,294526.9596,313253.5258
DG 42_2,22248.25077,50983.50338,40050.93442,26408.71987,3973.478905,11827.39808,12656.09963,14943.89052
DG 36_0,22475.11443,29619.45623,20007.02329,18040.5101,20985.32223,45149.74091,67988.35739,43910.0105
DG 38_0,5666.205981,28918.15348,6155.606765,25116.70575,2449.006408,12967.04885,21008.54476,27009.18508
DG 33_0,10726.70214,13391.09444,5386.807552,12926.21153,8168.30216,13751.06648,15121.85466,22298.80461
DG 39_6,2109.833912,5698.053574,17334.98431,12118.54573,1418.095694,6311.81457,4356.111537,1968.363983
DG 32_6,1751.203335,4339.555792,9530.68251,1465.684942,835.5688485,7096.552325,10076.13094,5601.263085
DG 30_2,33456.93494,20505.79586,41319.13507,17940.42521,44725.68751,37017.88634,37228.63358,27312.19213
DG 37_6,8640.370736,11727.60186,13252.14504,12642.12751,32066.00891,26678.94513,455266.7097,31185.48246
DG 44_6,2558.362996,9783.826961,10652.24483,3055.900304,1948.766721,3378.316511,5810.442498,9787.714049
DG 28_2,10776.40752,12025.22238,19183.56914,10300.66323,5655.58385,15430.43472,12613.45004,16894.85757
DG 39_2,24931.29739,124813.0263,38750.74427,49750.13813,2294.752783,63122.80817,46281.70441,65938.23985
DG 44_8,4352.781328,11883.96748,28191.16865,15084.58648,12422.83488,18477.28958,29981.44294,17485.82298
DG 35_4,50962.33357,78798.32049,57729.64592,33185.52812,37533.73475,51058.22398,88413.90428,106630.0932
DG 42_4,4086.538308,34089.85904,18612.41216,4465.108419,1525.037375,9206.228343,9591.322489,10415.69165
DG 44_12,73696.7727,158475.2923,89339.25202,129891.7671,32843.979,270074.065,158157.6156,418840.2097
DG 28_4,4627.35214,9179.282381,9927.247479,6413.484667,4637.69359,8947.270538,4086.06,2609.55224
lysoPC 20_4,5470572.996,10554036.92,4951981.277,5190971.39,1103004.468,4495741.232,5104678.109,3714394.819
lysoPC 18_2,4833039.149,11179760.42,5703949.386,4727717.404,981130.9269,5098167.616,5922314.832,5182694.498
lysoPC 22_6,3642159.559,7178714.773,3162215.909,2104476.288,595085.0216,3512238.351,4162175.167,2938759.293
lysoPC 19_0,200177.7645,506026.2578,331463.1792,238552.1962,43068.10373,231732.4633,168820.9154,234454.9073
lysoPC 20_0,275532.3663,423527.3696,551226.1807,498489.1332,182380.4969,399065.0107,281282.8265,198662.5053
lysoPC 16_0,23060123.71,31794937.93,25329267.75,21801798.06,3967197.977,19625424.94,24386782.81,29852229.43
lysoPC 18_0,16978588.8,34548471.82,21536958.87,21064517.62,4639997.57,21625941.38,24375502.68,24320291.55
lysoPC 24_0,74399.77588,175785.0077,119682.0322,118532.3243,12141.05849,164609.5881,71414.79798,90913.72958
lysoPC 20_2,85283.50274,231867.7252,104999.5359,74465.79143,15719.92693,77003.74157,70499.90179,79606.94779
lysoPC 14_0,47057.74049,71622.99279,45791.75741,39895.70074,4324.573166,16174.91642,18623.56649,25233.04911
lysoPC 21_0,7446.212609,13267.70244,10746.07207,12694.23329,1763.629054,9097.533113,5487.20306,4504.14934
lysoPC 22_0,66442.80045,93192.9285,83799.94861,75815.72448,19099.64507,96245.10795,47178.91822,53696.01243
lysoPC 22_4,53107.51348,98682.53758,63561.31925,63630.96395,7049.149482,43314.72425,54285.26454,53645.45668
lysoPC 23_0,5511.885619,17529.35872,6421.942314,16437.40496,2253.828637,31324.86318,22488.12196,12850.4797
lysoPC 15_0,42359.00848,39870.58517,74709.15856,49384.30436,27776.167,54262.35588,48568.8587,34686.27476
lysoPC 24_4,3866.597262,4307.980446,3777.308101,1390.650923,541.6973391,639.5014888,4355.643768,2594.478599
lysoPE 16_0,1382652.601,1845720.316,1282139.031,1127558.732,254546.8248,1536629.171,1805116.017,1312301.833
lysoPE 20_4,1894150.164,2950273.836,1632499.243,1290361.737,275852.4313,1355464.429,1584428.583,1083635.473
lysoPE 22_6,904954.682,1332299.172,852311.3314,427724.5811,130582.8093,849810.7573,965233.9681,694141.4496
lysoPE 18_0,191175.7051,262167.8013,210842.6491,163477.4589,30468.26249,332052.9522,408633.6141,127501.2125
lysoPE 18_2,178997.3407,323680.4879,310195.5714,164489.4407,68009.98237,295101.2114,282240.2432,182699.9062
lysoPE 20_0,26735.60746,58721.24722,36077.14147,22769.63823,7061.11076,24898.97997,33762.6096,24106.30225
lysoPE 17_0,32282.20067,51533.21803,42456.46583,23749.48685,6886.355191,67332.53604,63332.34797,30313.0305
lysoPE 19_0,27099.37982,43939.12125,27175.09657,17648.48307,5074.52342,33452.80986,26362.735,14961.30593
lysoPE 22_4,22035.78361,50215.54752,28910.92652,18790.25499,4709.417347,23908.26077,23876.71,24912.5242
lysoPE 20_2,11015.2788,12985.72323,15527.16234,13806.00032,3609.006699,14009.9695,19399.32226,6562.021194
lysoPE 22_0,2027.280846,4147.441039,1422.617144,2504.210239,2899.193261,1669.293404,3289.691037,2407.361894
MG 16_0,26947.23285,43199.28846,25941.54001,24818.24229,8972.586194,35058.67016,35942.37929,29248.68048
MG 18_2,60973.21818,111605.6845,103514.4034,75488.04434,12567.58859,127321.6698,109769.3153,82295.26347
MG 17_0,52006.79796,68093.72423,58010.47908,51819.11393,43768.83883,64259.34918,67350.09564,72093.17858
MG 20_4,27678.61605,36472.90875,52399.70787,28603.73723,6543.287695,36533.67479,25072.85976,29577.79398
MG 18_0,6509.608131,11059.08802,11376.93121,9123.920963,6679.310373,15449.43735,11492.55853,10929.27021
MG 18_4,3627.43308,12181.04159,6323.235173,6715.175601,3132.848132,11870.57667,7636.935356,22421.97371
MG 22_4,1553.513302,3493.871732,6108.4189,2971.089939,1354.909234,2860.65563,2680.093864,3249.542443
MG 20_2,1502.906312,1886.788028,2291.890881,2097.147618,349.9867038,4806.678094,1756.523419,663.166736
PC 35_4,603974.3597,569450.4646,657899.5009,711100.3264,434947.0515,660911.1644,613132.4825,629601.6913
PC 40_8,11820857.62,14872701.03,11032646.85,15272428.94,8162341.852,11575516.77,12415436.35,7415569.502
PC 34_4,5988490.54,6824142.125,5662952.068,7859476.298,1140209.27,4913816.028,3627858.821,3450057.376
PC 35_2,2646472.932,3214067.291,2204293.805,2094029.072,2466561.042,2783613.398,3049644.051,5841384.245
PC 38_2,5824981.251,12104238.1,7880158.98,7770902.029,2515491.212,5665485.101,5284703.947,8125823.498
PC 37_4,2489538.588,2618769.502,1759470.238,1797204.459,2618570.555,2104193.083,2628264.065,4074622.866
PC 40_2,323531.4246,625224.4384,371542.619,404422.0656,97054.68691,240442.4826,230831.5518,337644.7009
PC 33_2,1538616.74,1771199.784,1611387.299,1241459.23,641767.3129,1622039.633,1783449.149,3000697.221
PC 32_0,21490578.38,25870711.61,19286483.75,19638521.31,10014714.58,15791798.43,19133552.44,25166356.21
PC 44_12,205856.3591,296193.0155,217914.3127,216154.38,83135.77165,139243.3908,115884.6009,88684.18576
PC 39_4,1795153.617,2446625.501,1449305.799,1462503.929,948632.1907,1163042.966,1253450.641,2423445.118
PC 39_6,660695.7715,731034.7001,599209.0643,447238.803,1074621.812,915431.7136,1150124.951,2084405.644
PC 36_6,3187099.495,4822907.7,2280527.551,3383270.73,280569.6352,2005617.264,1324552.706,1428381.531
PC 32_2,8537664.105,10790734.95,6909598.711,7954974.299,851646.5039,4131491.906,3671306.025,5340220.155
PC 42_8,79703.19444,100470.2182,90478.74956,74893.93789,56453.17575,70862.70135,81151.43851,68353.27557
PC 37_6,712288.3797,773015.6442,611372.7792,507907.1214,298697.4364,772256.5476,853561.3381,1360129.561
PC 42_2,76025.26395,164460.3531,106449.0258,142008.6054,20842.41533,100430.0232,66008.79624,102939.7054
PC 36_2,37799417.44,42263435.52,45557744.32,43934482.52,43795733.45,39852174.41,38509604.1,42514655.98
PC 37_2,2028890.095,3086515.918,2275648.05,1943666.581,1440553.982,1688716.372,1395178.862,2539675.235
PC 42_10,2197856.388,3414300.969,2479636.369,3463999.254,1633854.37,2004417.19,1372526.936,1472386.235
PC 36_0,198441.8949,234672.2055,309612.7462,355463.654,408307.2176,185397.942,194299.4851,146133.8989
PC 41_6,330915.6843,434441.6267,331903.4293,246584.0807,186174.0141,337844.4982,396429.0089,446246.3112
PC 38_8,370250.3353,597995.996,353607.91,398901.5128,53452.18144,466434.6603,294593.4989,326236.3017
PC 40_6,15919337.72,19298970.16,14880344.24,14948781.12,15245847.77,14390390.29,17265369.08,25875388.12
PC 42_6,501570.353,966547.8192,816847.093,606157.6339,273334.7389,492483.9314,512752.2059,866673.5468
PC 35_0,220339.8803,257834.4014,248064.419,244900.4698,89756.71527,219452.5517,175256.1091,188560.0528
PC 40_10,93323.17261,102543.1749,98246.72987,97331.86993,146337.6084,113336.7884,115508.9903,154901.772
PC 44_4,64222.67679,111118.8141,71506.26574,91966.96261,12541.25196,75661.82906,58258.30232,100907.7373
PC 28_0,44633.74142,51859.96027,55798.31327,36223.42526,4298.113935,24112.58299,25637.87539,19059.41404
PC 30_2,59642.27072,94543.54249,118511.207,35440.61894,6048.350851,36396.99094,54338.24821,39363.33969
PC 31_0,30746.50211,35521.6367,57661.36721,49233.16787,30436.64994,28193.13289,30705.5163,34254.74963
PC 42_4,113476.929,177844.9136,117197.2771,144320.4738,24871.20224,62736.40184,50413.74869,79710.8389
PC 39_8,40977.55609,62525.50235,42237.34034,45825.81182,13865.1897,38301.31046,32830.24875,54898.4199
PC 37_0,70976.23411,168220.8767,91585.15925,182934.8759,8441.008991,93313.46408,69431.5701,96084.65876
PC 40_4,22920.94125,51357.33459,34268.75587,38242.31538,18661.10332,20004.5818,40083.18458,21423.05796
PC 39_2,38705.98434,96752.19277,54879.67349,44120.55458,21436.53747,32314.09777,29615.43136,53480.87759
PC 36_4,67129.725,197804.4778,152338.1064,211182.8203,6166.296263,395398.5154,184963.1443,299731.1865
PC 18_0,14304.10574,23594.15811,11978.46894,19191.19992,1531.063817,14837.94483,14757.12507,36254.44255
PC 38_6,50394.54457,68714.78838,45411.90996,51604.887,95619.14875,41068.75899,46025.70153,80133.40129
PC 38_0,32683.12817,56639.556,66166.15495,43816.23594,10647.35298,41041.95616,48173.97344,30898.13903
PC 33_4,41981.05779,28869.80226,16699.15353,15332.02949,710.5045636,17541.45095,12275.7889,8397.566794
PC 32_4,25041.99014,59230.58969,37139.60232,35637.7576,3681.564162,32727.20668,17116.29175,19990.25312
PC 20_2,4516.283752,11289.87244,16410.84627,29072.37511,1125.160524,8329.815608,6705.656692,20681.27874
PC 19_2,9085.863532,12009.00688,11792.27799,4551.956328,3251.116354,30042.33177,9181.537357,7968.714574
PC 33_0,117154.0963,153303.0347,112883.5873,138649.9848,53275.15454,87086.69363,127061.4952,170960.9007
PC 40_0,18323.09857,48128.72741,29264.18503,42170.19639,9766.572906,159226.8877,120874.97,75813.55715
PC 44_6,10435.97918,37025.07842,16502.47165,22391.59183,4159.420837,40623.67238,68338.07329,22506.81418
PC 38_4,26422.93157,30979.71625,20613.00701,32911.64736,36104.26761,15251.80999,28336.66186,27587.56397
PC 43_6,7255.9276,28859.559,15592.54457,12468.49947,5181.09846,9263.395409,14568.17512,16636.48203
PC 28_2,1177.400265,4277.83351,3257.346197,1774.449098,553.1635991,5906.824882,8375.622115,2202.133887
PC 39_0,13632.33238,19418.02317,14721.06393,9746.407794,1309.949406,40142.53245,42345.3828,13637.60387
PC 17_0,430.6127369,288.0584052,1704.796524,366.0240617,420.5354892,487.9959041,621.3470343,1133.553226
PC 31_2,53126.6564,54975.69933,49102.38204,17043.35325,2962.870571,30876.78318,23643.68624,16107.27966
PC 41_4,30633.07401,92156.32386,60160.67622,39698.88461,11405.53216,30613.61372,40543.10038,60328.70907
PC 31_4,136941.0777,141914.3096,166643.9698,132548.604,30194.04568,69548.22801,64494.70819,74840.31223
PC 24_6,4158.463169,4176.714161,13289.06526,4860.145952,13805.26128,6146.796671,4971.308531,3622.234548
