Lipid,Ctrl_BTBR_ob._2316,Ctrl_BTBR_ob._2317,Ctrl_BTBR_ob._2318,Ctrl_BTBR_ob._2320,HF_BTBR_ob._2329,HF_BTBR_ob._2331,HF_BTBR_ob._2333,HF_BTBR_ob._2334
Label,CT,CT,CT,CT,HF,HF,HF,HF
CE 22_6,65247.28302,12258.9631,14723.18423,33252.37753,29949.73635,45018.53677,40228.24254,25672.27162
CE 16_2,870.0396398,7173.93684,14406.46714,16661.24202,735.7225786,3296.607105,34.36911048,199.7463573
CE 18_2,848804.6634,66259.07109,58281.89392,86042.10555,165978.8312,466983.9128,300222.8637,149188.5345
CE 16_0,83636.10526,19227.41964,26936.62631,57474.0998,20492.83792,31290.83123,39489.00197,20763.10669
CE 20_4,152321.0375,24464.27954,7990.64512,28398.20717,18111.23595,54318.8582,50425.93814,18975.40565
CE 18_0,319204.8008,65656.68673,1160.026304,125694.6876,47195.81825,179575.7902,54157.26791,32657.35177
DG 38_4,6289410.54,3288537.908,1840021.686,2574341.088,3576536.714,5505523.547,7098111.491,3574409.365
DG 40_6,3012901.18,816190.6946,397819.2391,685994.0772,1742465.082,1796219.224,2960062.754,2006765.962
DG 34_2,22932674.6,53281545.38,41086831.54,42723594.2,22491150.6,20394100.93,25437281,18021343.86
DG 37_4,113385.3842,97067.16407,53318.81731,60617.28464,87537.66259,75054.08051,123573.4899,96984.42802
DG 40_8,1801614.529,379861.5805,160900.1983,352077.1251,1404645.476,1922087.695,3266832.121,1342905.451
DG 32_2,232929.0495,783017.8607,798328.6987,931696.9948,146940.7777,138720.9948,202015.1375,282003.0134
DG 32_0,665788.1865,980355.6749,451062.3017,714576.6531,307588.7707,345258.7881,562922.3506,517139.0676
DG 38_2,1272768.608,2361352.424,1649759.459,1753511.556,874838.8852,967282.2119,2283700.888,942741.0172
DG 34_4,81080.42453,64926.89034,68876.20935,85467.43776,43978.81534,43216.21628,102198.6865,62011.36176
DG 36_4,16727214.79,12170764.18,3980184.866,6087708.44,11317637.27,15080930.24,30106062.52,11199945.11
DG 35_2,642822.9158,1254508.861,703616.6669,1117016.094,356809.104,377694.9779,684564.8725,510489.0715
DG 42_8,496734.3353,90482.43137,64685.07939,98340.0172,246563.2315,274394.3434,616934.3699,468134.698
DG 38_6,12760680.63,10735999.94,6700103.907,10238095.94,4552344.952,7054573.02,10595012.79,6989584.401
DG 36_2,17408216.48,40172260.2,38019737.84,38328896.53,17372899.04,19081499.24,26043606.22,16926356.86
DG 40_4,178162.4411,163325.464,93415.6172,104916.5252,98040.09929,115994.1461,272010.1924,121677.485
DG 34_0,278396.741,300367.7498,165556.0792,212502.9707,155102.9673,218327.4265,304170.8517,209059.4944
DG 33_2,531367.1631,465779.3077,155479.4036,242625.5214,152823.0808,395141.7037,440842.9737,232415.4999
DG 42_10,225032.8404,69621.68287,19247.90143,56187.45799,52916.30821,101589.4901,190112.3262,74941.31194
DG 42_6,116241.4186,49341.32432,40206.72092,68330.14273,82785.81507,118630.1121,199929.5898,113693.8326
DG 44_10,243975.5651,65712.36631,48618.66148,55283.51323,97542.62858,168274.2554,256255.8039,161453.914
DG 26_2,5472.30397,2062.989642,3606.943396,5551.569365,4884.357734,9533.414316,11497.30254,4324.248192
DG 30_0,51148.45237,212303.9692,123452.1435,118760.5269,29610.99323,32988.06772,38094.66179,51194.31478
DG 37_2,115579.1072,303676.9956,143692.2976,216275.2111,49027.99857,57673.30315,91160.64315,77417.38339
DG 39_4,49280.9555,161295.8338,30151.40731,89204.39927,7215.331138,27455.19488,39275.8295,60143.70074
DG 40_2,60316.44119,224541.7305,101426.7683,136082.0322,59656.16781,45532.0171,211374.5691,65695.91131
DG 36_6,142294.7747,61388.11475,16482.50699,42161.37484,34414.23989,93727.08417,199992.1652,68010.47611
DG 42_2,13450.98052,26375.87232,11280.38265,14420.98009,11661.03929,18601.18984,34938.83465,15747.74862
DG 36_0,72675.13037,90741.43938,36426.8503,39980.87833,40274.98465,32472.25928,104543.7663,43882.21161
DG 38_0,29457.76588,45802.16664,6647.923066,7984.277491,4329.727537,26547.90926,35855.35384,13963.95356
DG 33_0,23653.96512,43108.30898,15775.97051,34864.54458,10964.58646,16638.23671,15709.29483,18122.39591
DG 39_6,7451.183483,7601.34468,10046.25529,12454.10227,1548.255719,6618.177234,3116.452133,1910.933449
DG 32_6,7510.794098,875.5711823,663.9783662,1160.433121,1102.968514,2781.355724,21355.18916,1186.282434
DG 30_2,18425.61611,8647.043967,14317.28457,7384.245568,9156.655401,15914.76662,25717.51707,14161.22312
DG 37_6,46901.10128,24976.48137,9284.693917,21099.96514,20306.93715,27454.78046,42317.24233,23665.05535
DG 44_6,9287.94252,8028.44888,1971.317844,9465.310763,3137.890857,6015.362816,37756.69375,4629.242963
DG 28_2,5595.198562,3770.13882,7881.208607,4911.001702,5952.963344,6261.582283,16743.35514,7492.834907
DG 39_2,110600.9637,93834.69787,19669.51295,77632.81218,15054.88858,57011.4384,110778.198,19563.76494
DG 44_8,31613.06268,8795.606458,4616.633646,5118.848612,15479.78469,17758.24768,37374.65717,30452.35761
DG 35_4,68363.53196,12301.68374,10891.40006,11852.44315,29833.35516,41386.63845,59974.35383,39583.54048
DG 42_4,16122.98767,11913.49917,6269.454104,8059.863586,6644.645665,9234.99655,26075.13091,10686.77756
DG 44_12,390465.4665,62797.03559,28146.15701,53160.52109,105461.3569,213672.4747,357771.0165,85466.61087
DG 28_4,2147.497399,1325.739631,4546.566309,4727.388546,4890.633526,3364.668826,4289.757747,2286.648153
lysoPC 20_4,5929851.79,11409780.6,6287299.923,7579628.452,5635170.098,5037499.035,8443162.996,7876010.159
lysoPC 18_2,3505579.116,6662822.696,4100352.134,4604128.502,4014250.483,3763759.797,8489198.423,5181546.149
lysoPC 22_6,3134582.391,5803234.545,3429343.929,3850847.928,2894719.869,2737669.411,5061185.089,3544671.489
lysoPC 19_0,238840.0459,430902.2293,166192.0524,163093.8338,150810.3485,345408.7277,470966.1043,160587.64
lysoPC 20_0,398232.828,204175.6283,111360.9955,98943.90253,274875.7916,449473.3488,923885.5357,236559.5452
lysoPC 16_0,25016500.19,30569428.75,15701443.26,18775022.86,13902286.57,19364756.13,28980102.59,17018469.51
lysoPC 18_0,29915778.44,42656207.77,20947773.56,27432881.31,22845535.13,31168642.25,36156776.24,26613440.32
lysoPC 24_0,118477.8861,187402.0032,62881.89159,72872.48371,43762.66508,113587.7148,175927.9482,73172.18441
lysoPC 20_2,71993.74429,320522.2793,154794.9316,150149.1739,100418.7169,81696.14106,180055.194,127729.9504
lysoPC 14_0,12143.09554,29425.84712,20446.1972,17548.94783,9487.512088,9936.128474,15421.98135,16276.82357
lysoPC 21_0,10505.47962,16657.0017,5851.807283,7547.310165,5779.398499,7765.71988,14842.63252,6857.889134
