Sample,Ctrl_BKS_2202,Ctrl_BKS_2203,Ctrl_BKS_2206,Ctrl_BKS_2211,HF_BKS_2214,HF_BKS_2216,HF_BKS_2217,HF_BKS_2218
Label,CT,CT,CT,CT,HF,HF,HF,HF
CE 22_6,805568.9706,1444798.626,1257489.017,1970232.117,2579586.391,902038.4319,2339338.535,2339338.535
CE 18_2,1101212.473,1510977.876,1883214.521,2059032.925,2835688.526,1730893.744,2240937.845,2835688.526
CE 20_4,2150310.29,2711199.985,2465765.97,3748060.579,3880016.42,1970232.117,4812917.102,4362597.42
CE 20_2,21987.46826,28900.85948,24185.59889,25341.32414,28330.4109,7286.744108,32951.19268,27576.27292
CE 22_4,41886.7757,47970.33731,31918.77435,74343.49208,45581.41301,21185.7618,48879.55911,44612.9401
CE 16_0,20408.15963,22960.96628,25341.32414,33928.98154,44216.68627,25105.8749,53962.16761,33596.98543
DG 32_0,19775.81246,41493.90284,54583.11106,53962.16761,46940.02636,56263.50213,28613.28879,30741.45545
DG 34_2,147412.984,65168.05999,116697.0135,23760.88531,36384.64296,83520.44303,50397.68698,57592.48043
DG 36_2,154915.5059,89029.54398,99253.61496,39803.74731,46534.24218,70262.89681,45581.41301,46940.02636
DG 25_2,4355.291055,2163.5003,2367.867489,4055.588097,9344.190343,240.6608521,11849.75625,5291.079096
DG 36_4,56946.4925,26361.83476,70262.89681,10892.99285,16444.65872,54583.11106,42378.23472,40667.67115
DG 33_0,2815.764921,2402.141259,3927.217859,3295.568832,1477.764544,1477.764544,2281.770078,1240.368777
DG 38_6,28098.8669,24878.74892,30439.74708,17909.73884,18206.73171,24878.74892,36384.64296,26646.02747
DG 36_0,8541.554809,12504.02192,13188.8734,7537.2898,16721.11124,11740.61722,9840.48043,5039.73712
DG 34_0,5971.478916,4103.755015,3697.590859,8961.107886,7472.041327,5190.510311,6122.550176,4103.755015
DG 32_2,7286.744108,3216.649245,5503.620959,2046.309545,4150.581127,4103.755015,5137.065394,2004.754499
DG 30_0,3136.713422,2859.214096,2904.849934,3494.481661,1400.129312,3181.036913,2472.498077,2738.547094
DG 35_2,2859.214096,1877.023498,1515.414593,395.7946002,1438.821715,1400.129312,2046.309545,1669.027991
DG 38_4,9195.252369,10202.09952,15559.24676,10440.77393,15295.01654,17004.28626,13950.00659,8334.700628
DG 30_2,1240.368777,801.3174794,2595.139951,167.0647885,927.0582471,1041.247314,843.8281645,711.1191944
DG 33_4,886.6634641,530.4102862,757.7987832,843.8281645,300.9855488,351.8530465,1041.247314,167.0647885
DG 42_6,962.5835859,2046.309545,5873.265742,2325.733977,4055.588097,3661.093152,1114.67449,1829.959223
DG 38_2,5451.162248,3661.093152,5920.180336,3085.097187,1966.360692,4398.653589,2434.029605,1000.805195
lysoPC 20_4,7334549.381,11225781.62,4013374.822,11225781.62,4158281.24,4362597.42,10200694.31,4158281.24
lysoPC 22_6,3295365.994,3160636.908,2339338.535,4013374.822,3160636.908,2465765.97,4013374.822,2983981.311
lysoPC 19_0,211857.5368,279101.7597,182854.636,325336.759,372710.2708,178510.2708,352472.8775,255727.4497
lysoPC 17_0,303862.2993,546148.1982,559749.6145,633297.6342,710072.9634,586195.0754,419167.707,346765.5881
lysoPC 18_0,20132159.19,20132159.19,16572924.29,20132159.19,22720360.5,29921518.56,26451287.46,26451287.46
lysoPC 20_2,161594.8899,219634.6027,63815.60297,238468.2906,121651.7206,137964.9384,188348.1868,94232.12223
lysoPC 22_0,73483.40295,71916.48569,60137.67249,82642.56897,116697.0135,78590.41593,118505.8912,82642.56897
lysoPC 20_0,229459.6482,322530.0055,291158.3758,267349.9689,281356.0896,95977.07691,332538.1081,203381.9306
lysoPC 16_0,29921518.56,29921518.56,22720360.5,22720360.5,29921518.56,20132159.19,20132159.19,22720360.5
lysoPC 14_0,61474.3726,84729.37693,50831.41871,102937.9447,49879.06417,32653.14066,37486.80802,32951.19268
lysoPC 23_0,17462.81276,11941.51324,10714.47226,21049.67203,30741.45545,18906.45718,27851.55478,24878.74892
lysoPC 15_0,52765.47469,77527.60804,65168.05999,66724.03274,71916.48569,46940.02636,58766.58296,66039.1908
lysoPC 18_2,12375982.44,13817681.24,13817681.24,13817681.24,13817681.24,13817681.24,22720360.5,13817681.24
lysoPC 24_0,71107.42821,89936.46118,76718.57134,137964.9384,152849.7562,99253.61496,157057.3649,76718.57134
