Sample,Ctrl_BL6_2249,Ctrl_BL6_2250,Ctrl_BL6_2251,Ctrl_BL6_2252,HF_BL6_2260,HF_BL6_2261,HF_BL6_2262,HF_BL6_2266
Label,CT,CT,CT,CT,HF,HF,HF,HF
CE 22_6,2150310.29,2059032.925,1970232.117,1883214.521,3469989.306,3160636.908,2465765.97,2983981.311
CE 18_2,1970232.117,2150310.29,1883214.521,1730893.744,3295365.994,3295365.994,3596321.562,2835688.526
CE 20_4,4362597.42,4564994.882,3748060.579,4362597.42,5634645.554,4158281.24,5053750.494,4812917.102
CE 20_2,86952.37795,37486.80802,47970.33731,26646.02747,30439.74708,67963.63261,89936.46118,40207.65709
CE 22_4,104510.3492,67279.79372,64562.88981,76718.57134,67963.63261,71107.42821,85783.85021,47384.27633
CE 16_0,43664.69969,35707.01503,23760.88531,17173.7699,40667.67115,53962.16761,55625.01356,40667.67115
DG 32_0,36051.60998,50831.41871,39094.91666,51811.35023,49443.30779,57592.48043,39094.91666,50397.68698
DG 34_2,21398.58822,32951.19268,95406.13851,19436.00247,36051.60998,25341.32414,29789.4811,35707.01503
DG 36_2,48879.55911,66039.1908,118505.8912,49443.30779,55625.01356,34652.8868,63815.60297,44216.68627
DG 25_2,13317.767,6474.257656,9596.743001,4591.523028,11479.57855,11941.51324,8807.957563,5666.30516
DG 36_4,11180.78743,13317.767,49879.06417,12863.94281,18429.50739,12979.3006,13317.767,9840.48043
DG 33_0,4952.904236,4448.178867,1748.457733,2250.278413,1787.589375,2115.838803,1240.368777,2004.754499
DG 38_6,10093.56234,12979.3006,50397.68698,11286.72955,21398.58822,14440.74817,16444.65872,14802.05629
DG 36_0,14802.05629,20596.00482,13188.8734,17909.73884,10799.2918,18206.73171,15295.01654,14548.76514
DG 34_0,6122.550176,10202.09952,3295.568832,10285.46389,2115.838803,4398.653589,6077.802298,2281.770078
DG 32_2,5291.079096,3837.170711,5720.633691,3837.170711,1748.457733,1588.153718,2163.5003,3136.713422
DG 30_0,3960.204897,3384.296426,1877.023498,4192.120978,3455.706846,530.4102862,962.5835859,2815.764921
DG 35_2,757.7987832,962.5835859,4355.291055,2512.862581,1280.374518,2559.651658,1477.764544,2367.867489
