Sample,Ctrl_BTBR_2292,Ctrl_BTBR_2293,Ctrl_BTBR_2297,Ctrl_BTBR_2298,HF_BTBR_2306,HF_BTBR_2307,HF_BTBR_2308,HF_BTBR_2309
Label,CT,CT,CT,CT,HF,HF,HF,HF
CE 22_6,1970232.117,2150310.29,1970232.117,2150310.29,2150310.29,2059032.925,2579586.391,2339338.535
CE 18_2,2059032.925,2339338.535,2059032.925,1799576.667,2711199.985,2711199.985,2711199.985,3596321.562
CE 20_4,5634645.554,6368275.777,4013374.822,5274317.553,4362597.42,5274317.553,4158281.24,5634645.554
CE 20_2,53962.16761,40667.67115,50831.41871,60729.6923,38717.9035,21605.10297,32320.47221,41493.90284
CE 22_4,90804.37134,81625.74061,69529.13567,109913.347,29176.90976,42772.6566,31918.77435,23760.88531
CE 16_0,37486.80802,32653.14066,25341.32414,21049.67203,51811.35023,48358.84919,46940.02636,39094.91666
DG 32_0,53393.48696,41106.72077,52315.61511,38717.9035,32653.14066,36384.64296,41886.7757,36384.64296
DG 34_2,35398.04461,35398.04461,37920.01161,26879.54101,28900.85948,31019.51807,22960.96628,30741.45545
DG 36_2,61474.3726,55625.01356,55625.01356,47970.33731,39803.74731,43156.70584,33279.99224,52315.61511
DG 25_2,4852.925988,6963.350001,4650.845335,10017.06457,8334.700628,4055.588097,7537.2898,7350.632013
DG 36_4,6357.426088,5137.065394,9840.48043,2046.309545,18206.73171,24878.74892,20408.15963,22775.57884
DG 33_0,2004.754499,1554.711954,3295.568832,6657.315225,1477.764544,1710.410366,2434.029605,1631.217685
DG 38_6,9045.419913,1787.589375,6077.802298,2325.733977,19775.81246,21185.7618,29492.68102,19074.6501
DG 36_0,10892.99285,25586.96834,15141.36863,14922.74669,14210.51883,13950.00659,21185.7618,13950.00659
DG 34_0,14922.74669,10093.56234,13317.767,7472.041327,6357.426088,3416.561226,7790.699455,8807.957563
DG 32_2,1240.368777,5241.93972,2250.278413,4591.523028,491.9594621,886.6634641,87.31973322,2945.294414
DG 30_0,2815.764921,4016.577954,3837.170711,4016.577954,300.9855488,3455.706846,2645.413033,3031.450982
DG 35_2,1041.247314,2904.849934,1631.217685,1554.711954,2402.141259,1321.141083,1669.027991,1356.956364
DG 38_4,8541.554809,10440.77393,10017.06457,7869.852807,7472.041327,6077.802298,6031.542335,10614.69499
DG 30_2,1196.738251,573.3575846,886.6634641,927.0582471,1154.649609,1400.129312,1280.374518,927.0582471
DG 33_4,87.31973322,167.0647885,167.0647885,447.9241589,167.0647885,87.31973322,240.6608521,447.9241589
DG 42_6,4902.023842,3216.649245,2781.873525,3494.481661,1000.805195,3136.713422,5617.916074,2325.733977
DG 38_2,5772.693787,3582.050538,927.0582471,1966.360692,2512.862581,2559.651658,2115.838803,1966.360692
lysoPC 20_4,9448189.586,9448189.586,8854191.581,10200694.31,8854191.581,7635217.901,7334549.381,8854191.581
lysoPC 22_6,4013374.822,5634645.554,3880016.42,5634645.554,4564994.882,4564994.882,3880016.42,5053750.494
lysoPC 19_0,335483.9618,325336.759,329618.1217,419167.707,308922.0619,293647.0657,215671.4797,279101.7597
lysoPC 17_0,359887.5975,385255.8602,485982.0772,395772.7509,390576.8543,340290.2038,390576.8543,409040.8055
lysoPC 18_0,20132159.19,22720360.5,22720360.5,22720360.5,26451287.46,26451287.46,32568279.96,26451287.46
lysoPC 20_2,201999.6098,359887.5975,269598.8282,340290.2038,201999.6098,154915.5059,161594.8899,180707.3418
lysoPC 22_0,78590.41593,86952.37795,78590.41593,96551.43198,112285.6304,100528.7877,91934.16296,82642.56897
lysoPC 20_0,281356.0896,281356.0896,296081.8098,301187.7499,296081.8098,363507.1031,343512.6383,271995.4271
lysoPC 16_0,16572924.29,16572924.29,16572924.29,16572924.29,16572924.29,20132159.19,16572924.29,16572924.29
lysoPC 14_0,23357.14612,24185.59889,31278.51402,29789.4811,12069.98941,12863.94281,11663.63733,13188.8734
lysoPC 23_0,17782.12364,15559.24676,14659.6055,20817.17756,21818.80052,14922.74669,14548.76514,14802.05629
lysoPC 15_0,31278.51402,42378.23472,26129.04772,35707.01503,30439.74708,37920.01161,32653.14066,33928.98154
lysoPC 18_2,7334549.381,8854191.581,11225781.62,9448189.586,11225781.62,12375982.44,13817681.24,11225781.62
lysoPC 24_0,72634.99393,108543.766,83520.44303,115325.4208,134274.7868,107168.8845,110956.0216,112285.6304
lysoPC 21_0,12979.3006,13429.81812,12185.61467,14210.51883,9510.279984,7472.041327,5873.265742,9840.48043
lysoPC 22_4,89029.54398,147412.984,123260.2711,128454.0993,75967.0516,62324.32462,63815.60297,80723.32158
lysoPC 17_2,2645.413033,2559.651658,3927.217859,3621.149593,1321.141083,2281.770078,1748.457733,3181.036913
