Sample,Ctrl_BKS_db._2225,Ctrl_BKS_db._2226,Ctrl_BKS_db._2227,Ctrl_BKS_db._2231,HF_BKS_db._2239,HF_BKS_db._2241,HF_BKS_db._2242,HF_BKS_db._2243
Label,CT,CT,CT,CT,HF,HF,HF,HF
CE 22_6,1663149.824,1799576.667,1257489.017,1576862.835,2835688.526,1663149.824,3295365.994,1799576.667
CE 18_2,1970232.117,2711199.985,2150310.29,2240937.845,3295365.994,2835688.526,3469989.306,2240937.845
CE 20_4,2983981.311,3469989.306,2240937.845,3469989.306,4362597.42,3160636.908,5053750.494,3596321.562
CE 20_2,18429.50739,36684.92517,28613.28879,46534.24218,26129.04772,28330.4109,75967.0516,32653.14066
CE 22_4,38345.67711,44612.9401,33928.98154,72634.99393,19436.00247,34992.82183,50397.68698,42772.6566
DG 32_0,43156.70584,43664.69969,31918.77435,28613.28879,61474.3726,57592.48043,48358.84919,46014.1659
DG 34_2,49443.30779,53393.48696,102937.9447,52765.47469,47384.27633,45098.78587,35707.01503,49443.30779
DG 36_2,66724.03274,41886.7757,107168.8845,70262.89681,48358.84919,51282.16087,50831.41871,49879.06417
DG 25_2,2815.764921,2250.278413,4103.755015,3881.786259,9596.743001,3416.561226,6903.119698,5190.510311
DG 36_4,23151.90496,13831.49534,60729.6923,20596.00482,24185.59889,35398.04461,27576.27292,32320.47221
DG 33_0,2512.862581,1154.649609,2204.662698,711.1191944,4952.904236,4244.342675,711.1191944,1748.457733
DG 38_6,11849.75625,11286.72955,36684.92517,14922.74669,26646.02747,19986.14002,23151.90496,17462.81276
DG 36_0,7537.2898,8961.107886,7869.852807,5291.079096,10534.71001,10202.09952,10534.71001,9840.48043
DG 34_0,7286.744108,3295.568832,2250.278413,6903.119698,12979.3006,5241.93972,6300.773746,6834.590277
lysoPC 20_4,6727414.319,6727414.319,5274317.553,6727414.319,4013374.822,2983981.311,4362597.42,3469989.306
lysoPC 22_6,2835688.526,2465765.97,2339338.535,3295365.994,2339338.535,2339338.535,2983981.311,2711199.985
lysoPC 19_0,359887.5975,329618.1217,293647.0657,367163.0112,252002.4484,252002.4484,279101.7597,293647.0657
lysoPC 17_0,524711.8197,390576.8543,409040.8055,390576.8543,754323.8708,586195.0754,559749.6145,679700.1328
lysoPC 18_0,20132159.19,20132159.19,22720360.5,22720360.5,22720360.5,20132159.19,20132159.19,22720360.5
lysoPC 20_2,91934.16296,108543.766,99253.61496,167212.0666,136306.8441,116697.0135,126941.8804,108543.766
lysoPC 22_0,88043.69169,86952.37795,79546.63876,115325.4208,58766.58296,75967.0516,89029.54398,83520.44303
lysoPC 20_0,393166.2193,451865.1135,399102.8245,579288.4819,306381.7358,281356.0896,291158.3758,312227.0123
lysoPC 16_0,26451287.46,29921518.56,26451287.46,40453359.54,20132159.19,22720360.5,26451287.46,29921518.56
lysoPC 14_0,73483.40295,60729.6923,47970.33731,77527.60804,28098.8669,32320.47221,36384.64296,36684.92517
lysoPC 23_0,14210.51883,15559.24676,14323.59808,21398.58822,15141.36863,16136.42632,18206.73171,19775.81246
