Sample,Ctrl_BL6_db._2273,Ctrl_BL6_db._2274,Ctrl_BL6_db._2275,Ctrl_BL6_db._2279,HF_BL6_db._2286,HF_BL6_db._2287,HF_BL6_db._2288,HF_BL6_db._2289
Label,CT,CT,CT,CT,HF,HF,HF,HF
CE 22_6,1883214.521,1730893.744,1510977.876,1883214.521,2150310.29,1970232.117,1970232.117,1970232.117
CE 18_2,2339338.535,1576862.835,2059032.925,1663149.824,2983981.311,3469989.306,2711199.985,3596321.562
CE 20_4,2983981.311,2465765.97,2983981.311,2579586.391,4013374.822,3880016.42,3748060.579,5999576.471
CE 20_2,42772.6566,24385.60147,27132.93644,41106.72077,14659.6055,30137.09931,27851.55478,41106.72077
CE 22_4,94232.12223,35707.01503,33596.98543,56946.4925,32951.19268,26361.83476,18906.45718,52765.47469
DG 32_0,32951.19268,37486.80802,55625.01356,46534.24218,57592.48043,43156.70584,36051.60998,29789.4811
DG 34_2,99253.61496,78590.41593,25857.93131,45581.41301,14802.05629,46534.24218,60137.67249,28613.28879
DG 36_2,100528.7877,93228.66841,71916.48569,74343.49208,26129.04772,63815.60297,79546.63876,49879.06417
DG 25_2,1000.805195,1154.649609,962.5835859,3837.170711,1588.153718,447.9241589,1554.711954,4591.523028
DG 36_4,32653.14066,25105.8749,12276.58421,10440.77393,23151.90496,42378.23472,39803.74731,14440.74817
DG 33_0,1321.141083,2815.764921,5920.180336,2859.214096,2645.413033,2434.029605,5090.382455,3416.561226
DG 38_6,33928.98154,10991.5564,10350.89603,6709.258468,19436.00247,26129.04772,26361.83476,17782.12364
DG 36_0,13429.81812,9195.252369,9773.279469,8897.11934,10285.46389,10440.77393,8204.96775,6963.350001
DG 34_0,7790.699455,5343.930802,14548.76514,4700.208221,8486.601532,7929.778275,8334.700628,5398.484208
lysoPC 20_4,7334549.381,5999576.471,5999576.471,8854191.581,8854191.581,7635217.901,5999576.471,8854191.581
lysoPC 22_6,3880016.42,3160636.908,2465765.97,3596321.562,3748060.579,2983981.311,2983981.311,4158281.24
lysoPC 19_0,165248.6492,215671.4797,201999.6098,188348.1868,414027.9106,279101.7597,283628.6279,252002.4484
lysoPC 17_0,455176.598,315567.3201,710072.9634,395772.7509,470332.2955,359887.5975,346765.5881,329618.1217
lysoPC 18_0,16572924.29,16572924.29,16572924.29,13817681.24,22720360.5,22720360.5,22720360.5,22720360.5
lysoPC 20_2,169286.6276,185661.9489,115325.4208,231468.2405,372710.2708,188348.1868,188348.1868,211857.5368
lysoPC 22_0,89936.46118,86952.37795,54583.11106,77527.60804,109913.347,93228.66841,104510.3492,107168.8845
lysoPC 20_0,271995.4271,291158.3758,127695.7513,343512.6383,671643.4917,509182.9611,499307.5522,422894.7047
