Sample,Ctrl_BTBR_ob._2316,Ctrl_BTBR_ob._2317,Ctrl_BTBR_ob._2318,Ctrl_BTBR_ob._2320,HF_BTBR_ob._2329,HF_BTBR_ob._2331,HF_BTBR_ob._2333,HF_BTBR_ob._2334
Label,CT,CT,CT,CT,HF,HF,HF,HF
CE 22_6,2240937.845,2339338.535,2150310.29,2150310.29,2150310.29,1730893.744,1883214.521,2150310.29
CE 18_2,2059032.925,1970232.117,1883214.521,1883214.521,3160636.908,2579586.391,3748060.579,2835688.526
CE 20_4,5274317.553,4013374.822,4158281.24,4362597.42,5274317.553,3596321.562,4812917.102,4158281.24
CE 20_2,65168.05999,67279.79372,42378.23472,36051.60998,18206.73171,26129.04772,24185.59889,31019.51807
CE 22_4,59480.37711,89936.46118,61474.3726,66039.1908,28330.4109,18906.45718,25341.32414,18206.73171
DG 32_0,43156.70584,55625.01356,39094.91666,46534.24218,35398.04461,47970.33731,72634.99393,51811.35023
DG 34_2,42378.23472,32951.19268,44612.9401,35707.01503,41886.7757,42378.23472,44612.9401,32320.47221
DG 36_2,79546.63876,66039.1908,118505.8912,99253.61496,39803.74731,48879.55911,37486.80802,33596.98543
DG 25_2,2004.754499,1280.374518,10093.56234,13317.767,886.6634641,351.8530465,1321.141083,2250.278413
DG 36_4,12739.65203,7599.018089,10892.99285,14802.05629,12979.3006,17173.7699,16136.42632,21398.58822
DG 33_0,1477.764544,2904.849934,5398.484208,4355.291055,1154.649609,2815.764921,5039.73712,4103.755015
DG 38_6,6031.542335,4103.755015,3960.204897,2859.214096,16839.24585,18047.13162,17173.7699,23760.88531
DG 36_0,5772.693787,8695.674039,9195.252369,6300.773746,4192.120978,10350.89603,10534.71001,12069.98941
DG 34_0,5190.510311,10892.99285,4055.588097,9344.190343,4541.212524,7416.388262,7472.041327,5190.510311
lysoPC 20_4,9448189.586,8854191.581,8854191.581,8854191.581,8196250.229,6727414.319,6727414.319,7635217.901
lysoPC 22_6,4564994.882,5999576.471,5999576.471,6727414.319,5634645.554,4564994.882,4013374.822,3880016.42
lysoPC 19_0,319747.4666,367163.0112,372710.2708,319747.4666,329618.1217,419167.707,219634.6027,247667.6099
lysoPC 17_0,315567.3201,395772.7509,359887.5975,385255.8602,315567.3201,546148.1982,419167.707,414027.9106
lysoPC 18_0,22720360.5,22720360.5,20132159.19,16572924.29,29921518.56,29921518.56,22720360.5,22720360.5
lysoPC 20_2,352472.8775,441111.5015,524711.8197,494570.316,293647.0657,188348.1868,149132.6279,215671.4797
