Sample,Ctrl_BKS_2202,Ctrl_BKS_2203,Ctrl_BKS_2206,Ctrl_BKS_2211,HF_BKS_2214,HF_BKS_2216,HF_BKS_2217,HF_BKS_2218
Label,CT,CT,CT,CT,HF,HF,HF,HF
DG 34_2,169170.5188,200880.9441,120405.1651,268561.4321,132184.5353,66431.73261,123518.6453,155761.5367
DG 40_2,12915.88073,7530.809589,19542.91673,8295.391711,10086.74601,12446.06247,6790.29513,15721.38306
DG 32_2,20470.26498,25252.55163,15537.39923,49992.58667,8121.861752,1779.687037,11622.4413,9533.543017
DG 38_4,977996.2115,534418.5089,880423.239,484291.1482,773041.6783,1042328.166,520465.6053,1089010.409
DG 42_2,35722.42618,17130.56278,35305.14154,18758.21968,30135.59375,48750.50814,13690.83598,35305.14154
DG 38_0,45422.88187,70745.84126,45422.88187,109969.6471,41906.14201,118653.7689,120405.1651,48177.30966
DG 35_0,18414.14302,30416.9084,12078.49421,34984.47131,18181.43836,30135.59375,42984.45277,15019.40266
DG 36_2,285905.1615,273770.6121,292577.8048,426803.3436,382724.2116,314826.9665,382724.2116,368098.6606
DG 32_0,13326.90369,29540.51647,14732.83801,45851.00436,12446.06247,36062.8865,52416.19861,13690.83598
DG 36_4,57314.43958,34680.75675,51699.90556,71783.0883,48177.30966,53203.45962,32828.0275,56645.59666
DG 40_6,9986.22697,8442.776165,8046.838572,11024.14349,7813.504373,11855.75068,10824.47854,10086.74601
DG 34_0,353931.1357,652889.5402,343459.0345,1129376.353,409670.8792,1129376.353,1348516.389,279768.6265
DG 36_0,4005902.501,3610773.105,3757901.423,8279131.616,3757901.423,6781914.969,5995165.944,3610773.105
DG 38_2,28816.39338,14204.14243,22880.89744,23474.77635,23908.99422,23908.99422,22082.21869,22468.11183
DG 40_0,22468.11183,37667.00398,34680.75675,50374.41382,26696.97761,96567.18597,65541.65096,29114.57555
DG 38_6,7746.09192,6327.856484,7283.003449,8709.591127,7283.003449,10172.95485,5244.072797,10447.42966
DG 40_4,30703.47362,15406.17715,29830.08109,20275.01639,24580.71733,36925.99255,21392.72294,26696.97761
DG 37_0,2872.255076,9681.99512,5723.206757,11729.33191,4565.825721,9337.008436,15019.40266,2965.684274
DG 39_4,2264.273456,1779.687037,2460.117207,2694.215394,2353.453936,3501.577631,685.6612332,2574.884081
DG 41_0,1653.849199,5094.988909,1373.613251,7813.504373,2133.381711,7076.341456,6105.663462,3130.667038
DG 44_2,6159.263596,2995.122344,10172.95485,2802.844887,6033.81833,9793.243288,2741.017201,7530.809589
DG 42_4,3130.667038,866.0005218,4798.527859,4358.848254,5147.345466,6159.263596,2081.005034,4602.288706
DG 42_0,9681.99512,3378.153016,4955.023533,3023.544195,11622.4413,12656.18091,5536.597906,8709.591127
DG 44_6,9439.727599,8512.210857,4358.848254,7132.635791,6443.041527,7283.003449,8189.229007,7076.341456
DG 33_0,2133.381711,4955.023533,1606.746885,6390.312368,2489.813076,4321.217705,8807.138823,2353.453936
DG 30_2,1194.49044,1750.977985,1872.004713,5723.206757,1056.295484,842.310761,1056.295484,966.2630571
DG 39_2,8358.676685,44979.14152,17862.50742,26458.05146,9146.108891,55730.22699,41906.14201,9146.108891
DG 39_0,3434.39012,6932.82616,3560.774964,7530.809589,2509.781795,7813.504373,6159.263596,3101.702177
DG 37_4,2660.892641,2694.215394,2601.313645,1836.511721,1918.399093,4835.537305,2489.813076,1326.532441
DG 35_2,1354.862643,1836.511721,1704.06767,5429.255262,1218.783404,2460.117207,2383.173868,1966.184891
DG 37_2,2460.117207,1850.700572,1836.511721,2237.996123,2331.339165,1653.849199,1373.613251,3023.544195
DG 33_2,1130.584623,2720.283708,941.7722162,2081.005034,882.4186362,415.4318931,1437.682294,369.7743645
DG 34_4,1078.864738,2872.255076,297.1848254,1479.481756,1326.532441,812.6641799,3194.73727,685.6612332
DG 44_4,4092.482947,1455.059452,2872.255076,2829.150894,4053.994812,3434.39012,1233.028538,2037.409481
lysoPC 17_0,47675.58453,24942.44013,34984.47131,56645.59666,44979.14152,85222.35717,61696.74295,34025.85466
lysoPC 22_0,150334.73,44028.93936,132184.5353,62545.24944,142911.1978,113034.0706,47675.58453,142911.1978
lysoPC 18_0,553364.3953,163820.4218,418784.4128,285905.1615,534418.5089,343459.0345,222801.3405,520465.6053
lysoPC 18_2,60024.92445,26961.89479,66431.73261,53203.45962,65541.65096,52416.19861,37667.00398,75955.92836
lysoPC 16_0,1450031.999,285905.1615,977996.2115,458617.4125,935802.9037,621994.1168,325325.0093,1013253.079
lysoPC 20_4,44461.71636,13793.05002,33114.19408,35722.42618,32089.70639,24123.14184,21908.4025,36062.8865
lysoPC 22_6,39142.90233,11855.75068,36925.99255,39474.37337,34390.73834,27467.08531,22880.89744,38334.3873
lysoPC 20_0,41386.58081,10627.44419,37258.37254,18414.14302,38686.89145,33353.91111,16200.60125,34984.47131
lysoPC 14_0,21730.22341,3954.001667,15406.17715,5244.072797,14558.08559,7132.635791,4393.66351,18001.09703
lysoPC 25_0,20275.01639,9793.243288,18914.86071,12078.49421,19408.08598,26185.41217,10627.44419,21053.77263
lysoPC 20_2,7530.809589,1918.399093,8894.3843,2489.813076,9439.727599,5651.645311,3560.774964,11729.33191
lysoPC 23_0,29830.08109,9259.423345,28541.66799,15019.40266,25252.55163,30416.9084,14413.00307,25252.55163
lysoPC 24_0,578458.1021,136613.6724,444839.6687,186913.6971,553364.3953,375459.9512,166501.1962,484291.1482
lysoPC 19_0,5983.919099,3075.951129,4835.537305,8189.229007,4955.023533,5536.597906,5048.536444,5147.345466
lysoPC 26_0,11024.14349,13326.90369,16337.11783,9146.108891,13174.93997,23474.77635,12078.49421,16337.11783
lysoPC 15_0,7667.372582,2217.249324,6033.81833,3889.433002,5781.651568,4798.527859,4602.288706,5094.988909
lysoPC 21_0,5094.988909,2264.273456,5147.345466,1810.048109,4866.332948,2931.575138,2133.381711,4358.848254
lysoPC 22_4,4480.896291,1218.783404,4866.332948,3231.818612,4912.784497,3560.774964,3075.951129,5826.482158
lysoPC 26_2,2331.339165,1105.126401,1653.849199,275.7432142,1653.849199,4358.848254,1894.252739,3617.910855
lysoPE 22_6,42984.45277,14413.00307,42984.45277,27804.34076,36925.99255,28023.04736,18181.43836,40359.47195
lysoPE 22_4,25883.40532,5289.839148,27197.98077,8894.3843,22880.89744,20078.83511,6327.856484,25532.13449
lysoPE 20_4,37667.00398,9986.22697,34390.73834,19885.58665,31735.47788,24580.71733,9986.22697,35722.42618
lysoPE 18_2,26696.97761,7604.121685,28816.39338,13943.38698,31012.7822,22880.89744,9439.727599,33353.91111
lysoPE 16_0,85222.35717,33353.91111,96567.18597,38334.3873,69107.74852,62545.24944,29830.08109,101230.3089
lysoPE 18_0,91685.51901,62545.24944,128728.9914,58122.70206,104345.6196,98002.17611,44461.71636,120405.1651
lysoPE 24_4,6105.663462,842.310761,7132.635791,1009.656055,5983.919099,4686.688052,1218.783404,5593.616175
lysoPE 20_2,4358.848254,572.0414419,4641.788098,1277.923821,3046.664351,2872.255076,320.4901795,3560.774964
lysoPE 14_0,3617.910855,297.1848254,2851.466121,572.0414419,2829.150894,1277.923821,866.0005218,2905.640596
lysoPE 17_0,3194.73727,2012.546104,3023.544195,2331.339165,2694.215394,2741.017201,1606.746885,2741.017201
lysoPE 20_0,6744.227051,3766.694193,9986.22697,3534.633299,6932.82616,10086.74601,3722.805152,8046.838572
MG 20_0,13073.99457,9054.47894,16602.55902,17130.56278,10627.44419,23681.35154,24580.71733,12522.3119
MG 18_0,621994.1168,880423.239,652889.5402,1042328.166,604682.8803,1348516.389,1042328.166,621994.1168
MG 16_0,189438.5936,132184.5353,231444.6655,236812.3042,200880.9441,399448.7542,353931.1357,219058.2132
MG 17_0,5593.616175,3534.633299,5048.536444,7604.121685,3722.805152,7948.616223,7948.616223,5386.137656
MG 22_0,14558.08559,5536.597906,15196.55845,10824.47854,10934.42132,13690.83598,11196.72951,14204.14243
MG 20_4,9054.47894,1894.252739,7813.504373,2905.640596,7132.635791,6790.29513,4798.527859,6790.29513
MG 18_2,6033.81833,5147.345466,5536.597906,6443.041527,8295.391711,10824.47854,7875.490429,8894.3843
MG 19_0,1455.059452,1009.656055,1105.126401,1354.862643,768.9411996,1872.004713,2509.781795,1606.746885
MG 21_0,1256.068293,245.1736324,882.4186362,702.8576164,902.4052044,1373.613251,1171.80233,902.4052044
MG 23_0,486.462402,369.7743645,593.040721,636.8546096,593.040721,1394.770282,986.2232358,1171.80233
PC 32_2,242014.7298,155761.5367,353931.1357,158437.9124,253340.3771,226198.4777,118653.7689,343459.0345
PC 44_2,226198.4777,99507.87234,247307.9864,106373.5834,219058.2132,231444.6655,106373.5834,208714.825
PC 42_2,1527238.999,673759.7284,1651171.853,736091.9139,1771600.023,2366880.507,851263.203,773041.6783
PC 29_0,45851.00436,22082.21869,56645.59666,28541.66799,52416.19861,54974.6959,21730.22341,47128.76712
PC 31_0,171923.3079,120405.1651,242014.7298,136613.6724,231444.6655,325325.0093,147621.2227,205141.2665
PC 36_2,1042328.166,736091.9139,1170241.598,1013253.079,1450031.999,2509585.327,977996.2115,1651171.853
PC 33_0,113034.0706,74998.71264,174216.0384,74998.71264,138530.4909,177684.4334,80839.24563,130490.0362
PC 48_4,3987.494108,1078.864738,5244.072797,2406.789102,6629.200142,4955.023533,2660.892641,7001.843942
PC 28_0,138530.4909,19059.34626,124942.0614,29540.51647,102761.4095,65541.65096,24384.40584,96567.18597
PC 36_4,851263.203,1013253.079,807201.0077,880423.239,736091.9139,1089010.409,1450031.999,880423.239
PC 43_2,60797.1668,41386.58081,70745.84126,47128.76712,63518.89008,101230.3089,44979.14152,69107.74852
PC 37_4,9607.234258,14732.83801,8121.861752,13793.05002,10257.04762,28239.96359,19227.61365,14063.56143
PC 32_0,1170241.598,1170241.598,1392216.64,1292234.609,1238563.389,2896139.481,1238563.389,1170241.598
PC 38_4,260417.1582,236812.3042,285905.1615,325325.0093,268561.4321,409670.8792,343459.0345,334428.9576
PC 40_2,435164.3255,247307.9864,391527.6722,242014.7298,444839.6687,604682.8803,292577.8048,426803.3436
PC 37_0,11966.49557,14558.08559,20831.16733,9607.234258,10447.42966,28541.66799,12806.8901,15196.55845
PC 35_0,34984.47131,18914.86071,31200.15079,17397.76313,28679.03069,33709.44587,22397.66183,26458.05146
PC 40_6,42525.83699,77564.55512,61696.74295,121906.8834,39958.55439,69107.74852,101230.3089,46543.75452
PC 33_2,36595.13001,35305.14154,39142.90233,19408.08598,49259.51288,64495.07466,34025.85466,48750.50814
PC 35_4,27635.71304,32971.11079,26321.73182,20737.08674,22397.66183,16401.80959,31912.59213,22795.19572
PC 40_8,34025.85466,42984.45277,29114.57555,60797.1668,37258.37254,38012.66924,68180.49027,49992.58667
PC 39_6,7374.181445,11196.72951,10627.44419,9986.22697,6290.853212,14063.56143,9607.234258,5339.378486
PC 38_2,58122.70206,67436.52072,74998.71264,74111.75373,48750.50814,104345.6196,69968.40419,70745.84126
PC 38_6,534418.5089,807201.0077,534418.5089,673759.7284,652889.5402,851263.203,1129376.353,578458.1021
PC 44_12,23474.77635,16769.01906,19718.04588,10517.24599,19885.58665,12522.3119,5781.651568,23908.99422
PC 46_6,7948.616223,5487.494193,4996.445978,5536.597906,7001.843942,11309.78534,5194.374936,5487.494193
PC 15_0,21392.72294,14869.87986,24580.71733,35305.14154,18001.09703,31735.47788,35305.14154,19542.91673
PC 41_2,56645.59666,32488.07954,74111.75373,40359.47195,62545.24944,130490.0362,66431.73261,58122.70206
PC 34_4,34680.75675,33709.44587,36062.8865,22468.11183,34025.85466,31012.7822,25532.13449,41386.58081
PC 35_2,29114.57555,40359.47195,41906.14201,29830.08109,32488.07954,83895.46567,55730.22699,36595.13001
PC 39_8,11309.78534,10086.74601,18758.21968,18001.09703,13690.83598,16055.98323,7374.181445,13326.90369
PC 44_4,130490.0362,51699.90556,150334.73,166501.1962,147621.2227,279768.6265,200880.9441,160819.3174
PC 39_4,2406.789102,9146.108891,2353.453936,3130.667038,2432.310691,4641.788098,2995.122344,5723.206757
PC 40_4,14732.83801,21053.77263,26696.97761,16055.98323,15537.39923,31387.51938,27197.98077,14732.83801
PC 38_8,1437.682294,4021.329678,1918.399093,2432.310691,2176.953478,2829.150894,3799.791315,339.0038411
PC 34_2,7132.635791,22880.89744,8807.138823,14063.56143,9681.99512,15196.55845,29114.57555,9793.243288
PC 37_2,10517.24599,10517.24599,14413.00307,10447.42966,7374.181445,15537.39923,11024.14349,7813.504373
PC 46_4,11115.01877,11115.01877,10824.47854,13519.95059,18414.14302,22468.11183,8627.711884,24942.44013
PC 42_4,25252.55163,20275.01639,21392.72294,19718.04588,27197.98077,35305.14154,22709.49399,23062.94212
PC 32_4,3378.153016,2829.150894,4686.688052,3101.702177,1704.06767,3284.483163,2872.255076,3194.73727
PC 43_4,13174.93997,29830.08109,11309.78534,20470.26498,13943.38698,21392.72294,23681.35154,16602.55902
PC 42_10,43602.71871,47675.58453,41386.58081,36595.13001,35305.14154,27804.34076,20078.83511,32488.07954
