Sample,Ctrl_BL6_2249,Ctrl_BL6_2250,Ctrl_BL6_2251,Ctrl_BL6_2252,HF_BL6_2260,HF_BL6_2261,HF_BL6_2262,HF_BL6_2266
Label,CT,CT,CT,CT,HF,HF,HF,HF
DG 34_2,236812.3042,120405.1651,101230.3089,101230.3089,158437.9124,268561.4321,399448.7542,107976.7383
DG 40_2,8358.676685,6790.29513,9337.008436,9054.47894,2660.892641,3046.664351,6390.312368,6932.82616
DG 32_2,51129.81649,24580.71733,16466.50135,21578.76444,16769.01906,18600.08183,34390.73834,9259.423345
DG 38_4,1392216.64,1013253.079,1089010.409,880423.239,484291.1482,343459.0345,773041.6783,880423.239
DG 42_2,34390.73834,33114.19408,21578.76444,33709.44587,12656.18091,11196.72951,18914.86071,15537.39923
DG 38_0,34025.85466,49992.58667,48177.30966,32089.70639,101230.3089,73072.94312,65541.65096,34984.47131
DG 35_0,11855.75068,12806.8901,23908.99422,7461.35657,51699.90556,31387.51938,23062.94212,16055.98323
DG 36_2,334428.9576,273770.6121,314826.9665,242014.7298,375459.9512,484291.1482,736091.9139,361550.5895
DG 32_0,12522.3119,19408.08598,30416.9084,18001.09703,75955.92836,46543.75452,40359.47195,32828.0275
DG 36_4,68180.49027,62545.24944,58122.70206,66431.73261,41906.14201,89892.23749,130490.0362,36062.8865
DG 40_6,16945.26735,15922.77687,20275.01639,14204.14243,10627.44419,9337.008436,19542.91673,13519.95059
DG 34_0,285905.1615,435164.3255,773041.6783,343459.0345,1392216.64,880423.239,694218.5985,851263.203
DG 36_0,2366880.507,4255723.599,3481367.83,2896139.481,8279131.616,8279131.616,5995165.944,2509585.327
DG 38_2,18001.09703,13174.93997,20831.16733,17862.50742,11024.14349,10447.42966,22082.21869,17463.65618
DG 40_0,21239.9287,24942.44013,28239.96359,25883.40532,63518.89008,45422.88187,34984.47131,22082.21869
DG 38_6,13793.05002,12305.90809,11309.78534,10696.32158,8807.138823,13943.38698,13174.93997,8121.861752
DG 40_4,35722.42618,33709.44587,52416.19861,35722.42618,21730.22341,12806.8901,22468.11183,44461.71636
DG 37_0,2601.313645,3461.308373,5876.33717,2631.220818,14063.56143,5194.374936,4798.527859,6860.866275
DG 39_4,4245.932772,2694.215394,2905.640596,2109.421401,1730.820619,787.3384626,1078.864738,2529.955592
DG 41_0,1105.126401,2574.884081,2305.655716,2305.655716,4866.332948,2305.655716,2905.640596,3101.702177
DG 44_2,8627.711884,6390.312368,5147.345466,5429.255262,1918.399093,1750.977985,2829.150894,6629.200142
DG 42_4,10257.04762,7076.341456,9986.22697,8442.776165,7200.131385,4798.527859,7076.341456,6033.81833
DG 42_0,6033.81833,10086.74601,7948.616223,10341.29307,8295.391711,3560.774964,4129.979558,7746.09192
DG 44_6,3656.86449,7746.09192,13519.95059,7132.635791,7001.843942,8512.210857,6159.263596,9681.99512
DG 33_0,2264.273456,4161.917897,3501.577631,2509.781795,10086.74601,5094.988909,5876.33717,3434.39012
DG 30_2,4393.66351,3987.494108,1850.700572,2237.996123,4129.979558,2154.216067,3353.687486,1354.862643
DG 39_2,9681.99512,14204.14243,28541.66799,8807.138823,56645.59666,27467.08531,19718.04588,18414.14302
DG 39_0,1627.852423,3560.774964,2851.466121,3434.39012,7283.003449,4955.023533,5386.137656,2176.953478
DG 37_4,5289.839148,4245.932772,3130.667038,5593.616175,1653.849199,1627.852423,4430.950426,2965.684274
DG 35_2,1966.184891,1527.841542,4321.217705,921.5462628,3987.494108,6105.663462,8189.229007,4245.932772
DG 37_2,2931.575138,1218.783404,3461.308373,2191.858738,1373.613251,1233.028538,3328.644581,3461.308373
DG 33_2,2509.781795,966.2630571,1130.584623,182.9634616,1547.623228,1326.532441,1218.783404,787.3384626
DG 34_4,3684.065188,468.4455153,3075.951129,2264.273456,1354.862643,2432.310691,4480.896291,1606.746885
DG 44_4,7132.635791,4798.527859,1627.852423,3023.544195,1894.252739,1354.862643,2931.575138,3846.535463
lysoPC 17_0,34984.47131,51699.90556,19408.08598,29540.51647,69968.40419,40876.3725,49992.58667,21392.72294
lysoPC 22_0,91685.51901,83895.46567,42984.45277,58899.00316,31735.47788,36595.13001,56645.59666,46543.75452
lysoPC 18_0,473714.663,391527.6722,231444.6655,368098.6606,186913.6971,325325.0093,325325.0093,219058.2132
lysoPC 18_2,41386.58081,38334.3873,22468.11183,34025.85466,23908.99422,58899.00316,44979.14152,32488.07954
lysoPC 16_0,880423.239,736091.9139,399448.7542,673759.7284,279768.6265,399448.7542,361550.5895,391527.6722
lysoPC 20_4,47128.76712,36062.8865,24580.71733,45422.88187,20275.01639,45851.00436,28541.66799,20831.16733
lysoPC 22_6,54974.6959,44979.14152,42525.83699,49992.58667,26185.41217,54202.25526,30135.59375,23474.77635
lysoPC 20_0,28816.39338,27467.08531,13943.38698,23243.56693,9986.22697,13326.90369,13073.99457,11471.68216
lysoPC 14_0,10696.32158,8894.3843,5289.839148,7875.490429,3617.910855,3917.335892,4745.754242,4955.023533
lysoPC 25_0,18600.08183,16055.98323,8121.861752,13690.83598,6443.041527,8358.676685,11115.01877,6744.227051
lysoPC 20_2,5094.988909,6290.853212,3889.433002,4358.848254,5147.345466,5536.597906,5983.919099,5094.988909
lysoPC 23_0,18414.14302,17862.50742,10172.95485,14063.56143,11855.75068,9146.108891,10447.42966,10934.42132
lysoPC 24_0,343459.0345,343459.0345,136613.6724,299460.4494,128728.9914,142911.1978,205141.2665,145226.5468
lysoPC 19_0,4866.332948,5651.645311,3617.910855,4092.482947,5651.645311,4686.688052,4321.217705,3130.667038
lysoPC 26_0,16466.50135,16200.60125,15019.40266,14732.83801,11471.68216,11966.49557,13690.83598,14204.14243
lysoPC 15_0,8894.3843,4565.825721,4745.754242,3846.535463,8984.995884,9439.727599,3799.791315,4866.332948
lysoPC 21_0,2176.953478,2631.220818,1750.977985,1918.399093,921.5462628,986.2232358,1527.841542,1326.532441
lysoPC 22_4,6790.29513,7132.635791,4641.788098,7283.003449,2406.789102,4996.445978,4211.337463,3917.335892
lysoPC 26_2,2965.684274,2529.955592,866.0005218,1256.068293,1673.904794,1416.281504,902.4052044,1130.584623
lysoPE 22_6,42525.83699,32089.70639,21239.9287,28239.96359,18001.09703,26696.97761,21908.4025,22327.21182
lysoPE 22_4,27804.34076,24123.14184,12446.06247,21239.9287,9439.727599,9533.543017,11729.33191,18001.09703
lysoPE 20_4,32828.0275,27197.98077,15721.38306,23062.94212,13519.95059,20275.01639,16602.55902,17331.87007
lysoPE 18_2,20078.83511,19059.34626,8627.711884,15019.40266,13943.38698,17130.56278,12806.8901,16466.50135
lysoPE 16_0,64495.07466,53203.45962,27197.98077,54202.25526,25252.55163,28816.39338,29540.51647,35722.42618
lysoPE 18_0,109969.6471,74998.71264,41906.14201,80839.24563,49259.51288,69968.40419,62545.24944,44979.14152
lysoPE 24_4,7374.181445,5826.482158,3407.877676,5983.919099,3889.433002,3075.951129,4053.994812,5781.651568
lysoPE 20_2,1872.004713,1606.746885,1836.511721,1277.923821,966.2630571,1300.967987,2037.409481,1836.511721
lysoPE 14_0,1354.862643,882.4186362,842.310761,2133.381711,620.3235154,593.040721,394.0975823,468.4455153
lysoPE 17_0,3987.494108,2406.789102,2012.546104,2217.249324,1218.783404,2802.844887,1277.923821,2109.421401
lysoPE 20_0,5194.374936,4686.688052,4211.337463,5651.645311,3328.644581,3684.065188,2460.117207,1986.190245
MG 20_0,12446.06247,13519.95059,7667.372582,7813.504373,27197.98077,18414.14302,14204.14243,9054.47894
MG 18_0,694218.5985,773041.6783,807201.0077,652889.5402,1348516.389,1089010.409,807201.0077,807201.0077
MG 16_0,242014.7298,292577.8048,138530.4909,121906.8834,458617.4125,306452.3363,231444.6655,130490.0362
MG 17_0,3799.791315,5983.919099,4996.445978,4211.337463,6231.117745,5593.616175,7200.131385,5536.597906
MG 22_0,10934.42132,10824.47854,7200.131385,8358.676685,12522.3119,10696.32158,9146.108891,6390.312368
MG 20_4,14063.56143,11622.4413,5593.616175,7604.121685,10696.32158,12176.94637,11309.78534,7283.003449
MG 18_2,8189.229007,8295.391711,7076.341456,5876.33717,11115.01877,12446.06247,7746.09192,5487.494193
MG 19_0,1300.967987,1455.059452,1509.169743,636.8546096,3194.73727,2109.421401,1730.820619,1009.656055
MG 21_0,718.1761894,787.3384626,415.4318931,275.7432142,1056.295484,768.9411996,636.8546096,593.040721
MG 23_0,1056.295484,339.0038411,546.8052098,468.4455153,718.1761894,1078.864738,986.2232358,275.7432142
PC 32_2,260417.1582,208714.825,104345.6196,198169.6381,71783.0883,69107.74852,109969.6471,91685.51901
PC 44_2,200880.9441,180586.0403,145226.5468,174216.0384,96567.18597,77564.55512,106373.5834,117112.8993
PC 42_2,1013253.079,1392216.64,1013253.079,977996.2115,694218.5985,736091.9139,935802.9037,1013253.079
PC 29_0,38334.3873,45851.00436,22880.89744,30135.59375,16602.55902,17862.50742,23681.35154,14063.56143
PC 31_0,208714.825,211876.145,153621.1533,163820.4218,130490.0362,123518.6453,145226.5468,150334.73
PC 36_2,1292234.609,1238563.389,1042328.166,1089010.409,977996.2115,977996.2115,1170241.598,1170241.598
PC 33_0,138530.4909,123518.6453,94315.78286,106373.5834,74998.71264,85222.35717,80839.24563,88000.9002
PC 48_4,8984.995884,8189.229007,5781.651568,6697.629949,5826.482158,4866.332948,4955.023533,8709.591127
PC 28_0,58122.70206,54974.6959,20470.26498,37667.00398,11966.49557,18181.43836,25252.55163,20470.26498
PC 36_4,1450031.999,1527238.999,1957907.916,1450031.999,1129376.353,1651171.853,1450031.999,1392216.64
PC 43_2,44979.14152,66431.73261,69107.74852,71783.0883,58899.00316,38012.66924,55730.22699,79906.4642
PC 37_4,15922.77687,15537.39923,19542.91673,19408.08598,19227.61365,25532.13449,18414.14302,22468.11183
PC 32_0,1527238.999,1450031.999,2087276.69,1771600.023,1238563.389,1392216.64,1527238.999,1527238.999
PC 38_4,399448.7542,484291.1482,520465.6053,473714.663,382724.2116,473714.663,473714.663,621994.1168
PC 40_2,325325.0093,325325.0093,382724.2116,353931.1357,211876.145,136613.6724,219058.2132,314826.9665
PC 37_0,14204.14243,22880.89744,17862.50742,18600.08183,10934.42132,15196.55845,13793.05002,12522.3119
PC 35_0,29114.57555,26829.4362,28965.48447,28965.48447,4641.788098,19718.04588,14944.64126,29982.83742
PC 40_6,77564.55512,102761.4095,174216.0384,96567.18597,94315.78286,104345.6196,75955.92836,118653.7689
PC 33_2,30416.9084,26185.41217,43602.71871,30703.47362,19885.58665,23908.99422,22880.89744,23062.94212
PC 35_4,22588.80291,21995.3106,23153.25452,22397.66183,19475.50135,27079.93778,20942.46998,40617.92223
PC 40_8,78917.75005,57314.43958,71783.0883,68180.49027,32828.0275,107976.7383,48177.30966,38686.89145
PC 39_6,13073.99457,15406.17715,11471.68216,15537.39923,7530.809589,16200.60125,10696.32158,15019.40266
PC 38_2,54202.25526,55730.22699,99507.87234,73072.94312,61696.74295,37258.37254,54202.25526,96567.18597
PC 38_6,1089010.409,1089010.409,1450031.999,1348516.389,1013253.079,1450031.999,1129376.353,1292234.609
PC 44_12,28541.66799,22327.21182,10341.29307,20470.26498,5876.33717,7283.003449,10341.29307,8295.391711
PC 46_6,12656.18091,11309.78534,17646.00525,11966.49557,9533.543017,9681.99512,10824.47854,12078.49421
PC 15_0,20643.00615,27804.34076,13326.90369,16337.11783,47675.58453,38686.89145,31387.51938,23681.35154
PC 41_2,37258.37254,50374.41382,63518.89008,60024.92445,51129.81649,36925.99255,68180.49027,71783.0883
PC 34_4,42984.45277,31387.51938,11729.33191,34390.73834,14413.00307,21578.76444,15537.39923,8358.676685
PC 35_2,25252.55163,34025.85466,44028.93936,39142.90233,32089.70639,33353.91111,39958.55439,53203.45962
PC 39_8,14732.83801,10517.24599,8442.776165,13073.99457,15721.38306,6327.856484,9793.243288,9439.727599
PC 44_4,118653.7689,163820.4218,375459.9512,208714.825,215808.0563,145226.5468,177684.4334,273770.6121
PC 39_4,3231.818612,4430.950426,8984.995884,9793.243288,3917.335892,3722.805152,3434.39012,6790.29513
PC 40_4,36062.8865,18914.86071,34025.85466,47128.76712,34984.47131,22880.89744,42525.83699,32089.70639
PC 38_8,1233.028538,2012.546104,1032.804249,1606.746885,3259.440233,2331.339165,1653.849199,2264.273456
PC 34_2,9533.543017,10447.42966,25252.55163,12176.94637,21578.76444,19059.34626,12305.90809,34390.73834
PC 37_2,4996.445978,10257.04762,6159.263596,11471.68216,8709.591127,7200.131385,9259.423345,13793.05002
PC 46_4,27467.08531,30135.59375,39958.55439,41386.58081,18600.08183,16769.01906,29830.08109,23243.56693
PC 42_4,24384.40584,34984.47131,25532.13449,27467.08531,29830.08109,12915.88073,28816.39338,24384.40584
PC 32_4,5593.616175,2741.017201,2631.220818,2383.173868,4092.482947,2056.907916,2305.655716,1580.165531
PC 43_4,8121.861752,19227.61365,41386.58081,18914.86071,23243.56693,19885.58665,16337.11783,26185.41217
PC 42_10,50374.41382,39958.55439,25883.40532,41906.14201,20470.26498,28023.04736,26458.05146,16337.11783
PC 45_4,12022.49489,9986.22697,14413.00307,11309.78534,10447.42966,10036.48649,9439.727599,11115.01877
PC 30_0,12176.94637,10341.29307,38012.66924,8709.591127,24384.40584,10341.29307,12915.88073,57314.43958
PC 40_10,1130.584623,1580.165531,4053.994812,2353.453936,1326.532441,2601.313645,620.3235154,866.0005218
PC 30_2,1218.783404,3846.535463,1653.849199,2489.813076,812.6641799,1509.169743,1326.532441,1750.977985
plasmenyl-PC 18_0,117112.8993,88000.9002,34680.75675,61696.74295,21239.9287,49259.51288,39142.90233,39474.37337
plasmenyl-PC 24_0,2217.249324,1256.068293,486.462402,718.1761894,394.0975823,320.4901795,517.2856136,572.0414419
plasmenyl-PC 36_4,2037.409481,2829.150894,3165.953768,1810.048109,6574.562853,2176.953478,2529.955592,3407.877676
plasmenyl-PC 22_0,468.4455153,320.4901795,369.7743645,394.0975823,245.1736324,211.4682283,339.0038411,245.1736324
PE 36_2,1204402.494,1320375.499,1149808.976,1204402.494,725693.9914,704757.3337,995624.6455,1109193.381
PE 38_4,314826.9665,334428.9576,368098.6606,325325.0093,231444.6655,242014.7298,299460.4494,325325.0093
PE 40_6,102761.4095,113034.0706,189438.5936,128728.9914,111645.8634,191420.4907,126704.5429,132184.5353
PE 42_2,49259.51288,74111.75373,70745.84126,54974.6959,60797.1668,29540.51647,66431.73261,74998.71264
PE 38_2,23243.56693,23062.94212,19885.58665,24384.40584,22709.49399,12305.90809,15922.77687,19885.58665
PE 36_4,136613.6724,145226.5468,126704.5429,111645.8634,169170.5188,74998.71264,107976.7383,124942.0614
PE 34_2,215808.0563,222801.3405,183777.1748,177684.4334,102761.4095,98002.17611,134342.7299,160819.3174
PE 21_4,3165.953768,3284.483163,2741.017201,1986.190245,5339.378486,4835.537305,4996.445978,2872.255076
PE 19_2,1894.252739,1894.252739,941.7722162,768.9411996,4021.329678,2217.249324,1918.399093,2191.858738
PE 23_4,2383.173868,2872.255076,1966.184891,2660.892641,4480.896291,3101.702177,3407.877676,3560.774964
PE 40_2,38686.89145,35305.14154,40359.47195,36595.13001,24942.44013,15721.38306,24580.71733,50374.41382
PE 40_4,23681.35154,28023.04736,27804.34076,24580.71733,21053.77263,23681.35154,37258.37254,37667.00398
PE 17_0,3434.39012,1810.048109,2694.215394,1627.852423,2872.255076,1373.613251,1940.413148,1704.06767
PE 35_2,8295.391711,8442.776165,9259.423345,9259.423345,8358.676685,6390.312368,5723.206757,10627.44419
PE 38_6,111645.8634,200880.9441,222801.3405,200880.9441,166501.1962,126704.5429,115371.6908,194980.59
PE 44_4,4641.788098,7604.121685,22082.21869,13943.38698,14869.87986,11729.33191,9607.234258,24580.71733
PE 32_2,5781.651568,4602.288706,2432.310691,4565.825721,1986.190245,1673.904794,2383.173868,3328.644581
plasmenyl-PE 20_0,27197.98077,23908.99422,12305.90809,21908.4025,11622.4413,10172.95485,12176.94637,18914.86071
plasmenyl-PE 18_0,35305.14154,30703.47362,17231.21642,23908.99422,17463.65618,21908.4025,19885.58665,19317.84981
plasmenyl-PE 38_4,205141.2665,194980.59,236812.3042,236812.3042,180586.0403,180586.0403,191420.4907,208714.825
plasmenyl-PE 40_6,177684.4334,177684.4334,155761.5367,136613.6724,140845.2377,128728.9914,153621.1533,180586.0403
plasmenyl-PE 34_2,88000.9002,109969.6471,150334.73,132184.5353,98002.17611,67436.52072,89892.23749,147621.2227
plasmenyl-PE 36_2,6744.227051,14063.56143,26458.05146,219058.2132,20078.83511,8984.995884,9337.008436,25532.13449
plasmenyl-PE 22_0,7667.372582,7530.809589,3586.931183,6327.856484,3461.308373,3617.910855,3560.774964,6443.041527
plasmenyl-PE 38_6,153621.1533,158437.9124,160819.3174,126704.5429,113034.0706,111645.8634,147621.2227,166501.1962
