Sample,Ctrl_BTBR_2292,Ctrl_BTBR_2293,Ctrl_BTBR_2297,Ctrl_BTBR_2298,HF_BTBR_2306,HF_BTBR_2307,HF_BTBR_2308,HF_BTBR_2309
Label,CT,CT,CT,CT,HF,HF,HF,HF
DG 34_2,198169.6381,231444.6655,382724.2116,186913.6971,153621.1533,117112.8993,382724.2116,189438.5936
DG 40_2,12915.88073,7948.616223,8807.138823,5194.374936,9986.22697,5339.378486,10696.32158,8894.3843
DG 32_2,66431.73261,45422.88187,115371.6908,43602.71871,12078.49421,9337.008436,27804.34076,16466.50135
DG 38_4,1238563.389,1238563.389,1013253.079,1129376.353,621994.1168,736091.9139,977996.2115,773041.6783
DG 42_2,25252.55163,25532.13449,20831.16733,22327.21182,19885.58665,17646.00525,22709.49399,20275.01639
DG 38_0,109969.6471,82082.74546,64495.07466,94315.78286,107976.7383,113034.0706,77564.55512,115371.6908
DG 35_0,43602.71871,24942.44013,25252.55163,39142.90233,33709.44587,39142.90233,34680.75675,34680.75675
DG 36_2,368098.6606,368098.6606,314826.9665,253340.3771,273770.6121,253340.3771,621994.1168,314826.9665
DG 32_0,69107.74852,35722.42618,36925.99255,38012.66924,31735.47788,42525.83699,46543.75452,51129.81649
DG 36_4,96567.18597,83895.46567,88000.9002,86274.81925,55730.22699,86274.81925,74111.75373,65541.65096
DG 40_6,22880.89744,19408.08598,15721.38306,20275.01639,11622.4413,15721.38306,19885.58665,16602.55902
DG 34_0,1527238.999,807201.0077,534418.5089,977996.2115,673759.7284,1042328.166,880423.239,935802.9037
DG 36_0,8279131.616,6781914.969,5483044.94,6781914.969,6781914.969,4510552.265,5483044.94,8279131.616
DG 38_2,30703.47362,21392.72294,21239.9287,15922.77687,13174.93997,20831.16733,22327.21182,16055.98323
DG 40_0,63518.89008,46543.75452,30416.9084,51699.90556,62545.24944,63518.89008,50374.41382,82082.74546
DG 38_6,14732.83801,10341.29307,11855.75068,10517.24599,7001.843942,5487.494193,15196.55845,10627.44419
DG 40_4,68180.49027,38334.3873,33709.44587,35305.14154,14732.83801,25883.40532,35305.14154,28239.96359
DG 37_0,12522.3119,8121.861752,6574.562853,13943.38698,12522.3119,15196.55845,9681.99512,9793.243288
DG 39_4,4602.288706,4641.788098,1872.004713,4522.233182,2012.546104,1527.841542,2872.255076,2305.655716
DG 41_0,4430.950426,1966.184891,1580.165531,4866.332948,6790.29513,6390.312368,5487.494193,5289.839148
DG 44_2,8442.776165,3722.805152,3284.483163,2905.640596,2574.884081,2601.313645,4161.917897,3722.805152
DG 42_4,9607.234258,5651.645311,4866.332948,6790.29513,3846.535463,4641.788098,3766.694193,6327.856484
DG 42_0,7667.372582,7283.003449,6033.81833,8358.676685,12176.94637,7813.504373,7813.504373,14558.08559
DG 44_6,9259.423345,8894.3843,6697.629949,7374.181445,8189.229007,16769.01906,9793.243288,6697.629949
DG 33_0,11729.33191,5429.255262,4996.445978,8807.138823,4211.337463,4798.527859,7530.809589,4866.332948
DG 30_2,6574.562853,3023.544195,14413.00307,2965.684274,1354.862643,1277.923821,1986.190245,1277.923821
DG 39_2,46543.75452,32089.70639,18600.08183,36925.99255,41386.58081,67436.52072,21730.22341,47128.76712
DG 39_0,7076.341456,7746.09192,10824.47854,7200.131385,6697.629949,5536.597906,5536.597906,5536.597906
lysoPC 17_0,67436.52072,68180.49027,49992.58667,69968.40419,56645.59666,38012.66924,51129.81649,62545.24944
lysoPC 22_0,47675.58453,66431.73261,57314.43958,58899.00316,58122.70206,41906.14201,57314.43958,57314.43958
lysoPC 18_0,253340.3771,361550.5895,391527.6722,325325.0093,343459.0345,200880.9441,418784.4128,353931.1357
lysoPC 18_2,27804.34076,36062.8865,41906.14201,26185.41217,39142.90233,23062.94212,61696.74295,40359.47195
lysoPC 16_0,444839.6687,621994.1168,694218.5985,520465.6053,399448.7542,343459.0345,520465.6053,361550.5895
lysoPC 20_4,28816.39338,37667.00398,42525.83699,23474.77635,22709.49399,15406.17715,25532.13449,24123.14184
lysoPC 22_6,45851.00436,49259.51288,45422.88187,36062.8865,38686.89145,24580.71733,34025.85466,32488.07954
lysoPC 20_0,16055.98323,21578.76444,22468.11183,19718.04588,21392.72294,15922.77687,20831.16733,20470.26498
lysoPC 14_0,6390.312368,7530.809589,7076.341456,7132.635791,5339.378486,3231.818612,4129.979558,5723.206757
lysoPC 25_0,7746.09192,10696.32158,10172.95485,10447.42966,8894.3843,9793.243288,9439.727599,11309.78534
lysoPC 20_2,3799.791315,3799.791315,6629.200142,3766.694193,5429.255262,3378.153016,7948.616223,7076.341456
lysoPC 23_0,13793.05002,12806.8901,16945.26735,10341.29307,19059.34626,11196.72951,14732.83801,14869.87986
lysoPC 24_0,124942.0614,200880.9441,253340.3771,166501.1962,219058.2132,134342.7299,215808.0563,186913.6971
lysoPC 19_0,6327.856484,7374.181445,8512.210857,7667.372582,9607.234258,4281.418378,4745.754242,8046.838572
lysoPC 26_0,7461.35657,6744.227051,5876.33717,5723.206757,7667.372582,10696.32158,6443.041527,8807.138823
lysoPC 15_0,10086.74601,5244.072797,11729.33191,4955.023533,10341.29307,7530.809589,6932.82616,10447.42966
lysoPE 22_6,23474.77635,26458.05146,32089.70639,22082.21869,21908.4025,13690.83598,22082.21869,20078.83511
