Sample,Ctrl_BKS_db._2225,Ctrl_BKS_db._2226,Ctrl_BKS_db._2227,Ctrl_BKS_db._2231,HF_BKS_db._2239,HF_BKS_db._2241,HF_BKS_db._2242,HF_BKS_db._2243
Label,CT,CT,CT,CT,HF,HF,HF,HF
DG 34_2,155761.5367,299460.4494,222801.3405,153621.1533,130490.0362,226198.4777,171923.3079,399448.7542
DG 40_2,15406.17715,9337.008436,9793.243288,13793.05002,11115.01877,7374.181445,7875.490429,8984.995884
DG 32_2,22468.11183,58122.70206,35305.14154,23062.94212,8709.591127,15537.39923,8627.711884,29540.51647
DG 38_4,1771600.023,736091.9139,736091.9139,1527238.999,1771600.023,578458.1021,977996.2115,715296.0689
DG 42_2,28816.39338,14558.08559,18181.43836,34390.73834,31387.51938,21730.22341,31735.47788,17463.65618
DG 38_0,33353.91111,69968.40419,44979.14152,38334.3873,33709.44587,45422.88187,42525.83699,63518.89008
DG 35_0,11622.4413,19885.58665,14869.87986,11471.68216,16945.26735,17130.56278,11966.49557,22327.21182
DG 36_2,418784.4128,484291.1482,409670.8792,343459.0345,473714.663,375459.9512,399448.7542,880423.239
DG 32_0,18600.08183,33709.44587,22327.21182,18600.08183,15406.17715,19227.61365,13793.05002,40876.3725
DG 36_4,98002.17611,42984.45277,40876.3725,78917.75005,94315.78286,34984.47131,70745.84126,82082.74546
DG 40_6,21239.9287,12078.49421,8627.711884,13073.99457,17646.00525,6860.866275,6629.200142,12305.90809
DG 34_0,444839.6687,1013253.079,520465.6053,391527.6722,391527.6722,343459.0345,242014.7298,736091.9139
DG 36_0,2896139.481,5995165.944,4754888.155,2509585.327,3270246.353,3610773.105,3481367.83,6781914.969
DG 38_2,32488.07954,26696.97761,26696.97761,21392.72294,29540.51647,16200.60125,19885.58665,31012.7822
DG 40_0,21053.77263,36595.13001,26961.89479,25883.40532,22880.89744,26961.89479,24942.44013,42525.83699
DG 38_6,16466.50135,8295.391711,8894.3843,9793.243288,13073.99457,7283.003449,12078.49421,9884.422386
DG 40_4,71783.0883,34025.85466,34390.73834,44461.71636,53203.45962,16769.01906,24123.14184,25252.55163
DG 37_0,5147.345466,3501.577631,3434.39012,2777.236643,2081.005034,3353.687486,2383.173868,8627.711884
DG 39_4,5339.378486,2284.431709,1509.169743,4211.337463,5593.616175,2109.421401,3328.644581,1218.783404
DG 41_0,1056.295484,1872.004713,1779.687037,1155.776144,2554.402104,3284.483163,2406.789102,1894.252739
DG 44_2,8121.861752,3586.931183,3987.494108,5593.616175,9439.727599,3165.953768,4393.66351,2829.150894
DG 42_4,7604.121685,2905.640596,2601.313645,4565.825721,7813.504373,2460.117207,7283.003449,2720.283708
DG 42_0,9533.543017,2851.466121,4602.288706,7076.341456,11966.49557,6932.82616,6860.866275,4245.932772
DG 44_6,4835.537305,6290.853212,6574.562853,5536.597906,9884.422386,7076.341456,6790.29513,6517.755259
DG 33_0,2264.273456,5094.988909,4430.950426,3075.951129,3130.667038,2741.017201,1673.904794,5536.597906
DG 30_2,3501.577631,5536.597906,3378.153016,1218.783404,1673.904794,1218.783404,1527.841542,3684.065188
DG 39_2,9439.727599,20275.01639,15922.77687,9146.108891,9337.008436,12915.88073,7604.121685,26961.89479
DG 39_0,2081.005034,3231.818612,2489.813076,2489.813076,2965.684274,2056.907916,2995.122344,3534.633299
lysoPC 17_0,22327.21182,51699.90556,47675.58453,35722.42618,28541.66799,40876.3725,27197.98077,47128.76712
lysoPC 22_0,89892.23749,83895.46567,106373.5834,142911.1978,132184.5353,123518.6453,205141.2665,71783.0883
lysoPC 18_0,368098.6606,399448.7542,382724.2116,444839.6687,505407.2398,418784.4128,578458.1021,361550.5895
lysoPC 18_2,56645.59666,47128.76712,58122.70206,62545.24944,101230.3089,67436.52072,91685.51901,48177.30966
lysoPC 16_0,773041.6783,621994.1168,773041.6783,880423.239,977996.2115,715296.0689,1238563.389,444839.6687
lysoPC 20_4,34680.75675,27197.98077,34680.75675,43602.71871,48750.50814,30703.47362,41906.14201,17331.87007
lysoPC 22_6,47128.76712,27467.08531,43602.71871,51129.81649,68180.49027,37667.00398,58899.00316,23062.94212
lysoPC 20_0,27467.08531,26961.89479,30416.9084,36925.99255,36062.8865,34025.85466,53203.45962,22468.11183
lysoPC 14_0,16602.55902,10627.44419,10517.24599,17862.50742,17862.50742,10696.32158,20275.01639,6327.856484
lysoPC 25_0,15721.38306,13943.38698,18914.86071,19718.04588,15721.38306,16602.55902,20831.16733,17862.50742
lysoPC 20_2,9986.22697,5487.494193,6932.82616,6105.663462,10696.32158,6033.81833,11196.72951,6033.81833
lysoPC 23_0,19885.58665,19542.91673,21239.9287,31735.47788,26696.97761,28239.96359,37258.37254,21908.4025
lysoPC 24_0,292577.8048,260417.1582,368098.6606,473714.663,435164.3255,505407.2398,715296.0689,268561.4321
lysoPC 19_0,6033.81833,8709.591127,8121.861752,4393.66351,6390.312368,5147.345466,5826.482158,7875.490429
lysoPC 26_0,8512.210857,10341.29307,7667.372582,9259.423345,9533.543017,12078.49421,11115.01877,11024.14349
lysoPC 15_0,4522.233182,5339.378486,7374.181445,5933.161129,6860.866275,4129.979558,7374.181445,9986.22697
lysoPE 22_6,38012.66924,23681.35154,32828.0275,41386.58081,54974.6959,32089.70639,47675.58453,21392.72294
lysoPE 22_4,25883.40532,12176.94637,21730.22341,25532.13449,25883.40532,21239.9287,28239.96359,8189.229007
lysoPE 20_4,26696.97761,19227.61365,27467.08531,36595.13001,35722.42618,24384.40584,36595.13001,13690.83598
lysoPE 18_2,17862.50742,14204.14243,20078.83511,23243.56693,37258.37254,27467.08531,35722.42618,26458.05146
lysoPE 16_0,49259.51288,40359.47195,42984.45277,66431.73261,65541.65096,58899.00316,101230.3089,36595.13001
lysoPE 18_0,45851.00436,52416.19861,51699.90556,74111.75373,74111.75373,99507.87234,150334.73,52416.19861
lysoPE 24_4,4866.332948,2191.858738,3259.440233,8121.861752,4641.788098,6517.755259,6105.663462,1986.190245
lysoPE 20_2,3023.544195,1218.783404,2777.236643,3560.774964,2802.844887,4430.950426,4602.288706,1527.841542
lysoPE 14_0,1673.904794,636.8546096,1394.770282,2284.431709,3023.544195,1872.004713,3560.774964,320.4901795
MG 20_0,9793.243288,13519.95059,12305.90809,13326.90369,12806.8901,14732.83801,12915.88073,18600.08183
MG 18_0,604682.8803,773041.6783,673759.7284,621994.1168,673759.7284,604682.8803,553364.3953,1238563.389
MG 16_0,180586.0403,268561.4321,236812.3042,236812.3042,242014.7298,211876.145,260417.1582,325325.0093
MG 17_0,5651.645311,4641.788098,4393.66351,5429.255262,5429.255262,4480.896291,5876.33717,6744.227051
MG 22_0,9681.99512,10172.95485,12522.3119,10824.47854,18758.21968,10627.44419,12176.94637,10824.47854
MG 20_4,7200.131385,3407.877676,7604.121685,11729.33191,7374.181445,8984.995884,6443.041527,7200.131385
MG 18_2,7746.09192,7001.843942,6231.117745,4798.527859,8121.861752,7132.635791,7076.341456,8358.676685
MG 19_0,1009.656055,1455.059452,1479.481756,1277.923821,1509.169743,1105.126401,1171.80233,1872.004713
MG 21_0,787.3384626,812.6641799,394.0975823,439.345155,1078.864738,787.3384626,1218.783404,546.8052098
MG 23_0,517.2856136,1078.864738,211.4682283,394.0975823,620.3235154,660.6016777,339.0038411,660.6016777
PC 32_2,353931.1357,211876.145,285905.1615,273770.6121,418784.4128,242014.7298,285905.1615,198169.6381
PC 44_2,189438.5936,134342.7299,169170.5188,205141.2665,226198.4777,180586.0403,219058.2132,123518.6453
PC 42_2,1450031.999,1238563.389,1450031.999,673759.7284,1089010.409,1392216.64,935802.9037,1042328.166
PC 29_0,51129.81649,37667.00398,34984.47131,46543.75452,54202.25526,37258.37254,34984.47131,39142.90233
PC 31_0,186913.6971,183777.1748,147621.2227,231444.6655,186913.6971,155761.5367,166501.1962,200880.9441
