Sample,Ctrl_BL6_db._2273,Ctrl_BL6_db._2274,Ctrl_BL6_db._2275,Ctrl_BL6_db._2279,HF_BL6_db._2286,HF_BL6_db._2287,HF_BL6_db._2288,HF_BL6_db._2289
Label,CT,CT,CT,CT,HF,HF,HF,HF
DG 34_2,85222.35717,96567.18597,89892.23749,299460.4494,153621.1533,236812.3042,138530.4909,260417.1582
DG 40_2,6231.117745,6033.81833,7200.131385,7461.35657,4281.418378,5147.345466,10934.42132,9607.234258
DG 32_2,18600.08183,26696.97761,30703.47362,77564.55512,12915.88073,19408.08598,12305.90809,19542.91673
DG 38_4,715296.0689,578458.1021,520465.6053,520465.6053,399448.7542,773041.6783,1238563.389,1238563.389
DG 42_2,19718.04588,19227.61365,20831.16733,13793.05002,19885.58665,24384.40584,28541.66799,26696.97761
DG 38_0,111645.8634,169170.5188,94315.78286,89892.23749,91685.51901,54974.6959,54974.6959,49992.58667
DG 35_0,37258.37254,61696.74295,22880.89744,24942.44013,38334.3873,23062.94212,19718.04588,16055.98323
DG 36_2,253340.3771,186913.6971,150334.73,368098.6606,505407.2398,520465.6053,505407.2398,553364.3953
DG 32_0,44028.93936,69968.40419,37258.37254,37667.00398,49992.58667,32089.70639,22082.21869,23062.94212
DG 36_4,47675.58453,33353.91111,38686.89145,68180.49027,50374.41382,85222.35717,48177.30966,48750.50814
DG 40_6,16055.98323,11309.78534,9337.008436,16200.60125,11196.72951,12915.88073,17862.50742,12305.90809
DG 34_0,1392216.64,1771600.023,807201.0077,1042328.166,1348516.389,736091.9139,736091.9139,694218.5985
DG 36_0,8279131.616,8279131.616,6781914.969,8279131.616,5483044.94,5483044.94,5083865.409,5995165.944
DG 38_2,13519.95059,11966.49557,9986.22697,16945.26735,20470.26498,17862.50742,27804.34076,17862.50742
DG 40_0,69107.74852,107976.7383,60797.1668,44461.71636,66431.73261,32828.0275,36925.99255,32089.70639
DG 38_6,8627.711884,7461.35657,7132.635791,13326.90369,9986.22697,9439.727599,9533.543017,13519.95059
DG 40_4,36595.13001,32488.07954,25532.13449,17862.50742,20275.01639,35305.14154,45422.88187,37258.37254
DG 37_0,12522.3119,20078.83511,8807.138823,14558.08559,9259.423345,4092.482947,6290.853212,3434.39012
DG 39_4,2406.789102,2777.236643,1078.864738,685.6612332,1527.841542,2406.789102,1653.849199,1653.849199
DG 41_0,6327.856484,8295.391711,4745.754242,5094.988909,4912.784497,2851.466121,2660.892641,2489.813076
DG 44_2,3846.535463,4321.217705,4021.329678,3194.73727,3353.687486,4129.979558,4955.023533,3586.931183
DG 42_4,5781.651568,5536.597906,4996.445978,4480.896291,6697.629949,8627.711884,9986.22697,8442.776165
DG 42_0,7746.09192,13943.38698,4955.023533,9146.108891,8358.676685,8807.138823,6443.041527,8512.210857
DG 44_6,8121.861752,13326.90369,6390.312368,3799.791315,8046.838572,8512.210857,10086.74601,2829.150894
DG 33_0,6574.562853,13793.05002,3846.535463,5781.651568,5933.161129,5536.597906,4480.896291,3501.577631
DG 30_2,2777.236643,4281.418378,3046.664351,10341.29307,902.4052044,2574.884081,2081.005034,4430.950426
DG 39_2,33114.19408,63518.89008,28239.96359,36062.8865,36595.13001,21908.4025,16466.50135,19718.04588
DG 39_0,5094.988909,10696.32158,5983.919099,5933.161129,5983.919099,3284.483163,2284.431709,3046.664351
lysoPC 17_0,34390.73834,70745.84126,44461.71636,50374.41382,58899.00316,74998.71264,40359.47195,47128.76712
lysoPC 22_0,60797.1668,48750.50814,75955.92836,47675.58453,60024.92445,78917.75005,71783.0883,71783.0883
lysoPC 18_0,226198.4777,163820.4218,236812.3042,306452.3363,279768.6265,391527.6722,382724.2116,409670.8792
lysoPC 18_2,29540.51647,19885.58665,39142.90233,39958.55439,49259.51288,64495.07466,82082.74546,77564.55512
lysoPC 16_0,418784.4128,353931.1357,444839.6687,375459.9512,361550.5895,473714.663,652889.5402,673759.7284
lysoPC 20_4,28541.66799,15406.17715,32488.07954,39474.37337,28816.39338,29830.08109,51129.81649,58899.00316
lysoPC 22_6,44979.14152,23062.94212,26696.97761,82082.74546,42525.83699,34390.73834,80839.24563,89892.23749
lysoPC 20_0,19059.34626,13519.95059,17463.65618,15196.55845,16055.98323,22468.11183,28023.04736,20643.00615
lysoPC 14_0,3259.440233,3165.953768,3586.931183,3165.953768,3194.73727,6105.663462,6105.663462,6629.200142
lysoPC 25_0,9054.47894,8984.995884,9607.234258,6790.29513,10934.42132,15019.40266,13326.90369,13326.90369
lysoPC 20_2,4245.932772,4393.66351,3534.633299,3684.065188,7001.843942,8709.591127,8894.3843,8189.229007
lysoPC 23_0,9986.22697,13690.83598,14413.00307,11024.14349,13793.05002,15922.77687,16055.98323,14869.87986
lysoPC 24_0,163820.4218,153621.1533,226198.4777,132184.5353,174216.0384,253340.3771,268561.4321,268561.4321
lysoPC 19_0,3434.39012,6231.117745,3617.910855,5244.072797,4522.233182,5487.494193,4798.527859,5244.072797
lysoPC 26_0,10447.42966,12446.06247,10824.47854,7200.131385,8984.995884,12305.90809,8512.210857,11196.72951
lysoPC 15_0,6390.312368,9146.108891,3766.694193,7001.843942,3846.535463,2720.283708,4092.482947,4358.848254
lysoPE 22_6,22327.21182,14732.83801,20643.00615,34984.47131,24580.71733,26961.89479,45851.00436,46543.75452
lysoPE 22_4,11115.01877,9337.008436,16200.60125,8984.995884,10696.32158,16602.55902,23243.56693,22880.89744
lysoPE 20_4,16769.01906,11196.72951,16337.11783,18414.14302,14204.14243,17331.87007,24580.71733,26961.89479
lysoPE 18_2,11471.68216,9533.543017,11115.01877,10517.24599,13690.83598,19718.04588,23908.99422,20470.26498
lysoPE 16_0,30416.9084,30703.47362,35722.42618,29540.51647,30703.47362,34984.47131,41386.58081,42984.45277
lysoPE 18_0,57314.43958,45851.00436,70745.84126,54974.6959,55730.22699,75955.92836,85222.35717,73072.94312
lysoPE 24_4,2931.575138,2574.884081,4321.217705,2154.216067,2660.892641,4866.332948,4245.932772,5651.645311
lysoPE 20_2,921.5462628,1056.295484,1810.048109,702.8576164,1194.49044,2191.858738,2217.249324,3101.702177
lysoPE 14_0,636.8546096,546.8052098,546.8052098,275.7432142,297.1848254,718.1761894,1218.783404,1171.80233
MG 20_0,21239.9287,28239.96359,19408.08598,16602.55902,19542.91673,11855.75068,13174.93997,13073.99457
MG 18_0,1042328.166,1089010.409,1042328.166,880423.239,935802.9037,880423.239,773041.6783,773041.6783
MG 16_0,391527.6722,399448.7542,343459.0345,325325.0093,314826.9665,273770.6121,260417.1582,200880.9441
MG 17_0,6744.227051,8512.210857,7948.616223,5826.482158,7530.809589,5933.161129,5386.137656,7283.003449
MG 22_0,9337.008436,11855.75068,11309.78534,10086.74601,10086.74601,9533.543017,10172.95485,6517.755259
MG 20_4,16466.50135,2802.844887,6629.200142,4641.788098,10517.24599,7461.35657,4430.950426,7001.843942
