Sample,Ctrl_BTBR_ob._2316,Ctrl_BTBR_ob._2317,Ctrl_BTBR_ob._2318,Ctrl_BTBR_ob._2320,HF_BTBR_ob._2329,HF_BTBR_ob._2331,HF_BTBR_ob._2333,HF_BTBR_ob._2334
Label,CT,CT,CT,CT,HF,HF,HF,HF
DG 34_2,343459.0345,180586.0403,124942.0614,375459.9512,268561.4321,279768.6265,314826.9665,391527.6722
DG 40_2,8046.838572,5723.206757,7604.121685,4430.950426,8358.676685,4686.688052,4092.482947,7001.843942
DG 32_2,78917.75005,39142.90233,31012.7822,77564.55512,21730.22341,23243.56693,14732.83801,27467.08531
DG 38_4,807201.0077,444839.6687,736091.9139,694218.5985,880423.239,444839.6687,673759.7284,807201.0077
DG 42_2,15019.40266,11729.33191,19059.34626,11196.72951,21239.9287,12446.06247,16337.11783,19059.34626
DG 38_0,79906.4642,236812.3042,166501.1962,160819.3174,98002.17611,111645.8634,186913.6971,82082.74546
DG 35_0,26961.89479,86274.81925,61696.74295,58899.00316,36062.8865,38012.66924,69107.74852,37667.00398
DG 36_2,375459.9512,253340.3771,211876.145,426803.3436,520465.6053,382724.2116,553364.3953,736091.9139
DG 32_0,35305.14154,94315.78286,57314.43958,86274.81925,51699.90556,45422.88187,99507.87234,38686.89145
DG 36_4,62545.24944,45851.00436,67436.52072,88000.9002,67436.52072,43602.71871,74998.71264,75955.92836
DG 40_6,13793.05002,9054.47894,17130.56278,18001.09703,18181.43836,17646.00525,18758.21968,13793.05002
DG 34_0,773041.6783,1527238.999,1450031.999,1527238.999,1170241.598,977996.2115,1957907.916,1170241.598
DG 36_0,8279131.616,8279131.616,8279131.616,8279131.616,5483044.94,8279131.616,8279131.616,5995165.944
DG 38_2,16055.98323,7746.09192,15196.55845,23243.56693,15922.77687,11622.4413,27804.34076,23474.77635
DG 40_0,38012.66924,130490.0362,94315.78286,83895.46567,60024.92445,54202.25526,94315.78286,46543.75452
DG 38_6,12915.88073,7076.341456,10172.95485,15922.77687,11471.68216,8442.776165,8709.591127,10341.29307
DG 40_4,22082.21869,18600.08183,30135.59375,34984.47131,28239.96359,21730.22341,36595.13001,34025.85466
DG 37_0,7948.616223,34390.73834,32488.07954,23908.99422,9259.423345,17331.87007,19227.61365,9439.727599
DG 39_4,1872.004713,2109.421401,2965.684274,1479.481756,2965.684274,2489.813076,5593.616175,2872.255076
DG 41_0,3534.633299,10086.74601,9054.47894,5339.378486,3434.39012,5826.482158,7001.843942,2331.339165
DG 44_2,2631.220818,1850.700572,3954.001667,2406.789102,4129.979558,1171.80233,1673.904794,3259.440233
DG 42_4,3722.805152,2191.858738,3917.335892,2931.575138,2995.122344,4281.418378,4321.217705,7667.372582
DG 42_0,2574.884081,13174.93997,11622.4413,4281.418378,11622.4413,11966.49557,9607.234258,6744.227051
DG 44_6,4686.688052,6744.227051,7948.616223,7948.616223,6744.227051,11855.75068,10341.29307,10627.44419
DG 33_0,4321.217705,6790.29513,13943.38698,14732.83801,7604.121685,4480.896291,15196.55845,8442.776165
DG 30_2,10696.32158,3101.702177,2660.892641,6629.200142,966.2630571,2694.215394,1940.413148,2694.215394
DG 39_2,26185.41217,107976.7383,74998.71264,74998.71264,37667.00398,46543.75452,120405.1651,36595.13001
DG 39_0,7200.131385,24942.44013,11115.01877,9337.008436,16769.01906,8512.210857,16602.55902,5826.482158
DG 37_4,4522.233182,3259.440233,5933.161129,6390.312368,5826.482158,3461.308373,4522.233182,4430.950426
DG 35_2,5723.206757,2460.117207,2264.273456,5194.374936,5339.378486,6860.866275,9054.47894,5289.839148
DG 37_2,3231.818612,636.8546096,1218.783404,2509.781795,2353.453936,1233.028538,3461.308373,3328.644581
DG 33_2,1918.399093,882.4186362,902.4052044,2802.844887,2554.402104,3684.065188,4161.917897,3130.667038
DG 34_4,2176.953478,1394.770282,2406.789102,6932.82616,1673.904794,1894.252739,702.8576164,1779.687037
DG 44_4,1606.746885,1750.977985,1455.059452,1580.165531,2741.017201,2554.402104,1547.623228,986.2232358
lysoPC 17_0,47675.58453,73072.94312,88000.9002,71783.0883,68180.49027,74998.71264,106373.5834,64495.07466
lysoPC 22_0,52416.19861,39474.37337,47128.76712,33114.19408,55730.22699,39958.55439,31012.7822,52416.19861
lysoPC 18_0,368098.6606,191420.4907,242014.7298,215808.0563,353931.1357,399448.7542,292577.8048,409670.8792
lysoPC 18_2,45422.88187,23474.77635,20643.00615,26185.41217,56645.59666,53203.45962,36062.8865,62545.24944
lysoPC 16_0,484291.1482,260417.1582,426803.3436,285905.1615,473714.663,375459.9512,279768.6265,426803.3436
lysoPC 20_4,57314.43958,18914.86071,31387.51938,23681.35154,24580.71733,24123.14184,11966.49557,31735.47788
lysoPC 22_6,123518.6453,33353.91111,66431.73261,29114.57555,30703.47362,34390.73834,15537.39923,53203.45962
lysoPC 20_0,20831.16733,13326.90369,18914.86071,12078.49421,21908.4025,17862.50742,13519.95059,16945.26735
lysoPC 14_0,5593.616175,2851.466121,5094.988909,2720.283708,3889.433002,2720.283708,2154.216067,3023.544195
lysoPC 25_0,9533.543017,5386.137656,9681.99512,4480.896291,7461.35657,10257.04762,5933.161129,9533.543017
lysoPC 20_2,5289.839148,4211.337463,4866.332948,5781.651568,6390.312368,4522.233182,4745.754242,7200.131385
lysoPC 23_0,12806.8901,7667.372582,11471.68216,6517.755259,13326.90369,13943.38698,9439.727599,12806.8901
