"Class","Number","Ctrl.mean","Ctrl.SD","Ctrl.SE","Case.mean","Case.SD","Case.SE","FC","logFC"
"CE",6,12.147566191647,2.39124095678841,0.976220032696039,12.3623840514838,2.05560519371832,0.839197306204143,1.1605573848334,0.214817859836856
"CerP",2,12.0345977940105,1.67665083003389,1.18557117159902,12.162101786819,1.73702837724919,1.22826454466637,1.09240210014965,0.12750399280845
"CL",49,13.0377656968256,1.98354525646471,0.283363608066388,13.0109363867991,1.96842845667652,0.281204065239503,0.981575190358025,-0.0268293100264964
"DG",55,14.6627759739838,3.43305300238294,0.46291277240712,14.6378427255011,3.41501864844978,0.46048102061885,0.982866073356003,-0.0249332484826735
"lysoPC",20,15.3669368778721,3.98137856075198,0.890263310600171,15.4233313596997,3.97482148500172,0.88879710388905,1.03986373037002,0.0563944818275919
"lysoPE",13,14.1766387820354,2.7242197869676,0.755562625195789,14.1742609169393,2.62979799706547,0.729374732502465,0.998353147065903,-0.00237786509601526
"MG",9,11.5901288756454,1.77320864784572,0.591069549281906,11.3713359968362,1.89009742675896,0.63003247558632,0.859284109618806,-0.218792878809214
"PA",21,13.8320236853392,2.33891818634771,0.510393792059391,14.0485219248525,2.36949588261016,0.517066392426061,1.16190993208934,0.216498239513333
"PC",70,14.7704344719238,3.98583716701403,0.476398661416352,14.972142094664,3.95970498184133,0.473275267882069,1.15005879827144,0.201707622740186
"PE",36,16.4487509986961,3.05358263334583,0.508930438890971,16.5328059932519,3.03262187998998,0.505436979998331,1.05999318884814,0.0840549945558493
"PG",34,14.0082205568241,2.69386268696137,0.461993639382072,13.9584249754677,2.72357400132816,0.467089087758701,0.966073204271463,-0.049795581356383
"PI",5,17.3736489742943,3.66235600254181,1.63785539589758,17.3827410938908,3.79218897430728,1.69591846601526,1.00632207756504,0.00909211959652016
"plasmenyl-PC",4,12.8362228919619,3.34859256150255,1.67429628075127,13.1311622308049,2.74220759943953,1.37110379971976,1.22683339137082,0.294939338843017
"plasmenyl-PE",19,14.9900712544177,2.13338699324856,0.489432542686029,15.1307004789705,1.99975479097249,0.458775212932126,1.10238581134985,0.140629224552754
"PS",5,16.9058316632737,4.16002970490055,1.8604218417152,16.8306892974363,4.19354791395966,1.87541164050325,0.949248444037556,-0.0751423658374577
"SM",23,15.6716909917238,3.59026524745118,0.748622054381761,15.4749801099358,3.66202246605463,0.763584468773225,0.872537546061002,-0.196710881787929
"TG",75,16.0738272895023,3.19641651944931,0.369090387589246,15.7096040605974,3.33880903514891,0.385532459043196,0.776887051372603,-0.364223228904848
