"Class","Number","Ctrl.mean","Ctrl.SD","Ctrl.SE","Case.mean","Case.SD","Case.SE","FC","logFC"
"CE",6,13.1363944432225,1.89413484499455,0.773277312377057,13.3095087165363,2.08506849777879,0.851225649718244,1.12748971506801,0.173114273313866
"CerP",2,12.4671557150025,1.65437078128125,1.16981679804086,12.3886350631329,1.29660465081161,0.916837941106903,0.94702823743904,-0.078520651869601
"CL",49,13.1436906001823,2.02967098815617,0.289952998308024,13.0592642295152,1.94903304183388,0.278433291690554,0.943159470591706,-0.0844263706670747
"DG",55,14.5969207367165,3.62205388647613,0.488397646419331,14.4745118239045,3.57434456790613,0.481964523215709,0.918652466693714,-0.122408912811997
"lysoPC",20,15.3500357411566,3.91718521192803,0.8759092414328,15.2445404625444,3.94377194552381,0.881854215794784,0.929485794456153,-0.10549527861218
"lysoPE",13,13.5710715676207,2.64132844546427,0.732572703497156,13.5485252016226,2.59715938512227,0.720322410277761,0.984493532722154,-0.0225463659980375
"MG",9,11.7662631617203,1.85070490639287,0.616901635464289,11.736616238938,1.71186987506254,0.570623291687515,0.979660024835728,-0.0296469227823088
"PA",21,13.6709303408942,2.18472328954643,0.476745706994259,13.6677537427818,2.3051799832383,0.503031512556501,0.99780057226823,-0.00317659811238084
"PC",70,14.8989849622348,4.03219222680747,0.481939150781604,14.8075656385867,4.05246899804925,0.484362688490914,0.938598901075026,-0.0914193236481182
"PE",36,16.2824503344906,2.97747723813931,0.496246206356551,16.1846650642997,3.07696571179221,0.512827618632035,0.934466421918812,-0.0977852701909256
"PG",34,14.1669765075731,2.80139064942424,0.480434532807711,14.3060716946412,2.82042998426191,0.483699751794426,1.10121425232856,0.139095187068154
"PI",5,17.2038001537043,3.45811201959536,1.54651470992486,17.4050966323618,3.67620373758985,1.64404829127794,1.14973109734583,0.201296478657525
"plasmenyl-PC",4,12.7909686530062,2.88248877554607,1.44124438777303,12.5811741964649,2.84828794139551,1.42414397069776,0.864660412317626,-0.20979445654131
"plasmenyl-PE",19,14.6943643946339,2.05480260598867,0.471404047812034,14.632582726766,2.0952710420651,0.480688143773101,0.958080199566133,-0.0617816678679565
"PS",5,16.4150082204127,4.44144838833116,1.98627610297307,16.8701282996381,4.40588370017409,1.97037109090951,1.37089690351276,0.455120079225448
"SM",23,15.5666886222759,3.41879862731469,0.712868792553653,15.6499469115432,3.44149963674474,0.717602280233464,1.0594079861428,0.0832582892672705
"TG",75,16.0104791032102,3.25610588299515,0.375982721611435,15.9544381302559,3.36885217431668,0.389001541940358,0.961900136036208,-0.0560409729542819
