"Class","Number","Ctrl.mean","Ctrl.SD","Ctrl.SE","Case.mean","Case.SD","Case.SE","FC","logFC"
"CE",6,12.4109741004618,2.76253525016021,1.12780029322407,12.0224516622633,2.58552165618151,1.0555347960934,0.763911577613484,-0.388522438198495
"CerP",2,13.1500877187884,1.45293752776727,1.02738197852466,12.7992217040958,1.4156814630853,1.00103796254771,0.784113272499928,-0.350866014692619
"CL",49,13.1860777327692,1.92221050616257,0.274601500880367,13.1278237711405,1.99005611517122,0.284293730738745,0.960425782644828,-0.0582539616287382
"DG",55,15.0690050377847,3.59985359425771,0.485404159627271,14.7973983804413,3.49448595710103,0.471196390331449,0.828396488172814,-0.27160665734343
"lysoPC",20,14.9136476274123,3.95708262704069,0.884830574664644,15.1742306802714,4.07212269402084,0.910554315655018,1.19796275319894,0.260583052859136
"lysoPE",13,13.5012679393595,2.76267190428684,0.766227323706918,13.6951283421661,2.65185445772857,0.735492094031394,1.14382029019515,0.19386040280657
"MG",9,11.7948671911661,1.83307276844228,0.611024256147428,11.7480733518242,1.82183909312698,0.607279697708993,0.968085356096448,-0.0467938393418896
"PA",21,13.7363416807671,2.32703232444385,0.507800084351095,13.6268169190483,2.28860661867985,0.499414907908445,0.926893339611088,-0.109524761718786
"PC",70,14.5214990981272,3.88857796945182,0.464773963871625,14.806359474799,3.95277241443303,0.472446667591814,1.21829235222505,0.284860376671814
"PE",36,16.0064709781924,3.10852673410011,0.518087789016685,16.1143283396673,3.05588694879108,0.509314491465179,1.07762659538295,0.107857361474864
"PG",34,13.9106255124751,2.66005096555893,0.45619497700032,14.1988539710027,2.67703261171192,0.459107305288949,1.22113987143269,0.288228458527664
"PI",5,17.3399468082247,3.62004699979818,1.61893423465858,17.4516099997929,3.54072870719504,1.58346201583461,1.08047312769736,0.111663191568215
"plasmenyl-PC",4,12.3452388220102,2.83514905967773,1.41757452983886,12.3916851094067,2.64693825313433,1.32346912656717,1.03271794999098,0.0464462873965827
"plasmenyl-PE",19,14.8211560408032,2.37199042496156,0.544171924076502,14.5970289297523,2.39855066528024,0.55026526110099,0.856112851973823,-0.224127111050983
"PS",5,16.1997783649834,4.65792956967944,2.08308943044191,16.6553833100608,4.58038112952512,2.04840871369509,1.3713577166342,0.455604945077404
"SM",23,15.6210393470062,3.70797640949815,0.773166528363963,15.3736280909269,3.74114002223453,0.780081619641706,0.842406657995549,-0.247411256079285
"TG",75,16.7122454411238,3.00292052692055,0.346747394914527,16.4034745951378,3.17705460385996,0.366854666153737,0.807329298455215,-0.308770845986022
