"Class","Number","Ctrl.mean","Ctrl.SD","Ctrl.SE","Case.mean","Case.SD","Case.SE","FC","logFC"
"CE",6,12.1586817046469,2.18204417641887,0.89081580473963,12.5305420733554,2.50004968359958,1.02064100940425,1.29402040661026,0.371860368708537
"CerP",2,11.9610484662889,1.8461730008011,1.30544144810998,11.7732586505725,1.48946721918393,1.05321237104003,0.877949695592909,-0.187789815716433
"CL",49,12.9499260323764,1.9539119933815,0.279130284768786,13.0117171067979,1.96509215432302,0.280727450617574,1.04376076303444,0.0617910744215137
"DG",55,14.8371686807352,3.47336595231678,0.468348569467296,14.6691979781608,3.49592952563018,0.471391041072212,0.89009380858484,-0.16797070257442
"lysoPC",20,15.6375297657679,3.99320486528698,0.892907752686458,15.41495530878,3.99556094513811,0.893434588157212,0.857034711824111,-0.222574456987925
"lysoPE",13,14.1794372604925,2.68767631599376,0.745427289935821,13.9121333912775,2.65151249542003,0.735397250751568,0.830870840086176,-0.267303869215054
"MG",9,11.7035524420366,1.89314074033863,0.631046913446208,11.7337006321316,1.96695789448741,0.655652631495802,1.02111700695424,0.0301481900950388
"PA",21,13.9086011038719,2.271979581578,0.495786590951203,13.624304723109,2.15845849736486,0.47101425945691,0.821141991715684,-0.284296380762884
"PC",70,14.9666798774917,4.02342076140166,0.480890760141723,14.9149303835164,3.96309546163743,0.473680507727235,0.964765689586722,-0.0517494939753007
"PE",36,16.3027138444728,2.94408111158353,0.490680185263921,16.3103051198085,3.03205594313869,0.505342657189782,1.00527573905258,0.00759127533561023
"PG",34,14.4440410203065,2.74614177258069,0.47095942859833,14.6127519203419,2.80695464938885,0.481388750929375,1.12405365341732,0.168710900035448
"PI",5,17.3515893537891,3.62418673947268,1.62078558252285,17.4468965285982,3.63753796615919,1.62675643261365,1.06829284191871,0.0953071748091468
"plasmenyl-PC",4,13.1399464449258,3.35076720490787,1.67538360245394,13.000839743891,2.95351167223238,1.47675583611619,0.908081253982831,-0.139106701034867
"plasmenyl-PE",19,14.9062096203294,2.04569351950537,0.469314280051578,14.8591898084824,2.21715886684252,0.508651128544301,0.967933734627385,-0.0470198118470205
"PS",5,16.8001147113286,4.13507017686745,1.84925960144154,16.8746751779936,4.06314642522805,1.81709432186904,1.05304016650151,0.0745604666650122
"SM",23,15.4386710272681,3.59547511466321,0.749708386790792,15.3737124577952,3.60134696505421,0.750932752234504,0.955972770302665,-0.0649585694729548
"TG",75,15.9536764074243,3.29056896548685,0.379962175602172,16.218150969779,3.14543214310955,0.363203218908399,1.20119848660776,0.264474562354643
