"Class","Number","Ctrl.mean","Ctrl.SD","Ctrl.SE","Case.mean","Case.SD","Case.SE","FC","logFC"
"CE",6,12.5243893803428,2.56924455360409,1.04888969679246,12.3078840975679,2.35466516671406,0.96128802892582,0.860647706313044,-0.216505282774873
"CerP",2,12.445770534022,1.0726634682866,0.758487612356534,13.0432323196982,1.71891035082526,1.21545316532029,1.51305222576927,0.597461785676245
"CL",49,13.0705516476969,1.94216686527306,0.277452409324723,13.1949960487913,1.94360273617764,0.277657533739663,1.09008784610996,0.124444401094408
"DG",55,14.5019581038527,3.43717091822601,0.463468032066126,14.6470813171693,3.40572400209888,0.459227730760565,1.10582509223854,0.145123213316605
"lysoPC",20,15.3027927240091,4.09263623530221,0.915141282931456,14.7466881077779,4.03527778809108,0.902315544226664,0.680136104722085,-0.556104616231247
"lysoPE",13,13.8158360728635,2.88565654369596,0.800337125513382,13.673246408309,2.81247286733584,0.780039625694661,0.905891602657517,-0.142589664554487
"MG",9,11.8655529805111,2.04866365050241,0.682887883500804,11.4577035238235,1.79849908157547,0.59949969385849,0.753746103080958,-0.407849456687655
"PA",21,13.8623542292398,2.38867106306274,0.521250759849316,13.5322470292909,2.39127108652747,0.521818131484354,0.795477373340282,-0.330107199948913
"PC",70,14.7468500366817,3.92820017476349,0.469509723206968,14.5205695863357,3.97996097217678,0.475696321798001,0.854835987293844,-0.226280450346003
"PE",36,16.1568180981933,3.22488911423596,0.537481519039326,16.1997149055629,3.19423388395451,0.532372313992418,1.03018026457954,0.0428968073695728
"PG",34,14.1493671384032,2.67210702683611,0.458262574451749,13.878422088234,2.66181528207466,0.456497554786512,0.828776470590544,-0.270945050169123
"PI",5,17.3230313528957,3.50170811866557,1.56601147813982,17.319077699661,3.50292482847589,1.56655560730878,0.997263288049938,-0.00395365323470987
"plasmenyl-PC",4,12.9250281192469,2.74355600323729,1.37177800161864,12.3171444675456,2.58505103751197,1.29252551875599,0.656158542048942,-0.607883651701369
"plasmenyl-PE",19,15.2626376814856,2.30147641429176,0.527994900570533,14.9742061466934,2.35656606829519,0.540633333972406,0.818791746594314,-0.288431534792117
"PS",5,16.8203761634869,4.23668067985141,1.89470119982156,16.9066873754257,4.20809357207423,1.88191665656758,1.06165219927441,0.0863112119388098
"SM",23,15.9735702349428,3.57435228411171,0.745303972155121,15.8717328577432,3.69184866031341,0.769803660192648,0.931845462436366,-0.101837377199613
"TG",75,15.9258755031295,3.2193101490257,0.371733916228976,16.3999253246983,3.1153368425702,0.359728112934853,1.3890031023255,0.474049821568846
