"Class","Number","Ctrl.mean","Ctrl.SD","Ctrl.SE","Case.mean","Case.SD","Case.SE","FC","logFC"
"CE",6,12.3442945360621,2.43535748478977,0.994230529833797,12.6040166904568,2.36204069443438,0.96429907550891,1.19724810691825,0.259722154394707
"CerP",2,12.8793324929051,1.54896514737933,1.09528375953354,12.6229399113113,1.2429654080049,0.878909268780565,0.837178646115099,-0.256392581593723
"CL",49,13.1414113426668,1.91679030091027,0.273827185844324,13.0731909195474,1.88114403778892,0.268734862541274,0.953813810338246,-0.068220423119383
"DG",55,14.4549977509058,3.48889221111162,0.470442129776106,14.6929430040303,3.49651876270709,0.471470493783453,1.17931183930806,0.237945253124412
"lysoPC",20,14.774237091226,3.99194247655138,0.892625473983774,15.2331840644233,4.02297816198228,0.899565264218954,1.37453817297233,0.458946973197284
"lysoPE",13,13.5115795984262,2.63030624530998,0.729515695202946,13.9546854025888,2.64776376688298,0.734357540524019,1.3595279431166,0.443105804162563
"MG",9,11.6329221431106,1.55779294200433,0.519264314001444,12.0262958111625,1.78170993652376,0.593903312174588,1.31346127697941,0.393373668051851
"PA",21,13.7319314935795,2.37722282191759,0.518752548819709,13.8256479627034,2.41206995238868,0.526356816111887,1.06711559866686,0.0937164691238602
"PC",70,14.5986780323738,3.95907703711139,0.473200214131438,14.6277037952772,4.02667123254705,0.481279265752402,1.0203228794851,0.029025762903377
"PE",36,16.2364396784173,3.14243683579593,0.523739472632656,16.2284169872532,3.15258078213533,0.525430130355888,0.994454527454773,-0.00802269116404715
"PG",34,14.3005141287387,2.81571253612947,0.48289071611423,14.167861771744,2.81529954180242,0.482819888171468,0.912152938498156,-0.132652356994688
"PI",5,17.4675737332759,3.42303641279202,1.530828421692,17.2045724213385,3.55392829190288,1.58936504957091,0.833352449336713,-0.263001311937433
"plasmenyl-PC",4,12.2119337348172,2.04870870459977,1.02435435229989,12.8149401106252,2.75639904685946,1.37819952342973,1.5188784022904,0.603006375807991
"plasmenyl-PE",19,14.8306878920719,2.30309856288015,0.528367046979386,14.8602046512987,2.24059476150784,0.514027691517858,1.02067018784,0.0295167592268086
"PS",5,16.7419628998875,4.36235027526058,1.95090235142951,16.5845078555956,4.39540967557563,1.96568696470948,0.89660531438359,-0.157455044291837
"SM",23,15.8308693552146,3.54530846223461,0.739247916654439,15.6937497928338,3.54071521519386,0.738290158439118,0.909332888326621,-0.137119562380846
"TG",75,16.6910591354386,3.09935079557342,0.357882203227479,16.2061552533931,3.18436581925182,0.367698892588656,0.714544674029892,-0.484903882045529
