"Class","Number","Ctrl.mean","Ctrl.SD","Ctrl.SE","Case.mean","Case.SD","Case.SE","FC","logFC"
"CE",11,17.2734917767387,2.48868592231175,0.750367038667969,17.5259262168329,2.52043580418156,0.75993998824072,1.19121550719008,0.252434440094273
"CerP",3,14.2765721294956,1.00839781122905,0.582198747763324,13.8166878866388,1.03061076368369,0.595023401842504,0.727044592005889,-0.459884242856862
"CL",26,14.32483344937,1.6174874281695,0.317215383047203,14.3326106072809,1.71824859164796,0.336976273000627,1.00540527112732,0.00777715791089259
"DG",14,14.1374684913053,1.57008535720603,0.419622962475396,13.905040245827,1.41946539783013,0.379368085075794,0.85120100216854,-0.232428245478321
"lysoPC",22,18.2836135354835,3.89993083620866,0.831468048017021,18.2121771165974,3.96257532769075,0.844823898476735,0.951689976333095,-0.0714364188861119
"lysoPE",12,15.456815657926,2.4804363804202,0.716040305971671,15.145370136694,2.42921395033466,0.701253664072455,0.805833942046257,-0.311445521231923
"MG",2,14.2147262443206,1.00367803576996,0.709707545220934,13.1098450763604,0.784640622872418,0.554824705227523,0.464940766013818,-1.10488116796028
"PA",9,14.6846003642532,1.09240536960308,0.364135123201028,14.7881269213703,0.951355993283109,0.317118664427703,1.07439653501391,0.103526557117099
"PC",55,17.0394429726103,3.92720117734406,0.529543698726169,17.1814987770273,3.90690026935365,0.526806324851167,1.10347642242856,0.142055804416994
"PE",17,16.0223644543713,2.34094571973853,0.567762733312913,16.1971253511427,2.34478421291384,0.568693704654384,1.1287773128298,0.174760896771357
"PG",12,13.7300113211835,1.92247843212205,0.554971720148457,13.834033018538,1.81280352700449,0.523311302151972,1.07476533662431,0.104021697354453
"PI",10,17.8406649294553,2.24983660902243,0.71146080477406,17.4068643493716,2.32897080175128,0.73648523375625,0.740308972877409,-0.433800580083694
"plasmenyl-PC",9,14.574261456599,2.46525580403268,0.821751934677561,14.5629408817381,2.35932162393215,0.786440541310718,0.992183881413339,-0.0113205748608928
"plasmenyl-PE",17,15.9649397777985,1.89859544935494,0.460477034000437,16.2455181291078,1.75937727865234,0.426711667952667,1.21468173155004,0.280578351309382
"PS",3,11.4043712344576,1.37341043982203,0.792938887139094,11.6758259934846,1.7578133329315,1.01487400095311,1.207024331861,0.271454759026966
"SM",20,16.8008477515868,2.69595055605373,0.60283287073145,16.632796950724,2.85312851426506,0.637978930643966,0.890044392034962,-0.16805080086279
"TG",55,16.9141058196943,2.64877141891544,0.357160265265871,16.7942347429579,2.51218147871599,0.338742481486604,0.920269884841094,-0.119871076736384
