"Class","Number","Ctrl.mean","Ctrl.SD","Ctrl.SE","Case.mean","Case.SD","Case.SE","FC","logFC"
"CE",11,17.9854999390108,2.52061910946131,0.759995256862084,18.0483699041601,2.43836609289507,0.73519503924162,1.04454161064911,0.0628699651492894
"CerP",3,14.341452278616,0.896726813937894,0.517725467416599,14.0266176329013,0.848927942281238,0.490128775998668,0.803943129289376,-0.314834645714644
"CL",26,14.432087598857,1.52847758116105,0.299759115862666,14.4876096389038,1.50380193839247,0.29491982417084,1.03923508309369,0.0555220400467603
"DG",14,13.3162654163473,1.54954962293162,0.414134556629633,13.3835644744095,1.56085874047476,0.417157045429148,1.04775329468342,0.0672990580621438
"lysoPC",22,18.3085173157943,3.78136235688424,0.806189163287859,18.4991112460548,3.6552117595157,0.779293765560198,1.14123344339559,0.190593930260462
"lysoPE",12,15.3292224375457,2.47161756445229,0.713494533085169,15.2127875334045,2.37509908222506,0.685632047237336,0.922464371471615,-0.116434904141256
"MG",2,13.1490219757528,1.19506385209902,0.845037753770131,13.0396397286184,1.56495027262365,1.10658694999192,0.926984905978206,-0.109382247134375
"PA",9,15.0532685766776,1.03374125107089,0.344580417023628,15.0603520838961,1.07948652656059,0.359828842186862,1.00492198643177,0.00708350721852823
"PC",55,17.3687629796167,3.84819525379679,0.5188905421683,17.4639782303078,3.80241850172305,0.512718006177874,1.06822477573281,0.0952152506910659
"PE",17,15.3993548225626,2.20844866482137,0.535627477283106,15.2648246273757,2.25818769870648,0.547690964955135,0.91096643594219,-0.134530195186928
"PG",12,13.6736171351264,1.92655580864455,0.556148757364885,13.7522802036149,1.86910857481305,0.539565169406477,1.0560389659076,0.0786630684885256
"PI",10,17.5287844602515,2.43515342137725,0.770063126350387,17.0827455877591,2.57674663115181,0.814838830760549,0.73405553909498,-0.446038872492395
"plasmenyl-PC",9,14.4159814594853,2.48554943165483,0.828516477218277,14.5090256831181,2.46705179663114,0.822350598877046,1.06661847590557,0.0930442236327753
"plasmenyl-PE",17,16.0518453355321,2.02049317871377,0.49004157598099,16.3499082981423,1.83560170383299,0.445198806556891,1.22949252403378,0.298062962610143
"PS",3,11.3573511771206,1.27278646346767,0.734843607303971,11.1168825564649,1.25855756343759,0.726628548041331,0.846470314602129,-0.240468620655695
"SM",20,16.9597156854278,2.65042100388555,0.592652153368132,16.6512294256035,2.67570786460737,0.598306467319288,0.807488568018101,-0.308486259824257
"TG",55,16.6237406320734,2.37269492341458,0.319934118206669,16.5001158462825,2.5024553684745,0.337431013049182,0.917878571910224,-0.12362478579092
