"Class","Number","Ctrl.mean","Ctrl.SD","Ctrl.SE","Case.mean","Case.SD","Case.SE","FC","logFC"
"CE",11,17.8954090577545,2.7173996511003,0.819326822558397,17.590741654042,2.85356158954254,0.860381191698431,0.809628845393693,-0.304667403712482
"CerP",3,14.6184365197745,1.09573843364156,0.632624879624371,14.3236600570933,0.927591388833251,0.535545138040857,0.81519863296841,-0.294776462681169
"CL",26,14.3797355541773,1.57772440743047,0.309417213098445,14.5463421163097,1.56698884361147,0.307311795813733,1.12241528606825,0.16660656213236
"DG",14,13.5467406276947,1.36694924309592,0.365332552341064,13.795739287983,1.42535671435524,0.380942605646793,1.18838200150426,0.24899866028834
"lysoPC",22,18.0627707132903,3.84931363809498,0.820676425119271,18.1374681167725,3.85296425780518,0.821454739856627,1.05314012304704,0.0746974034822079
"lysoPE",12,15.1646556808613,2.55067832273416,0.736317408123355,14.9518825098915,2.35273024614351,0.679174720470766,0.86287700049342,-0.212773170969814
"MG",2,12.7185447646156,0.983218296641744,0.695240324942064,13.2219418632903,0.952189754184015,0.673299832159869,1.41754751968962,0.503397098674702
"PA",9,14.728541368543,0.897426630128761,0.29914221004292,14.9598140111756,0.943430528627094,0.314476842875698,1.17386999700099,0.231272642632643
"PC",55,17.3218019338096,3.80493827602484,0.513057772475414,17.2980897949801,3.86707960031927,0.521436906933932,0.983698331930254,-0.023712138829449
"PE",17,15.7763315717865,2.49819925093101,0.605902316789851,15.8287933371413,2.48038289895192,0.601581216726736,1.03703297245298,0.0524617653547599
"PG",12,13.9154064287089,1.62707525053212,0.469696166943249,13.707940270664,1.83009176336723,0.528301986110895,0.866056974203563,-0.207466158044827
"PI",10,17.7706484649052,2.27808716506229,0.720394414999278,16.7923495013617,2.34005378384513,0.739989980424594,0.507577856340133,-0.978298963543487
"plasmenyl-PC",9,14.4730100209377,2.40322006939852,0.801073356466174,14.4387582994097,2.30553240827924,0.768510802759745,0.976538127658479,-0.0342517215280207
"plasmenyl-PE",17,16.1863249559406,1.75848728992011,0.42649581397922,16.5290458748284,1.5493841886044,0.375780862604579,1.26814605998768,0.3427209188878
"PS",3,11.4533686507009,1.48705557184134,0.858551934702533,11.1655286032114,1.4323417728,0.826962908097628,0.819127510010012,-0.287840047489466
"SM",20,17.5005022714086,2.90258766513911,0.649038332990345,16.9712382306227,2.99449873416117,0.669590272812144,0.692908115781718,-0.5292640407859
"TG",55,16.4242692932628,2.22736853920151,0.300338312556922,16.5833491298174,2.34035131326958,0.315572906704403,1.11657474982543,0.159079836554586
