"Class","Number","Ctrl.mean","Ctrl.SD","Ctrl.SE","Case.mean","Case.SD","Case.SE","FC","logFC"
"CE",11,17.9729156649,2.44670177458363,0.73770834183551,17.6544020515468,2.43419709596072,0.733938039370405,0.80189563294745,-0.318513613353158
"CerP",3,14.1928968050834,1.05020951284299,0.606338744945406,13.9071219804028,0.856441790604856,0.494466898350959,0.820300933478166,-0.285774824680648
"CL",26,14.2420042228082,1.6062800605727,0.315017437429046,14.4275904644218,1.54161634051585,0.30233583856784,1.13727901463953,0.185586241613603
"DG",14,13.7549068369587,1.41852577202906,0.379116959517267,14.02808008457,1.4681285787537,0.392373867244836,1.20846295427193,0.273173247611265
"lysoPC",22,18.5170220796639,3.73548380604997,0.796407823384636,18.3084616863029,3.70458360721718,0.789819878857953,0.86540034837264,-0.208560393361001
"lysoPE",12,15.5488609232712,2.46590023140631,0.711844081198598,15.0021912723145,2.334326083843,0.673861896441562,0.684598648346082,-0.546669650956687
"MG",2,13.591772550331,1.20189683577265,0.849869402861498,13.9108799679049,1.7655499859122,1.24843236756233,1.24755845690372,0.319107417573926
"PA",9,14.6591491223933,1.1343521787148,0.378117392904932,15.1113473346131,0.993627163726774,0.331209054575591,1.36812325777512,0.452198212219711
"PC",55,17.4623610895557,3.83384154860752,0.516955088955411,17.3941255032001,3.88354016175247,0.523656448584799,0.953803785469684,-0.0682355863556551
"PE",17,16.0500123506577,2.47591118911861,0.600496667787332,15.9247729842212,2.33512335270359,0.566350601884904,0.916851910026399,-0.125239366436567
"PG",12,13.8343480529987,1.67523452999372,0.483598553423816,13.762243873185,1.72655161159445,0.498412518861919,0.95124958226988,-0.0721041798136816
"PI",10,17.7042261803868,2.37462762287193,0.750923188302664,17.5568280142228,2.37770646703119,0.751896804313062,0.902877292686816,-0.147398166163974
"plasmenyl-PC",9,14.7252060547384,2.55230503247008,0.850768344156694,14.5496468920526,2.41143014123864,0.803810047079548,0.885424278042402,-0.175559162685857
"plasmenyl-PE",17,16.2523102163384,1.91799213992013,0.465181422470302,16.3224400910314,1.68877508235394,0.409588120144497,1.04981118576298,0.0701298746929557
"PS",3,11.1660234660365,1.4715258730655,0.849585858933866,11.2785143435901,1.60180805363469,0.924804310956098,1.08109318184644,0.112490877553643
"SM",20,17.0688360125277,2.69612737361522,0.60287240834016,16.5189436396827,2.8124077477445,0.628873490440379,0.683071084576026,-0.549892372844962
"TG",55,16.0529673911235,2.32725134319613,0.313806507100046,16.7036529121454,2.52385588201993,0.340316657706977,1.56991398985474,0.650685521021934
