"Class","Number","Ctrl.mean","Ctrl.SD","Ctrl.SE","Case.mean","Case.SD","Case.SE","FC","logFC"
"CE",11,17.3066253695224,2.81355286688354,0.848318107934677,17.6645004155836,2.84399137178821,0.857495662475422,1.28153692355596,0.357875046061153
"CerP",3,14.4388384646411,1.08037176953278,0.623752931964624,14.5175979361428,1.00227869967746,0.578665877061812,1.0561095343485,0.078759471501611
"CL",26,14.3782442359669,1.54383336704759,0.302770633242744,14.3799139394489,1.55244803500834,0.304460108628704,1.00115802024915,0.00166970348196388
"DG",14,13.8797960466315,1.49619539953678,0.399875040623855,13.8516729161569,1.38205115217005,0.369368707315466,0.980695300483964,-0.0281231304746343
"lysoPC",22,18.057565972032,3.83964912192099,0.818615943347746,17.8764315838638,3.83614315313064,0.817868468290123,0.882009201525455,-0.181134388168175
"lysoPE",12,15.1476509357554,2.56076818800913,0.739230101339649,14.9596095504735,2.57739411073637,0.7440295918207,0.877796616694274,-0.188041385281968
"MG",2,13.5330049057152,0.831439948229898,0.587916825542753,13.1108559025445,0.516377574419043,0.365134084524367,0.746312107711792,-0.422149003170739
"PA",9,14.6843125593713,0.978181041315741,0.326060347105247,14.5787363527205,0.903357028080015,0.301119009360005,0.929433656374029,-0.105576206650786
"PC",55,16.907234895412,3.85832110303223,0.520255911400671,16.9520956018992,3.88789554824693,0.524243728779906,1.0315835741646,0.0448607064871991
"PE",17,16.0886352873706,2.54036868548587,0.616129906957042,16.1253420113817,2.46002391583437,0.596643438031216,1.02576960218339,0.0367067240111504
"PG",12,14.0422330023754,2.05028577398153,0.591866521761948,13.9650787167094,1.85280959053607,0.534860057926559,0.947925586010567,-0.0771542856660137
"PI",10,18.0646575879475,2.09724710540971,0.663207766928994,17.9367169010996,2.18450220841912,0.690800253227227,0.915136791139276,-0.127940686847914
"plasmenyl-PC",9,14.8621763918506,2.27829879001092,0.759432930003639,14.7144908279993,2.30869049604925,0.769563498683083,0.902697449411299,-0.147685563851297
"plasmenyl-PE",17,16.8031112187087,1.81687644541232,0.440657264301867,16.520355203706,1.80754587446522,0.438394268445267,0.82201919338199,-0.282756015002615
"PS",3,11.7578993745185,1.48008479167989,0.854527352899857,11.669807837187,1.48768865746912,0.858917446860152,0.940766415079354,-0.0880915373314153
"SM",20,17.270067029769,2.97498319985973,0.665226466680619,17.3936189246795,3.04917286689008,0.681815780551414,1.0894136847394,0.123551894910481
"TG",55,16.6786166448827,2.56662050971838,0.346083038929494,16.6073353326873,2.42132339962135,0.326491180600749,0.951792299702881,-0.0712813121954347
