"Class","Number","Ctrl.mean","Ctrl.SD","Ctrl.SE","Case.mean","Case.SD","Case.SE","FC","logFC"
"CE",11,17.5030630388193,2.91345593207834,0.878440015449002,17.440683418808,2.9433368868754,0.887449462307132,0.957683187455301,-0.0623796200112637
"CerP",3,14.7352688754248,0.962284460019361,0.555575192029172,14.4255984695627,0.98087758275013,0.566309936442857,0.806826063430116,-0.309670405862075
"CL",26,14.4393072454915,1.60249962874588,0.314276033750017,14.3702374501888,1.57301268463421,0.308493168233801,0.953252427328916,-0.0690697953026848
"DG",14,13.47698515166,1.60687758473217,0.429456098896756,13.6277131322856,1.50377471803726,0.401900698699143,1.11012949957399,0.150727980625611
"lysoPC",22,17.9527208322657,3.9199059315211,0.835726752646906,18.0411291169125,3.95175411520756,0.842516808223482,1.06319651783883,0.088408284646892
"lysoPE",12,15.1343729043578,2.55861031464651,0.738607176956259,15.2253409742746,2.49906925694954,0.721419154111668,1.06508463041632,0.0909680699168455
"MG",2,13.0031876275074,0.67476181248665,0.477128653295036,13.3279703626508,0.579554266931909,0.409806752213152,1.25247580591956,0.324782735143442
"PA",9,14.8760379312963,0.952109116190199,0.317369705396733,14.7672364097945,1.14255808436037,0.380852694786789,0.927358118778191,-0.108801521501828
"PC",55,17.0228245844705,3.84844010434555,0.518923557809559,17.0251092679326,3.87607182505884,0.522649418270464,1.00158487649153,0.00228468346204723
"PE",17,15.6398294664733,2.44684137301359,0.59344620176861,15.4384689323352,2.4067784537095,0.583729516594412,0.869729977225411,-0.201360534138045
"PG",12,14.138460526279,2.06002758190711,0.594678739476063,13.9028359234429,1.98512177613232,0.573055295912092,0.849317214695449,-0.235624602836053
"PI",10,17.637159484021,2.29677289556428,0.726303361812316,17.607834260847,2.17533128928304,0.687900153956503,0.979878498856561,-0.0293252231740447
"plasmenyl-PC",9,14.3462046735009,2.20053036820094,0.733510122733648,14.4685222878278,2.06795597776117,0.689318659253722,1.08848204840031,0.12231761432685
"plasmenyl-PE",17,16.4069331632033,1.77378816977927,0.430206822439468,16.4428275364807,1.69534849569878,0.41118240705871,1.02519217583408,0.0358943732773868
"PS",3,11.118814389523,1.41420646586969,0.816492483759572,11.2732217596243,1.11836872018723,0.645690481653352,1.11296434110852,0.154407370101232
"SM",20,17.2810195800065,2.99653685834856,0.670046011235104,16.9770020593832,2.98653129772839,0.667808699865135,0.809993636709424,-0.304017520623208
"TG",55,17.1050727656962,2.16267224246923,0.291614665685165,17.1549464496084,2.24365452923384,0.302534315004896,1.03517428452634,0.0498736839122103
